Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,29.35,30.41,29.27,30.31,5269800,0.0,0
2019-03-22,30.39,30.86,30.25,30.31,3752200,0.0,0
2019-03-25,30.33,30.69,30.1,30.34,3261800,0.0,0
2019-03-26,30.39,30.54,30.32,30.5,2794100,0.0,0
2019-03-27,30.49,30.56,30.08,30.17,2182300,0.0,0
2019-03-28,30.32,30.35,30.11,30.34,4180400,0.0,0
2019-03-29,30.37,30.4,29.88,29.97,3872300,0.0,0
2019-04-01,29.98,30.03,29.52,29.86,3244700,0.0,0
2019-04-02,29.88,29.96,29.49,29.92,3308500,0.0,0
2019-04-03,29.87,30.05,29.63,29.9,3704200,0.0,0
2019-04-04,29.91,29.96,29.56,29.73,2610400,0.0,0
2019-04-05,29.69,29.92,29.59,29.88,2566600,0.0,0
2019-04-08,29.89,29.91,29.56,29.61,2797800,0.0,0
2019-04-09,29.59,29.6,29.4,29.48,2260800,0.0,0
2019-04-10,29.6,29.67,29.5,29.65,2634500,0.0,0
2019-04-11,29.63,29.79,29.39,29.56,2422000,0.0,0
2019-04-12,29.5,29.58,29.09,29.55,2902500,0.0,0
2019-04-15,29.56,29.64,29.35,29.5,1906600,0.0,0
2019-04-16,29.57,29.64,28.38,28.56,2866800,0.0,0
2019-04-17,28.62,28.74,27.8,27.91,3384300,0.0,0
2019-04-18,27.91,28.58,27.79,28.56,3567100,0.0,0
2019-04-22,28.43,28.45,27.63,28.03,3605600,0.0,0
2019-04-23,28.16,28.5,28.02,28.31,2635600,0.0,0
2019-04-24,28.42,28.69,28.29,28.53,1861800,0.0,0
2019-04-25,28.43,28.72,28.28,28.65,3034400,0.0,0
2019-04-26,28.72,29.0,28.64,28.96,3125200,0.0,0
2019-04-29,28.84,28.91,28.27,28.29,2796600,0.0,0
2019-04-30,28.31,28.73,28.17,28.51,3588200,0.0,0
2019-05-01,28.51,29.08,28.34,28.66,2212100,0.0,0
2019-05-02,28.53,29.57,28.53,29.24,3890700,0.0,0
2019-05-03,29.45,29.8,29.21,29.75,2672000,0.37,0
2019-05-06,29.61,29.72,29.17,29.35,2270300,0.0,0
2019-05-07,29.24,29.35,28.6,28.88,3115600,0.0,0
2019-05-08,28.88,29.23,28.75,28.78,2359800,0.0,0
2019-05-09,28.86,29.12,28.59,29.08,2742300,0.0,0
2019-05-10,29.09,29.5,29.04,29.4,2442500,0.0,0
2019-05-13,29.22,30.01,29.22,30.0,4278600,0.0,0
2019-05-14,29.95,30.17,29.84,29.93,2092600,0.0,0
2019-05-15,30.06,30.37,29.87,30.23,1774300,0.0,0
2019-05-16,30.18,30.71,30.14,30.58,2658100,0.0,0
2019-05-17,30.5,30.75,30.41,30.64,2771600,0.0,0
2019-05-20,30.66,30.76,29.91,30.07,1799700,0.0,0
