Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,57.03,57.68,56.87,57.57,1808600,0.0,0
2019-03-22,57.74,58.16,57.57,57.72,1903700,0.0,0
2019-03-25,57.8,57.81,57.48,57.67,1611600,0.0,0
2019-03-26,57.77,58.0,57.57,58.0,2573400,0.0,0
2019-03-27,57.99,58.08,57.21,57.38,1991600,0.0,0
2019-03-28,57.36,57.49,56.69,56.9,2298100,0.0,0
2019-03-29,56.99,57.56,56.71,57.5,2613400,0.0,0
2019-04-01,57.42,57.42,56.26,56.66,2898800,0.0,0
2019-04-02,56.81,57.2,56.4,57.16,2768300,0.0,0
2019-04-03,57.2,57.22,56.66,56.94,2089700,0.0,0
2019-04-04,57.2,57.59,56.83,57.4,3443900,0.0,0
2019-04-05,57.36,57.78,57.12,57.78,2611800,0.0,0
2019-04-08,57.64,57.81,57.19,57.35,1737900,0.0,0
2019-04-09,57.28,57.87,57.12,57.69,2972400,0.0,0
2019-04-10,57.83,58.42,57.43,57.56,2297300,0.0,0
2019-04-11,57.64,57.89,57.42,57.62,1970500,0.0,0
2019-04-12,57.51,58.0,57.04,57.97,2436900,0.0,0
2019-04-15,58.07,58.36,57.85,58.07,1889600,0.0,0
2019-04-16,58.08,58.38,56.64,56.87,2022300,0.0,0
2019-04-17,56.81,56.93,56.48,56.83,2624000,0.0,0
2019-04-18,57.06,58.38,56.01,56.98,7421500,0.0,0
2019-04-22,56.82,57.05,56.3,56.57,3138200,0.0,0
2019-04-23,56.39,56.81,55.85,56.26,3724500,0.0,0
2019-04-24,56.27,57.09,56.27,56.82,1924200,0.0,0
2019-04-25,56.63,57.35,56.52,57.11,1971300,0.0,0
2019-04-26,57.4,57.75,56.95,57.05,1643600,0.0,0
2019-04-29,56.87,57.1,56.5,56.82,1597900,0.0,0
2019-04-30,56.9,57.79,56.71,57.74,2182600,0.0,0
2019-05-01,57.48,57.58,56.87,56.89,2183200,0.0,0
2019-05-02,57.11,57.58,56.62,57.34,2950700,0.0,0
2019-05-03,57.56,57.87,57.18,57.34,2137900,0.0,0
2019-05-06,57.55,57.55,56.81,57.03,2129100,0.0,0
2019-05-07,57.02,57.24,56.75,56.95,2162300,0.0,0
2019-05-08,56.9,56.95,55.9,55.92,2233800,0.0,0
2019-05-09,56.0,56.5,55.66,56.42,1831200,0.0,0
2019-05-10,56.21,57.45,56.16,57.41,1320600,0.0,0
2019-05-13,57.36,58.14,57.3,58.05,1788400,0.0,0
2019-05-14,58.05,58.1,57.1,57.24,3246300,0.0,0
2019-05-15,57.35,57.8,57.06,57.46,1931200,0.0,0
2019-05-16,57.41,58.38,57.27,58.12,1707500,0.0,0
2019-05-17,57.81,58.64,57.81,58.49,1592000,0.0,0
2019-05-20,58.66,59.07,58.27,58.43,1655100,0.0,0
2019-05-21,58.57,59.16,58.42,58.74,1636800,0.0,0
2019-05-22,58.95,59.24,58.64,59.06,1526400,0.0,0
2019-05-23,59.15,59.42,58.81,59.41,1691800,0.0,0
2019-05-24,59.51,59.65,59.09,59.2,1489900,0.0,0
2019-05-28,59.23,59.24,57.87,57.96,2607600,0.0,0
2019-05-29,58.08,58.08,56.91,57.03,2843700,0.0,0
2019-05-30,57.08,57.21,56.5,56.79,2027700,0.0,0
2019-05-31,56.99,57.11,56.27,56.87,2369200,0.0,0
2019-06-03,57.06,57.51,56.6,57.47,2389300,0.0,0
2019-06-04,57.72,57.73,56.35,57.49,1510800,0.0,0
2019-06-05,57.52,58.71,57.52,58.46,2158600,0.0,0
2019-06-06,58.66,58.97,58.45,58.84,1649500,0.47,0
2019-06-07,59.22,59.71,58.43,58.54,1872800,0.0,0
2019-06-10,58.47,58.51,57.95,58.4,1268300,0.0,0
2019-06-11,58.39,58.59,57.57,57.92,1422800,0.0,0
2019-06-12,58.16,58.82,58.15,58.71,1267000,0.0,0
2019-06-13,58.84,58.99,58.17,58.53,3234000,0.0,0
2019-06-14,58.87,59.81,58.66,59.47,1832000,0.0,0
