Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,114.76,116.38,114.76,116.15,4305600,0.0,0
2019-03-22,116.21,117.95,116.16,117.4,6668100,0.0,0
2019-03-25,116.95,117.95,116.78,117.53,4275400,0.0,0
2019-03-26,118.12,118.8,117.92,118.66,4583000,0.0,0
2019-03-27,119.09,119.8,117.86,118.54,5318500,0.0,0
2019-03-28,118.54,119.1,118.25,118.49,3694700,0.0,0
2019-03-29,118.93,119.38,117.93,119.18,5758800,0.0,0
2019-04-01,119.22,119.51,118.25,118.64,5025700,0.0,0
2019-04-02,118.55,118.9,118.22,118.33,3242600,0.0,0
2019-04-03,118.33,118.87,117.42,118.22,4534400,0.0,0
2019-04-04,118.46,118.77,117.84,118.13,3022500,0.0,0
2019-04-05,118.01,118.32,117.5,118.27,3971500,0.0,0
2019-04-08,118.37,118.68,117.88,118.64,3140100,0.0,0
2019-04-09,118.39,118.84,117.53,118.81,3864400,0.0,0
2019-04-10,118.98,119.33,118.31,118.68,2681100,0.0,0
2019-04-11,118.99,119.37,117.84,118.32,3399700,0.0,0
2019-04-12,118.19,118.97,117.82,118.87,3501100,0.0,0
2019-04-15,119.07,120.59,118.99,120.26,4419800,0.0,0
2019-04-16,119.83,120.41,118.54,119.04,5263700,0.0,0
2019-04-17,121.56,123.61,120.43,123.52,7318200,0.0,0
2019-04-18,124.7,124.73,123.24,123.59,6331200,0.0,0
2019-04-22,123.28,123.74,122.42,122.96,3707000,0.0,0
2019-04-23,123.2,124.03,122.65,123.59,4464100,0.0,0
2019-04-24,123.91,124.46,123.19,123.43,3517200,0.0,0
2019-04-25,122.19,122.92,121.74,122.66,4433700,0.0,0
2019-04-26,123.04,123.75,122.65,122.92,3033800,0.0,0
2019-04-29,122.67,123.47,122.55,123.21,2793400,0.0,0
2019-04-30,123.56,124.86,122.86,124.53,4963600,0.0,0
2019-05-01,124.33,124.48,123.52,123.74,3810800,0.0,0
2019-05-02,123.74,124.04,122.7,123.34,2875900,0.0,0
2019-05-03,123.6,124.65,123.43,124.16,2854900,0.0,0
2019-05-06,123.8,124.12,123.27,123.77,2883900,0.0,0
2019-05-07,123.16,123.46,121.74,122.51,3558900,0.0,0
2019-05-08,122.34,123.25,121.51,122.55,3844700,0.0,0
2019-05-09,122.31,123.06,121.42,122.58,3127200,0.0,0
2019-05-10,122.67,124.75,122.16,124.49,3720400,0.0,0
2019-05-13,123.53,124.42,123.15,123.66,4297200,0.0,0
2019-05-14,124.05,124.98,123.79,123.91,5150300,0.0,0
2019-05-15,123.6,126.3,123.6,125.79,3751900,0.0,0
2019-05-16,125.81,127.15,125.22,126.69,4812900,0.0,0
2019-05-17,126.35,127.27,126.08,126.92,4011700,0.0,0
2019-05-20,126.46,126.86,125.99,126.41,3965600,0.0,0
2019-05-21,126.99,126.99,125.31,125.5,4080800,0.0,0
2019-05-22,125.55,127.05,125.4,126.49,3588000,0.0,0
2019-05-23,126.04,127.3,125.95,126.4,3901400,0.0,0
2019-05-24,126.75,126.89,125.41,125.94,2702700,0.0,0
2019-05-28,125.94,126.33,123.86,124.12,8806000,0.0,0
2019-05-29,124.07,124.78,123.35,124.64,5502700,0.0,0
2019-05-30,124.63,125.36,124.27,125.07,2710300,0.0,0
2019-05-31,124.48,124.92,123.5,124.48,4191200,0.0,0
2019-06-03,124.34,125.61,123.98,125.43,3588700,0.0,0
2019-06-04,126.18,126.24,124.5,125.52,4242400,0.0,0
2019-06-05,125.67,127.98,125.32,127.78,5084200,0.0,0
2019-06-06,128.41,129.57,127.9,129.29,5528000,0.955,0
2019-06-07,130.13,131.96,129.89,130.75,6332700,0.0,0
2019-06-10,130.47,130.95,129.66,130.87,2957900,0.0,0
2019-06-11,131.33,131.6,129.99,130.48,3553600,0.0,0
2019-06-12,131.28,131.7,129.96,130.43,3302800,0.0,0
2019-06-13,130.73,131.06,129.16,130.23,2851400,0.0,0
2019-06-14,130.3,130.82,129.86,130.02,3291800,0.0,0
2019-06-17,130.01,130.52,129.2,129.82,2725800,0.0,0
2019-06-18,131.68,131.68,129.17,129.37,4378200,0.0,0
2019-06-19,129.37,130.57,128.65,130.14,4349900,0.0,0
2019-06-20,131.14,131.71,130.62,131.43,3847500,0.0,0
2019-06-21,131.43,131.82,130.91,131.23,7696300,0.0,0
2019-06-24,131.91,132.48,131.21,131.41,3685800,0.0,0
2019-06-25,131.25,131.74,130.82,131.08,4176300,0.0,0
2019-06-26,130.35,131.04,129.6,129.62,6024100,0.0,0
2019-06-27,129.55,129.74,128.7,129.01,4750900,0.0,0
2019-06-28,129.58,129.71,128.09,128.46,6318500,0.0,0
2019-07-01,129.3,129.59,128.4,129.18,3544800,0.0,0
2019-07-02,129.4,129.95,128.67,129.73,3233300,0.0,0
2019-07-03,130.27,131.36,130.06,131.26,2859200,0.0,0
2019-07-05,130.18,130.77,128.87,130.31,3356000,0.0,0
2019-07-08,130.39,130.67,129.35,129.86,5854500,0.0,0
2019-07-09,130.29,130.68,128.06,129.05,8233200,0.0,0
2019-07-10,129.7,131.72,129.18,131.67,6141500,0.0,0
2019-07-11,131.47,131.99,130.63,131.61,3944200,0.0,0
2019-07-12,131.27,131.69,129.91,130.56,4481200,0.0,0
2019-07-15,130.88,131.43,129.85,131.42,3077900,0.0,0
2019-07-16,131.35,132.48,130.34,131.07,4019700,0.0,0
2019-07-17,131.19,131.54,129.77,130.07,4105100,0.0,0
2019-07-18,129.91,130.48,128.84,130.17,3698600,0.0,0
2019-07-19,130.46,130.47,127.36,127.44,5022000,0.0,0
2019-07-22,127.83,128.14,126.99,127.62,4411700,0.0,0
2019-07-23,128.46,129.54,127.75,128.07,4145800,0.0,0
2019-07-24,128.53,128.53,126.0,126.58,4669700,0.0,0
2019-07-25,126.01,126.89,125.77,126.36,3335200,0.0,0
2019-07-26,126.8,128.74,126.09,128.55,4580800,0.0,0
2019-07-29,128.82,129.37,128.51,128.85,4533400,0.0,0
2019-07-30,128.66,129.39,127.58,127.82,3367900,0.0,0
2019-07-31,127.82,127.82,123.67,125.2,5757600,0.0,0
2019-08-01,126.33,126.76,124.19,124.55,6199400,0.0,0
2019-08-02,124.51,126.19,123.92,125.31,5573300,0.0,0
2019-08-05,125.73,126.52,121.35,121.86,6192800,0.0,0
2019-08-06,122.24,124.41,121.84,123.87,6258600,0.0,0
2019-08-07,123.82,125.72,122.09,125.18,6149000,0.0,0
2019-08-08,125.49,127.1,124.41,126.83,3702100,0.0,0
2019-08-09,127.07,127.1,124.72,125.98,2929500,0.0,0
2019-08-12,125.83,126.52,125.26,125.73,2920800,0.0,0
2019-08-13,125.66,127.72,125.33,127.28,4088200,0.0,0
2019-08-14,126.88,127.87,126.17,126.49,6232700,0.0,0
2019-08-15,127.02,128.55,126.76,128.06,3701800,0.0,0
2019-08-16,128.74,129.62,127.98,129.07,3405000,0.0,0
2019-08-19,129.38,130.14,129.25,129.87,3101200,0.0,0
2019-08-20,130.09,130.39,129.24,129.37,3160300,0.0,0
2019-08-21,130.2,130.92,128.94,129.64,2936900,0.0,0
2019-08-22,129.06,130.22,128.64,129.96,2484200,0.0,0
2019-08-23,129.75,130.63,126.9,127.61,4239500,0.0,0
2019-08-26,128.15,131.02,127.93,131.01,3954100,0.0,0
2019-08-27,131.46,132.6,130.95,132.01,7187800,0.0,0
2019-08-28,131.76,132.58,131.54,132.43,3972600,0.0,0
2019-08-29,132.85,133.66,131.78,133.25,3045200,0.0,0
2019-08-30,133.34,134.31,132.99,133.94,3742800,0.0,0
2019-09-03,133.57,134.86,133.11,134.66,2989800,0.0,0
2019-09-04,135.0,136.34,134.45,136.31,3201700,0.0,0
2019-09-05,136.91,136.91,133.7,134.13,4994600,0.955,0
2019-09-06,135.07,135.55,134.17,135.5,3051600,0.0,0
2019-09-09,134.54,134.82,133.59,134.54,4062100,0.0,0
2019-09-10,133.89,134.65,132.85,134.01,4175000,0.0,0
2019-09-11,133.43,134.93,133.04,134.5,5005100,0.0,0
2019-09-12,134.88,136.41,134.88,135.42,4146900,0.0,0
2019-09-13,134.23,135.09,133.83,134.58,4008200,0.0,0
2019-09-16,134.53,134.64,132.55,133.04,2953600,0.0,0
2019-09-17,133.12,134.45,132.68,133.85,4013300,0.0,0
2019-09-18,133.96,134.15,132.27,133.66,2647800,0.0,0
2019-09-19,133.57,133.99,133.24,133.64,2804500,0.0,0
2019-09-20,133.16,133.91,132.65,132.88,6671100,0.0,0
2019-09-23,133.12,133.9,133.12,133.6,3346500,0.0,0
2019-09-24,134.39,134.59,132.75,133.52,4798500,0.0,0
2019-09-25,133.37,133.81,132.68,133.25,3579500,0.0,0
2019-09-26,134.02,134.47,133.17,133.87,4309600,0.0,0
2019-09-27,134.38,134.38,132.84,133.75,3559400,0.0,0
2019-09-30,134.22,135.85,134.02,135.23,3705200,0.0,0
2019-10-01,135.07,136.06,134.24,135.5,3638900,0.0,0
2019-10-02,135.03,135.51,131.67,132.12,5728600,0.0,0
2019-10-03,136.56,137.85,134.64,136.05,8829700,0.0,0
2019-10-04,135.96,138.54,135.75,138.37,5278700,0.0,0
2019-10-07,137.39,137.71,136.09,136.46,4273300,0.0,0
2019-10-08,135.78,136.56,135.21,135.37,4074900,0.0,0
2019-10-09,135.45,136.29,134.97,135.97,3065300,0.0,0
2019-10-10,135.24,136.37,134.78,136.01,2191000,0.0,0
2019-10-11,136.2,136.81,135.22,135.77,2761400,0.0,0
2019-10-14,135.96,136.42,135.37,135.58,2371500,0.0,0
2019-10-15,135.61,136.07,134.31,134.47,3369300,0.0,0
2019-10-16,134.29,134.63,133.73,134.56,2812000,0.0,0
2019-10-17,135.2,135.75,134.74,135.1,2322500,0.0,0
2019-10-18,135.4,135.5,134.38,134.39,3630400,0.0,0
2019-10-21,134.48,134.88,133.81,134.27,2829400,0.0,0
2019-10-22,134.79,135.48,134.45,134.8,3248100,0.0,0
2019-10-23,134.75,135.63,134.75,135.58,2323600,0.0,0
2019-10-24,135.83,136.23,134.93,136.01,2292500,0.0,0
2019-10-25,135.9,136.04,134.38,134.78,2520000,0.0,0
2019-10-28,134.69,135.68,134.3,134.71,3212600,0.0,0
2019-10-29,134.97,135.25,134.09,134.23,2550100,0.0,0
2019-10-30,134.01,135.42,133.57,135.04,2653400,0.0,0
2019-10-31,134.94,135.66,134.25,135.3,4492300,0.0,0
2019-11-01,135.68,136.46,134.84,135.07,3054900,0.0,0
2019-11-04,134.94,135.23,132.9,133.32,3202400,0.0,0
2019-11-05,132.99,133.26,130.79,132.19,4300800,0.0,0
2019-11-06,132.67,133.04,131.73,132.61,3645600,0.0,0
2019-11-07,132.58,132.67,131.31,131.5,3338700,0.0,0
2019-11-08,131.48,132.3,130.76,131.32,2604000,0.0,0
2019-11-11,131.22,131.22,130.17,130.59,2227200,0.0,0
2019-11-12,130.87,130.87,129.8,130.18,3246500,0.0,0
2019-11-13,130.82,131.75,130.21,131.48,3166600,0.0,0
2019-11-14,131.78,132.09,130.92,131.51,2141900,0.0,0
2019-11-15,131.84,132.1,130.99,131.99,3648700,0.0,0
2019-11-18,132.18,133.84,132.09,132.23,3619700,0.0,0
2019-11-19,132.82,133.22,132.24,132.74,3019100,0.0,0
2019-11-20,132.48,133.36,131.58,131.92,3047700,0.0,0
2019-11-21,131.61,132.38,131.28,132.09,3391200,0.0,0
2019-11-22,132.1,132.7,131.21,132.24,3014900,0.0,0
2019-11-25,132.83,132.94,131.4,132.01,3612400,0.0,0
2019-11-26,132.46,134.02,132.05,133.85,4947400,0.0,0
2019-11-27,133.85,134.66,133.49,134.06,2476100,0.0,0
2019-11-29,134.21,134.56,133.42,133.98,2978400,0.0,0
2019-12-02,134.79,134.79,132.61,134.03,3866300,0.0,0
2019-12-03,134.8,134.8,132.49,133.62,5000000,0.0,0
2019-12-04,133.11,135.5,132.71,135.43,4228200,0.0,0
2019-12-05,135.28,135.62,134.36,135.43,3351800,0.955,0
2019-12-06,135.75,136.77,135.43,136.44,3216900,0.0,0
2019-12-09,136.23,137.11,136.08,136.24,3882900,0.0,0
2019-12-10,136.69,136.69,135.26,135.36,2940200,0.0,0
2019-12-11,136.13,136.62,135.41,136.18,3339100,0.0,0
2019-12-12,135.88,136.98,135.83,136.26,3502100,0.0,0
2019-12-13,136.01,137.32,135.28,137.01,3557900,0.0,0
2019-12-16,136.03,136.6,135.25,136.14,4701000,0.0,0
2019-12-17,136.13,136.52,134.78,135.26,5491800,0.0,0
2019-12-18,136.13,136.38,134.72,135.06,5370500,0.0,0
2019-12-19,135.31,135.82,135.04,135.55,3641700,0.0,0
2019-12-20,136.49,137.2,134.25,136.99,10311300,0.0,0
2019-12-23,136.77,137.2,135.92,136.12,2992900,0.0,0
2019-12-24,136.17,136.46,135.36,135.97,1220600,0.0,0
2019-12-26,135.94,136.42,135.19,135.77,2934700,0.0,0
2019-12-27,135.96,136.66,135.71,136.62,2554000,0.0,0
2019-12-30,135.78,137.04,135.56,135.89,3024700,0.0,0
2019-12-31,135.77,136.34,135.12,135.75,3229400,0.0,0
