Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,48.36,49.42,47.7,49.29,1900400,0.0,0
2019-03-22,48.8,48.85,47.03,47.39,2018900,0.0,0
2019-03-25,47.44,47.95,46.8,46.97,1494800,0.0,0
2019-03-26,47.34,48.16,47.34,48.06,1295700,0.0,0
2019-03-27,48.05,48.26,47.62,47.83,1325800,0.0,0
2019-03-28,47.83,48.23,47.58,47.92,981600,0.0,0
2019-03-29,48.39,48.5,47.81,48.1,1481800,0.0,0
2019-04-01,48.62,49.89,48.57,49.81,1417200,0.0,0
2019-04-02,49.77,50.38,49.48,49.56,1195400,0.0,0
2019-04-03,50.06,50.46,49.07,50.08,1388200,0.0,0
2019-04-04,50.05,50.73,50.05,50.42,812700,0.0,0
2019-04-05,50.42,51.29,50.21,50.97,1674300,0.0,0
2019-04-08,50.89,51.17,50.69,51.1,802300,0.0,0
2019-04-09,50.89,50.89,49.48,49.64,1813300,0.0,0
2019-04-10,49.68,50.63,49.45,50.55,1069300,0.0,0
2019-04-11,50.82,51.48,50.55,51.23,1038300,0.0,0
2019-04-12,52.05,52.76,52.0,52.58,1227300,0.0,0
2019-04-15,52.55,52.87,51.88,52.03,827400,0.0,0
2019-04-16,52.11,53.21,52.03,53.11,1322100,0.0,0
2019-04-17,53.35,53.59,53.07,53.35,1379200,0.0,0
2019-04-18,53.3,53.45,52.77,52.92,1894900,0.0,0
2019-04-22,52.74,53.1,52.5,52.74,1243000,0.0,0
2019-04-23,52.92,53.39,52.57,53.23,1203600,0.0,0
2019-04-24,52.95,53.08,52.57,52.79,1169500,0.0,0
2019-04-25,52.52,53.59,52.33,53.45,1679000,0.0,0
2019-04-26,53.89,55.07,53.88,54.99,1629300,0.0,0
2019-04-29,55.11,55.52,54.81,55.04,989700,0.0,0
2019-04-30,55.08,55.08,54.38,54.78,1562000,0.0,0
2019-05-01,54.86,55.27,54.08,54.51,1641300,0.0,0
2019-05-02,54.36,55.08,53.7,54.18,1618400,0.0,0
2019-05-03,54.45,55.21,54.39,55.18,961000,0.0,0
2019-05-06,54.18,55.1,53.81,54.91,748200,0.0,0
2019-05-07,54.24,54.6,53.7,54.1,1301100,0.0,0
2019-05-08,53.93,54.37,53.52,53.69,923100,0.0,0
2019-05-09,53.02,53.6,52.68,53.56,949200,0.0,0
2019-05-10,53.3,54.18,52.56,54.12,861500,0.0,0
2019-05-13,52.92,53.84,51.65,51.98,1124600,0.0,0
2019-05-14,52.13,53.49,51.76,52.97,887900,0.0,0
2019-05-15,52.33,52.76,51.91,52.5,1179900,0.0,0
2019-05-16,52.83,53.78,52.75,53.2,1164100,0.0,0
2019-05-17,52.55,53.11,52.23,52.47,1270900,0.0,0
2019-05-20,52.07,53.02,52.07,52.58,909800,0.0,0
2019-05-21,53.03,53.18,52.72,53.01,1062100,0.0,0
2019-05-22,52.71,52.74,52.39,52.63,1263600,0.0,0
2019-05-23,52.13,52.13,50.79,51.36,1446900,0.0,0
