Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,25.54,26.26,25.37,25.96,4956700,0.0,0
2019-03-22,25.92,26.61,25.81,26.24,4673500,0.0,0
2019-03-25,26.12,26.92,26.01,26.86,3451900,0.0,0
2019-03-26,26.9,27.08,26.66,27.03,2860000,0.0,0
2019-03-27,27.53,28.52,27.45,28.41,8355000,0.0,0
2019-03-28,28.47,28.53,27.94,27.94,6267100,0.0,0
2019-03-29,28.12,28.38,27.56,27.6,3314000,0.0,0
2019-04-01,27.69,27.69,27.01,27.53,3255500,0.0,0
2019-04-02,27.57,27.57,27.09,27.41,2555600,0.0,0
2019-04-03,27.54,27.78,27.2,27.41,3044700,0.0,0
2019-04-04,27.35,28.24,27.35,28.22,3486400,0.0,0
2019-04-05,28.22,28.66,28.14,28.57,2662900,0.0,0
2019-04-08,28.49,28.65,28.25,28.46,2771400,0.0,0
2019-04-09,28.42,28.66,28.11,28.2,2988200,0.0,0
2019-04-10,28.46,28.73,28.19,28.55,2169200,0.0,0
2019-04-11,28.63,29.12,28.6,29.03,3336400,0.0,0
2019-04-12,29.07,29.16,28.84,29.01,2499100,0.0,0
2019-04-15,29.08,29.2,28.81,29.12,2100800,0.0,0
2019-04-16,29.29,29.44,29.07,29.38,2830400,0.0,0
2019-04-17,29.49,29.78,29.42,29.65,2789400,0.0,0
2019-04-18,29.6,30.2,29.6,30.0,3316400,0.0,0
2019-04-22,29.97,30.29,29.76,29.83,4577800,0.0,0
2019-04-23,30.35,31.3,30.13,30.95,7087000,0.0,0
2019-04-24,31.34,31.54,30.76,31.45,3505400,0.0,0
2019-04-25,30.84,31.49,30.47,31.26,4365700,0.0,0
2019-04-26,31.4,31.43,31.03,31.05,3281100,0.0,0
2019-04-29,31.03,31.09,30.77,30.93,3484500,0.0,0
2019-04-30,30.89,31.13,30.77,31.05,2983500,0.0,0
2019-05-01,31.11,31.6,30.87,30.89,3340400,0.0,0
2019-05-02,31.11,31.61,30.82,31.29,2906900,0.0,0
2019-05-03,31.36,31.47,30.86,31.37,2803300,0.0,0
2019-05-06,31.05,31.4,30.91,31.33,3047100,0.0,0
2019-05-07,31.12,31.33,30.8,31.06,2697700,0.0,0
