Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,94.03,97.35,94.03,97.21,438100,0.0,0
2019-03-22,96.6,96.75,93.37,93.43,526000,0.0,0
2019-03-25,93.5,94.69,93.0,94.25,350100,0.0,0
2019-03-26,95.09,95.87,94.72,95.69,403800,0.0,0
2019-03-27,95.71,96.02,93.42,94.07,365100,0.0,0
2019-03-28,94.51,95.11,93.82,94.96,351000,0.0,0
2019-03-29,95.81,96.23,95.02,96.07,443300,0.0,0
2019-04-01,97.01,97.7,96.69,97.3,654000,0.0,0
2019-04-02,96.99,97.38,96.71,97.12,363100,0.0,0
2019-04-03,97.63,98.52,97.18,98.29,761900,0.0,0
2019-04-04,98.57,98.74,96.61,97.53,522600,0.0,0
2019-04-05,97.65,99.12,97.65,98.7,579700,0.0,0
2019-04-08,98.83,99.46,97.74,99.41,494700,0.0,0
2019-04-09,102.07,102.69,99.91,100.82,1035200,0.0,0
2019-04-10,100.8,101.92,100.57,100.8,603600,0.0,0
2019-04-11,100.68,100.98,99.82,100.05,620200,0.0,0
2019-04-12,100.76,101.53,99.42,99.69,883200,0.0,0
2019-04-15,99.85,100.22,98.54,98.89,815500,0.0,0
2019-04-16,99.69,99.79,96.09,96.69,716200,0.0,0
2019-04-17,97.13,97.13,92.12,93.38,884200,0.07,0
2019-04-18,93.56,95.05,92.65,93.94,721400,0.0,0
2019-04-22,93.49,95.31,93.14,94.3,487200,0.0,0
2019-04-23,92.29,95.17,91.35,94.56,1299000,0.0,0
2019-04-24,94.96,95.21,93.92,94.3,837600,0.0,0
2019-04-25,93.77,95.09,92.81,94.86,926200,0.0,0
2019-04-26,92.79,94.78,90.94,93.87,1850500,0.0,0
2019-04-29,94.24,95.42,93.79,94.74,1026800,0.0,0
2019-04-30,94.94,96.09,94.94,95.62,1070700,0.0,0
2019-05-01,95.7,96.05,93.55,93.91,1001900,0.0,0
2019-05-02,93.66,94.77,92.66,94.66,733000,0.0,0
2019-05-03,95.16,96.42,95.16,96.37,692900,0.0,0
2019-05-06,95.3,96.74,93.66,96.5,972700,0.0,0
2019-05-07,95.42,95.93,92.12,93.34,930000,0.0,0
2019-05-08,93.36,94.16,92.5,93.12,573200,0.0,0
2019-05-09,91.77,92.68,90.98,92.44,633200,0.0,0
2019-05-10,91.98,92.6,90.02,92.2,806700,0.0,0
2019-05-13,90.21,90.21,87.64,87.91,1320500,0.0,0
2019-05-14,88.38,89.77,88.24,88.84,1103900,0.0,0
2019-05-15,88.36,88.75,85.39,87.71,1263000,0.0,0
2019-05-16,88.38,88.73,87.45,87.79,785000,0.0,0
2019-05-17,86.59,87.49,85.63,85.74,776200,0.0,0
2019-05-20,85.11,85.55,83.26,83.87,1136000,0.0,0
2019-05-21,84.46,85.64,84.14,85.31,1049600,0.0,0
2019-05-22,85.34,86.36,84.9,86.1,786100,0.0,0
2019-05-23,85.13,85.97,84.71,85.93,1068600,0.0,0
