Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,68.8,70.17,68.74,70.12,2138500,0.0,0
2019-03-22,70.13,70.51,69.12,69.15,2176400,0.0,0
2019-03-25,69.27,69.48,68.7,69.04,1549600,0.0,0
2019-03-26,69.44,70.24,69.41,70.21,1936000,0.0,0
2019-03-27,70.2,70.42,69.17,69.66,2038300,0.0,0
2019-03-28,69.74,70.22,69.33,70.17,1900200,0.0,0
2019-03-29,70.43,70.51,69.77,70.01,2679700,0.0,0
2019-04-01,70.07,70.42,69.34,70.26,2226500,0.0,0
2019-04-02,70.49,71.28,70.01,71.17,2366100,0.0,0
2019-04-03,71.18,71.45,70.27,71.18,2467300,0.0,0
2019-04-04,71.18,71.18,70.36,70.88,1157400,0.0,0
2019-04-05,70.73,71.15,70.52,71.09,1182600,0.0,0
2019-04-08,71.13,71.22,70.51,70.92,1661100,0.0,0
2019-04-09,70.83,70.96,70.29,70.43,1654800,0.0,0
2019-04-10,70.79,71.6,70.47,71.58,2116400,0.0,0
2019-04-11,71.76,71.94,71.04,71.58,2075300,0.0,0
2019-04-12,71.53,72.43,71.03,72.42,2291200,0.0,0
2019-04-15,72.51,72.58,71.51,71.74,2403600,0.0,0
2019-04-16,71.74,71.95,70.25,70.81,3371200,0.0,0
2019-04-17,71.21,71.21,69.79,70.31,2842900,0.0,0
2019-04-18,70.37,71.7,70.29,71.59,2287300,0.0,0
2019-04-22,71.41,71.56,70.06,70.96,2587300,0.0,0
2019-04-23,71.26,72.42,71.25,72.2,2448800,0.0,0
2019-04-24,72.33,73.32,72.12,73.28,2197900,0.0,0
2019-04-25,72.78,73.62,72.5,73.42,1981300,0.0,0
2019-04-26,73.55,74.08,73.34,74.05,2286300,0.0,0
2019-04-29,73.85,74.29,73.24,73.35,2180100,0.0,0
2019-04-30,73.52,74.75,73.0,74.6,2396700,0.0,0
2019-05-01,74.6,76.44,74.56,75.51,3585900,0.0,0
2019-05-02,75.42,75.89,74.16,74.27,2561300,0.0,0
2019-05-03,74.57,74.89,74.19,74.7,1767000,0.0,0
2019-05-06,74.13,74.43,73.8,74.18,1292200,0.0,0
2019-05-07,73.61,73.98,71.64,72.32,3169200,0.0,0
2019-05-08,72.32,73.26,72.2,72.38,1801400,0.0,0
2019-05-09,72.28,72.7,71.55,72.63,1775300,0.0,0
2019-05-10,72.59,73.81,72.31,73.52,1960000,0.0,0
2019-05-13,72.69,73.2,72.51,73.04,1981600,0.0,0
2019-05-14,73.02,73.54,72.93,73.27,1692900,0.0,0
2019-05-15,73.45,74.5,72.99,73.96,1342200,0.0,0
2019-05-16,74.24,74.98,73.98,74.8,1705100,0.0,0
2019-05-17,74.09,74.8,73.94,74.54,2310800,0.0,0
2019-05-20,74.54,74.54,73.26,73.55,1370100,0.0,0
2019-05-21,73.97,75.05,73.97,74.76,1891200,0.0,0
2019-05-22,74.79,74.93,74.18,74.49,1111700,0.0,0
2019-05-23,74.18,75.24,73.84,74.37,1635700,0.0,0
2019-05-24,74.64,75.05,73.33,73.38,3072900,0.0,0
2019-05-28,73.72,73.79,72.36,72.36,3494200,0.0,0
2019-05-29,72.2,72.45,70.83,71.18,2309700,0.0,0
2019-05-30,71.45,71.87,71.0,71.34,2030900,0.0,0
2019-05-31,70.84,72.37,70.54,71.68,2831300,0.0,0
2019-06-03,72.4,73.23,71.68,73.07,3404600,0.0,0
2019-06-04,73.46,73.46,72.12,72.98,2470900,0.0,0
2019-06-05,73.34,75.47,73.22,75.38,1939000,0.0,0
2019-06-06,75.58,76.24,75.23,76.03,1538600,0.0,0
2019-06-07,76.37,76.76,76.0,76.08,1556100,0.0,0
2019-06-10,76.24,76.5,75.7,76.29,1096100,0.0,0
2019-06-11,76.64,76.75,75.77,76.7,1666300,0.0,0
2019-06-12,76.83,77.52,76.76,77.2,1930700,0.53,0
2019-06-13,77.29,78.37,77.25,78.3,3254000,0.0,0
2019-06-14,78.4,78.97,78.22,78.33,1910100,0.0,0
2019-06-17,78.75,79.35,78.63,79.27,1596000,0.0,0
2019-06-18,79.77,80.37,78.49,78.84,2069100,0.0,0
2019-06-19,78.61,80.22,78.41,79.87,1584700,0.0,0
2019-06-20,80.53,81.13,80.31,80.8,2844400,0.0,0
2019-06-21,80.46,80.46,79.67,79.67,5017900,0.0,0
2019-06-24,80.01,80.08,78.63,78.96,2220500,0.0,0
2019-06-25,79.25,79.98,78.04,78.15,2059400,0.0,0
2019-06-26,78.26,78.55,76.16,76.55,2786800,0.0,0
2019-06-27,77.08,77.87,77.08,77.74,1621400,0.0,0
2019-06-28,77.84,78.76,77.8,78.47,3272200,0.0,0
2019-07-01,79.26,79.33,77.23,78.29,1812500,0.0,0
2019-07-02,78.65,80.01,78.38,79.93,2428500,0.0,0
2019-07-03,80.16,80.92,80.05,80.92,1193300,0.0,0
2019-07-05,80.52,81.3,79.02,80.75,1565600,0.0,0
2019-07-08,80.52,80.67,80.07,80.63,1847400,0.0,0
2019-07-09,80.62,81.13,80.22,80.94,1929000,0.0,0
2019-07-10,81.75,82.28,80.84,81.33,2343600,0.0,0
2019-07-11,81.31,81.43,78.91,79.37,2610200,0.0,0
2019-07-12,79.31,79.55,77.94,78.4,3177700,0.0,0
2019-07-15,78.83,79.37,78.27,78.31,2949100,0.0,0
2019-07-16,78.61,80.6,77.56,79.8,3720200,0.0,0
2019-07-17,80.12,80.44,79.04,79.95,2011400,0.0,0
2019-07-18,80.08,81.14,79.8,80.75,1885000,0.0,0
2019-07-19,80.97,81.19,79.02,79.09,2043900,0.0,0
2019-07-22,79.26,79.73,78.72,79.52,1644800,0.0,0
2019-07-23,79.83,80.96,79.45,80.91,2141300,0.0,0
2019-07-24,80.79,80.96,80.13,80.58,2103800,0.0,0
2019-07-25,80.5,80.57,79.39,79.79,1926000,0.0,0
2019-07-26,79.84,80.52,79.53,80.44,1653200,0.0,0
2019-07-29,80.7,81.61,80.46,80.95,1845100,0.0,0
2019-07-30,80.84,81.43,79.79,80.34,1395500,0.0,0
2019-07-31,80.13,80.82,78.4,78.97,3302100,0.0,0
2019-08-01,78.88,80.18,78.4,79.13,2340000,0.0,0
2019-08-02,79.2,79.3,78.55,78.87,1773800,0.0,0
2019-08-05,78.37,78.37,75.92,77.04,2706500,0.0,0
2019-08-06,77.23,78.77,76.99,78.32,2886700,0.0,0
2019-08-07,77.86,79.44,76.78,78.86,2040600,0.0,0
2019-08-08,79.01,80.65,78.37,80.49,2163700,0.0,0
2019-08-09,80.08,80.66,78.71,80.16,2788100,0.0,0
2019-08-12,79.94,80.48,79.56,80.02,1433300,0.0,0
2019-08-13,80.32,80.81,79.46,80.15,1820700,0.0,0
2019-08-14,79.54,79.99,78.53,78.62,2271000,0.0,0
2019-08-15,78.52,79.67,77.77,79.55,2248300,0.0,0
2019-08-16,80.2,80.92,79.33,80.71,4364400,0.0,0
2019-08-19,81.18,82.37,80.95,82.15,1730700,0.0,0
2019-08-20,82.23,82.38,80.71,80.77,1675200,0.0,0
2019-08-21,81.32,82.23,80.77,81.6,1501500,0.0,0
2019-08-22,81.72,82.48,81.15,82.28,1359900,0.0,0
2019-08-23,82.5,82.5,79.81,80.22,2183100,0.0,0
2019-08-26,81.01,81.31,80.09,80.95,1642200,0.0,0
2019-08-27,81.47,81.72,80.19,80.34,2080400,0.0,0
2019-08-28,80.49,81.33,80.12,81.15,1550700,0.0,0
2019-08-29,81.78,82.4,81.48,82.01,1499400,0.0,0
2019-08-30,82.49,82.5,81.48,81.92,1861100,0.0,0
2019-09-03,81.45,83.16,81.31,82.85,2044300,0.0,0
2019-09-04,83.55,84.01,83.25,83.63,2226600,0.0,0
2019-09-05,83.55,83.89,82.51,82.87,2383000,0.0,0
2019-09-06,82.76,83.45,82.48,83.06,2075900,0.0,0
2019-09-09,83.18,83.39,82.42,82.9,1500700,0.0,0
2019-09-10,82.43,82.61,80.44,81.57,3160500,0.0,0
2019-09-11,81.64,81.81,80.19,80.81,2148300,0.0,0
2019-09-12,81.47,82.4,81.21,82.33,1701500,0.0,0
2019-09-13,82.35,83.4,82.21,82.47,1737600,0.0,0
2019-09-16,82.57,83.77,82.36,83.48,2156900,0.0,0
2019-09-17,84.0,84.83,83.69,84.68,2230200,0.0,0
2019-09-18,84.57,85.17,83.3,83.84,1872000,0.0,0
2019-09-19,84.04,84.28,83.31,83.81,1823300,0.53,0
2019-09-20,84.39,84.55,83.14,83.15,4647000,0.0,0
2019-09-23,82.8,83.99,82.8,83.41,2272800,0.0,0
2019-09-24,83.65,84.04,82.58,83.02,2185800,0.0,0
2019-09-25,83.28,84.11,82.97,83.89,1697600,0.0,0
2019-09-26,84.42,85.1,83.89,85.04,1681300,0.0,0
2019-09-27,85.27,85.47,83.75,84.55,2273400,0.0,0
2019-09-30,84.54,84.97,83.98,84.0,2017700,0.0,0
2019-10-01,84.03,84.45,82.53,83.05,1799400,0.0,0
2019-10-02,82.73,83.29,82.04,83.05,2240200,0.0,0
2019-10-03,83.01,84.43,82.8,84.29,2154500,0.0,0
2019-10-04,84.49,85.1,84.28,84.96,1503700,0.0,0
2019-10-07,84.42,85.21,84.06,84.53,1191700,0.0,0
2019-10-08,84.35,84.99,83.12,83.92,1735800,0.0,0
2019-10-09,84.53,84.88,83.86,84.27,1225600,0.0,0
2019-10-10,83.99,84.86,83.79,84.58,1432200,0.0,0
2019-10-11,85.08,85.25,84.29,84.61,1461400,0.0,0
