Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,42.39,42.93,42.24,42.73,1550400,0.0,0
2019-03-22,42.52,42.65,41.43,41.5,982300,0.0,0
2019-03-25,41.51,41.96,41.5,41.82,1049200,0.0,0
2019-03-26,43.49,43.49,42.48,42.52,1572500,0.0,0
2019-03-27,42.58,42.79,42.33,42.65,1202500,0.0,0
2019-03-28,42.93,43.37,42.79,43.14,1050000,0.0,0
2019-03-29,43.47,43.83,43.32,43.71,1597800,0.0,0
2019-04-01,44.09,44.78,44.03,44.67,1694400,0.0,0
2019-04-02,44.67,44.88,44.08,44.25,2055400,0.0,0
2019-04-03,44.55,44.65,43.96,44.09,1399400,0.0,0
2019-04-04,44.06,44.38,43.94,44.3,913400,0.0,0
2019-04-05,44.32,44.53,44.23,44.4,922400,0.0,0
2019-04-08,44.27,44.47,44.11,44.45,884700,0.0,0
2019-04-09,39.4,40.26,37.81,38.43,8596000,0.0,0
2019-04-10,38.3,38.79,38.12,38.53,3517900,0.0,0
2019-04-11,38.52,39.63,38.29,39.26,4205300,0.0,0
2019-04-12,39.52,39.61,38.96,39.34,2258700,0.0,0
2019-04-15,39.27,39.45,38.92,39.17,1435100,0.0,0
2019-04-16,39.16,39.74,39.04,39.74,2897500,0.0,0
2019-04-17,39.2,39.23,37.22,37.83,4247200,0.18,0
2019-04-18,37.78,38.0,36.92,37.7,3137500,0.0,0
2019-04-22,37.57,37.57,37.01,37.13,1543200,0.0,0
2019-04-23,37.25,37.9,37.25,37.55,3168400,0.0,0
2019-04-24,37.62,37.78,37.36,37.53,1936600,0.0,0
2019-04-25,37.18,37.4,36.81,37.0,1216300,0.0,0
2019-04-26,36.82,38.06,36.82,37.89,2278400,0.0,0
2019-04-29,38.02,38.57,37.95,38.33,2326400,0.0,0
2019-04-30,38.42,38.55,37.85,38.46,4260800,0.0,0
2019-05-01,38.59,38.91,38.23,38.31,2318200,0.0,0
2019-05-02,38.15,38.62,37.91,38.46,1816900,0.0,0
2019-05-03,38.69,38.96,38.47,38.94,1168200,0.0,0
2019-05-06,38.09,38.46,38.0,38.1,1629800,0.0,0
2019-05-07,37.64,37.69,37.03,37.39,1873700,0.0,0
2019-05-08,37.29,37.32,36.87,37.03,1489000,0.0,0
2019-05-09,36.68,37.36,36.49,37.2,1362800,0.0,0
2019-05-10,37.04,37.62,36.56,37.45,1409500,0.0,0
2019-05-13,36.7,36.88,36.15,36.28,1279100,0.0,0
2019-05-14,36.31,36.59,35.88,36.27,1403500,0.0,0
2019-05-15,35.97,36.45,35.84,36.25,1156800,0.0,0
2019-05-16,36.46,36.46,36.07,36.11,1320200,0.0,0
2019-05-17,35.78,35.9,35.44,35.52,1610000,0.0,0
2019-05-20,35.24,35.48,35.03,35.22,1476000,0.0,0
2019-05-21,35.45,36.11,35.42,36.11,2929800,0.0,0
2019-05-22,35.8,36.17,35.61,35.85,1454500,0.0,0
2019-05-23,35.38,35.49,34.8,35.12,2661600,0.0,0
2019-05-24,35.43,35.81,35.18,35.76,1336100,0.0,0
2019-05-28,35.89,35.89,34.85,34.87,2573800,0.0,0
2019-05-29,34.73,35.18,34.67,35.03,2541100,0.0,0
2019-05-30,35.09,35.4,34.78,35.02,1040100,0.0,0
2019-05-31,34.52,34.59,34.25,34.35,1594900,0.0,0
2019-06-03,34.38,35.27,34.36,34.9,2419600,0.0,0
2019-06-04,35.34,35.94,35.27,35.86,2118300,0.0,0
2019-06-05,35.88,36.06,35.46,35.72,1799600,0.0,0
2019-06-06,35.75,36.01,35.3,35.62,941900,0.0,0
2019-06-07,35.83,36.07,35.49,35.95,757300,0.0,0
2019-06-10,36.09,36.44,35.71,35.72,1126800,0.0,0
2019-06-11,36.09,36.19,34.97,35.01,1426700,0.0,0
2019-06-12,34.96,35.18,34.62,34.88,1027800,0.0,0
2019-06-13,35.05,35.59,35.02,35.58,965600,0.0,0
2019-06-14,35.45,35.45,34.9,35.14,1649600,0.0,0
2019-06-17,35.11,35.41,35.1,35.24,1073600,0.0,0
2019-06-18,35.53,36.15,35.39,35.67,1431500,0.0,0
2019-06-19,35.63,35.99,35.5,35.87,1170800,0.0,0
2019-06-20,36.46,36.72,36.14,36.68,1367900,0.0,0
2019-06-21,36.72,36.72,36.11,36.11,2559700,0.0,0
2019-06-24,36.19,36.44,36.01,36.06,904300,0.0,0
2019-06-25,36.06,36.22,35.91,35.99,930600,0.0,0
2019-06-26,35.99,36.17,35.68,35.7,1160500,0.0,0
2019-06-27,35.8,36.08,35.65,35.99,1750000,0.0,0
2019-06-28,36.06,36.75,35.83,36.7,2028100,0.0,0
2019-07-01,37.1,37.19,36.54,36.89,970800,0.0,0
2019-07-02,36.91,37.13,36.58,37.13,1232000,0.0,0
2019-07-03,37.23,37.75,37.07,37.74,980400,0.0,0
2019-07-05,37.32,37.67,36.97,37.66,1316600,0.0,0
2019-07-08,37.48,37.68,37.14,37.2,1434300,0.0,0
2019-07-09,36.92,37.1,36.37,36.47,1782500,0.0,0
2019-07-10,36.69,36.97,36.31,36.31,1183600,0.0,0
2019-07-11,36.25,36.64,36.08,36.54,956700,0.0,0
2019-07-12,36.79,37.45,36.67,37.45,1071200,0.0,0
2019-07-15,37.52,37.61,37.07,37.53,1001100,0.0,0
2019-07-16,37.47,38.05,37.33,37.97,1590300,0.0,0
2019-07-17,37.93,37.93,37.13,37.16,1403300,0.0,0
2019-07-18,37.07,37.13,36.61,36.76,1381600,0.18,0
2019-07-19,36.89,37.45,36.29,37.05,1123000,0.0,0
2019-07-22,37.08,37.43,37.08,37.27,1147100,0.0,0
2019-07-23,38.68,39.04,37.78,38.97,2710200,0.0,0
2019-07-24,38.79,39.27,38.63,38.93,2002800,0.0,0
2019-07-25,38.94,39.12,38.51,38.71,2405600,0.0,0
2019-07-26,38.7,38.97,38.41,38.86,1067800,0.0,0
2019-07-29,38.86,38.91,38.51,38.61,1895200,0.0,0
2019-07-30,38.38,38.71,38.22,38.6,1212900,0.0,0
2019-07-31,38.6,38.74,38.27,38.47,2535100,0.0,0
2019-08-01,38.44,38.77,38.06,38.33,2464000,0.0,0
2019-08-02,38.06,38.07,36.9,36.92,1845700,0.0,0
2019-08-05,36.27,36.36,35.53,35.75,1806700,0.0,0
