Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,91.78,93.02,91.5,92.79,562900,0.0,0
2019-03-22,93.2,94.19,92.61,93.66,832100,0.0,0
2019-03-25,93.85,93.95,93.25,93.41,928300,0.0,0
2019-03-26,93.32,93.96,93.23,93.77,620300,0.0,0
2019-03-27,94.02,94.17,92.87,93.39,748400,0.0,0
2019-03-28,93.49,93.72,91.41,92.07,1722000,0.0,0
2019-03-29,92.05,92.62,91.74,92.55,1288800,0.0,0
2019-04-01,92.39,92.39,90.93,91.87,1066600,0.0,0
2019-04-02,92.08,92.19,91.4,91.53,1107300,0.0,0
2019-04-03,91.44,91.64,90.61,91.14,854400,0.0,0
2019-04-04,91.6,91.6,90.19,90.69,694700,0.0,0
2019-04-05,90.77,91.71,90.39,91.64,586400,0.0,0
2019-04-08,91.58,91.69,90.65,90.91,669900,0.0,0
2019-04-09,91.15,91.37,90.82,91.29,697800,0.0,0
2019-04-10,91.63,92.33,90.99,91.14,711900,0.0,0
2019-04-11,91.21,92.3,90.76,92.24,846200,0.0,0
2019-04-12,91.91,92.54,91.31,92.29,842500,0.0,0
2019-04-15,92.85,93.28,92.55,92.78,751700,0.0,0
2019-04-16,92.64,92.94,91.11,91.23,880600,0.0,0
2019-04-17,91.21,91.86,90.76,91.37,686000,0.0,0
2019-04-18,91.49,91.8,90.92,91.09,914800,0.0,0
2019-04-22,91.12,91.22,90.24,90.61,802400,0.0,0
2019-04-23,90.89,91.62,90.56,91.51,916300,0.0,0
2019-04-24,91.93,92.76,91.07,91.8,1046700,0.0,0
2019-04-25,91.42,92.67,91.32,92.13,673200,0.0,0
2019-04-26,93.22,93.26,91.96,92.08,946700,0.0,0
2019-04-29,91.95,91.97,90.81,91.38,772400,0.0,0
2019-04-30,91.16,92.99,91.01,92.98,1063000,0.7375,0
2019-05-01,92.28,93.58,91.6,91.82,1486500,0.0,0
2019-05-02,91.5,91.92,90.29,90.83,1492200,0.0,0
2019-05-03,90.96,92.03,90.96,91.86,670900,0.0,0
2019-05-06,92.12,92.19,91.1,91.22,798800,0.0,0
2019-05-07,91.22,91.85,90.69,91.1,742200,0.0,0
2019-05-08,90.84,90.84,89.74,89.96,728400,0.0,0
2019-05-09,90.19,90.88,89.84,90.34,638700,0.0,0
2019-05-10,90.47,92.44,90.24,92.44,574200,0.0,0
2019-05-13,92.33,94.16,92.3,93.99,983700,0.0,0
2019-05-14,93.89,94.2,92.5,92.69,924000,0.0,0
2019-05-15,93.01,93.42,92.4,92.9,613400,0.0,0
2019-05-16,92.71,93.79,92.47,93.51,554800,0.0,0
2019-05-17,93.08,94.34,92.94,93.75,722400,0.0,0
2019-05-20,94.08,94.61,93.73,94.27,658400,0.0,0
2019-05-21,94.34,94.87,93.67,93.73,709800,0.0,0
2019-05-22,94.02,94.3,93.42,94.11,971000,0.0,0
2019-05-23,94.25,95.03,94.22,94.98,740400,0.0,0
2019-05-24,95.0,95.56,94.2,94.34,568200,0.0,0
2019-05-28,94.56,94.56,92.68,93.1,1101200,0.0,0
2019-05-29,93.43,93.61,91.63,91.65,924200,0.0,0
2019-05-30,91.73,92.09,90.6,90.76,866500,0.0,0
2019-05-31,90.96,91.81,90.71,91.65,1268700,0.0,0
2019-06-03,92.04,93.1,91.63,93.1,816600,0.0,0
2019-06-04,93.23,93.23,91.1,92.95,730700,0.0,0
2019-06-05,93.5,95.57,93.01,95.44,1375100,0.0,0
2019-06-06,95.5,96.7,95.28,96.38,882200,0.0,0
2019-06-07,96.88,97.41,95.33,95.33,782000,0.0,0
2019-06-10,94.82,95.3,94.39,94.93,550600,0.0,0
2019-06-11,94.82,95.19,93.35,94.07,979400,0.0,0
2019-06-12,93.13,94.53,92.89,94.17,1195800,0.0,0
2019-06-13,94.13,94.77,93.82,94.34,1428800,0.0,0
2019-06-14,94.32,95.4,94.32,95.13,710000,0.0,0
2019-06-17,95.25,95.67,94.18,94.69,485700,0.0,0
2019-06-18,95.29,95.29,93.89,94.5,901200,0.0,0
2019-06-19,94.38,95.89,94.38,95.58,727200,0.0,0
2019-06-20,95.96,96.56,95.05,96.19,974700,0.0,0
2019-06-21,95.77,95.86,94.54,95.27,2253200,0.0,0
