Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,108.77,111.33,108.67,110.76,949700,0.0,0
2019-03-22,108.56,108.91,104.7,104.91,2509900,0.0,0
2019-03-25,105.26,106.23,104.77,105.28,1493500,0.0,0
2019-03-26,105.9,106.71,105.58,106.55,1132100,0.0,0
2019-03-27,106.8,108.68,106.52,108.24,1705800,0.0,0
2019-03-28,108.94,110.22,108.68,109.86,1691300,0.0,0
2019-03-29,110.13,111.12,110.06,110.99,1384900,0.0,0
2019-04-01,111.73,113.18,111.54,112.32,1526100,0.0,0
2019-04-02,112.52,113.34,111.63,112.34,961900,0.0,0
2019-04-03,113.33,113.78,112.26,112.67,1284100,0.0,0
2019-04-04,113.42,114.06,112.64,113.08,1301900,0.0,0
2019-04-05,113.16,113.71,112.71,113.04,837800,0.0,0
2019-04-08,112.87,112.97,111.87,112.49,988200,0.0,0
2019-04-09,111.93,112.93,111.46,112.37,797500,0.0,0
2019-04-10,112.75,113.32,112.55,112.98,779300,0.0,0
2019-04-11,112.98,113.35,112.35,112.61,761900,0.0,0
2019-04-12,113.48,113.85,112.68,113.67,879800,0.0,0
2019-04-15,113.94,114.63,113.55,114.53,1094100,0.0,0
2019-04-16,114.95,116.46,114.69,116.43,2004200,0.0,0
2019-04-17,116.72,116.79,115.22,115.43,1659900,0.0,0
2019-04-18,117.78,119.27,117.23,117.86,3742000,0.0,0
2019-04-22,116.67,117.21,114.92,115.29,1854900,0.0,0
2019-04-23,115.37,116.52,114.44,115.66,1819800,0.0,0
2019-04-24,115.77,116.13,114.55,114.7,1038900,0.0,0
2019-04-25,114.37,114.37,113.17,113.6,896600,0.0,0
2019-04-26,114.07,116.08,113.36,115.85,905500,0.0,0
2019-04-29,116.02,116.02,115.03,115.16,896800,0.0,0
2019-04-30,115.19,115.76,114.35,115.54,894800,0.0,0
2019-05-01,116.0,116.0,113.48,113.54,794700,0.0,0
2019-05-02,113.2,114.82,112.91,114.81,809100,0.0,0
2019-05-03,115.31,115.84,114.73,115.67,686600,0.0,0
2019-05-06,114.07,114.57,113.14,114.35,815600,0.0,0
2019-05-07,113.12,113.45,111.86,112.55,1217100,0.0,0
2019-05-08,112.18,112.73,111.56,112.12,697300,0.0,0
2019-05-09,111.36,112.04,110.6,111.47,1045300,0.48,0
2019-05-10,111.14,111.54,108.92,110.84,1345900,0.0,0
2019-05-13,109.17,110.47,108.67,109.86,1138400,0.0,0
2019-05-14,110.02,110.89,109.49,110.16,759800,0.0,0
2019-05-15,109.78,111.12,109.51,110.54,1072800,0.0,0
2019-05-16,111.25,112.59,110.79,111.51,1211200,0.0,0
2019-05-17,110.56,111.12,109.98,110.37,1676100,0.0,0
2019-05-20,109.48,109.89,106.11,106.39,1976300,0.0,0
2019-05-21,106.09,107.8,105.34,107.64,1726700,0.0,0
2019-05-22,106.93,107.32,106.25,107.12,1367400,0.0,0
2019-05-23,106.56,106.6,104.9,105.48,1499700,0.0,0
2019-05-24,106.52,106.56,105.31,106.4,986600,0.0,0
2019-05-28,106.16,106.99,106.0,106.16,1468000,0.0,0
2019-05-29,105.76,106.26,105.0,105.84,1200600,0.0,0
2019-05-30,105.82,106.76,105.62,105.9,619100,0.0,0
2019-05-31,104.6,105.0,103.26,103.34,1214600,0.0,0
2019-06-03,103.35,106.43,103.13,106.43,1647800,0.0,0
2019-06-04,107.71,110.32,107.37,110.31,2105700,0.0,0
2019-06-05,110.97,111.36,108.82,110.94,2427300,0.0,0
2019-06-06,111.5,111.81,110.72,111.58,2578400,0.0,0
2019-06-07,112.14,113.14,111.71,112.56,1859000,0.0,0
2019-06-10,112.84,113.26,112.07,112.96,1647800,0.0,0
2019-06-11,113.89,115.88,113.89,115.39,1407700,0.0,0
2019-06-12,115.54,115.92,113.97,115.53,672400,0.0,0
2019-06-13,115.72,116.12,114.79,115.45,640600,0.0,0
2019-06-14,115.38,115.38,114.46,115.09,811500,0.0,0
2019-06-17,115.33,115.36,113.34,113.49,1020600,0.0,0
