Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,211.08,214.3,210.39,214.21,783000,0.0,0
2019-03-22,214.61,218.11,214.21,214.3,1197600,0.0,0
2019-03-25,214.8,217.03,214.32,216.35,739800,0.0,0
2019-03-26,213.23,214.56,211.94,212.47,1109300,0.0,0
2019-03-27,212.37,213.0,210.11,211.49,1262100,0.0,0
2019-03-28,211.93,212.6,210.96,211.29,959500,0.0,0
2019-03-29,211.31,211.71,209.88,210.12,1043700,0.0,0
2019-04-01,209.7,210.85,208.5,210.63,777900,0.0,0
2019-04-02,210.86,211.9,208.87,211.71,695900,0.0,0
2019-04-03,211.55,212.39,209.36,211.21,577200,0.0,0
2019-04-04,211.77,211.77,209.32,210.06,734300,0.0,0
2019-04-05,209.91,211.03,209.56,210.88,679100,0.0,0
2019-04-08,210.73,210.76,209.04,210.33,604900,0.0,0
2019-04-09,212.35,213.04,211.3,211.68,791200,0.0,0
2019-04-10,212.63,212.63,210.78,211.78,563000,0.0,0
2019-04-11,211.83,213.28,210.91,211.91,450700,0.0,0
2019-04-12,211.4,213.99,210.2,213.96,553400,0.0,0
2019-04-15,214.2,214.65,211.62,212.79,513600,0.0,0
2019-04-16,212.88,213.45,208.58,209.79,685600,0.0,0
2019-04-17,210.24,210.41,208.16,209.07,673100,0.0,0
2019-04-18,209.38,210.75,208.4,209.8,866300,0.0,0
2019-04-22,209.27,209.45,205.17,206.81,920200,0.0,0
2019-04-23,207.44,208.7,206.44,208.4,1026700,0.0,0
2019-04-24,209.13,210.93,208.09,210.54,640200,0.0,0
2019-04-25,209.68,209.95,208.26,209.16,821100,0.0,0
2019-04-26,209.91,211.84,208.54,211.25,699500,0.0,0
2019-04-29,210.99,212.19,209.11,209.55,677800,0.0,0
2019-04-30,209.76,214.02,207.71,213.4,1018300,0.0,0
2019-05-01,213.18,216.74,212.66,214.2,859400,0.0,0
2019-05-02,214.74,220.64,214.41,218.88,1122700,0.0,0
2019-05-03,219.5,220.37,217.58,218.77,462100,0.0,0
2019-05-06,217.08,220.09,216.01,218.84,712200,0.0,0
2019-05-07,218.91,219.09,213.41,214.8,691400,0.0,0
2019-05-08,217.88,218.75,214.15,214.49,972700,0.0,0
2019-05-09,214.96,216.17,213.75,215.05,978600,0.0,0
2019-05-10,215.62,218.0,215.47,217.58,731700,0.0,0
2019-05-13,216.96,220.98,216.85,220.65,763500,0.0,0
2019-05-14,220.09,221.44,218.8,219.69,622500,0.0,0
2019-05-15,219.56,221.63,219.0,220.41,595200,0.0,0
2019-05-16,220.29,221.2,219.58,221.06,640600,0.0,0
2019-05-17,220.53,222.27,219.71,222.02,671700,0.0,0
2019-05-20,222.39,223.75,221.71,222.43,738100,0.0,0
2019-05-21,221.83,223.72,221.69,222.8,466900,0.0,0
2019-05-22,223.24,224.59,222.31,223.61,431600,0.0,0
2019-05-23,223.62,227.25,223.46,226.18,724200,0.0,0
2019-05-24,227.01,228.63,227.01,227.92,535700,0.0,0
2019-05-28,229.14,229.59,225.06,225.06,781500,0.0,0
2019-05-29,225.61,226.14,222.3,223.36,634200,0.0,0
2019-05-30,223.52,225.6,223.52,225.05,526400,0.0,0
2019-05-31,225.1,230.15,225.1,229.51,1026900,0.0,0
2019-06-03,229.79,232.04,229.14,231.5,1073400,0.0,0
2019-06-04,230.64,231.38,227.53,229.34,1184700,0.0,0
2019-06-05,230.42,236.31,229.36,236.27,1297000,0.0,0
2019-06-06,235.94,236.79,234.13,236.11,759800,0.0,0
2019-06-07,237.22,238.92,236.32,236.58,641200,0.0,0
2019-06-10,236.77,236.77,233.54,235.14,736500,0.0,0
2019-06-11,236.02,236.31,232.41,234.3,699100,2.0,0
2019-06-12,235.43,237.63,234.64,235.35,487800,0.0,0
2019-06-13,235.14,235.86,233.94,235.67,427700,0.0,0
2019-06-14,235.56,237.24,234.54,236.69,549900,0.0,0
2019-06-17,237.27,238.7,236.22,237.56,654000,0.0,0
2019-06-18,238.27,239.4,233.49,234.92,735200,0.0,0
