Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,94.48,95.54,94.32,94.97,2124000,0.0,0
2019-03-22,94.17,94.42,92.01,92.5,1856900,0.0,0
2019-03-25,92.28,92.49,91.48,92.38,1357500,0.0,0
2019-03-26,93.15,94.74,93.15,94.46,2284700,0.0,0
2019-03-27,94.2,94.72,93.45,93.74,1657400,0.0,0
2019-03-28,93.3,93.74,91.71,92.2,2524800,0.0,0
2019-03-29,93.1,93.39,91.05,91.72,2900400,0.0,0
2019-04-01,92.53,92.8,91.22,91.62,2635300,0.0,0
2019-04-02,91.88,92.3,90.46,91.09,2594800,0.0,0
2019-04-03,91.51,92.87,91.39,91.59,2096100,0.0,0
2019-04-04,92.09,93.35,91.14,93.34,2146800,0.0,0
2019-04-05,93.33,94.56,92.83,94.24,2705200,0.0,0
2019-04-08,94.33,95.27,93.68,94.73,2332400,0.0,0
2019-04-09,94.1,94.67,93.44,93.84,2352800,0.0,0
2019-04-10,94.35,95.73,94.1,95.03,1792100,0.0,0
2019-04-11,95.19,96.04,94.6,94.93,1486200,0.0,0
2019-04-12,95.95,96.11,93.44,93.64,2223700,0.0,0
2019-04-15,93.33,93.63,92.55,92.75,1934400,0.0,0
2019-04-16,92.66,92.86,91.19,92.5,1829600,0.0,0
2019-04-17,93.15,93.68,92.46,92.96,1591600,0.0,0
2019-04-18,92.96,93.24,91.41,91.96,2400100,0.0,0
2019-04-22,92.7,93.85,92.35,93.61,1927300,0.0,0
2019-04-23,93.85,94.37,93.08,93.86,2461000,0.0,0
2019-04-24,93.83,93.83,90.63,90.86,2974100,0.0,0
2019-04-25,90.73,92.55,90.14,91.76,2745400,0.0,0
2019-04-26,91.41,92.06,90.59,91.47,2091500,0.0,0
2019-04-29,91.79,92.44,91.44,91.9,2651200,0.0,0
2019-04-30,92.03,93.13,90.25,90.85,3303300,0.0,0
2019-05-01,90.83,91.45,88.45,88.51,3350700,0.0,0
2019-05-02,88.42,88.62,85.64,85.87,3708800,0.0,0
2019-05-03,86.63,87.28,86.28,86.31,2811100,0.0,0
2019-05-06,85.11,85.48,83.82,83.87,3427500,0.0,0
2019-05-07,83.26,83.51,81.77,83.41,3421700,0.0,0
2019-05-08,83.52,83.84,82.38,82.78,3095300,0.0,0
2019-05-09,82.36,82.94,80.68,82.64,3393700,0.0,0
2019-05-10,82.65,83.96,81.48,83.51,3094900,0.0,0
2019-05-13,82.49,83.47,81.65,82.68,3065600,0.0,0
2019-05-14,83.01,84.23,82.93,83.77,2450300,0.0,0
2019-05-15,83.56,84.47,83.02,84.13,2059900,0.0,0
