Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,143.1,145.36,141.83,144.35,1436500,0.0,0
2019-03-22,143.38,143.38,137.67,139.37,1635000,0.0,0
2019-03-25,139.38,139.87,137.05,138.74,1095000,0.0,0
2019-03-26,140.78,142.64,139.65,141.86,1031200,0.0,0
2019-03-27,141.51,146.09,140.58,145.9,2479800,0.0,0
2019-03-28,145.36,152.17,144.19,151.94,3245100,0.32,0
2019-03-29,154.3,154.91,151.13,151.32,2913600,0.0,0
2019-04-01,152.8,154.55,149.96,150.04,2114000,0.0,0
2019-04-02,150.43,151.06,147.11,147.24,1643100,0.0,0
2019-04-03,147.26,147.82,144.18,145.14,2158700,0.0,0
2019-04-04,145.09,147.53,144.5,146.59,1103400,0.0,0
2019-04-05,147.07,149.77,146.96,149.73,1396600,0.0,0
2019-04-08,150.54,152.1,149.57,150.77,1272500,0.0,0
2019-04-09,149.79,150.25,147.63,148.0,1630900,0.0,0
2019-04-10,148.51,150.15,148.5,149.54,1249200,0.0,0
2019-04-11,149.0,150.48,147.59,149.97,1170400,0.0,0
2019-04-12,163.39,167.43,161.15,167.26,5942800,0.0,0
2019-04-15,167.14,170.67,165.53,166.68,3387000,0.0,0
2019-04-16,168.06,171.07,167.24,170.16,2130300,0.0,0
2019-04-17,171.18,173.62,170.06,171.91,2366300,0.0,0
2019-04-18,171.77,174.8,171.43,173.95,2662400,0.0,0
2019-04-22,175.68,177.09,173.16,174.78,2391800,0.0,0
2019-04-23,174.78,176.83,172.06,174.61,1512000,0.0,0
2019-04-24,176.78,176.78,171.21,171.28,1691700,0.0,0
2019-04-25,171.28,172.03,166.63,166.95,2652300,0.0,0
2019-04-26,165.45,166.26,160.97,163.9,2606500,0.0,0
2019-04-29,164.08,166.3,163.26,164.7,1620900,0.0,0
2019-04-30,166.69,167.14,164.17,165.41,1482100,0.0,0
2019-05-01,165.57,166.54,156.93,156.98,2623300,0.0,0
2019-05-02,155.68,157.38,152.45,152.5,2193900,0.0,0
2019-05-03,154.02,156.78,153.17,155.1,1425500,0.0,0
2019-05-06,151.93,156.28,151.04,155.3,1978100,0.0,0
2019-05-07,152.5,155.15,142.14,147.03,5645500,0.0,0
2019-05-08,146.96,153.05,146.96,152.8,3041300,0.0,0
2019-05-09,150.86,153.29,148.48,152.43,1494300,0.0,0
2019-05-10,152.41,152.43,147.48,150.69,1722000,0.0,0
2019-05-13,149.23,150.2,145.84,146.29,1593000,0.0,0
2019-05-14,147.76,150.48,147.11,149.4,1299900,0.0,0
2019-05-15,147.99,151.09,147.47,150.53,1008000,0.0,0
2019-05-16,151.63,154.51,151.63,154.11,1701800,0.0,0
2019-05-17,152.9,154.57,151.86,153.29,1294900,0.0,0
2019-05-20,153.27,155.09,152.12,153.24,1434000,0.0,0
2019-05-21,154.44,157.27,154.06,156.91,1275700,0.0,0
2019-05-22,155.58,156.27,152.18,152.18,1523200,0.0,0
2019-05-23,149.03,149.03,142.59,144.66,3770300,0.0,0
2019-05-24,146.4,147.63,144.38,146.07,1390400,0.0,0
2019-05-28,146.52,148.68,145.51,146.96,1487500,0.0,0
2019-05-29,144.72,145.97,142.48,145.66,2076900,0.0,0
2019-05-30,145.74,146.19,141.8,143.52,1557200,0.0,0
2019-05-31,141.38,143.09,140.21,141.06,1957400,0.0,0
2019-06-03,141.52,142.43,140.06,141.71,1787900,0.0,0
2019-06-04,142.88,145.02,141.06,143.71,2476500,0.0,0
2019-06-05,143.81,143.81,138.41,140.61,2749000,0.0,0
2019-06-06,140.96,143.56,140.96,143.09,1111600,0.0,0
