Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,102.15,104.56,102.08,104.15,7216700,0,0
2019-03-22,103.87,104.0,101.25,101.27,7195000,0,0
2019-03-25,100.94,102.18,100.51,101.55,5117700,0,0
2019-03-26,102.34,103.29,101.75,103.15,4498000,0,0
2019-03-27,103.2,104.17,101.74,103.07,5450200,0,0
2019-03-28,103.45,104.01,102.67,103.86,4459900,0,0
2019-03-29,104.52,104.7,103.46,103.84,5625500,0,0
2019-04-01,104.99,105.76,103.85,105.55,6157200,0,0
2019-04-02,105.76,105.76,104.66,105.23,4177400,0,0
2019-04-03,105.91,105.97,104.49,104.69,5442400,0,0
2019-04-04,104.7,104.97,102.65,104.46,7996800,0,0
2019-04-05,104.84,105.8,104.62,105.73,8573800,0,0
2019-04-08,105.66,107.0,104.67,106.57,9261800,0,0
2019-04-09,106.06,107.51,105.83,106.93,7217100,0,0
2019-04-10,107.15,107.77,106.39,107.51,6561800,0,0
2019-04-11,107.51,107.74,105.91,106.46,7681000,0,0
2019-04-12,107.03,108.54,106.41,108.48,6997700,0,0
2019-04-15,108.58,109.0,107.31,108.14,4480100,0,0
2019-04-16,108.8,108.8,107.58,108.2,3766100,0,0
2019-04-17,107.81,108.86,107.25,108.81,5353700,0,0
2019-04-18,108.36,108.45,105.08,107.36,10220700,0,0
2019-04-22,106.79,107.18,106.02,106.81,6408500,0,0
2019-04-23,107.1,107.51,106.44,106.9,8564200,0,0
2019-04-24,107.11,108.39,106.42,107.22,9553100,0,0
2019-04-25,108.52,110.92,108.52,110.22,10959400,0,0
2019-04-26,109.72,110.57,107.88,110.56,7683200,0,0
2019-04-29,110.7,113.0,110.44,112.44,6989300,0,0
2019-04-30,112.44,113.22,111.2,112.77,6489400,0,0
2019-05-01,113.21,113.69,110.92,110.94,5442200,0,0
2019-05-02,110.6,111.16,108.91,109.7,5272400,0,0
2019-05-03,110.57,112.12,110.25,111.96,4660500,0,0
2019-05-06,109.44,111.12,108.58,110.85,4722600,0,0
2019-05-07,110.17,110.17,107.64,108.95,6178700,0,0
