Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,70.96,74.62,70.75,73.89,2571400,0,0
2019-03-22,73.52,73.99,71.66,71.67,1050200,0,0
2019-03-25,71.47,71.88,70.18,70.87,699300,0,0
2019-03-26,71.43,71.86,70.79,71.15,796400,0,0
2019-03-27,71.35,71.65,69.64,70.57,823600,0,0
2019-03-28,70.58,70.99,69.51,70.23,484800,0,0
2019-03-29,71.13,71.82,70.93,71.73,940000,0,0
2019-04-01,72.62,73.69,72.62,73.21,928300,0,0
2019-04-02,75.08,75.51,73.72,74.07,1149100,0,0
2019-04-03,74.92,75.54,74.13,74.41,1177900,0,0
2019-04-04,74.35,74.41,73.57,74.04,1032600,0,0
2019-04-05,74.47,74.93,74.3,74.89,623700,0,0
2019-04-08,74.51,75.37,74.31,75.25,665500,0,0
2019-04-09,74.99,75.78,74.9,75.22,819400,0,0
2019-04-10,74.9,76.72,74.83,76.23,1309600,0,0
2019-04-11,76.42,77.03,75.9,76.05,1352000,0,0
2019-04-12,76.75,77.24,75.93,77.19,986900,0,0
2019-04-15,77.16,77.26,76.08,76.39,672700,0,0
2019-04-16,76.78,78.76,76.78,78.31,2131300,0,0
2019-04-17,78.81,78.98,76.46,76.56,1329000,0,0
2019-04-18,76.64,77.0,76.14,76.68,934500,0,0
2019-04-22,76.22,76.86,75.96,76.01,1185400,0,0
2019-04-23,76.15,76.91,75.96,76.6,1651000,0,0
2019-04-24,77.05,78.51,76.66,77.25,1316200,0,0
2019-04-25,77.21,77.81,76.12,77.3,1063200,0,0
2019-04-26,73.85,75.16,72.55,74.99,2006300,0,0
2019-04-29,75.33,75.6,74.72,75.45,1237000,0,0
2019-04-30,75.61,76.25,74.67,75.61,1424400,0,0
2019-05-01,76.81,77.67,75.45,75.58,1743400,0,0
2019-05-02,75.53,77.24,75.53,76.75,1198400,0,0
2019-05-03,76.71,76.75,75.01,75.18,1472700,0,0
2019-05-06,73.15,74.74,72.61,74.33,1128500,0,0
2019-05-07,73.61,74.46,72.7,73.68,2142800,0,0
2019-05-08,78.0,78.67,74.5,76.18,4752600,0,0
2019-05-09,75.38,75.38,72.76,75.15,2571300,0,0
2019-05-10,74.84,75.25,72.74,75.07,1897200,0,0
2019-05-13,72.5,73.01,70.48,71.05,1923400,0,0
2019-05-14,71.69,73.34,71.62,72.86,1037300,0,0
2019-05-15,72.0,73.97,71.63,73.35,989200,0,0
2019-05-16,69.65,70.0,68.05,68.11,3384200,0,0
2019-05-17,66.26,66.62,63.4,63.93,3317300,0,0
2019-05-20,61.55,62.88,60.7,61.27,3119300,0,0
2019-05-21,64.98,67.95,61.47,61.54,4127100,0,0
2019-05-22,60.87,61.18,59.47,60.2,2531700,0,0
2019-05-23,59.28,60.77,58.52,60.66,2774500,0,0
2019-05-24,61.25,62.31,61.18,62.3,3575700,0,0
2019-05-28,62.6,62.92,60.7,60.75,1842500,0,0
2019-05-29,60.17,62.58,60.15,62.08,1566000,0,0
2019-05-30,62.18,63.73,61.41,61.87,1261100,0,0
2019-05-31,61.0,62.2,60.95,61.18,1284500,0,0
2019-06-03,61.65,62.75,60.77,61.88,1619100,0,0
2019-06-04,62.88,64.3,62.78,64.18,1643400,0,0
2019-06-05,64.65,65.0,62.57,63.44,1207400,0,0
2019-06-06,62.22,63.84,62.06,63.45,1022100,0,0
2019-06-07,63.68,64.63,63.6,64.38,1053600,0,0
2019-06-10,65.03,65.76,64.95,65.5,1886400,0,0
2019-06-11,65.88,66.0,63.99,64.31,1891400,0,0
2019-06-12,63.8,64.23,62.65,62.78,1317700,0,0
2019-06-13,63.0,63.83,62.82,63.31,776800,0,0
2019-06-14,60.93,61.82,60.37,61.5,1273300,0,0
2019-06-17,61.71,62.35,60.77,61.66,741200,0,0
2019-06-18,62.43,65.37,62.05,65.09,1380700,0,0
2019-06-19,65.6,66.06,64.75,65.59,923200,0,0
2019-06-20,66.82,66.82,64.75,64.84,1472100,0,0
2019-06-21,64.53,64.59,63.56,63.89,2202800,0,0
2019-06-24,64.18,65.42,63.54,64.55,1198100,0,0
2019-06-25,64.41,64.99,63.4,63.46,923400,0,0
2019-06-26,64.61,66.29,64.61,65.64,1142100,0,0
2019-06-27,66.39,67.85,66.36,67.06,1260900,0,0
2019-06-28,67.58,67.96,66.5,66.61,1240200,0,0
2019-07-01,71.93,72.71,69.45,70.58,3079200,0,0
2019-07-02,70.37,70.5,69.33,69.62,1168000,0,0
2019-07-03,69.9,69.91,68.36,68.99,888200,0,0
2019-07-05,68.55,69.17,68.28,68.97,626500,0,0
2019-07-08,68.54,69.15,68.09,68.96,786100,0,0
2019-07-09,68.49,69.89,68.47,69.63,812300,0,0
2019-07-10,70.1,70.5,69.25,69.34,942900,0,0
2019-07-11,69.64,69.72,68.74,69.34,612100,0,0
2019-07-12,69.56,70.38,69.52,70.26,839500,0,0
2019-07-15,70.56,71.28,70.1,70.69,1367900,0,0
2019-07-16,70.65,70.72,69.3,70.55,1502100,0,0
2019-07-17,70.87,71.0,69.83,70.52,1042700,0,0
2019-07-18,71.0,71.53,70.15,71.24,1389100,0,0
2019-07-19,71.1,71.75,70.79,71.29,1030500,0,0
2019-07-22,71.76,73.23,71.6,72.8,972300,0,0
2019-07-23,73.19,73.9,72.87,73.89,738100,0,0
2019-07-24,74.23,75.8,74.0,75.33,1360100,0,0
2019-07-25,75.0,75.14,74.07,74.73,877100,0,0
2019-07-26,75.2,75.2,74.24,74.92,859500,0,0
2019-07-29,75.14,75.26,74.11,74.68,911700,0,0
2019-07-30,74.17,75.55,73.05,75.49,844000,0,0
2019-07-31,75.84,75.84,73.1,73.29,1722800,0,0
2019-08-01,73.0,75.47,70.64,71.34,2818900,0,0
2019-08-02,70.92,72.0,68.22,70.89,2646400,0,0
2019-08-05,69.32,69.36,67.73,68.15,1722700,0,0
2019-08-06,68.93,70.29,68.64,70.14,1599000,0,0
2019-08-07,69.02,71.1,68.57,70.77,1354600,0,0
2019-08-08,71.0,72.12,70.11,72.06,1542800,0,0
2019-08-09,71.33,71.33,69.25,69.49,1458900,0,0
2019-08-12,68.96,70.17,68.86,69.39,1004300,0,0
2019-08-13,69.42,72.36,69.02,71.7,1127400,0,0
2019-08-14,69.97,70.67,69.16,69.78,1042500,0,0
2019-08-15,69.93,71.32,69.8,70.11,1089500,0,0
2019-08-16,70.59,72.15,70.23,71.61,1135700,0,0
2019-08-19,72.65,73.12,71.72,72.02,1359900,0,0
2019-08-20,72.41,73.67,71.81,73.06,995700,0,0
2019-08-21,73.83,75.18,73.83,74.69,1077300,0,0
2019-08-22,74.85,75.66,73.45,73.49,1356600,0,0
2019-08-23,72.85,72.92,70.12,70.34,1933300,0,0
2019-08-26,71.48,72.03,70.47,70.8,868000,0,0
2019-08-27,71.4,71.79,69.72,70.21,1030400,0,0
2019-08-28,69.88,70.0,68.7,69.57,1707200,0,0
2019-08-29,70.76,72.28,70.76,71.51,1367900,0,0
2019-08-30,71.91,71.95,70.2,71.43,1306100,0,0
2019-09-03,70.62,70.94,68.94,70.28,1043200,0,0
