Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,112.3,114.67,112.02,114.44,728200,0.0,0
2019-03-22,113.96,114.13,111.87,112.31,1423000,0.0,0
2019-03-25,111.91,112.33,110.64,111.26,1559000,0.0,0
2019-03-26,108.64,112.53,108.19,109.91,2616100,0.0,0
2019-03-27,110.26,110.53,107.5,107.85,1860000,0.0,0
2019-03-28,108.14,109.58,107.61,109.27,1342500,0.0,0
2019-03-29,109.64,111.57,109.36,111.38,1558500,0.0,0
2019-04-01,112.51,113.85,112.05,112.34,1615500,0.0,0
2019-04-02,112.34,113.21,111.91,112.97,1090700,0.0,0
2019-04-03,113.65,113.75,112.29,113.33,981900,0.0,0
2019-04-04,113.7,113.7,112.36,112.59,763400,0.0,0
2019-04-05,112.56,114.16,112.56,113.95,911800,0.0,0
2019-04-08,113.96,115.58,113.61,115.07,1843100,0.0,0
2019-04-09,114.21,114.96,111.76,112.06,1229000,0.0,0
2019-04-10,112.56,113.46,112.31,113.21,1015600,0.0,0
2019-04-11,113.56,115.65,113.55,115.57,1264400,0.0,0
2019-04-12,116.39,118.61,116.19,118.49,1757200,0.0,0
2019-04-15,118.92,119.05,118.1,119.0,1550700,0.0,0
2019-04-16,119.81,120.86,119.38,120.6,1654000,0.0,0
2019-04-17,121.11,121.28,119.59,119.75,1982700,0.0,0
2019-04-18,120.11,120.39,116.13,117.57,2415400,0.0,0
2019-04-22,116.66,117.36,116.36,117.0,1351200,0.0,0
2019-04-23,117.56,119.09,117.09,119.01,1235900,0.0,0
2019-04-24,119.27,119.27,116.7,118.06,1235100,0.0,0
2019-04-25,117.71,118.43,116.81,117.34,1142300,0.0,0
2019-04-26,117.93,118.21,117.13,117.73,1126300,0.0,0
2019-04-29,117.74,119.1,117.42,118.82,1618300,0.0,0
2019-04-30,118.43,118.43,116.41,117.52,2259300,0.0,0
2019-05-01,123.66,127.2,121.9,125.38,3795200,0.0,0
2019-05-02,125.18,125.33,122.0,122.21,1803600,0.0,0
2019-05-03,123.2,127.33,123.14,127.19,2134100,0.0,0
2019-05-06,123.72,125.96,123.55,125.52,1224300,0.0,0
2019-05-07,124.42,124.7,122.12,123.68,1309000,0.0,0
2019-05-08,123.21,124.88,122.76,123.72,1065700,0.0,0
2019-05-09,122.58,124.22,121.47,123.73,1057900,0.0,0
2019-05-10,122.72,123.89,119.98,122.5,1508600,0.0,0
2019-05-13,120.1,120.1,116.38,118.44,1761100,0.0,0
2019-05-14,118.74,121.5,118.63,120.08,1504100,0.0,0
2019-05-15,118.91,120.94,118.11,120.27,835200,0.0,0
2019-05-16,120.98,122.67,120.22,122.16,722600,0.0,0
2019-05-17,120.82,122.56,120.65,121.35,752900,0.0,0
2019-05-20,120.2,120.47,118.95,119.63,763800,0.0,0
2019-05-21,120.54,121.64,120.49,121.16,1033500,0.0,0
2019-05-22,120.4,121.8,120.27,121.42,929500,0.0,0
2019-05-23,119.97,120.92,119.23,120.9,1545700,0.0,0
2019-05-24,121.31,122.41,120.09,120.18,718000,0.0,0
2019-05-28,120.6,121.39,119.4,119.61,1179600,0.0,0
2019-05-29,118.81,119.33,117.55,118.36,1015900,0.0,0
2019-05-30,119.0,119.62,118.38,119.47,854100,0.0,0
2019-05-31,118.14,118.74,117.58,118.31,1041500,0.0,0
2019-06-03,118.45,119.18,117.37,117.96,1183800,0.7,0
2019-06-04,119.13,119.13,114.51,118.75,2833800,0.0,0
2019-06-05,119.67,119.67,113.75,115.78,2251100,0.0,0
2019-06-06,115.79,116.16,114.14,115.95,2023900,0.0,0
2019-06-07,116.16,120.21,116.16,118.23,1154600,0.0,0
2019-06-10,119.25,121.51,119.03,120.64,965200,0.0,0
2019-06-11,121.66,122.73,119.66,120.07,981700,0.0,0
2019-06-12,120.5,121.85,119.52,121.45,1008400,0.0,0
2019-06-13,121.33,121.33,119.36,119.69,1010000,0.0,0
2019-06-14,119.77,121.43,119.51,121.32,801300,0.0,0
2019-06-17,121.29,121.56,119.25,119.44,908700,0.0,0
2019-06-18,120.36,121.63,119.17,119.85,873100,0.0,0
2019-06-19,120.46,120.82,118.96,119.87,781400,0.0,0
2019-06-20,116.51,118.67,115.41,116.05,3429800,0.0,0
2019-06-21,115.68,116.05,112.16,112.24,2822900,0.0,0
2019-06-24,111.99,114.86,111.8,114.44,2455100,0.0,0
2019-06-25,114.0,114.75,111.85,113.41,1617900,0.0,0
2019-06-26,114.04,114.53,112.91,113.91,1179500,0.0,0
2019-06-27,114.52,116.81,113.94,116.5,1099400,0.0,0
2019-06-28,116.89,118.59,116.61,118.46,2067000,0.0,0
2019-07-01,119.23,120.11,115.07,115.39,2199900,0.0,0
2019-07-02,115.57,116.39,114.63,116.34,1105600,0.0,0
2019-07-03,115.88,116.0,113.18,113.9,1634600,0.0,0
2019-07-05,113.91,114.07,112.49,112.78,2210100,0.0,0
2019-07-08,112.39,112.71,109.0,109.35,2900300,0.0,0
