Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,206.14,210.89,205.15,210.37,223100,0.0,0
2019-03-22,209.67,212.25,209.63,209.9,345800,0.0,0
2019-03-25,210.07,210.87,209.06,209.71,246900,0.0,0
2019-03-26,210.65,211.14,209.56,210.37,220800,0.0,0
2019-03-27,210.5,211.96,209.4,209.56,217000,0.0,0
2019-03-28,207.97,210.6,207.97,210.27,246200,0.0,0
2019-03-29,210.64,211.19,209.55,210.84,215500,0.0,0
2019-04-01,211.45,213.27,211.01,212.18,232000,0.0,0
2019-04-02,212.47,212.6,209.8,209.8,237900,0.0,0
2019-04-03,211.04,211.14,209.31,211.02,246800,0.0,0
2019-04-04,211.02,212.31,209.85,210.19,166900,0.0,0
2019-04-05,210.16,211.33,210.05,211.19,197400,0.0,0
2019-04-08,211.43,213.89,210.68,212.78,227200,0.0,0
2019-04-09,212.83,212.83,208.79,209.6,313300,0.0,0
2019-04-10,209.47,211.71,209.11,211.67,330100,0.0,0
2019-04-11,212.76,217.36,212.49,216.65,363300,0.0,0
2019-04-12,218.2,221.71,218.02,220.98,330500,0.0,0
2019-04-15,222.56,222.56,219.64,220.85,202700,0.0,0
2019-04-16,220.94,224.45,220.94,223.87,226700,0.0,0
2019-04-17,224.38,224.39,222.13,223.27,199400,0.0,0
2019-04-18,223.18,224.83,222.77,223.61,238900,0.0,0
2019-04-22,222.95,223.56,222.03,223.1,121700,0.0,0
2019-04-23,223.78,225.23,222.66,224.33,238500,0.0,0
2019-04-24,224.32,226.86,224.26,225.8,222500,0.0,0
2019-04-25,224.86,225.43,221.51,223.09,282900,0.0,0
2019-04-26,222.65,225.73,221.69,225.24,270000,0.0,0
2019-04-29,225.53,227.62,225.53,225.83,193700,0.0,0
2019-04-30,226.03,230.1,225.07,229.92,324000,0.0,0
2019-05-01,230.02,233.21,230.02,230.86,294400,0.0,0
2019-05-02,231.28,233.41,229.99,231.18,268000,0.0,0
2019-05-03,231.89,233.3,230.73,233.01,294800,0.0,0
2019-05-06,230.42,233.81,230.42,232.16,296000,0.0,0
2019-05-07,233.94,243.64,233.46,241.04,598000,0.0,0
2019-05-08,241.22,243.14,235.91,236.16,572500,0.0,0
2019-05-09,235.61,240.74,233.83,239.84,342800,0.0,0
2019-05-10,238.79,243.05,238.79,242.85,285800,0.0,0
2019-05-13,239.79,242.07,238.6,240.72,372300,0.0,0
2019-05-14,240.44,244.08,240.44,242.56,337500,0.0,0
2019-05-15,241.4,243.74,240.37,242.38,297900,0.0,0
2019-05-16,242.77,245.71,242.77,243.51,426600,0.0,0
2019-05-17,242.17,243.82,241.34,242.38,997600,0.0,0
2019-05-20,242.38,245.51,241.26,243.6,428600,0.0,0
2019-05-21,244.34,246.74,241.78,243.42,399400,0.0,0
2019-05-22,242.77,244.51,242.09,244.4,370200,0.0,0
2019-05-23,243.5,245.74,242.09,245.64,378700,0.0,0
2019-05-24,246.11,247.0,243.35,243.99,323000,0.0,0
2019-05-28,243.9,245.12,239.34,239.62,1058900,1.4,0
2019-05-29,239.71,240.51,237.17,240.18,403600,0.0,0
2019-05-30,240.46,241.64,239.56,240.96,290100,0.0,0
2019-05-31,240.63,244.33,239.68,243.15,341300,0.0,0
2019-06-03,242.94,247.58,242.21,247.35,448400,0.0,0
2019-06-04,247.32,247.64,242.62,243.75,395200,0.0,0
2019-06-05,244.29,248.96,242.89,248.7,294400,0.0,0
2019-06-06,248.15,249.54,246.54,248.31,411100,0.0,0
2019-06-07,249.02,249.94,247.65,248.05,251700,0.0,0
2019-06-10,248.53,249.19,246.8,247.58,311700,0.0,0
2019-06-11,248.64,249.04,242.46,244.52,324300,0.0,0
2019-06-12,244.67,246.36,243.85,245.73,247500,0.0,0
2019-06-13,245.95,247.25,243.99,245.56,282900,0.0,0
2019-06-14,246.23,247.07,245.26,246.48,245400,0.0,0
2019-06-17,247.08,247.85,245.37,245.61,237400,0.0,0
2019-06-18,246.19,247.11,244.8,245.59,273400,0.0,0
2019-06-19,246.17,247.66,245.29,247.38,226200,0.0,0
2019-06-20,247.2,248.38,244.58,247.97,235900,0.0,0
2019-06-21,248.58,248.62,245.36,245.6,395100,0.0,0
2019-06-24,246.09,249.77,245.51,246.93,204400,0.0,0
