Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,62.41,63.81,62.07,63.65,1080800,0.0,0
2019-03-22,63.79,64.48,63.53,63.76,712200,0.0,0
2019-03-25,63.81,64.09,63.4,63.78,602600,0.0,0
2019-03-26,63.79,64.79,63.79,64.72,601900,0.0,0
2019-03-27,64.71,65.01,64.36,64.97,714800,0.0,0
2019-03-28,65.12,65.68,64.92,65.63,687500,0.0,0
2019-03-29,65.67,65.9,64.77,65.09,962600,0.0,0
2019-04-01,65.11,65.56,64.15,65.27,694000,0.0,0
2019-04-02,65.44,65.5,64.35,65.25,1556200,0.0,0
2019-04-03,65.34,65.97,64.81,65.53,743800,0.0,0
2019-04-04,65.5,65.65,65.21,65.56,681600,0.0,0
2019-04-05,65.61,66.45,65.46,66.41,593200,0.0,0
2019-04-08,66.44,66.52,65.72,65.8,536400,0.0,0
2019-04-09,65.8,65.89,65.01,65.15,540900,0.0,0
2019-04-10,65.43,66.37,65.27,66.33,706800,0.0,0
2019-04-11,66.3,66.53,65.65,65.93,333500,0.0,0
2019-04-12,65.93,66.45,65.38,66.41,536600,0.0,0
2019-04-15,66.45,66.55,65.72,65.96,384900,0.0,0
2019-04-16,65.84,66.08,63.81,64.09,612000,0.0,0
2019-04-17,64.09,64.13,63.23,63.35,1211100,0.0,0
2019-04-18,63.46,64.22,63.25,64.02,752100,0.0,0
2019-04-22,63.7,63.98,61.74,62.34,918400,0.0,0
2019-04-23,62.63,63.66,62.38,63.62,582400,0.0,0
2019-04-24,63.81,64.66,63.59,64.56,509800,0.0,0
2019-04-25,64.29,65.22,63.87,65.02,640900,0.0,0
2019-04-26,65.16,65.45,64.82,65.17,360600,0.0,0
2019-04-29,65.07,65.35,64.18,64.27,366600,0.0,0
2019-04-30,64.26,64.93,63.77,64.78,726200,0.0,0
2019-05-01,64.82,65.34,64.38,64.9,540300,0.0,0
2019-05-02,64.93,65.61,62.75,64.58,851900,0.0,0
2019-05-03,64.86,65.39,63.5,64.42,1079500,0.0,0
2019-05-06,64.65,64.65,63.78,63.94,617900,0.0,0
2019-05-07,63.72,63.86,62.22,62.8,737100,0.0,0
2019-05-08,62.94,63.54,62.75,62.96,1009000,0.0,0
2019-05-09,62.84,63.22,62.42,63.05,550600,0.0,0
2019-05-10,63.0,63.91,62.68,63.78,618800,0.585,0
2019-05-13,63.27,64.37,63.27,64.22,1146200,0.0,0
2019-05-14,63.94,64.92,63.94,64.64,1137600,0.0,0
2019-05-15,64.62,65.54,64.48,65.05,1208200,0.0,0
2019-05-16,65.04,65.9,65.04,65.44,1022300,0.0,0
2019-05-17,65.34,66.0,64.98,65.16,1293100,0.0,0
2019-05-20,65.16,66.05,64.05,64.29,804900,0.0,0
2019-05-21,64.45,65.2,64.01,64.7,1161500,0.0,0
2019-05-22,64.68,64.97,64.25,64.61,1224400,0.0,0
2019-05-23,64.35,65.01,64.07,64.94,974100,0.0,0
2019-05-24,65.21,65.38,64.76,64.97,623000,0.0,0
2019-05-28,65.06,65.3,64.56,64.63,2096900,0.0,0
2019-05-29,64.63,65.22,63.16,63.36,2049100,0.0,0
2019-05-30,63.35,64.74,63.19,63.54,1568300,0.0,0
2019-05-31,63.33,64.63,63.14,64.19,1448200,0.0,0
2019-06-03,64.32,64.48,63.55,64.24,691100,0.0,0
2019-06-04,64.28,64.42,63.42,64.08,611000,0.0,0
2019-06-05,64.42,66.13,64.32,66.08,739000,0.0,0
2019-06-06,65.87,66.65,65.49,66.06,503100,0.0,0
2019-06-07,66.39,66.53,65.61,65.66,610600,0.0,0
2019-06-10,65.74,65.9,65.33,65.67,724900,0.0,0
2019-06-11,65.73,66.08,64.29,65.71,854300,0.0,0
2019-06-12,65.94,66.22,65.54,65.98,837600,0.0,0
2019-06-13,66.18,66.81,65.95,66.67,779200,0.0,0
2019-06-14,66.66,67.11,66.58,67.02,632900,0.0,0
2019-06-17,67.2,67.86,67.2,67.69,928000,0.0,0
2019-06-18,67.98,68.37,66.95,67.33,886500,0.0,0
2019-06-19,67.23,68.17,63.83,67.87,913400,0.0,0
2019-06-20,68.26,68.26,67.81,68.02,937500,0.0,0
2019-06-21,67.86,67.86,66.61,67.65,2922500,0.0,0
2019-06-24,67.68,68.09,66.76,67.01,1241500,0.0,0
2019-06-25,67.08,67.72,66.11,66.19,993500,0.0,0
2019-06-26,66.08,66.52,64.41,64.45,1023800,0.0,0
