Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,14.3,14.3,13.82,13.85,26932400,0.0,0
2019-03-22,13.72,13.72,12.88,12.99,29240100,0.0,0
2019-03-25,13.1,13.3,12.85,12.99,18113100,0.0,0
2019-03-26,13.1,13.39,13.07,13.37,21078900,0.0,0
2019-03-27,13.34,13.5,13.23,13.41,17025600,0.0,0
2019-03-28,13.46,13.62,13.33,13.6,10337800,0.0,0
2019-03-29,13.79,13.82,13.52,13.58,11975600,0.0,0
2019-04-01,13.76,14.13,13.75,14.08,15469300,0.0,0
2019-04-02,14.07,14.34,13.97,14.25,12535600,0.0,0
2019-04-03,14.45,14.67,14.26,14.28,16022700,0.0,0
2019-04-04,14.23,14.56,14.2,14.5,10009500,0.0,0
2019-04-05,14.54,14.63,14.38,14.54,8871100,0.0,0
2019-04-08,14.45,14.72,14.44,14.63,9973400,0.0,0
2019-04-09,14.51,14.55,14.3,14.4,8770400,0.0,0
2019-04-10,14.4,14.53,14.23,14.52,7455000,0.0,0
2019-04-11,14.59,14.74,14.46,14.6,8237000,0.0,0
2019-04-12,14.84,15.08,14.64,14.98,9762800,0.0,0
2019-04-15,15.02,15.03,14.62,14.65,11748200,0.0,0
2019-04-16,14.77,14.98,14.57,14.94,13591400,0.0,0
2019-04-17,15.02,15.16,14.9,15.13,13784800,0.0,0
2019-04-18,15.22,15.22,14.45,14.64,24412300,0.0,0
2019-04-22,14.57,14.72,14.46,14.63,15552400,0.0,0
2019-04-23,14.46,14.79,14.25,14.76,23356700,0.0,0
2019-04-24,14.62,14.81,14.44,14.77,18523700,0.0,0
2019-04-25,14.62,15.02,14.58,14.85,11916600,0.0,0
2019-04-26,14.87,14.98,14.75,14.93,8729600,0.0,0
2019-04-29,15.02,15.27,14.99,15.05,8853100,0.0,0
2019-04-30,15.1,15.15,14.79,14.91,11317500,0.0,0
2019-05-01,14.95,15.06,14.51,14.56,17403800,0.0,0
2019-05-02,14.59,14.88,14.56,14.81,12809200,0.0,0
2019-05-03,14.86,15.02,14.79,14.96,9322900,0.0,0
2019-05-06,14.61,14.92,14.58,14.78,9871500,0.0,0
2019-05-07,14.61,14.64,14.42,14.51,9399700,0.0,0
2019-05-08,14.45,14.53,14.33,14.35,10188200,0.0,0
2019-05-09,14.13,14.41,14.07,14.33,11749000,0.0,0
2019-05-10,14.25,14.49,14.13,14.45,10096500,0.0,0
2019-05-13,14.22,14.22,13.75,13.77,12062600,0.0,0
2019-05-14,13.82,14.07,13.71,13.96,12432300,0.0,0
2019-05-15,13.76,13.84,13.5,13.75,9969700,0.0,0
2019-05-16,13.92,14.1,13.86,13.94,8463400,0.0,0
2019-05-17,13.77,14.07,13.77,13.82,7831300,0.0,0
2019-05-20,13.8,14.0,13.79,13.89,6674900,0.0,0
2019-05-21,13.96,14.06,13.92,13.98,9834100,0.0,0
2019-05-22,13.84,13.93,13.73,13.83,6737500,0.0,0
2019-05-23,13.66,13.7,13.39,13.51,9739700,0.0,0
2019-05-24,13.58,13.68,13.49,13.62,7565700,0.0,0
2019-05-28,13.55,13.61,13.37,13.38,11569300,0.0,0
2019-05-29,13.27,13.64,13.2,13.58,15941900,0.0,0
2019-05-30,13.66,13.74,13.36,13.5,17110600,0.0,0
2019-05-31,13.25,13.4,13.15,13.28,12063600,0.0,0
2019-06-03,13.22,13.53,13.16,13.42,9541300,0.0,0
2019-06-04,13.66,13.82,13.61,13.76,13023800,0.0,0
2019-06-05,13.75,13.79,13.41,13.6,11370700,0.0,0
2019-06-06,13.59,13.7,13.45,13.61,7472300,0.14,0
2019-06-07,13.55,13.57,13.34,13.46,10667600,0.0,0
2019-06-10,13.64,13.85,13.55,13.57,18697800,0.0,0
2019-06-11,13.74,14.18,13.69,14.03,19846500,0.0,0
2019-06-12,13.98,14.09,13.75,13.81,11328300,0.0,0
2019-06-13,13.88,14.15,13.88,14.05,8375300,0.0,0
2019-06-14,14.07,14.2,13.85,14.15,8641100,0.0,0
2019-06-17,14.15,14.23,13.88,13.9,6571700,0.0,0
2019-06-18,13.87,14.43,13.81,14.42,12792900,0.0,0
2019-06-19,14.51,14.66,14.07,14.13,12878900,0.0,0
2019-06-20,14.19,14.21,13.77,14.16,12600000,0.0,0
2019-06-21,14.11,14.4,14.11,14.19,14843000,0.0,0
2019-06-24,14.15,14.34,14.05,14.07,7547500,0.0,0
2019-06-25,14.1,14.1,13.83,13.95,13636200,0.0,0
2019-06-26,14.02,14.19,13.97,13.99,10209900,0.0,0
2019-06-27,14.06,14.21,14.05,14.14,6418100,0.0,0
2019-06-28,14.4,14.54,14.09,14.49,14479600,0.0,0
2019-07-01,14.57,14.8,14.5,14.61,10055500,0.0,0
2019-07-02,14.6,14.76,14.31,14.41,13826000,0.0,0
2019-07-03,14.49,14.62,14.41,14.61,4881100,0.0,0
2019-07-05,14.75,14.98,14.71,14.75,6919800,0.0,0
2019-07-08,14.61,14.77,14.58,14.67,7110700,0.0,0
2019-07-09,14.56,14.87,14.52,14.85,8772800,0.0,0
2019-07-10,14.85,14.86,14.56,14.6,9594900,0.0,0
2019-07-11,14.58,14.82,14.5,14.77,11462000,0.0,0
2019-07-12,14.78,14.83,14.62,14.76,8218200,0.0,0
2019-07-15,14.82,14.82,14.47,14.53,7089700,0.0,0
2019-07-16,14.55,14.63,14.4,14.49,9638300,0.0,0
2019-07-17,14.41,14.46,14.23,14.26,13526600,0.0,0
2019-07-18,14.28,14.52,14.21,14.34,14775600,0.0,0
2019-07-19,14.5,14.92,14.45,14.67,20534300,0.0,0
2019-07-22,14.7,14.77,14.57,14.66,12781900,0.0,0
2019-07-23,14.67,15.1,14.61,15.1,14569400,0.0,0
2019-07-24,15.04,15.53,15.04,15.47,10728600,0.0,0
2019-07-25,15.44,15.61,15.23,15.24,10658000,0.0,0
2019-07-26,15.29,15.58,15.22,15.55,8698200,0.0,0
2019-07-29,15.51,15.65,15.33,15.33,9066700,0.0,0
2019-07-30,15.17,15.58,15.17,15.56,9996100,0.0,0
2019-07-31,15.5,15.64,15.41,15.45,24490700,0.0,0
2019-08-01,15.39,15.49,14.7,14.77,21792800,0.0,0
2019-08-02,14.76,14.91,14.53,14.86,18300400,0.0,0
2019-08-05,14.49,14.55,13.97,14.12,15374500,0.0,0
2019-08-06,14.25,14.33,13.95,14.3,9397600,0.0,0
2019-08-07,13.88,14.12,13.7,14.04,12902400,0.0,0
2019-08-08,14.21,14.34,14.11,14.27,10346000,0.0,0
2019-08-09,14.21,14.31,14.05,14.22,10523200,0.0,0
2019-08-12,14.02,14.07,13.84,13.87,9199400,0.0,0
2019-08-13,13.79,14.16,13.66,13.84,15424800,0.0,0
2019-08-14,13.47,13.47,13.11,13.25,15820300,0.0,0
2019-08-15,13.3,13.38,13.09,13.16,14858700,0.0,0
2019-08-16,13.29,13.67,13.29,13.66,10048800,0.0,0
2019-08-19,13.92,13.96,13.79,13.83,10728500,0.0,0
2019-08-20,13.72,13.75,13.52,13.57,9089700,0.0,0
2019-08-21,13.75,13.78,13.58,13.7,9295500,0.0,0
2019-08-22,13.82,13.92,13.74,13.82,7886700,0.0,0
2019-08-23,13.7,13.93,13.31,13.37,12282300,0.0,0
2019-08-26,13.51,13.61,13.39,13.6,9585200,0.0,0
2019-08-27,13.67,13.71,13.33,13.43,9413600,0.0,0
2019-08-28,13.33,13.77,13.33,13.67,8031900,0.0,0
2019-08-29,13.83,14.13,13.82,14.03,11275200,0.0,0
2019-08-30,14.15,14.35,14.11,14.18,10389800,0.0,0
2019-09-03,14.05,14.05,13.7,13.83,11341900,0.0,0
2019-09-04,14.02,14.06,13.9,14.0,8039500,0.0,0
2019-09-05,14.31,14.66,14.28,14.52,10269400,0.155,0
2019-09-06,14.49,14.69,14.48,14.56,8471500,0.0,0
2019-09-09,14.7,15.3,14.67,15.14,15609900,0.0,0
2019-09-10,15.23,15.74,15.2,15.69,16533900,0.0,0
2019-09-11,15.7,16.0,15.43,15.92,14678700,0.0,0
2019-09-12,15.71,16.07,15.5,15.93,11308900,0.0,0
2019-09-13,16.17,16.35,15.98,16.03,9920900,0.0,0
2019-09-16,15.79,16.14,15.79,16.11,7587600,0.0,0
2019-09-17,15.96,16.01,15.68,15.94,8389200,0.0,0
2019-09-18,15.79,16.12,15.71,16.03,12906000,0.0,0
2019-09-19,15.98,16.06,15.79,15.8,8220600,0.0,0
2019-09-20,15.85,15.92,15.62,15.64,14487000,0.0,0
2019-09-23,15.48,15.83,15.46,15.73,6054900,0.0,0
2019-09-24,15.7,15.76,15.43,15.54,8465500,0.0,0
2019-09-25,15.59,15.81,15.54,15.72,5653000,0.0,0
2019-09-26,15.67,15.74,15.56,15.57,6678000,0.0,0
2019-09-27,15.7,15.97,15.55,15.64,7700700,0.0,0
2019-09-30,15.66,15.73,15.5,15.51,7161900,0.0,0
2019-10-01,15.63,15.76,15.03,15.12,11021400,0.0,0
2019-10-02,14.98,15.08,14.77,14.86,8322800,0.0,0
2019-10-03,14.78,14.94,14.48,14.93,11667000,0.0,0
2019-10-04,14.94,15.1,14.8,15.08,9279700,0.0,0
2019-10-07,15.08,15.28,15.01,15.07,6924500,0.0,0
2019-10-08,14.77,14.83,14.58,14.59,10580000,0.0,0
2019-10-09,14.73,14.74,14.52,14.61,10402800,0.0,0
2019-10-10,14.73,14.92,14.69,14.81,10244000,0.0,0
2019-10-11,15.18,15.34,15.1,15.12,9809600,0.0,0
2019-10-14,14.99,15.14,14.94,15.08,6940100,0.0,0
2019-10-15,15.15,15.42,15.06,15.3,8491300,0.0,0
2019-10-16,15.37,15.48,15.18,15.22,7695000,0.0,0
2019-10-17,15.36,15.38,15.14,15.23,7941700,0.0,0
2019-10-18,15.23,15.54,15.18,15.46,14813500,0.0,0
2019-10-21,15.63,15.81,15.63,15.75,8952200,0.0,0
2019-10-22,15.48,16.15,15.06,15.9,18679000,0.0,0
2019-10-23,15.87,16.03,15.76,15.96,7876300,0.0,0
2019-10-24,15.97,16.03,15.75,15.86,6594900,0.0,0
2019-10-25,15.81,16.09,15.8,16.07,6814900,0.0,0
2019-10-28,16.21,16.42,16.06,16.19,9964300,0.0,0
2019-10-29,16.08,16.27,16.07,16.14,8535800,0.0,0
2019-10-30,16.1,16.1,15.83,15.95,7243400,0.0,0
2019-10-31,15.81,15.95,15.52,15.78,8206100,0.0,0
2019-11-01,15.99,16.22,15.88,16.22,8110600,0.0,0
2019-11-04,16.33,16.66,16.33,16.65,10327100,0.0,0
2019-11-05,16.69,17.01,16.69,16.86,8383600,0.0,0
2019-11-06,16.71,16.86,16.57,16.72,7188100,0.0,0
2019-11-07,16.91,16.97,16.55,16.57,14247800,0.0,0
2019-11-08,16.55,16.61,16.44,16.54,6690700,0.0,0
2019-11-11,16.33,16.51,16.33,16.44,7260500,0.0,0
2019-11-12,16.35,16.54,16.24,16.36,10035500,0.0,0
2019-11-13,16.12,16.2,15.98,16.08,7586000,0.0,0
2019-11-14,16.03,16.14,15.94,16.11,8075300,0.0,0
2019-11-15,16.2,16.31,16.15,16.19,8153100,0.0,0
2019-11-18,16.17,16.25,16.07,16.25,9655100,0.0,0
2019-11-19,16.31,16.37,16.12,16.19,5927000,0.0,0
2019-11-20,16.12,16.24,15.94,16.08,7018500,0.0,0
2019-11-21,16.18,16.22,15.97,16.16,6462800,0.0,0
2019-11-22,16.25,16.47,16.21,16.34,5918400,0.0,0
2019-11-25,16.37,16.51,16.3,16.51,7250700,0.0,0
2019-11-26,16.42,16.48,16.26,16.26,8049800,0.0,0
2019-11-27,16.37,16.46,16.31,16.41,5238300,0.0,0
2019-11-29,16.43,16.46,16.3,16.31,3348200,0.0,0
2019-12-02,16.38,16.5,16.24,16.28,7290700,0.0,0
2019-12-03,16.01,16.14,15.78,16.09,9932300,0.0,0
2019-12-04,16.18,16.45,16.12,16.35,9094700,0.0,0
2019-12-05,16.45,16.56,16.4,16.5,11004900,0.155,0
2019-12-06,16.75,16.9,16.71,16.86,9920000,0.0,0
2019-12-09,16.8,16.97,16.77,16.89,8621800,0.0,0
2019-12-10,16.86,16.99,16.78,16.82,9382000,0.0,0
2019-12-11,16.79,16.94,16.66,16.66,8461300,0.0,0
2019-12-12,16.69,17.26,16.67,17.23,10356800,0.0,0
2019-12-13,17.19,17.3,16.87,16.99,8754400,0.0,0
2019-12-16,17.25,17.35,17.04,17.06,9052200,0.0,0
2019-12-17,17.1,17.24,17.02,17.24,9671600,0.0,0
2019-12-18,17.31,17.33,17.13,17.15,10374500,0.0,0
2019-12-19,17.15,17.2,17.01,17.12,7615400,0.0,0
2019-12-20,17.2,17.26,17.02,17.07,17360800,0.0,0
2019-12-23,17.09,17.1,16.93,16.99,7879600,0.0,0
2019-12-24,17.01,17.04,16.93,17.02,3147700,0.0,0
2019-12-26,17.05,17.1,16.98,17.08,4234100,0.0,0
2019-12-27,17.15,17.15,16.91,16.98,6065200,0.0,0
2019-12-30,17.09,17.12,16.91,16.94,5555800,0.0,0
2019-12-31,16.96,17.04,16.88,16.98,6545100,0.0,0
2020-01-02,17.08,17.12,16.83,16.91,8972200,0.0,0
