Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,63.48,65.21,63.24,64.91,912900,0.0,0
2019-03-22,64.74,64.79,62.31,62.33,1122900,0.0,0
2019-03-25,61.93,62.16,60.78,61.76,1018700,0.0,0
2019-03-26,62.41,62.51,61.64,62.1,850800,0.0,0
2019-03-27,61.92,62.44,60.95,61.84,857600,0.0,0
2019-03-28,61.95,63.23,61.95,63.03,1003000,0.0,0
2019-03-29,63.52,64.05,63.32,63.73,982800,0.0,0
2019-04-01,64.4,65.25,64.11,65.11,1180600,0.0,0
2019-04-02,65.21,65.34,64.34,64.75,1019200,0.0,0
2019-04-03,65.37,66.26,65.21,66.15,1146300,0.0,0
2019-04-04,66.37,66.49,65.55,65.84,621400,0.0,0
2019-04-05,66.2,66.47,65.53,65.97,688700,0.0,0
2019-04-08,65.88,65.93,65.4,65.66,598500,0.0,0
2019-04-09,65.18,65.25,64.02,64.16,1002100,0.0,0
2019-04-10,64.15,64.26,63.7,64.16,905600,0.0,0
2019-04-11,64.46,65.05,64.39,65.03,1014000,0.0,0
2019-04-12,65.42,66.02,64.64,65.49,959900,0.0,0
2019-04-15,65.68,65.9,65.11,65.52,701400,0.0,0
2019-04-16,65.92,66.28,65.69,65.74,808100,0.0,0
2019-04-17,66.17,66.62,65.53,65.72,1180900,0.0,0
2019-04-18,65.77,66.77,65.46,66.65,1413500,0.0,0
2019-04-22,66.31,66.5,65.72,65.91,981500,0.0,0
2019-04-23,66.46,67.56,66.02,67.28,2143000,0.0,0
2019-04-24,60.73,62.45,60.34,61.61,4130300,0.0,0
2019-04-25,60.9,61.56,60.54,60.73,1738500,0.0,0
2019-04-26,61.0,61.41,60.44,61.08,1122800,0.0,0
2019-04-29,60.86,61.21,60.57,60.92,1468500,0.0,0
2019-04-30,61.03,61.04,60.41,60.72,1905400,0.0,0
2019-05-01,60.84,61.11,59.54,59.55,934100,0.0,0
2019-05-02,59.4,60.14,59.2,59.97,1084200,0.0,0
2019-05-03,60.28,60.49,59.1,60.22,1224900,0.0,0
2019-05-06,59.07,59.72,58.8,59.55,729900,0.0,0
2019-05-07,58.82,59.06,57.57,58.1,1229400,0.0,0
2019-05-08,58.09,58.09,57.21,57.26,1320700,0.0,0
2019-05-09,56.75,56.84,55.88,56.19,1589100,0.0,0
2019-05-10,56.05,56.55,55.16,56.43,1647000,0.0,0
2019-05-13,55.05,55.61,54.24,54.43,1530700,0.0,0
2019-05-14,54.64,55.26,54.53,54.85,2044700,0.0,0
2019-05-15,54.22,55.02,54.15,54.79,814600,0.0,0
2019-05-16,55.06,55.39,54.8,54.94,844400,0.0,0
2019-05-17,54.42,55.24,54.3,54.77,874500,0.0,0
2019-05-20,54.46,55.06,54.0,54.61,971500,0.0,0
2019-05-21,55.19,55.99,55.13,55.76,864600,0.0,0
2019-05-22,55.54,55.79,55.11,55.31,957600,0.0,0
2019-05-23,54.66,55.62,54.25,55.27,1348100,0.31,0
2019-05-24,55.66,56.23,55.09,55.37,748200,0.0,0
2019-05-28,55.39,55.59,54.48,54.77,1532200,0.0,0
2019-05-29,54.68,54.85,54.11,54.59,1374800,0.0,0
2019-05-30,54.71,55.18,53.99,54.17,1668000,0.0,0
2019-05-31,53.49,53.62,52.59,52.77,1697400,0.0,0
2019-06-03,52.73,53.74,52.57,53.68,1496900,0.0,0
2019-06-04,53.88,54.52,53.58,54.48,2171200,0.0,0
2019-06-05,55.04,55.07,54.02,54.2,1357800,0.0,0
2019-06-06,54.16,54.3,52.77,53.31,1325000,0.0,0
2019-06-07,53.5,53.58,52.72,52.95,1503100,0.0,0
2019-06-10,53.34,54.74,53.34,54.03,1516400,0.0,0
2019-06-11,54.88,55.3,54.6,55.02,1219600,0.0,0
2019-06-12,54.65,54.72,53.82,54.56,859100,0.0,0
2019-06-13,54.58,55.81,54.31,55.77,1239100,0.0,0
2019-06-14,55.68,55.68,54.54,55.32,1322300,0.0,0
2019-06-17,55.28,55.54,54.5,54.65,812800,0.0,0
2019-06-18,54.98,56.13,54.84,56.03,1296800,0.0,0
2019-06-19,56.15,56.29,55.75,55.87,1036900,0.0,0
2019-06-20,56.43,56.54,55.8,56.37,1194300,0.0,0
2019-06-21,56.23,56.29,55.12,55.28,2209800,0.0,0
2019-06-24,55.28,55.49,54.72,54.76,798300,0.0,0
2019-06-25,54.81,55.2,54.31,54.55,1205700,0.0,0
2019-06-26,54.67,55.31,54.67,54.93,1187500,0.0,0
2019-06-27,55.15,55.76,55.15,55.54,996500,0.0,0
2019-06-28,55.8,56.42,55.46,56.06,1515400,0.0,0
2019-07-01,56.82,57.13,55.99,56.08,1027200,0.0,0
2019-07-02,56.86,57.92,56.41,57.15,5649900,0.0,0
2019-07-03,57.36,57.68,56.68,57.04,1889200,0.0,0
2019-07-05,57.1,57.36,56.54,56.95,1289300,0.0,0
2019-07-08,56.71,56.99,56.2,56.4,1786400,0.0,0
2019-07-09,56.03,56.54,55.7,56.49,2100900,0.0,0
2019-07-10,56.47,56.66,56.1,56.33,1791900,0.0,0
2019-07-11,56.51,56.51,55.9,56.33,1396700,0.0,0
2019-07-12,56.54,58.13,56.53,57.62,1163200,0.0,0
2019-07-15,57.66,57.79,57.13,57.79,1208400,0.0,0
2019-07-16,58.01,58.47,57.84,58.09,2391300,0.0,0
2019-07-17,57.79,57.99,57.27,57.29,1231600,0.0,0
2019-07-18,57.2,57.5,56.98,57.19,1288400,0.0,0
2019-07-19,57.49,58.12,56.66,56.68,1469000,0.0,0
2019-07-22,56.86,57.3,56.38,56.42,1066200,0.0,0
2019-07-23,56.75,57.96,56.69,57.82,2069700,0.0,0
2019-07-24,60.17,62.91,59.88,61.67,3488200,0.0,0
2019-07-25,61.45,61.7,59.64,59.75,2449900,0.0,0
2019-07-26,60.02,60.33,59.74,60.1,1407000,0.0,0
2019-07-29,59.72,59.96,59.04,59.36,1019000,0.0,0
2019-07-30,59.07,60.24,58.59,60.21,920600,0.0,0
2019-07-31,60.13,60.43,58.92,59.41,981900,0.0,0
2019-08-01,59.43,60.07,57.95,58.09,1299000,0.0,0
2019-08-02,57.96,57.96,56.72,56.87,1283600,0.0,0
2019-08-05,55.61,55.73,54.63,55.06,2045400,0.0,0
2019-08-06,55.64,55.74,54.58,55.02,1511800,0.0,0
2019-08-07,54.18,55.47,53.81,55.24,929900,0.0,0
2019-08-08,55.92,56.88,55.59,56.67,625300,0.0,0
2019-08-09,56.51,56.51,55.68,55.83,742100,0.0,0
2019-08-12,55.3,55.46,54.9,55.15,464100,0.0,0
2019-08-13,54.95,56.61,54.77,55.66,739000,0.0,0
2019-08-14,54.58,54.58,53.01,53.03,1025000,0.0,0
2019-08-15,53.26,53.45,52.55,52.77,1164900,0.0,0
2019-08-16,53.3,54.25,53.3,54.13,617700,0.0,0
2019-08-19,54.98,55.19,54.47,54.83,1047700,0.0,0
2019-08-20,54.73,54.8,54.11,54.28,871900,0.0,0
2019-08-21,54.88,55.03,54.22,54.3,642600,0.0,0
2019-08-22,54.47,54.73,53.84,53.95,654100,0.31,0
2019-08-23,53.79,54.15,52.31,52.49,956700,0.0,0
2019-08-26,53.08,53.19,52.22,52.58,620500,0.0,0
2019-08-27,52.82,52.97,51.89,52.32,886600,0.0,0
2019-08-28,52.07,52.88,51.75,52.56,694600,0.0,0
2019-08-29,53.11,53.46,52.7,52.82,653700,0.0,0
2019-08-30,53.11,53.55,52.64,52.88,884000,0.0,0
2019-09-03,52.51,52.58,51.33,51.55,1058700,0.0,0
2019-09-04,52.26,52.87,51.96,52.32,1664300,0.0,0
2019-09-05,53.21,53.9,53.11,53.57,817000,0.0,0
2019-09-06,53.66,53.83,52.78,52.82,632800,0.0,0
2019-09-09,53.31,54.74,52.87,54.61,1161600,0.0,0
2019-09-10,54.55,55.82,54.46,55.4,1491900,0.0,0
2019-09-11,55.71,56.25,55.01,56.24,1077000,0.0,0
2019-09-12,56.11,56.37,54.66,55.01,1205400,0.0,0
2019-09-13,55.62,56.67,55.41,56.13,1145700,0.0,0
2019-09-16,55.8,56.51,55.6,56.49,769700,0.0,0
2019-09-17,56.15,56.15,55.14,55.26,1081600,0.0,0
2019-09-18,55.1,55.29,54.53,54.89,1272800,0.0,0
2019-09-19,54.89,55.29,53.89,54.03,1069800,0.0,0
2019-09-20,54.08,54.99,54.08,54.47,1386900,0.0,0
2019-09-23,54.19,54.64,53.55,54.29,872400,0.0,0
2019-09-24,54.43,54.65,53.43,53.66,1266200,0.0,0
2019-09-25,53.83,54.94,53.57,54.51,584400,0.0,0
2019-09-26,54.41,54.91,54.13,54.36,659600,0.0,0
2019-09-27,54.64,55.06,53.87,54.02,941800,0.0,0
2019-09-30,54.29,55.39,54.17,55.04,867700,0.0,0
2019-10-01,55.63,56.17,53.04,53.39,1324900,0.0,0
2019-10-02,52.92,54.06,52.47,53.23,1692000,0.0,0
2019-10-03,52.95,53.47,51.52,52.18,1383500,0.0,0
2019-10-04,52.41,53.58,52.27,53.49,859100,0.0,0
2019-10-07,53.14,53.69,52.89,53.41,1082500,0.0,0
2019-10-08,52.81,52.93,52.15,52.16,1532000,0.0,0
2019-10-09,52.71,52.98,51.73,51.77,1138500,0.0,0
2019-10-10,51.61,52.58,51.61,52.45,622600,0.0,0
