Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,119.75,121.99,119.54,121.67,757400,0.0,0
2019-03-22,121.13,121.32,117.26,117.36,768900,0.0,0
2019-03-25,116.85,119.76,116.44,119.67,569900,0.0,0
2019-03-26,120.47,121.56,118.58,119.35,655000,0.0,0
2019-03-27,122.16,123.42,121.11,122.35,1229100,0.0,0
2019-03-28,125.08,128.71,125.08,126.95,1358500,0.625,0
2019-03-29,127.74,128.11,126.42,127.22,1054400,0.0,0
2019-04-01,128.5,128.55,126.0,126.54,906800,0.0,0
2019-04-02,126.13,126.13,124.0,124.88,682000,0.0,0
2019-04-03,125.97,126.04,124.53,124.91,585300,0.0,0
2019-04-04,124.97,126.09,124.61,125.94,593800,0.0,0
2019-04-05,126.18,127.44,124.95,125.17,511900,0.0,0
2019-04-08,125.03,125.46,124.13,124.98,922700,0.0,0
2019-04-09,124.42,124.84,123.01,123.56,898800,0.0,0
2019-04-10,123.91,124.91,123.4,124.06,835200,0.0,0
2019-04-11,124.43,125.04,123.44,124.16,895500,0.0,0
2019-04-12,124.58,126.12,124.58,125.72,1555400,0.0,0
2019-04-15,125.87,126.76,123.53,124.77,1221400,0.0,0
2019-04-16,124.85,128.27,124.41,127.1,714400,0.0,0
2019-04-17,127.54,130.06,127.06,129.26,1286900,0.0,0
2019-04-18,129.08,130.76,128.51,128.61,830700,0.0,0
2019-04-22,128.1,129.73,127.34,128.27,686200,0.0,0
2019-04-23,128.73,129.89,128.1,129.57,655000,0.0,0
2019-04-24,129.84,131.1,128.79,129.53,718900,0.0,0
2019-04-25,129.26,129.26,126.69,127.27,873400,0.0,0
2019-04-26,128.31,129.26,126.43,128.7,780100,0.0,0
2019-04-29,128.5,129.62,128.06,129.59,648500,0.0,0
2019-04-30,129.09,129.74,128.59,129.09,548800,0.0,0
2019-05-01,129.31,130.58,127.25,127.25,862900,0.0,0
2019-05-02,127.77,130.13,127.76,129.39,553900,0.0,0
2019-05-03,129.41,130.24,128.39,128.8,565300,0.0,0
2019-05-06,126.16,126.68,124.44,125.79,669300,0.0,0
2019-05-07,124.52,124.86,120.53,121.56,983200,0.0,0
2019-05-08,121.03,123.23,120.4,122.03,723600,0.0,0
2019-05-09,123.38,124.04,120.86,123.3,843000,0.0,0
2019-05-10,122.61,123.2,119.43,121.91,1069000,0.0,0
2019-05-13,119.4,119.4,115.41,116.04,1999400,0.0,0
2019-05-14,114.09,114.69,106.45,111.79,4736000,0.0,0
2019-05-15,110.79,113.9,110.13,113.49,2292400,0.0,0
2019-05-16,113.64,114.43,112.4,112.57,1348500,0.0,0
2019-05-17,111.7,112.83,109.99,110.38,1809300,0.0,0
2019-05-20,109.63,110.17,108.38,109.8,1515500,0.0,0
2019-05-21,110.12,112.45,110.04,111.81,1195200,0.0,0
2019-05-22,110.71,112.72,110.46,110.65,1188100,0.0,0
2019-05-23,109.59,109.91,106.78,107.17,1343400,0.0,0
2019-05-24,107.72,108.35,106.51,107.17,902800,0.0,0
2019-05-28,107.62,108.66,105.56,105.97,1002600,0.0,0
2019-05-29,104.77,104.97,102.74,103.98,1627800,0.0,0
2019-05-30,103.18,104.55,102.19,103.04,1473500,0.0,0
2019-05-31,101.84,103.17,100.82,103.14,1230100,0.0,0
