Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,97.38,100.11,97.38,99.85,676800,0.0,0
2019-03-22,99.63,100.78,99.0,99.03,599200,0.0,0
2019-03-25,98.87,100.63,98.37,100.3,560600,0.0,0
2019-03-26,100.85,102.31,100.74,101.19,658300,0.0,0
2019-03-27,100.65,101.2,99.35,100.38,630800,0.0,0
2019-03-28,100.6,101.63,100.58,101.56,539100,0.0,0
2019-03-29,101.85,102.93,101.62,102.82,985400,0.0,0
2019-04-01,103.7,104.02,102.68,103.51,700300,0.0,0
2019-04-02,103.27,104.08,102.7,103.85,624400,0.0,0
2019-04-03,104.04,104.23,101.64,101.86,1783800,0.0,0
2019-04-04,100.55,101.3,99.73,100.18,720200,0.0,0
2019-04-05,99.51,100.8,98.74,99.79,975500,0.0,0
2019-04-08,100.01,100.58,99.24,100.34,725200,0.0,0
2019-04-09,100.28,100.87,99.8,100.23,490500,0.0,0
2019-04-10,100.19,101.35,99.74,100.49,514500,0.0,0
2019-04-11,100.43,100.46,99.21,99.72,1143900,0.0,0
2019-04-12,100.38,101.43,100.19,101.15,590900,0.0,0
2019-04-15,101.16,102.02,101.07,101.96,725700,0.0,0
2019-04-16,102.45,103.09,100.68,100.72,715500,0.0,0
2019-04-17,100.43,100.72,96.26,96.29,813800,0.0,0
2019-04-18,96.94,98.35,95.74,98.12,822600,0.0,0
2019-04-22,97.69,100.02,97.22,98.9,600500,0.0,0
2019-04-23,99.13,100.82,98.44,100.37,735900,0.0,0
2019-04-24,100.32,101.19,99.89,100.6,553300,0.0,0
2019-04-25,100.5,101.55,99.82,101.12,699000,0.0,0
2019-04-26,101.49,102.83,101.05,102.79,435300,0.0,0
2019-04-29,102.59,102.92,101.5,101.93,549500,0.0,0
2019-04-30,101.84,103.53,101.42,103.35,691200,0.0,0
2019-05-01,103.35,104.2,102.87,103.29,657800,0.0,0
2019-05-02,102.98,104.67,102.47,104.57,934800,0.0,0
2019-05-03,110.82,113.63,109.01,111.43,1332300,0.0,0
2019-05-06,110.1,111.48,109.13,111.38,1049100,0.0,0
2019-05-07,110.68,111.74,110.44,111.1,830500,0.0,0
2019-05-08,111.06,111.33,109.59,110.55,631200,0.37,0
2019-05-09,109.74,111.31,108.66,111.18,504400,0.0,0
2019-05-10,110.62,111.63,108.21,111.21,475200,0.0,0
2019-05-13,109.56,110.41,108.25,109.98,661100,0.0,0
2019-05-14,110.36,111.88,109.9,111.19,404700,0.0,0
2019-05-15,110.83,112.16,110.1,111.94,520100,0.0,0
2019-05-16,112.01,113.75,111.8,112.54,521200,0.0,0
2019-05-17,111.26,113.27,111.26,111.9,627200,0.0,0
2019-05-20,111.64,111.92,110.78,111.19,379700,0.0,0
2019-05-21,111.83,112.49,111.13,111.61,265300,0.0,0
2019-05-22,111.58,112.41,111.21,112.24,378500,0.0,0
2019-05-23,111.37,112.0,110.4,111.86,698600,0.0,0
2019-05-24,111.97,113.47,111.68,113.0,396300,0.0,0
2019-05-28,113.6,114.66,112.47,112.49,1266100,0.0,0
2019-05-29,112.19,112.45,110.71,111.29,439700,0.0,0
2019-05-30,111.46,112.76,111.31,112.42,344600,0.0,0
2019-05-31,111.98,113.61,111.04,113.23,520100,0.0,0
2019-06-03,113.12,113.91,111.58,111.88,607600,0.0,0
2019-06-04,112.53,113.67,111.55,113.18,502200,0.0,0
2019-06-05,114.1,114.63,113.6,114.23,480400,0.0,0
2019-06-06,114.47,116.65,114.12,115.98,540100,0.0,0
2019-06-07,115.55,117.06,115.47,116.48,438800,0.0,0
2019-06-10,116.57,118.0,115.93,117.41,453900,0.0,0
2019-06-11,118.13,119.06,116.43,117.27,323500,0.0,0
2019-06-12,117.26,118.72,117.2,118.6,465600,0.0,0
2019-06-13,118.57,119.04,117.67,118.51,285700,0.0,0
2019-06-14,118.35,118.65,116.85,117.17,597600,0.0,0
2019-06-17,117.52,118.35,117.29,117.57,479800,0.0,0
2019-06-18,118.57,118.87,118.05,118.7,484000,0.0,0
2019-06-19,118.91,120.06,118.84,119.6,654000,0.0,0
2019-06-20,120.91,122.37,120.45,122.31,632300,0.0,0
2019-06-21,121.4,121.45,118.97,119.13,1102400,0.0,0
2019-06-24,119.06,120.3,118.77,120.22,455100,0.0,0
2019-06-25,119.92,120.44,118.68,118.95,692900,0.0,0
2019-06-26,119.12,119.46,117.08,118.57,427100,0.0,0
2019-06-27,118.97,119.84,118.52,119.66,303200,0.0,0
2019-06-28,119.66,121.15,119.42,121.08,802100,0.0,0
2019-07-01,122.21,122.86,121.08,122.79,539700,0.0,0
2019-07-02,122.66,122.77,121.67,122.41,437100,0.0,0
2019-07-03,122.65,123.76,122.13,122.91,378700,0.0,0
2019-07-05,122.42,123.71,121.7,123.36,316500,0.0,0
2019-07-08,122.76,123.43,122.27,122.84,523100,0.0,0
2019-07-09,122.14,123.11,121.8,123.05,539600,0.0,0
2019-07-10,123.43,123.96,122.98,123.03,367100,0.0,0
2019-07-11,123.76,123.92,122.81,123.75,501600,0.0,0
2019-07-12,123.53,123.64,122.23,123.42,398300,0.0,0
2019-07-15,123.53,123.88,122.67,122.78,536600,0.0,0
2019-07-16,122.97,123.18,121.79,122.41,411500,0.0,0
2019-07-17,121.81,123.44,121.29,122.81,440800,0.0,0
2019-07-18,122.97,124.34,122.83,123.79,411200,0.0,0
2019-07-19,124.24,124.81,122.45,122.5,444600,0.0,0
2019-07-22,122.89,123.76,122.33,122.67,502200,0.0,0
2019-07-23,122.29,123.09,120.96,122.86,400500,0.0,0
2019-07-24,123.04,124.52,122.07,124.48,497400,0.0,0
2019-07-25,123.88,123.93,122.31,122.87,528500,0.0,0
2019-07-26,128.99,131.84,124.6,125.88,1198300,0.0,0
2019-07-29,127.58,128.51,125.63,128.4,833400,0.0,0
2019-07-30,128.13,130.55,128.13,129.2,595800,0.0,0
2019-07-31,129.14,129.75,126.54,127.7,556600,0.0,0
2019-08-01,128.71,132.13,128.14,130.52,706600,0.0,0
2019-08-02,131.55,131.83,128.12,129.26,499500,0.0,0
2019-08-05,128.29,128.31,124.79,125.91,770000,0.0,0
2019-08-06,126.57,128.53,125.86,128.42,496100,0.0,0
2019-08-07,126.31,128.52,124.64,127.99,555400,0.0,0
2019-08-08,127.76,130.59,127.49,130.38,479300,0.0,0
2019-08-09,129.98,131.12,129.21,130.37,492600,0.0,0
2019-08-12,130.34,131.83,130.11,130.58,432700,0.0,0
2019-08-13,130.13,134.39,130.13,133.94,535900,0.0,0
2019-08-14,132.75,134.08,130.39,130.5,490400,0.39,0
2019-08-15,130.47,132.23,130.05,131.68,322800,0.0,0
2019-08-16,132.6,133.97,132.17,133.78,572200,0.0,0
2019-08-19,135.0,135.58,134.51,135.33,541100,0.0,0
2019-08-20,135.7,136.21,134.56,134.65,539100,0.0,0
2019-08-21,135.44,136.7,135.18,135.89,280300,0.0,0
2019-08-22,136.09,136.39,134.17,135.37,319700,0.0,0
2019-08-23,135.3,135.52,130.7,131.53,528800,0.0,0
2019-08-26,132.59,134.5,132.03,134.45,355200,0.0,0
2019-08-27,134.86,135.96,134.07,135.31,364000,0.0,0
2019-08-28,134.96,136.44,134.96,136.35,354700,0.0,0
2019-08-29,137.32,138.13,136.23,137.7,383700,0.0,0
2019-08-30,138.52,139.07,136.79,138.61,619600,0.0,0
2019-09-03,137.43,137.87,135.9,137.09,411400,0.0,0
2019-09-04,137.92,138.3,136.5,137.15,378700,0.0,0
2019-09-05,138.52,139.91,137.4,139.64,476600,0.0,0
2019-09-06,140.01,140.55,138.91,139.61,431100,0.0,0
2019-09-09,139.38,139.38,134.19,134.44,625700,0.0,0
2019-09-10,133.44,134.06,130.11,133.7,632200,0.0,0
2019-09-11,132.75,134.55,132.12,133.03,625600,0.0,0
2019-09-12,134.28,135.53,133.13,133.3,683800,0.0,0
2019-09-13,133.06,133.13,130.59,131.54,637600,0.0,0
2019-09-16,130.98,132.11,129.89,130.07,587900,0.0,0
2019-09-17,130.75,133.71,130.5,133.27,731100,0.0,0
2019-09-18,133.24,133.38,130.41,131.93,717100,0.0,0
2019-09-19,132.35,133.43,131.75,132.85,580000,0.0,0
2019-09-20,132.75,134.43,131.65,133.87,758600,0.0,0
2019-09-23,133.81,135.99,133.61,134.84,578800,0.0,0
2019-09-24,135.76,137.25,134.62,134.95,445600,0.0,0
2019-09-25,135.45,135.62,134.1,135.34,325200,0.0,0
2019-09-26,135.91,135.94,133.77,133.95,358400,0.0,0
2019-09-27,134.16,134.87,132.41,132.94,400400,0.0,0
2019-09-30,133.48,135.56,133.02,134.44,460700,0.0,0
2019-10-01,134.46,135.21,132.28,132.93,510400,0.0,0
2019-10-02,131.94,132.47,127.44,128.24,593900,0.0,0
2019-10-03,127.99,129.89,126.77,129.65,664000,0.0,0
2019-10-04,130.68,131.79,130.2,131.75,343800,0.0,0
2019-10-07,131.08,132.3,130.98,131.53,355100,0.0,0
2019-10-08,130.87,131.12,129.2,129.59,427100,0.0,0
2019-10-09,131.15,132.0,130.99,131.53,322100,0.0,0
2019-10-10,130.91,130.91,128.25,129.83,483200,0.0,0
2019-10-11,130.34,131.21,128.95,129.02,515800,0.0,0
2019-10-14,129.31,129.55,128.35,128.58,351200,0.0,0
2019-10-15,129.37,130.38,129.23,129.81,419600,0.0,0
2019-10-16,130.93,131.35,129.7,130.51,624600,0.0,0
2019-10-17,130.55,132.07,130.55,130.98,407900,0.0,0
2019-10-18,130.34,131.27,129.31,130.56,492300,0.0,0
2019-10-21,131.16,131.18,129.48,129.88,477100,0.0,0
2019-10-22,130.44,130.81,125.7,125.9,538900,0.0,0
2019-10-23,126.37,127.17,125.64,126.11,385000,0.0,0
2019-10-24,126.82,128.6,125.8,127.1,514800,0.0,0
2019-10-25,144.28,146.64,140.59,143.55,1638800,0.0,0
2019-10-28,143.4,144.87,141.03,144.73,795400,0.0,0
2019-10-29,144.28,146.9,143.3,145.96,583300,0.0,0
2019-10-30,145.25,147.17,144.64,146.5,463400,0.0,0
2019-10-31,146.54,148.24,146.2,147.19,704900,0.0,0
2019-11-01,148.19,149.22,146.65,146.7,455200,0.0,0
2019-11-04,147.12,148.05,145.43,146.76,587400,0.0,0
2019-11-05,146.77,146.77,143.37,143.67,557500,0.0,0
2019-11-06,143.42,144.15,142.46,142.93,445200,0.39,0
2019-11-07,143.46,143.65,141.06,141.86,731200,0.0,0
2019-11-08,141.49,144.38,141.49,143.53,382400,0.0,0
2019-11-11,143.28,144.82,142.75,143.56,236700,0.0,0
2019-11-12,143.28,145.42,143.04,143.83,325200,0.0,0
2019-11-13,143.5,145.24,143.05,144.96,340200,0.0,0
2019-11-14,145.13,145.68,144.68,145.09,314200,0.0,0
2019-11-15,145.27,147.05,145.27,146.77,545900,0.0,0
2019-11-18,146.37,148.16,146.24,147.45,451800,0.0,0
2019-11-19,148.25,149.6,147.67,149.06,401000,0.0,0
2019-11-20,148.31,151.12,147.8,149.31,459800,0.0,0
2019-11-21,148.65,148.65,145.42,146.01,614600,0.0,0
2019-11-22,146.3,146.3,144.24,144.93,586000,0.0,0
2019-11-25,144.76,146.61,144.69,145.98,392800,0.0,0
2019-11-26,147.1,149.42,146.35,149.25,1260000,0.0,0
2019-11-27,149.61,150.8,148.82,150.49,420100,0.0,0
2019-11-29,150.26,150.96,148.51,149.27,255700,0.0,0
2019-12-02,149.55,149.6,147.4,148.68,330300,0.0,0
2019-12-03,147.06,149.66,146.84,149.14,625600,0.0,0
2019-12-04,149.13,150.22,148.52,149.81,511700,0.0,0
2019-12-05,149.95,150.23,149.06,149.84,516700,0.0,0
2019-12-06,151.12,151.26,150.14,150.25,307400,0.0,0
2019-12-09,150.5,151.0,148.71,148.99,391200,0.0,0
2019-12-10,149.3,149.58,148.23,148.65,321600,0.0,0
2019-12-11,148.78,150.21,148.29,150.14,416800,0.0,0
2019-12-12,150.46,152.19,150.03,151.91,453500,0.0,0
2019-12-13,151.09,153.62,150.97,153.29,584300,0.0,0
2019-12-16,154.36,155.85,153.91,155.65,1021700,0.0,0
2019-12-17,156.13,156.39,154.17,156.13,512500,0.0,0
2019-12-18,156.31,156.9,154.72,155.67,766200,0.0,0
2019-12-19,156.3,156.32,154.79,155.69,466600,0.0,0
2019-12-20,157.01,157.51,155.21,155.58,1102200,0.0,0
2019-12-23,155.18,156.07,154.65,155.34,409100,0.0,0
2019-12-24,155.31,156.58,154.55,156.35,120900,0.0,0
2019-12-26,156.31,156.31,154.72,155.44,253600,0.0,0
2019-12-27,155.88,156.03,154.74,155.85,308900,0.0,0
2019-12-30,155.86,156.34,153.82,154.24,288000,0.0,0
2019-12-31,153.88,154.81,153.23,154.62,503100,0.0,0
2020-01-02,155.05,155.82,153.7,155.76,444200,0.0,0
2020-01-03,153.75,155.59,152.78,154.94,417200,0.0,0
2020-01-06,154.61,155.77,153.51,155.68,449100,0.0,0
2020-01-07,154.66,155.74,154.38,154.8,351400,0.0,0
2020-01-08,155.38,157.15,153.84,155.92,474800,0.0,0
2020-01-09,156.73,158.08,156.22,157.23,444700,0.0,0
2020-01-10,157.65,158.11,155.52,156.54,392900,0.0,0
2020-01-13,157.05,158.23,156.1,157.92,383600,0.0,0
2020-01-14,157.13,158.07,156.6,157.97,312100,0.0,0
2020-01-15,158.08,159.37,157.55,158.36,408900,0.0,0
2020-01-16,159.16,160.39,157.85,160.37,725300,0.0,0
2020-01-17,160.62,161.62,159.88,160.21,475800,0.0,0
2020-01-21,160.03,161.95,159.65,161.58,506500,0.0,0
2020-01-22,162.54,164.63,161.48,164.01,386300,0.0,0
2020-01-23,163.19,163.76,160.53,161.03,531900,0.0,0
2020-01-24,161.17,162.74,160.45,162.03,549500,0.0,0
2020-01-27,159.64,161.44,159.21,160.26,444000,0.0,0
2020-01-28,160.88,164.05,160.88,162.93,533600,0.0,0
2020-01-29,163.77,166.68,163.74,165.47,571600,0.0,0
2020-01-30,163.94,165.15,162.63,165.07,619500,0.0,0
2020-01-31,164.01,165.66,157.81,158.61,1157500,0.0,0
2020-02-03,159.1,163.62,158.87,162.78,735000,0.0,0
2020-02-04,165.07,167.27,164.55,166.48,708700,0.0,0
2020-02-05,167.93,168.67,166.59,167.36,555800,0.0,0
2020-02-06,167.8,170.19,166.76,170.13,379400,0.0,0
2020-02-07,169.87,171.26,168.38,171.08,465100,0.0,0
2020-02-10,170.69,172.9,170.44,172.8,487500,0.0,0
2020-02-11,173.79,174.51,172.65,173.96,356700,0.0,0
2020-02-12,173.51,174.73,172.47,172.76,555100,0.39,0
2020-02-13,172.59,175.16,172.28,174.88,497800,0.0,0
2020-02-14,175.05,176.7,173.95,176.6,318300,0.0,0
2020-02-18,176.14,176.86,174.18,174.8,637500,0.0,0
2020-02-19,175.53,177.99,175.02,176.62,378000,0.0,0
2020-02-20,176.4,176.53,172.51,176.0,290700,0.0,0
2020-02-21,175.37,175.7,173.54,173.88,448200,0.0,0
2020-02-24,169.92,171.45,168.26,169.83,436900,0.0,0
2020-02-25,170.25,170.9,164.79,165.81,434900,0.0,0
2020-02-26,165.96,169.72,165.55,165.92,479600,0.0,0
2020-02-27,164.03,168.05,162.66,162.72,632600,0.0,0
2020-02-28,158.85,160.15,153.03,158.96,1247600,0.0,0
2020-03-02,160.5,168.91,160.05,168.75,1258700,0.0,0
2020-03-03,168.68,171.91,162.64,165.24,918800,0.0,0
2020-03-04,168.3,175.26,167.52,174.82,1098300,0.0,0
2020-03-05,172.16,172.87,168.16,170.75,975500,0.0,0
2020-03-06,166.99,168.01,161.43,166.08,937300,0.0,0
2020-03-09,156.5,158.0,151.61,154.5,732100,0.0,0
2020-03-10,158.18,161.94,152.89,161.71,1186000,0.0,0
2020-03-11,157.53,159.09,150.5,153.61,757500,0.0,0
2020-03-12,143.77,147.63,135.91,136.12,1269500,0.0,0
2020-03-13,145.0,149.79,136.24,149.73,1230900,0.0,0
2020-03-16,137.49,146.21,134.1,137.93,1183600,0.0,0
2020-03-17,140.3,162.3,135.59,161.43,1943900,0.0,0
2020-03-18,146.76,158.81,146.23,151.75,1806600,0.0,0
2020-03-19,144.04,148.99,134.81,136.1,1567200,0.0,0
