Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,171.14,173.7,170.32,173.03,554600,0.0,0
2019-03-22,171.92,172.24,165.98,166.1,788200,0.0,0
2019-03-25,165.85,167.54,164.68,166.0,651100,0.0,0
2019-03-26,167.62,168.61,166.33,167.65,556700,0.0,0
2019-03-27,167.44,168.27,166.21,167.18,582600,0.0,0
2019-03-28,167.77,170.06,167.62,169.92,602600,0.0,0
2019-03-29,171.2,172.08,170.64,171.5,656000,0.0,0
2019-04-01,173.41,177.22,173.41,176.83,780000,0.0,0
2019-04-02,176.93,178.12,176.34,177.96,639300,0.0,0
2019-04-03,178.68,180.2,178.54,179.2,620100,0.0,0
2019-04-04,178.76,180.83,178.76,180.82,532600,0.0,0
2019-04-05,180.83,182.05,180.49,181.16,602300,0.0,0
2019-04-08,181.17,182.49,180.33,181.81,408200,0.0,0
2019-04-09,180.49,180.7,178.12,178.37,610900,0.0,0
2019-04-10,178.49,179.44,176.72,178.74,924900,0.0,0
2019-04-11,179.31,179.55,178.11,178.82,834900,0.0,0
2019-04-12,179.69,180.24,178.87,180.09,792600,0.0,0
2019-04-15,180.58,181.88,180.34,181.81,668400,0.0,0
2019-04-16,182.13,183.74,181.42,183.35,669000,0.0,0
2019-04-17,184.58,187.16,184.0,184.05,867000,0.0,0
2019-04-18,184.75,186.03,184.29,185.64,917500,0.0,0
2019-04-22,184.83,185.7,183.66,185.09,414300,0.0,0
2019-04-23,185.52,186.27,184.86,185.18,818700,0.0,0
2019-04-24,185.27,186.26,184.46,184.64,850400,0.0,0
2019-04-25,174.25,177.68,171.48,172.25,2494600,0.0,0
2019-04-26,172.25,174.53,171.35,174.41,966000,0.0,0
2019-04-29,174.4,177.38,173.83,176.91,953800,0.0,0
2019-04-30,177.37,177.37,174.48,176.64,970200,0.0,0
2019-05-01,177.58,177.88,173.27,173.36,645900,0.0,0
2019-05-02,173.44,173.61,170.15,171.9,736000,0.0,0
2019-05-03,173.16,174.93,172.01,174.74,723900,0.0,0
2019-05-06,171.54,173.35,169.43,173.21,596200,0.0,0
2019-05-07,171.13,171.91,167.49,169.1,783200,0.0,0
2019-05-08,168.49,169.66,166.64,166.76,628100,0.0,0
2019-05-09,164.63,165.72,162.08,165.19,1041000,0.0,0
2019-05-10,164.64,165.41,161.01,163.68,1480800,0.97,0
2019-05-13,160.58,160.58,156.77,158.13,1186100,0.0,0
2019-05-14,158.92,159.71,157.88,159.09,907800,0.0,0
2019-05-15,158.15,160.42,157.5,159.48,681500,0.0,0
2019-05-16,160.11,161.57,159.65,160.22,526800,0.0,0
2019-05-17,158.38,160.2,157.48,157.61,579900,0.0,0
2019-05-20,156.09,158.0,154.79,155.9,685000,0.0,0
2019-05-21,157.25,159.74,157.25,158.78,760800,0.0,0
2019-05-22,158.18,158.87,156.71,156.71,489500,0.0,0
2019-05-23,153.81,156.25,151.82,152.52,972400,0.0,0
2019-05-24,153.75,153.95,151.36,152.16,767800,0.0,0
2019-05-28,152.63,153.36,148.95,149.01,1188200,0.0,0
2019-05-29,149.07,151.2,148.56,150.52,1074300,0.0,0
2019-05-30,151.21,153.43,151.21,152.8,1254000,0.0,0
2019-05-31,150.51,150.51,145.6,146.33,1575800,0.0,0
2019-06-03,146.19,149.28,146.19,147.76,1019400,0.0,0
2019-06-04,151.43,154.61,150.15,154.4,1109700,0.0,0
2019-06-05,155.4,155.92,152.47,154.47,1054100,0.0,0
2019-06-06,154.87,155.82,151.79,153.54,825200,0.0,0
2019-06-07,154.65,155.44,152.66,154.47,905700,0.0,0
2019-06-10,155.39,157.79,155.39,156.13,798200,0.0,0
2019-06-11,158.3,158.7,156.16,156.39,1018000,0.0,0
2019-06-12,156.16,156.81,154.13,155.31,591700,0.0,0
2019-06-13,156.32,156.65,155.2,156.62,374200,0.0,0
2019-06-14,155.68,156.22,152.72,153.88,478200,0.0,0
2019-06-17,153.97,155.3,153.03,153.22,577300,0.0,0
2019-06-18,154.61,157.88,153.55,156.09,846700,0.0,0
2019-06-19,156.78,156.98,154.27,156.02,777500,0.0,0
2019-06-20,158.36,161.18,156.86,160.29,988700,0.0,0
2019-06-21,160.76,161.3,158.92,159.97,1051800,0.0,0
2019-06-24,159.34,161.03,158.51,159.43,443200,0.0,0
2019-06-25,160.19,160.57,158.22,158.44,567200,0.0,0
2019-06-26,159.09,160.33,158.65,159.62,571100,0.0,0
2019-06-27,159.62,161.37,158.63,159.39,432500,0.0,0
2019-06-28,159.99,161.84,159.61,161.06,955500,0.0,0
2019-07-01,163.24,164.05,160.68,161.82,714500,0.0,0
2019-07-02,161.48,161.74,158.72,160.11,687100,0.0,0
2019-07-03,160.24,161.29,159.98,161.29,423900,0.0,0
2019-07-05,159.84,159.84,154.29,156.7,1047300,0.0,0
2019-07-08,155.91,157.88,154.73,154.78,780900,0.0,0
2019-07-09,153.48,154.62,152.02,152.53,1164700,0.0,0
2019-07-10,153.31,153.99,150.33,150.97,1177900,0.0,0
2019-07-11,151.5,153.68,149.8,153.56,1073200,0.0,0
2019-07-12,154.59,158.31,153.61,157.65,1107700,0.0,0
2019-07-15,157.64,158.31,156.12,156.6,903900,0.0,0
2019-07-16,156.24,162.66,154.93,159.82,1842800,0.0,0
2019-07-17,159.25,159.68,156.86,157.24,1061000,0.0,0
2019-07-18,156.77,157.51,155.33,156.46,680400,0.0,0
2019-07-19,156.84,158.93,156.3,157.25,1077500,0.0,0
2019-07-22,157.29,159.07,156.41,156.62,770100,0.0,0
2019-07-23,157.54,164.23,157.3,163.9,1253800,0.0,0
2019-07-24,162.51,166.9,160.55,166.02,1911200,0.0,0
2019-07-25,157.84,166.19,157.7,164.39,2440000,0.0,0
2019-07-26,164.43,164.62,160.75,161.84,1087700,0.0,0
2019-07-29,161.69,162.51,159.76,160.49,1096700,0.0,0
2019-07-30,159.19,162.95,158.58,162.59,1157900,0.0,0
2019-07-31,162.53,162.53,156.16,158.06,1270500,0.0,0
2019-08-01,157.62,160.08,152.34,153.13,1557400,0.0,0
2019-08-02,152.45,152.84,150.15,151.2,1118700,0.0,0
2019-08-05,148.46,149.69,146.86,148.25,1243800,0.0,0
2019-08-06,149.26,150.74,148.55,150.54,928900,0.0,0
2019-08-07,147.76,149.49,145.64,149.36,1052300,0.0,0
2019-08-08,150.48,153.99,150.25,153.75,1159400,0.0,0
2019-08-09,152.69,153.32,150.75,151.84,851800,0.97,0
2019-08-12,151.09,151.36,147.87,148.29,730700,0.0,0
2019-08-13,147.87,154.24,147.58,151.39,1001700,0.0,0
2019-08-14,148.38,148.9,145.04,145.34,931800,0.0,0
2019-08-15,145.75,145.75,143.61,144.36,782700,0.0,0
2019-08-16,145.73,149.04,145.46,148.69,853100,0.0,0
2019-08-19,151.21,151.89,149.91,151.59,621400,0.0,0
2019-08-20,151.34,151.34,148.78,149.08,512300,0.0,0
2019-08-21,151.37,151.71,149.45,150.24,433600,0.0,0
2019-08-22,150.87,151.78,149.1,150.87,504600,0.0,0
2019-08-23,149.58,150.43,145.34,146.28,793500,0.0,0
2019-08-26,147.28,148.69,142.36,142.99,1258500,0.0,0
2019-08-27,144.43,145.17,143.5,144.67,582700,0.0,0
2019-08-28,144.08,146.68,143.1,146.3,547600,0.0,0
2019-08-29,148.31,150.16,148.31,149.61,630300,0.0,0
2019-08-30,151.24,152.04,150.89,151.14,728200,0.0,0
2019-09-03,149.32,149.37,144.36,146.63,722400,0.0,0
2019-09-04,148.48,149.03,147.23,148.22,665100,0.0,0
2019-09-05,151.48,158.39,151.19,156.99,1086300,0.0,0
2019-09-06,156.95,159.96,156.16,159.31,1034600,0.0,0
2019-09-09,160.27,161.66,159.66,160.25,852700,0.0,0
2019-09-10,160.23,162.11,158.72,162.11,857200,0.0,0
2019-09-11,160.03,162.11,158.32,162.02,917600,0.0,0
2019-09-12,163.22,165.93,161.75,164.34,1071000,0.0,0
2019-09-13,165.78,168.27,164.12,164.95,997800,0.0,0
2019-09-16,164.29,165.35,163.06,164.01,1150100,0.0,0
2019-09-17,162.64,163.02,160.0,162.29,791000,0.0,0
2019-09-18,161.28,162.73,159.76,161.82,1203100,0.0,0
2019-09-19,161.91,163.34,161.2,161.25,1044200,0.0,0
2019-09-20,162.47,163.24,160.09,160.31,1625100,0.0,0
2019-09-23,159.22,163.02,158.3,162.4,1009700,0.0,0
2019-09-24,162.6,162.91,158.89,159.4,1241300,0.0,0
2019-09-25,159.0,161.27,156.88,160.67,888000,0.0,0
2019-09-26,160.48,163.13,160.48,161.73,986800,0.0,0
2019-09-27,163.02,164.7,161.24,164.46,757700,0.0,0
2019-09-30,160.26,163.42,158.29,163.03,1149700,0.0,0
2019-10-01,164.58,166.13,160.33,160.54,959500,0.0,0
2019-10-02,158.86,158.86,152.13,154.15,1651600,0.0,0
2019-10-03,153.43,156.77,151.41,156.66,815000,0.0,0
2019-10-04,156.7,157.71,155.2,157.65,486800,0.0,0
2019-10-07,157.52,157.67,155.13,155.25,664900,0.0,0
2019-10-08,153.13,153.62,151.03,151.63,593700,0.0,0
2019-10-09,153.32,153.32,151.31,152.25,760200,0.0,0
2019-10-10,151.92,154.87,150.97,153.13,667900,0.0,0
2019-10-11,156.37,164.47,156.37,162.33,1504600,0.0,0
2019-10-14,160.65,162.92,158.96,162.36,469700,0.0,0
2019-10-15,162.93,166.49,162.16,165.57,875700,0.0,0
2019-10-16,164.53,166.01,163.08,163.17,780200,0.0,0
2019-10-17,164.85,167.27,164.24,164.57,691100,0.0,0
2019-10-18,164.85,167.93,164.69,167.37,971700,0.0,0
2019-10-21,168.03,169.89,167.92,169.77,533800,0.0,0
2019-10-22,169.53,171.65,167.98,169.14,811300,0.0,0
2019-10-23,169.83,172.12,168.49,170.38,760400,0.0,0
2019-10-24,171.37,172.57,170.02,171.76,551600,0.0,0
2019-10-25,173.11,175.9,171.96,175.47,716400,0.0,0
2019-10-28,176.79,177.39,173.64,174.84,790100,0.0,0
2019-10-29,173.75,175.68,172.7,173.06,965100,0.0,0
2019-10-30,172.66,173.33,170.07,173.31,802700,0.0,0
2019-10-31,172.94,173.31,169.05,170.14,658200,0.0,0
2019-11-01,171.52,175.79,171.44,175.79,661900,0.0,0
2019-11-04,178.03,179.97,177.04,179.89,777900,0.0,0
2019-11-05,180.12,181.39,179.01,179.91,802200,0.0,0
2019-11-06,179.5,179.51,175.77,176.5,1123700,0.0,0
2019-11-07,178.49,178.89,175.77,176.13,1058400,0.0,0
2019-11-08,175.74,177.25,175.38,176.92,627300,1.02,0
2019-11-11,176.22,180.08,175.94,178.29,1210100,0.0,0
2019-11-12,200.01,206.06,195.34,197.01,4132200,0.0,0
2019-11-13,194.69,200.19,193.57,197.07,1513300,0.0,0
2019-11-14,197.32,198.89,196.08,197.74,1211200,0.0,0
2019-11-15,198.59,199.86,197.32,199.25,825900,0.0,0
2019-11-18,198.4,198.99,195.9,196.67,1156200,0.0,0
2019-11-19,194.98,197.53,194.37,195.67,738800,0.0,0
2019-11-20,195.23,196.76,193.79,195.22,1123700,0.0,0
2019-11-21,194.49,195.66,193.53,194.22,936200,0.0,0
2019-11-22,195.24,195.54,193.12,193.81,631500,0.0,0
2019-11-25,194.07,196.42,193.38,194.73,914400,0.0,0
2019-11-26,194.18,195.48,193.0,195.32,902600,0.0,0
2019-11-27,196.68,196.68,194.28,195.42,659500,0.0,0
2019-11-29,195.27,196.3,193.84,194.85,330800,0.0,0
2019-12-02,195.68,197.61,192.79,192.99,592100,0.0,0
2019-12-03,190.17,193.84,189.25,193.06,966500,0.0,0
2019-12-04,193.63,196.56,193.57,194.02,911100,0.0,0
2019-12-05,195.03,195.65,194.33,195.43,543600,0.0,0
2019-12-06,198.05,198.7,196.86,197.18,635800,0.0,0
2019-12-09,197.23,199.29,197.23,197.75,891700,0.0,0
2019-12-10,197.36,199.71,196.34,198.74,641500,0.0,0
2019-12-11,200.08,202.54,199.23,202.23,720300,0.0,0
2019-12-12,201.83,204.65,200.48,204.43,828900,0.0,0
2019-12-13,204.58,205.9,201.15,202.44,938500,0.0,0
2019-12-16,203.91,204.95,202.07,203.37,963000,0.0,0
2019-12-17,202.83,203.82,200.66,202.59,908300,0.0,0
2019-12-18,203.37,203.79,201.36,202.82,1039300,0.0,0
2019-12-19,202.65,203.11,201.22,201.81,893300,0.0,0
2019-12-20,203.05,203.42,201.05,203.31,1256100,0.0,0
2019-12-23,200.9,203.48,199.81,203.26,1001600,0.0,0
2019-12-24,203.62,203.62,201.25,201.81,253900,0.0,0
2019-12-26,202.25,203.18,200.35,203.18,297600,0.0,0
2019-12-27,203.59,203.68,201.54,201.94,451100,0.0,0
2019-12-30,202.26,203.24,201.64,201.9,337000,0.0,0
2019-12-31,201.51,203.08,201.3,201.64,436300,0.0,0
2020-01-02,202.79,204.6,201.57,204.6,638200,0.0,0
2020-01-03,200.89,202.2,199.49,201.61,542600,0.0,0
2020-01-06,200.46,203.28,199.9,203.21,1006900,0.0,0
2020-01-07,203.46,204.23,201.22,202.8,708700,0.0,0
2020-01-08,201.75,205.75,199.5,204.34,671100,0.0,0
2020-01-09,205.66,206.89,203.93,206.12,676100,0.0,0
2020-01-10,205.99,206.57,203.66,204.05,777200,0.0,0
2020-01-13,203.96,205.55,203.61,205.53,547400,0.0,0
2020-01-14,205.53,205.53,201.27,201.87,805000,0.0,0
2020-01-15,201.48,204.38,200.62,201.2,711600,0.0,0
2020-01-16,202.6,204.28,201.54,204.22,562900,0.0,0
2020-01-17,204.74,205.5,203.45,203.7,594600,0.0,0
2020-01-21,202.49,203.28,200.35,200.77,719200,0.0,0
2020-01-22,202.6,202.84,198.08,198.37,682900,0.0,0
2020-01-23,198.66,201.74,195.75,201.27,766200,0.0,0
2020-01-24,201.72,202.12,196.87,198.71,631200,0.0,0
2020-01-27,194.34,195.09,192.63,192.94,835600,0.0,0
2020-01-28,194.81,196.44,193.18,195.67,1165300,0.0,0
2020-01-29,195.01,198.38,192.35,195.18,1163000,0.0,0
2020-01-30,193.4,195.35,188.8,193.82,1151100,0.0,0
2020-01-31,192.47,193.32,189.43,190.69,1250400,0.0,0
2020-02-03,191.87,196.16,191.51,193.57,1019900,0.0,0
2020-02-04,197.65,201.97,197.65,201.36,843400,0.0,0
2020-02-05,203.89,204.89,202.38,204.23,762800,0.0,0
2020-02-06,205.39,205.39,202.62,203.99,491700,0.0,0
2020-02-07,202.6,203.25,201.05,201.69,583100,0.0,0
2020-02-10,200.84,202.92,200.4,202.79,500000,0.0,0
2020-02-11,203.4,204.84,202.47,202.93,534700,0.0,0
2020-02-12,204.66,205.41,202.74,204.81,614700,0.0,0
2020-02-13,203.51,204.87,199.61,200.13,572300,0.0,0
2020-02-14,200.64,201.24,198.65,200.68,455000,1.02,0
2020-02-18,199.45,199.92,197.07,198.74,560700,0.0,0
2020-02-19,199.69,200.55,197.2,200.36,678000,0.0,0
2020-02-20,200.12,205.43,199.68,205.31,893000,0.0,0
2020-02-21,203.47,209.61,202.22,209.37,1162600,0.0,0
2020-02-24,200.94,203.38,199.8,202.76,1502400,0.0,0
2020-02-25,203.56,204.82,196.09,196.87,1120400,0.0,0
2020-02-26,198.58,201.99,194.89,195.16,854900,0.0,0
2020-02-27,189.89,195.04,186.11,186.2,1363500,0.0,0
2020-02-28,179.58,184.42,177.75,183.5,1587700,0.0,0
2020-03-02,184.67,191.07,183.28,190.59,1649800,0.0,0
2020-03-03,190.4,198.1,183.58,183.94,1629200,0.0,0
2020-03-04,187.37,192.67,185.0,192.25,991400,0.0,0
2020-03-05,185.52,189.56,182.76,183.4,1228100,0.0,0
2020-03-06,177.69,180.94,174.5,178.85,1321100,0.0,0
2020-03-09,156.42,165.46,151.45,152.64,2230900,0.0,0
2020-03-10,158.26,169.45,154.28,169.4,1722300,0.0,0
2020-03-11,157.44,164.46,156.21,159.09,1761000,0.0,0
2020-03-12,145.13,157.23,144.97,149.59,2491800,0.0,0
2020-03-13,157.88,166.35,152.28,166.18,2179400,0.0,0
2020-03-16,146.17,163.83,145.27,153.31,1858400,0.0,0
2020-03-17,156.36,159.13,148.1,155.16,1989500,0.0,0
2020-03-18,143.57,144.01,116.98,128.56,2301800,0.0,0
2020-03-19,127.26,137.8,119.9,135.08,1841100,0.0,0
