Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,40.06,40.72,39.99,40.66,496000,0.0,0
2019-03-22,40.52,40.58,39.95,39.96,665200,0.0,0
2019-03-25,39.93,40.41,39.81,40.15,937800,0.0,0
2019-03-26,40.25,40.65,40.14,40.56,679800,0.0,0
2019-03-27,40.57,40.9,40.48,40.78,849800,0.0,0
2019-03-28,40.89,41.32,40.68,41.26,577000,0.0,0
2019-03-29,41.31,41.43,41.07,41.19,1244800,0.0,0
2019-04-01,41.41,41.57,41.19,41.52,671100,0.0,0
2019-04-02,41.56,41.58,41.24,41.44,754200,0.0,0
2019-04-03,41.59,41.95,41.51,41.72,491100,0.0,0
2019-04-04,41.74,41.76,41.02,41.27,605600,0.0,0
2019-04-05,41.35,41.47,41.12,41.31,710800,0.0,0
2019-04-08,41.26,41.4,40.96,41.38,595900,0.0,0
2019-04-09,41.25,41.41,41.16,41.24,326800,0.0,0
2019-04-10,41.27,41.5,41.22,41.41,399100,0.0,0
2019-04-11,41.58,42.15,41.47,41.97,936300,0.0,0
2019-04-12,42.06,42.52,41.99,42.48,1127200,0.0,0
2019-04-15,42.6,42.9,42.55,42.61,729700,0.0,0
2019-04-16,42.76,42.83,42.56,42.7,539800,0.0,0
2019-04-17,42.76,42.87,42.37,42.5,555100,0.0,0
2019-04-18,42.45,42.95,42.45,42.85,695300,0.0,0
2019-04-22,42.85,43.08,42.58,43.0,546300,0.0,0
2019-04-23,43.08,43.45,42.99,43.3,1349100,0.0,0
2019-04-24,41.42,41.47,38.71,38.94,5065900,0.0,0
2019-04-25,38.95,39.16,38.37,38.7,3038000,0.0,0
2019-04-26,38.93,38.94,38.45,38.69,1348600,0.0,0
2019-04-29,38.7,38.77,38.3,38.5,1159200,0.0,0
2019-04-30,38.57,38.6,38.08,38.27,1482500,0.0,0
2019-05-01,38.28,38.28,36.65,36.75,2019000,0.0,0
2019-05-02,36.77,37.36,36.51,37.13,3476800,0.0,0
2019-05-03,37.24,37.83,36.89,37.47,1601200,0.0,0
2019-05-06,36.99,37.29,36.84,37.18,894400,0.0,0
2019-05-07,36.86,37.01,36.15,36.37,1677400,0.0,0
2019-05-08,36.3,36.6,36.21,36.35,1432000,0.0,0
2019-05-09,36.1,36.35,35.41,36.2,1308700,0.105,0
2019-05-10,36.08,36.26,35.51,36.17,1301400,0.0,0
2019-05-13,35.62,35.74,35.19,35.43,1054200,0.0,0
2019-05-14,35.58,36.09,35.58,35.86,1039000,0.0,0
2019-05-15,35.52,36.14,35.44,36.05,721400,0.0,0
2019-05-16,36.15,36.64,36.11,36.62,1059300,0.0,0
2019-05-17,36.3,37.01,36.27,36.6,1459700,0.0,0
2019-05-20,36.46,36.78,36.46,36.74,875800,0.0,0
2019-05-21,36.98,37.33,36.92,37.26,757000,0.0,0
2019-05-22,37.23,37.62,37.11,37.22,811000,0.0,0
2019-05-23,36.99,36.99,36.22,36.58,1057900,0.0,0
2019-05-24,36.84,37.0,36.55,36.75,555500,0.0,0
2019-05-28,36.87,37.01,36.19,36.3,1854300,0.0,0
2019-05-29,36.12,36.7,35.97,36.64,1072500,0.0,0
2019-05-30,36.72,37.49,36.69,37.45,963400,0.0,0
2019-05-31,37.05,37.62,37.0,37.29,1351600,0.0,0
2019-06-03,37.24,37.65,36.85,37.04,1695000,0.0,0
2019-06-04,37.15,37.72,37.07,37.68,820800,0.0,0
2019-06-05,37.87,37.92,37.32,37.7,856900,0.0,0
2019-06-06,37.69,37.85,37.32,37.68,741700,0.0,0
2019-06-07,37.92,38.52,37.7,38.2,940700,0.0,0
2019-06-10,38.37,38.58,37.88,37.93,762800,0.0,0
2019-06-11,38.0,38.04,37.07,37.26,932100,0.0,0
2019-06-12,37.29,37.62,37.29,37.5,815100,0.0,0
2019-06-13,37.61,37.77,37.32,37.47,548600,0.0,0
2019-06-14,37.42,37.49,37.1,37.37,688800,0.0,0
2019-06-17,37.45,37.68,37.18,37.2,565600,0.0,0
2019-06-18,37.32,37.64,37.32,37.41,1018900,0.0,0
2019-06-19,37.39,37.64,37.23,37.56,966500,0.0,0
2019-06-20,37.71,37.97,37.49,37.68,1275700,0.0,0
2019-06-21,37.56,37.58,37.23,37.3,1336400,0.0,0
2019-06-24,37.15,37.41,36.32,36.37,1336600,0.0,0
2019-06-25,36.39,36.59,36.08,36.36,1513300,0.0,0
2019-06-26,34.52,35.17,33.74,35.14,7091900,0.0,0
2019-06-27,35.14,36.59,35.13,36.35,4129700,0.0,0
2019-06-28,36.33,36.33,35.04,35.6,3635300,0.0,0
2019-07-01,35.84,36.29,35.74,35.97,1175000,0.0,0
2019-07-02,35.96,36.78,35.96,36.4,1866400,0.0,0
2019-07-03,36.57,36.96,36.55,36.78,702900,0.0,0
2019-07-05,36.72,36.94,36.51,36.91,794000,0.0,0
2019-07-08,36.81,36.92,36.44,36.78,1253700,0.0,0
2019-07-09,36.64,36.77,36.33,36.74,750900,0.0,0
2019-07-10,36.71,37.22,36.71,36.95,958700,0.0,0
2019-07-11,37.0,37.1,36.71,36.99,520800,0.0,0
2019-07-12,37.02,37.29,36.64,37.18,662700,0.0,0
2019-07-15,37.18,37.57,37.11,37.39,690900,0.0,0
2019-07-16,37.35,37.81,37.35,37.49,818900,0.0,0
2019-07-17,37.5,37.95,37.44,37.51,839900,0.0,0
2019-07-18,37.49,37.81,37.42,37.61,672600,0.0,0
2019-07-19,37.78,37.81,37.49,37.53,944300,0.0,0
2019-07-22,37.52,37.99,37.32,37.74,1152900,0.0,0
2019-07-23,37.95,38.05,37.5,37.86,1909200,0.0,0
2019-07-24,37.25,37.25,33.55,33.9,8937400,0.0,0
2019-07-25,33.44,34.4,32.81,33.76,2483900,0.0,0
2019-07-26,33.93,34.23,32.75,34.0,2540700,0.0,0
2019-07-29,34.0,34.43,33.47,33.62,1181000,0.0,0
2019-07-30,33.55,34.03,33.36,33.75,1631500,0.0,0
2019-07-31,33.74,33.95,33.16,33.28,986300,0.0,0
2019-08-01,33.32,33.82,32.76,32.82,1899700,0.0,0
2019-08-02,32.68,32.89,32.31,32.76,1835300,0.0,0
2019-08-05,32.26,32.49,31.63,31.91,2261400,0.0,0
2019-08-06,32.09,32.72,31.92,32.26,2711200,0.0,0
2019-08-07,31.98,32.6,31.57,32.47,2270500,0.0,0
2019-08-08,32.79,33.12,32.53,33.07,1233300,0.105,0
2019-08-09,33.09,33.23,32.78,32.79,747100,0.0,0
2019-08-12,32.63,32.75,32.08,32.36,949200,0.0,0
2019-08-13,32.16,32.73,32.12,32.42,823900,0.0,0
2019-08-14,32.02,32.4,31.88,32.06,1540700,0.0,0
2019-08-15,32.2,32.47,31.99,32.41,1043100,0.0,0
2019-08-16,32.62,33.39,32.62,32.91,1474900,0.0,0
2019-08-19,33.23,33.33,32.83,33.11,1075800,0.0,0
2019-08-20,32.94,33.15,32.58,33.02,1332100,0.0,0
2019-08-21,33.28,33.32,32.93,33.09,778700,0.0,0
2019-08-22,33.05,33.25,32.78,32.87,844800,0.0,0
2019-08-23,32.63,32.74,31.69,31.83,1198700,0.0,0
2019-08-26,31.9,32.15,31.48,31.58,1377800,0.0,0
2019-08-27,31.87,32.44,31.35,31.39,1239900,0.0,0
2019-08-28,31.29,31.87,31.22,31.85,942800,0.0,0
2019-08-29,32.17,32.56,32.17,32.5,891100,0.0,0
2019-08-30,32.69,32.85,32.49,32.67,1190100,0.0,0
2019-09-03,32.42,33.03,32.41,33.0,1883300,0.0,0
2019-09-04,33.26,33.51,32.97,33.43,1312200,0.0,0
2019-09-05,33.78,34.48,33.68,34.05,2449200,0.0,0
2019-09-06,34.06,34.22,33.64,33.77,1052500,0.0,0
2019-09-09,33.9,34.19,33.6,34.17,1144600,0.0,0
2019-09-10,34.07,34.61,33.72,34.41,1574300,0.0,0
2019-09-11,34.49,34.8,34.31,34.66,1193900,0.0,0
2019-09-12,34.65,34.72,34.42,34.57,898800,0.0,0
2019-09-13,34.78,34.82,34.16,34.39,962600,0.0,0
2019-09-16,34.22,34.6,34.14,34.49,1272100,0.0,0
2019-09-17,34.54,34.89,34.46,34.85,1319300,0.0,0
2019-09-18,34.84,34.84,34.07,34.42,1408700,0.0,0
2019-09-19,34.47,34.71,34.34,34.61,1020600,0.0,0
2019-09-20,34.7,34.92,34.39,34.4,3315700,0.0,0
2019-09-23,34.38,34.6,33.86,33.93,1308400,0.0,0
2019-09-24,34.03,34.13,33.67,33.94,1223200,0.0,0
2019-09-25,34.11,34.32,33.78,33.84,1157300,0.0,0
2019-09-26,33.85,33.99,33.57,33.67,1182800,0.0,0
