Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,90.42,90.98,90.1,90.57,1520200,0.0,0
2019-03-22,90.14,90.53,88.55,88.62,2318100,0.0,0
2019-03-25,88.33,89.74,88.12,88.88,1610300,0.0,0
2019-03-26,89.34,90.24,89.12,89.97,1837800,0.0,0
2019-03-27,90.07,91.4,89.82,90.73,2328600,0.0,0
2019-03-28,91.15,92.05,90.53,90.97,1923200,0.0,0
2019-03-29,91.52,92.56,91.13,92.15,2146800,0.0,0
2019-04-01,92.81,93.38,91.99,93.3,2556600,0.0,0
2019-04-02,93.16,93.28,92.5,92.8,2011000,0.0,0
2019-04-03,93.4,94.14,92.63,94.01,1717500,0.0,0
2019-04-04,94.09,96.61,94.0,96.49,1971000,0.0,0
2019-04-05,96.79,97.92,96.5,97.41,2329500,0.0,0
2019-04-08,97.2,97.98,96.62,97.66,1427700,0.0,0
2019-04-09,96.97,97.43,96.35,96.56,1291100,0.0,0
2019-04-10,97.06,97.74,96.68,97.34,1570600,0.0,0
2019-04-11,97.61,97.94,96.1,96.63,1929500,0.0,0
2019-04-12,96.82,97.38,96.01,96.38,1913200,0.0,0
2019-04-15,96.29,97.35,96.01,97.01,1447900,0.0,0
2019-04-16,97.46,98.15,97.06,97.87,1333800,0.0,0
2019-04-17,98.31,99.1,98.17,98.9,1551500,0.0,0
2019-04-18,99.43,99.74,98.8,98.98,2393700,0.0,0
2019-04-22,98.58,98.99,96.14,96.78,1565700,0.0,0
2019-04-23,97.23,97.36,96.24,96.86,2080100,0.0,0
2019-04-24,96.94,98.52,96.71,97.56,2416000,0.0,0
2019-04-25,96.58,97.72,96.2,97.02,1489900,0.0,0
2019-04-26,97.32,97.62,96.51,97.55,1450900,0.0,0
2019-04-29,97.43,98.79,97.14,97.27,1630500,0.0,0
2019-04-30,97.27,97.43,96.1,96.66,2314200,0.0,0
2019-05-01,96.51,96.64,94.82,94.9,1887100,0.0,0
