Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,176.17,178.93,175.53,178.39,1101700,0.0,0
2019-03-22,177.6,178.09,176.45,176.49,1791100,0.0,0
2019-03-25,176.59,178.25,176.08,177.1,1021300,0.0,0
2019-03-26,177.99,179.03,176.22,177.39,1088500,0.0,0
2019-03-27,177.99,178.74,175.75,176.32,1232400,0.0,0
2019-03-28,177.01,177.48,175.67,177.44,1014800,0.0,0
2019-03-29,178.33,178.93,177.21,178.53,1296700,0.0,0
2019-04-01,179.98,181.47,179.44,181.16,1291800,0.0,0
2019-04-02,181.96,183.76,181.52,182.19,3128800,0.0,0
2019-04-03,180.44,181.37,173.51,173.92,4728000,0.0,0
2019-04-04,174.12,176.4,173.0,173.5,2572400,0.0,0
2019-04-05,173.72,176.22,172.69,176.13,2395500,0.0,0
2019-04-08,176.02,178.25,175.19,178.09,1793700,0.0,0
2019-04-09,177.49,177.95,176.29,176.47,1498400,0.9425,0
2019-04-10,176.47,177.01,175.09,176.04,1470200,0.0,0
2019-04-11,176.43,179.24,176.17,178.85,1376800,0.0,0
2019-04-12,180.19,182.07,179.5,181.76,1372800,0.0,0
2019-04-15,181.71,181.99,179.7,180.14,1198400,0.0,0
2019-04-16,180.22,181.39,179.66,179.74,996300,0.0,0
2019-04-17,180.69,181.05,177.09,178.09,1991200,0.0,0
2019-04-18,178.53,180.79,177.91,179.87,1198400,0.0,0
2019-04-22,179.21,180.9,178.83,179.88,933600,0.0,0
2019-04-23,182.4,185.79,182.34,184.89,2442600,0.0,0
2019-04-24,186.09,186.09,182.6,182.79,1941000,0.0,0
2019-04-25,178.8,179.39,171.72,174.82,4058700,0.0,0
2019-04-26,175.47,177.54,174.21,174.88,2170500,0.0,0
2019-04-29,174.75,176.13,172.89,172.91,1352200,0.0,0
2019-04-30,173.06,175.5,172.98,175.04,1381100,0.0,0
2019-05-01,175.87,178.04,173.67,173.81,1358100,0.0,0
2019-05-02,174.16,175.13,172.89,174.5,1654900,0.0,0
2019-05-03,175.42,177.09,175.33,176.73,1133500,0.0,0
2019-05-06,174.61,178.34,173.98,178.02,1825300,0.0,0
2019-05-07,176.4,177.57,174.5,175.91,2830700,0.0,0
2019-05-08,175.52,177.51,174.51,176.36,2010000,0.0,0
2019-05-09,174.98,177.46,174.02,177.41,1698200,0.0,0
2019-05-10,176.08,177.95,174.2,177.65,1424600,0.0,0
2019-05-13,174.14,176.39,173.77,176.04,2032200,0.0,0
2019-05-14,176.43,177.06,174.89,175.33,1505900,0.0,0
2019-05-15,174.87,175.42,171.15,174.73,1690700,0.0,0
2019-05-16,174.9,177.54,174.45,176.86,1257800,0.0,0
2019-05-17,175.0,176.6,174.26,174.53,1328400,0.0,0
2019-05-20,174.43,179.14,174.05,178.08,1747600,0.0,0
2019-05-21,179.36,181.26,177.7,180.01,1760100,0.0,0
2019-05-22,179.6,179.6,177.55,177.94,1362300,0.0,0
2019-05-23,176.51,177.35,174.46,177.13,1823600,0.0,0
2019-05-24,177.46,178.17,175.1,177.42,1330300,0.0,0
2019-05-28,177.41,178.73,175.46,175.99,3752900,0.0,0
2019-05-29,175.44,176.22,173.39,175.0,1524000,0.0,0
2019-05-30,175.0,176.43,173.39,173.91,1571000,0.0,0
2019-05-31,173.03,173.53,170.96,171.99,2193700,0.0,0
2019-06-03,171.99,175.52,171.51,173.67,1550500,0.0,0
2019-06-04,174.27,177.5,174.27,176.49,2111900,0.0,0
2019-06-05,177.42,179.73,175.88,179.71,1320200,0.0,0
2019-06-06,179.9,181.87,178.85,180.98,1486000,0.0,0
2019-06-07,181.31,183.31,181.17,183.24,1025100,0.0,0
2019-06-10,190.3,191.21,183.67,184.5,5928600,0.0,0
2019-06-11,185.28,185.3,174.06,175.07,4706000,0.0,0
2019-06-12,174.65,174.82,170.7,174.46,2797300,0.0,0
2019-06-13,174.47,174.96,167.82,174.58,3689500,0.0,0
2019-06-14,175.06,177.12,173.5,174.8,1867400,0.0,0
2019-06-17,174.79,177.83,172.72,177.23,1322200,0.0,0
2019-06-18,177.67,178.84,175.96,177.41,1662500,0.0,0
2019-06-19,177.42,178.37,176.06,176.51,1748500,0.0,0
2019-06-20,178.16,180.19,175.89,179.53,2632000,0.0,0
2019-06-21,180.26,180.74,177.03,180.5,3680300,0.0,0
2019-06-24,180.06,182.06,178.21,181.38,2025900,0.0,0
2019-06-25,180.91,181.1,176.87,177.19,3472200,0.0,0
2019-06-26,177.3,178.53,175.73,176.15,2242700,0.0,0
2019-06-27,176.43,177.09,175.16,175.5,1000700,0.0,0
2019-06-28,175.88,175.88,170.8,171.38,4415000,0.0,0
2019-07-01,172.49,172.5,167.68,168.57,2628500,0.0,0
2019-07-02,168.91,170.4,167.2,170.32,2820000,0.0,0
2019-07-03,170.9,171.0,168.83,170.96,1266900,0.0,0
2019-07-05,170.39,171.71,169.66,171.16,1496900,0.0,0
2019-07-08,170.52,171.37,169.74,171.28,1640000,0.0,0
2019-07-09,170.97,173.56,168.81,173.37,2617500,0.9425,0
2019-07-10,173.36,175.69,173.16,175.41,1626000,0.0,0
2019-07-11,175.1,177.4,174.43,176.48,1613800,0.0,0
2019-07-12,177.54,177.67,176.19,177.53,1545800,0.0,0
2019-07-15,177.53,177.95,175.74,176.53,1560100,0.0,0
2019-07-16,176.69,178.92,176.4,178.44,1987100,0.0,0
2019-07-17,178.07,178.3,175.79,176.65,1268800,0.0,0
2019-07-18,176.34,176.59,171.61,174.51,2501100,0.0,0
2019-07-19,175.24,177.93,173.4,176.97,3489100,0.0,0
2019-07-22,176.92,179.52,176.27,178.94,2004300,0.0,0
2019-07-23,181.13,181.46,177.74,179.69,2193300,0.0,0
2019-07-24,179.37,183.47,179.09,182.54,2740300,0.0,0
2019-07-25,188.16,191.63,186.71,190.9,3230400,0.0,0
2019-07-26,189.97,191.24,187.54,188.09,1624100,0.0,0
2019-07-29,188.79,188.79,185.66,187.98,1319500,0.0,0
2019-07-30,187.72,187.88,183.96,184.35,1223300,0.0,0
2019-07-31,184.51,184.51,179.16,180.65,1845500,0.0,0
2019-08-01,180.46,181.81,177.8,177.97,1702800,0.0,0
2019-08-02,178.14,179.08,174.98,177.66,1266000,0.0,0
2019-08-05,174.86,179.75,174.42,178.53,2507300,0.0,0
2019-08-06,179.48,183.41,178.83,183.17,2301400,0.0,0
2019-08-07,180.84,183.79,180.05,182.88,1398200,0.0,0
2019-08-08,183.94,187.04,183.34,186.57,1372200,0.0,0
2019-08-09,186.07,187.23,184.26,185.17,1109000,0.0,0
2019-08-12,183.65,184.83,181.06,181.89,1096500,0.0,0
2019-08-13,182.42,183.36,180.8,181.95,1362100,0.0,0
2019-08-14,180.62,181.21,175.83,176.86,1464800,0.0,0
2019-08-15,176.95,178.12,173.92,176.92,1451300,0.0,0
2019-08-16,178.32,178.38,175.87,176.59,1888400,0.0,0
2019-08-19,177.39,180.33,177.03,177.58,1739000,0.0,0
2019-08-20,178.76,184.18,178.76,183.77,2402600,0.0,0
2019-08-21,183.61,184.77,181.25,183.41,1806300,0.0,0
2019-08-22,183.99,185.68,181.08,185.3,1312400,0.0,0
2019-08-23,185.12,185.99,178.06,178.91,1319000,0.0,0
2019-08-26,180.6,180.84,176.96,180.08,1456000,0.0,0
2019-08-27,180.17,180.5,174.36,176.79,1700000,0.0,0
2019-08-28,176.03,178.41,174.67,177.81,778900,0.0,0
2019-08-29,180.09,181.15,175.94,181.09,1341500,0.0,0
2019-08-30,181.14,184.28,180.66,183.66,1188800,0.0,0
2019-09-03,182.56,182.67,179.47,180.45,1316800,0.0,0
2019-09-04,182.03,182.56,180.93,181.75,993900,0.0,0
2019-09-05,182.84,185.62,182.62,183.61,1203900,0.0,0
2019-09-06,184.33,189.56,184.11,188.75,1860300,0.0,0
2019-09-09,189.08,191.24,187.5,187.71,1498700,0.0,0
2019-09-10,187.87,191.98,187.1,191.24,2008100,0.0,0
2019-09-11,191.04,192.2,189.93,191.39,1235900,0.0,0
2019-09-12,192.08,197.2,191.41,195.68,1949500,0.0,0
2019-09-13,197.21,200.88,196.5,196.94,1869400,0.0,0
2019-09-16,202.42,203.44,199.75,202.23,2629100,0.0,0
2019-09-17,199.19,202.23,196.26,199.2,2117500,0.0,0
2019-09-18,198.84,199.12,196.22,198.51,1369400,0.0,0
2019-09-19,197.85,199.7,197.46,197.54,1036700,0.0,0
2019-09-20,197.9,198.76,192.81,193.18,2209000,0.0,0
2019-09-23,193.15,196.99,192.48,194.97,1376400,0.0,0
2019-09-24,195.67,197.41,191.28,193.88,2460300,0.0,0
