Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,191.22,195.38,190.72,195.18,810500,0.0,0
2019-03-22,194.21,197.24,194.21,196.22,999200,0.0,0
2019-03-25,196.42,196.86,194.52,194.69,759800,0.0,0
2019-03-26,195.99,195.99,193.51,194.11,655200,0.0,0
2019-03-27,194.56,194.56,191.7,192.87,824500,0.0,0
2019-03-28,193.01,194.27,191.55,194.04,1077200,0.0,0
2019-03-29,194.05,199.13,193.25,198.75,1491800,0.0,0
2019-04-01,199.31,199.31,195.32,197.01,1041500,0.0,0
2019-04-02,197.15,199.59,196.15,198.73,758300,0.0,0
2019-04-03,198.86,200.65,197.11,199.21,571200,0.0,0
2019-04-04,199.6,200.04,197.12,197.23,922200,0.0,0
2019-04-05,196.77,200.25,196.57,200.09,699200,0.0,0
2019-04-08,200.1,201.26,198.95,200.57,530800,0.0,0
2019-04-09,200.49,201.87,198.99,200.27,612200,0.0,0
2019-04-10,200.81,202.05,200.34,201.61,443500,0.0,0
2019-04-11,202.0,202.71,200.85,202.39,505200,0.0,0
2019-04-12,201.81,203.41,199.77,203.31,419800,0.0,0
2019-04-15,202.82,203.13,201.02,202.18,424600,0.0,0
2019-04-16,202.95,203.01,196.93,197.97,483700,0.0,0
2019-04-17,199.09,200.15,196.13,196.4,667100,0.0,0
2019-04-18,196.63,198.04,193.03,197.28,630300,0.0,0
2019-04-22,196.58,198.73,195.48,198.46,472600,0.0,0
2019-04-23,198.35,199.95,197.25,199.07,454000,0.0,0
2019-04-24,199.31,201.08,198.14,199.92,387300,0.0,0
2019-04-25,199.52,199.92,197.43,198.62,435400,0.0,0
2019-04-26,198.77,200.34,198.43,200.15,390600,0.0,0
2019-04-29,199.74,200.56,198.32,198.9,639500,0.0,0
2019-04-30,198.7,203.19,196.96,202.8,892400,0.0,0
2019-05-01,202.01,206.25,201.76,202.88,768100,0.0,0
2019-05-02,202.2,204.21,202.2,203.26,853200,0.0,0
2019-05-03,204.04,206.33,203.44,205.98,529000,0.0,0
2019-05-06,205.58,206.56,204.07,205.1,390100,0.0,0
2019-05-07,204.67,205.17,201.6,203.42,665300,0.0,0
2019-05-08,203.08,207.55,203.08,206.99,729800,0.0,0
2019-05-09,206.06,207.15,204.28,206.36,551700,0.0,0
2019-05-10,206.26,209.77,205.42,209.43,591500,0.0,0
2019-05-13,207.2,209.18,206.82,208.32,433200,0.0,0
2019-05-14,208.9,211.99,208.07,208.51,479900,0.0,0
2019-05-15,206.39,210.11,206.33,209.44,572300,0.0,0
2019-05-16,210.08,212.7,209.54,211.34,424800,0.0,0
2019-05-17,209.85,213.96,208.82,209.02,525700,0.0,0
2019-05-20,206.51,206.51,198.31,202.3,1491200,0.0,0
2019-05-21,203.41,205.46,203.06,204.56,701500,0.0,0
2019-05-22,204.64,206.2,204.64,205.9,468500,0.0,0
2019-05-23,205.11,209.33,204.46,209.07,440000,0.0,0
2019-05-24,210.4,211.21,207.75,207.79,492100,0.0,0
2019-05-28,207.94,209.33,202.87,202.9,1318100,0.0,0
2019-05-29,203.4,204.26,202.17,202.84,912200,0.0,0
2019-05-30,202.47,211.89,202.47,211.64,1054400,0.0,0
2019-05-31,211.31,217.06,210.9,215.42,994300,0.0,0
2019-06-03,216.56,216.91,212.7,216.43,762500,0.0,0
2019-06-04,216.92,217.38,213.76,216.47,492200,0.0,0
2019-06-05,217.01,219.9,215.43,219.71,608900,0.0,0
2019-06-06,219.99,221.28,217.51,220.47,465400,0.0,0
2019-06-07,220.98,222.29,219.4,219.49,462700,0.0,0
2019-06-10,219.16,220.74,216.98,220.53,460900,0.0,0
2019-06-11,221.32,222.58,218.89,222.25,410800,0.0,0
2019-06-12,222.15,225.96,222.15,225.82,791600,0.0,0
2019-06-13,225.47,226.43,222.35,223.48,855100,0.0,0
2019-06-14,224.04,226.94,222.62,225.47,788600,0.0,0
2019-06-17,225.77,227.69,224.65,226.71,926300,0.0,0
2019-06-18,227.71,229.9,227.47,228.5,782500,0.0,0
2019-06-19,228.74,233.26,228.56,232.42,596100,0.0,0
2019-06-20,233.83,235.48,231.77,232.61,524100,0.0,0
2019-06-21,231.19,232.24,229.47,230.85,837600,0.0,0
2019-06-24,231.67,233.93,229.75,231.46,441200,0.0,0
2019-06-25,232.13,232.77,227.04,227.29,437800,0.0,0
2019-06-26,226.84,226.84,221.47,222.48,607800,0.0,0
2019-06-27,222.04,224.83,222.04,223.8,364400,0.0,0
2019-06-28,223.98,223.98,221.59,223.81,832700,0.0,0
2019-07-01,226.44,226.44,220.09,223.96,616100,0.0,0
2019-07-02,225.23,229.69,224.73,229.37,639300,0.0,0
2019-07-03,229.47,233.75,229.25,233.22,313500,0.0,0
2019-07-05,231.52,232.95,227.99,231.55,381100,0.0,0
2019-07-08,229.95,233.6,229.95,232.36,360200,0.0,0
2019-07-09,232.16,234.26,232.16,233.68,564700,0.0,0
2019-07-10,234.14,235.4,232.7,234.89,509100,0.0,0
2019-07-11,234.58,235.82,232.48,234.11,429600,0.0,0
2019-07-12,235.23,235.34,230.73,232.9,374900,0.0,0
2019-07-15,232.6,234.46,231.88,234.2,538900,0.0,0
2019-07-16,234.15,234.6,230.78,231.25,465500,0.0,0
2019-07-17,232.47,233.58,229.01,230.79,432500,0.0,0
2019-07-18,228.38,231.77,227.0,230.74,847100,0.0,0
2019-07-19,230.78,232.45,227.14,227.36,445200,0.0,0
2019-07-22,227.82,230.98,226.57,229.25,578600,0.0,0
2019-07-23,229.8,232.19,228.61,232.11,393700,0.0,0
2019-07-24,231.65,233.57,226.85,233.01,602400,0.0,0
2019-07-25,232.98,233.39,230.52,232.72,340300,0.0,0
2019-07-26,232.67,236.01,231.92,235.74,412800,0.0,0
2019-07-29,235.91,237.75,234.33,235.9,901500,0.0,0
2019-07-30,247.73,247.91,237.09,247.3,1014600,0.0,0
2019-07-31,247.53,247.53,242.05,244.29,814500,0.0,0
2019-08-01,243.88,246.81,238.53,245.66,723800,0.0,0
2019-08-02,246.45,248.82,243.81,247.49,708900,0.0,0
2019-08-05,244.93,248.02,239.91,243.86,530600,0.0,0
2019-08-06,244.44,247.55,243.61,246.85,569200,0.0,0
2019-08-07,246.22,248.57,242.83,246.6,532800,0.0,0
2019-08-08,247.72,251.59,246.26,251.41,468200,0.0,0
2019-08-09,251.33,253.52,249.61,253.13,315100,0.0,0
2019-08-12,252.84,254.83,252.23,253.68,385500,0.0,0
