Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,41.61,41.88,41.3,41.72,6168400,0.0,0
2019-03-22,41.27,41.48,39.92,40.07,7892200,0.0,0
2019-03-25,39.4,40.14,39.36,40.07,6390000,0.0,0
2019-03-26,40.49,41.25,40.35,40.61,6500500,0.0,0
2019-03-27,40.6,40.83,39.99,40.27,5254400,0.0,0
2019-03-28,40.09,41.21,39.94,41.15,7419800,0.0,0
2019-03-29,41.73,41.84,40.77,41.11,7984800,0.0,0
2019-04-01,41.49,42.44,41.25,42.23,9717800,0.0,0
2019-04-02,42.36,42.88,41.84,41.97,6899400,0.0,0
2019-04-03,42.26,42.29,40.94,41.12,7230600,0.0,0
2019-04-04,40.95,41.61,40.62,41.61,6670900,0.0,0
2019-04-05,41.9,42.96,41.76,42.45,9149600,0.0,0
2019-04-08,42.6,43.62,42.55,43.56,11421400,0.0,0
2019-04-09,43.27,43.44,42.66,43.0,7577500,0.0,0
2019-04-10,43.21,43.4,42.83,42.97,6148800,0.0,0
2019-04-11,42.97,43.31,42.37,42.75,5291400,0.0,0
2019-04-12,43.4,43.82,43.0,43.07,8667000,0.0,0
2019-04-15,42.98,44.18,42.69,43.78,11178400,0.0,0
2019-04-16,44.0,44.86,43.97,44.66,7654400,0.0,0
2019-04-17,45.11,45.25,44.46,44.73,8346300,0.0,0
2019-04-18,45.41,46.11,42.94,42.98,15721600,0.0,0
2019-04-22,43.06,43.57,42.65,43.26,7901000,0.0,0
2019-04-23,43.09,43.48,42.71,43.29,8539400,0.0,0
2019-04-24,43.13,43.22,41.74,41.74,8941800,0.0,0
2019-04-25,41.65,41.69,40.73,40.85,9404900,0.0,0
2019-04-26,40.52,41.01,40.06,40.85,8527500,0.0,0
2019-04-29,40.89,41.86,40.8,40.97,8927300,0.0,0
2019-04-30,41.38,41.42,39.99,40.27,12163700,0.0,0
2019-05-01,40.22,40.46,39.0,39.03,10523300,0.0,0
2019-05-02,38.66,39.2,38.37,38.79,9108300,0.0,0
2019-05-03,39.21,39.44,38.78,38.94,7184800,0.0,0
2019-05-06,38.53,39.14,38.4,38.91,6571600,0.0,0
2019-05-07,38.45,38.45,37.71,38.3,10438900,0.0,0
2019-05-08,38.23,38.3,37.66,37.99,9237900,0.0,0
2019-05-09,37.66,38.16,37.26,37.99,12928500,0.0,0
2019-05-10,37.64,37.85,36.46,37.32,12810800,0.0,0
2019-05-13,36.68,36.94,35.5,36.0,16732200,0.0,0
2019-05-14,36.31,37.71,36.19,36.79,12042900,0.0,0
2019-05-15,36.24,37.21,36.23,37.1,10558400,0.0,0
2019-05-16,37.35,37.75,37.24,37.6,7632500,0.0,0
2019-05-17,37.27,37.5,36.74,36.81,7252400,0.0,0
2019-05-20,36.63,36.94,36.47,36.91,5922600,0.0,0
2019-05-21,37.07,37.48,36.76,37.27,6716300,0.0,0
2019-05-22,36.94,37.04,35.86,36.17,7429900,0.0,0
2019-05-23,35.41,35.41,34.72,35.37,12398900,0.0,0
2019-05-24,35.52,35.76,34.84,34.91,7665200,0.0,0
2019-05-28,35.0,35.03,34.38,34.44,11869600,0.0,0
2019-05-29,33.96,34.22,33.45,34.13,10072100,0.0,0
2019-05-30,34.0,34.23,33.13,33.19,11763600,0.0,0
2019-05-31,32.76,32.96,32.51,32.73,11445600,0.0,0
2019-06-03,33.01,33.63,32.86,33.48,9878700,0.0,0
2019-06-04,33.98,34.43,33.64,34.19,8021100,0.5,0
2019-06-05,34.27,34.31,33.2,33.43,9098900,0.0,0
2019-06-06,33.42,34.04,33.17,33.54,12356100,0.0,0
2019-06-07,33.88,34.59,33.69,34.07,12881200,0.0,0
2019-06-10,34.27,34.66,33.86,33.94,12121000,0.0,0
2019-06-11,34.53,35.42,34.26,35.11,12121500,0.0,0
2019-06-12,35.21,35.21,33.97,34.05,12258800,0.0,0
2019-06-13,34.62,35.37,34.37,35.2,14336200,0.0,0
2019-06-14,35.09,35.12,34.1,34.38,11571500,0.0,0
2019-06-17,34.23,35.15,34.15,35.08,7574600,0.0,0
2019-06-18,35.11,35.77,34.97,35.34,10127400,0.0,0
2019-06-19,35.5,35.53,34.75,34.94,10273200,0.0,0
2019-06-20,35.78,36.7,35.67,36.6,13067900,0.0,0
2019-06-21,36.71,37.23,36.44,37.2,16111400,0.0,0
2019-06-24,37.03,37.49,36.76,36.98,9348100,0.0,0
2019-06-25,36.92,37.07,36.46,36.92,7969100,0.0,0
2019-06-26,37.35,38.04,37.09,37.34,8362900,0.0,0
2019-06-27,37.49,37.65,37.18,37.42,6417500,0.0,0
2019-06-28,37.54,38.07,37.5,38.03,9742700,0.0,0
2019-07-01,38.68,38.88,37.57,37.63,13081000,0.0,0
2019-07-02,37.74,37.74,36.97,37.49,8732500,0.0,0
2019-07-03,37.45,37.81,37.22,37.79,4954500,0.0,0
2019-07-05,37.51,37.89,37.4,37.86,5885500,0.0,0
2019-07-08,37.73,38.37,37.59,38.17,10899100,0.0,0
2019-07-09,38.07,38.49,37.85,38.47,8699200,0.0,0
2019-07-10,38.86,39.13,38.55,38.87,7003300,0.0,0
2019-07-11,38.85,39.23,38.34,39.2,9695200,0.0,0
2019-07-12,39.34,39.62,38.95,39.05,6788100,0.0,0
2019-07-15,39.09,39.23,38.6,38.73,6903800,0.0,0
2019-07-16,38.61,39.0,38.16,38.34,9257000,0.0,0
2019-07-17,38.1,38.34,36.89,36.97,12523600,0.0,0
2019-07-18,36.54,37.11,36.32,37.11,13566200,0.0,0
2019-07-19,37.64,37.64,35.68,37.04,12811700,0.0,0
2019-07-22,37.43,38.05,36.96,37.79,10961200,0.0,0
2019-07-23,37.85,38.44,37.56,38.04,10610500,0.0,0
2019-07-24,37.93,38.94,37.87,38.59,10763300,0.0,0
2019-07-25,38.84,38.84,37.86,38.23,7701100,0.0,0
2019-07-26,38.18,38.57,37.97,38.29,6731100,0.0,0
2019-07-29,38.27,38.28,36.98,37.52,6549500,0.0,0
2019-07-30,37.31,38.05,36.93,37.85,9256500,0.0,0
2019-07-31,37.96,38.86,37.62,38.25,10673300,0.0,0
2019-08-01,37.68,37.75,36.43,36.85,13280000,0.0,0
2019-08-02,36.85,37.06,35.59,35.81,8738200,0.0,0
2019-08-05,35.11,35.21,34.35,34.44,10771600,0.0,0
2019-08-06,34.57,34.82,33.21,33.93,11639900,0.0,0
2019-08-07,33.13,33.5,32.48,33.24,12162700,0.0,0
2019-08-08,33.43,33.71,32.88,33.69,10805500,0.0,0
2019-08-09,33.69,33.77,32.77,33.04,7866600,0.0,0
2019-08-12,32.89,33.04,32.55,32.79,7506600,0.0,0
2019-08-13,32.63,34.22,32.4,33.14,11075400,0.0,0
2019-08-14,32.31,32.35,30.81,30.95,12761500,0.0,0
2019-08-15,30.72,30.76,29.77,30.29,20155700,0.0,0
2019-08-16,30.28,31.37,30.24,31.31,13561300,0.0,0
2019-08-19,32.09,32.84,32.0,32.63,11073600,0.0,0
2019-08-20,32.35,32.7,32.09,32.44,7770100,0.0,0
2019-08-21,32.76,32.95,32.17,32.24,6427200,0.0,0
2019-08-22,32.5,32.89,32.22,32.26,6975600,0.0,0
2019-08-23,31.72,31.89,30.53,30.65,13952100,0.0,0
2019-08-26,31.11,31.23,29.99,30.23,11611200,0.0,0
2019-08-27,30.55,30.63,29.81,29.9,10000600,0.0,0
2019-08-28,30.03,30.72,29.69,30.26,11557000,0.0,0
2019-08-29,30.59,31.28,30.47,30.87,12614300,0.0,0
2019-08-30,31.1,31.69,30.75,31.03,12443800,0.0,0
2019-09-03,30.3,30.96,30.24,30.83,9366900,0.5,0
2019-09-04,31.37,32.49,31.04,32.05,11018400,0.0,0
2019-09-05,32.43,33.82,32.34,33.1,12117900,0.0,0
2019-09-06,32.85,33.51,32.33,33.24,11976700,0.0,0
2019-09-09,33.53,35.44,33.37,35.21,13461600,0.0,0
2019-09-10,36.01,37.31,35.79,36.41,19638200,0.0,0
2019-09-11,36.58,37.74,36.04,36.27,17918600,0.0,0
2019-09-12,35.5,36.02,34.5,35.86,13089500,0.0,0
2019-09-13,36.38,37.01,35.77,36.28,8453300,0.0,0
2019-09-16,38.9,39.12,37.75,38.21,22533100,0.0,0
2019-09-17,37.83,37.87,36.46,37.1,13493400,0.0,0
2019-09-18,36.57,37.36,36.48,36.96,6949000,0.0,0
2019-09-19,37.42,37.5,36.58,36.7,6234900,0.0,0
2019-09-20,36.82,36.98,36.13,36.25,17917800,0.0,0
2019-09-23,35.78,36.45,35.57,36.28,5849400,0.0,0
2019-09-24,36.09,36.17,34.42,34.56,12212700,0.0,0
2019-09-25,34.31,34.55,33.85,34.25,11344800,0.0,0
2019-09-26,34.02,34.11,33.33,33.57,12359300,0.0,0
2019-09-27,33.3,33.95,33.15,33.37,9969900,0.0,0
2019-09-30,33.19,33.5,32.86,33.21,9583500,0.0,0
2019-10-01,33.39,33.6,31.75,31.78,12617900,0.0,0
2019-10-02,31.72,31.83,30.76,30.87,13468900,0.0,0
2019-10-03,30.7,31.4,30.58,31.15,11557200,0.0,0
2019-10-04,31.18,31.5,30.8,30.98,10554400,0.0,0
2019-10-07,31.21,31.7,30.9,30.91,15854500,0.0,0
2019-10-08,30.6,30.96,29.79,29.85,16807100,0.0,0
2019-10-09,30.07,30.28,29.86,30.03,12176900,0.0,0
2019-10-10,30.14,30.51,29.85,30.2,12784900,0.0,0
2019-10-11,30.61,31.99,30.39,31.57,12652600,0.0,0
2019-10-14,31.09,31.91,30.85,31.65,9294400,0.0,0
2019-10-15,31.56,32.57,31.45,31.89,8943600,0.0,0
2019-10-16,31.88,32.14,31.05,31.05,22004600,0.0,0
2019-10-17,31.31,31.4,30.88,30.99,15730800,0.0,0
2019-10-18,31.29,32.27,31.19,31.4,17218300,0.0,0
2019-10-21,31.31,32.85,31.31,32.65,16441100,0.0,0
2019-10-22,32.81,34.2,32.52,33.84,17598700,0.0,0
2019-10-23,33.6,34.65,33.26,34.34,12862300,0.0,0
2019-10-24,34.41,34.52,33.32,34.12,11551700,0.0,0
2019-10-25,34.02,34.32,33.62,34.1,12385700,0.0,0
2019-10-28,34.4,34.56,33.83,34.04,12727500,0.0,0
2019-10-29,33.77,34.03,33.24,33.81,10309100,0.0,0
2019-10-30,33.69,33.77,32.07,32.17,13940300,0.0,0
2019-10-31,32.19,32.19,31.44,31.77,10079200,0.0,0
2019-11-01,32.12,33.56,32.04,33.47,11094400,0.0,0
2019-11-04,33.92,35.44,33.8,35.22,14206000,0.0,0
2019-11-05,35.41,36.03,35.4,35.69,15720300,0.0,0
2019-11-06,35.57,35.69,34.34,34.56,10647900,0.0,0
2019-11-07,35.12,35.75,34.81,35.07,8832400,0.0,0
2019-11-08,34.75,35.48,34.04,35.32,8382200,0.0,0
2019-11-11,34.75,35.47,34.32,35.39,8804100,0.0,0
2019-11-12,35.47,36.15,35.02,35.19,11652100,0.0,0
2019-11-13,34.99,35.05,34.0,34.05,9728100,0.0,0
2019-11-14,33.98,34.36,33.53,33.73,14068000,0.0,0
2019-11-15,33.96,34.72,33.95,34.37,9017400,0.0,0
2019-11-18,34.0,34.02,33.18,33.71,11671500,0.0,0
2019-11-19,33.55,33.71,33.08,33.35,10174100,0.0,0
2019-11-20,33.39,35.21,33.18,35.12,15805500,0.0,0
2019-11-21,35.4,35.88,35.03,35.59,11451700,0.0,0
2019-11-22,35.67,36.05,35.22,35.58,7515000,0.0,0
2019-11-25,35.28,36.15,35.02,36.04,8711700,0.0,0
2019-11-26,35.94,36.17,35.2,35.37,9578300,0.0,0
2019-11-27,35.39,35.9,35.11,35.74,6538200,0.0,0
2019-11-29,35.26,35.45,34.91,35.18,5445400,0.0,0
2019-12-02,35.43,35.98,35.31,35.34,8583000,0.0,0
2019-12-03,34.65,34.87,34.02,34.48,10351800,0.5,0
2019-12-04,34.96,35.83,34.77,35.66,9780100,0.0,0
2019-12-05,35.87,35.94,35.04,35.33,6836700,0.0,0
2019-12-06,35.54,36.49,35.49,36.35,8525400,0.0,0
