Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,85.78,87.7,85.78,87.35,372500,0.0,0
2019-03-22,87.5,87.52,85.81,86.18,380200,0.0,0
2019-03-25,86.21,86.3,85.04,85.37,423200,0.0,0
2019-03-26,85.88,86.5,85.4,86.45,353600,0.0,0
2019-03-27,86.5,86.63,85.38,85.8,370200,0.0,0
2019-03-28,86.02,87.11,85.86,87.08,312100,0.85,0
2019-03-29,87.32,87.68,87.07,87.2,639800,0.0,0
2019-04-01,87.47,87.74,86.55,87.68,427000,0.0,0
2019-04-02,87.67,88.64,86.95,88.39,501300,0.0,0
2019-04-03,88.51,88.99,88.06,88.95,295800,0.0,0
2019-04-04,89.25,89.25,88.31,89.01,298700,0.0,0
2019-04-05,89.02,89.85,88.81,89.8,381200,0.0,0
2019-04-08,89.76,89.89,89.14,89.29,290900,0.0,0
2019-04-09,88.78,88.82,87.08,87.2,563000,0.0,0
2019-04-10,87.49,89.05,87.28,88.92,454500,0.0,0
2019-04-11,89.19,89.29,87.86,88.01,404000,0.0,0
2019-04-12,87.99,88.0,86.5,87.75,667300,0.0,0
2019-04-15,88.02,88.06,87.04,87.24,484600,0.0,0
2019-04-16,87.13,87.55,84.13,84.63,752600,0.0,0
2019-04-17,85.69,85.69,83.83,84.03,637400,0.0,0
2019-04-18,83.95,84.88,82.85,84.42,773100,0.0,0
2019-04-22,84.1,84.43,82.84,84.37,591600,0.0,0
2019-04-23,84.32,85.76,84.11,85.71,766200,0.0,0
2019-04-24,85.58,86.55,85.56,85.84,344300,0.0,0
2019-04-25,85.41,85.43,84.67,84.79,390600,0.0,0
2019-04-26,85.06,85.75,84.69,85.66,208800,0.0,0
2019-04-29,85.7,86.02,84.38,84.52,369000,0.0,0
2019-04-30,84.52,85.74,84.21,85.67,693100,0.0,0
2019-05-01,85.93,86.65,85.63,85.63,497900,0.0,0
2019-05-02,85.46,86.3,84.05,84.14,650300,0.0,0
2019-05-03,84.36,84.86,83.56,84.03,451400,0.0,0
2019-05-06,83.31,84.06,83.09,83.59,338300,0.0,0
2019-05-07,83.33,83.7,81.55,82.0,515900,0.0,0
2019-05-08,82.2,82.89,81.42,81.44,302800,0.0,0
2019-05-09,80.94,81.71,80.6,81.56,398100,0.0,0
2019-05-10,81.32,81.99,80.66,81.99,355700,0.0,0
2019-05-13,80.87,81.98,80.87,81.9,515300,0.0,0
2019-05-14,81.83,82.87,81.71,82.76,574600,0.0,0
2019-05-15,82.36,83.57,82.15,83.02,457700,0.0,0
2019-05-16,83.07,84.01,82.87,83.95,562200,0.0,0
2019-05-17,83.46,84.39,83.19,84.25,635100,0.0,0
2019-05-20,84.13,84.22,83.25,83.49,590700,0.0,0
2019-05-21,83.62,84.79,83.62,84.59,493800,0.0,0
2019-05-22,84.17,84.98,83.8,84.89,602600,0.0,0
2019-05-23,84.17,84.77,83.88,84.76,654000,0.0,0
2019-05-24,84.9,86.04,84.9,85.93,495800,0.0,0
2019-05-28,86.23,86.75,84.61,84.64,1048900,0.0,0
2019-05-29,84.57,84.57,83.32,83.7,515000,0.0,0
2019-05-30,83.78,84.56,83.38,83.64,482700,0.0,0
2019-05-31,83.08,83.83,82.69,83.4,693400,0.0,0
2019-06-03,83.66,84.08,82.95,83.95,595300,0.0,0
2019-06-04,84.43,85.27,83.47,84.15,497300,0.0,0
2019-06-05,84.58,85.99,84.36,85.91,446100,0.0,0
2019-06-06,86.23,86.34,85.12,85.9,418400,0.0,0
2019-06-07,86.33,86.77,85.86,85.86,392500,0.0,0
2019-06-10,86.19,86.19,85.01,85.49,376200,0.0,0
2019-06-11,85.63,85.66,84.65,85.25,578200,0.0,0
2019-06-12,84.99,86.08,84.71,84.97,399500,0.0,0
2019-06-13,85.12,85.7,84.94,85.6,456300,0.0,0
2019-06-14,85.53,85.81,84.87,84.89,449700,0.0,0
2019-06-17,84.95,85.87,84.95,85.84,511000,0.0,0
2019-06-18,86.28,87.02,82.65,82.84,1081100,0.0,0
2019-06-19,82.73,83.55,82.01,83.31,1166300,0.0,0
2019-06-20,84.0,84.76,83.45,83.46,591500,0.0,0
2019-06-21,83.19,83.19,81.52,81.96,1112800,0.0,0
2019-06-24,82.33,82.33,80.2,80.41,645000,0.0,0
2019-06-25,80.67,80.96,79.72,79.78,532600,0.0,0
2019-06-26,79.89,80.08,77.35,77.54,1132900,0.0,0
2019-06-27,77.96,78.88,77.61,78.01,438600,0.85,0
2019-06-28,78.15,79.16,78.08,78.78,1921400,0.0,0
2019-07-01,79.39,79.61,78.12,78.5,551200,0.0,0
2019-07-02,78.82,79.58,78.31,79.35,1482400,0.0,0
2019-07-03,79.61,80.18,79.55,79.83,736900,0.0,0
2019-07-05,79.32,79.77,78.34,79.39,859700,0.0,0
2019-07-08,79.37,79.75,79.19,79.35,867200,0.0,0
2019-07-09,79.3,79.83,79.25,79.61,1792000,0.0,0
2019-07-10,79.87,80.45,79.39,79.98,3047600,0.0,0
2019-07-11,79.93,80.45,79.35,79.75,1276100,0.0,0
2019-07-12,80.05,80.8,79.4,80.26,1504700,0.0,0
2019-07-15,80.32,80.82,79.87,80.15,928800,0.0,0
2019-07-16,80.11,80.81,79.72,80.2,871000,0.0,0
2019-07-17,80.43,80.56,78.83,79.63,606800,0.0,0
2019-07-18,80.37,82.67,79.51,81.73,1165400,0.0,0
2019-07-19,81.64,81.88,79.67,79.85,711000,0.0,0
2019-07-22,80.02,80.27,78.69,78.76,492600,0.0,0
2019-07-23,78.82,79.82,78.36,79.69,523700,0.0,0
2019-07-24,79.83,81.01,79.57,80.39,502300,0.0,0
2019-07-25,80.47,80.47,79.53,79.75,467100,0.0,0
2019-07-26,79.76,80.45,78.69,79.58,588000,0.0,0
2019-07-29,79.75,80.06,79.26,79.46,650700,0.0,0
2019-07-30,79.51,80.75,79.51,80.68,815600,0.0,0
2019-07-31,80.46,81.01,78.91,79.47,2135400,0.0,0
2019-08-01,79.4,79.4,78.02,78.31,751000,0.0,0
2019-08-02,78.22,78.89,77.45,78.27,562600,0.0,0
2019-08-05,77.71,77.95,75.06,76.22,1053200,0.0,0
2019-08-06,76.3,77.16,75.38,75.77,739900,0.0,0
2019-08-07,75.27,76.21,73.96,75.27,949300,0.0,0
2019-08-08,75.43,77.11,74.92,76.87,420200,0.0,0
