Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,151.35,153.35,151.35,152.57,508500,0.0,0
2019-03-22,151.77,151.9,145.98,146.15,514600,0.0,0
2019-03-25,146.38,148.47,146.16,147.24,495200,0.0,0
2019-03-26,148.46,149.64,147.33,148.66,488000,0.0,0
2019-03-27,148.92,150.55,148.5,149.71,609000,0.0,0
2019-03-28,149.95,151.77,149.49,150.71,351800,0.0,0
2019-03-29,152.0,152.94,151.4,152.54,480600,0.0,0
2019-04-01,154.11,155.96,153.79,155.21,430000,0.0,0
2019-04-02,155.12,155.37,153.43,154.97,475400,0.0,0
2019-04-03,155.75,156.33,154.47,155.04,747000,0.0,0
2019-04-04,155.77,158.01,155.34,157.1,354800,0.0,0
2019-04-05,157.57,158.2,156.92,157.11,464300,0.0,0
2019-04-08,156.42,156.76,155.37,155.97,601200,0.0,0
2019-04-09,154.56,154.95,152.75,153.24,736400,0.0,0
2019-04-10,151.79,151.79,146.92,149.89,914000,0.0,0
2019-04-11,150.13,152.78,150.13,151.31,458400,0.0,0
2019-04-12,152.58,153.43,150.72,152.0,487000,0.0,0
2019-04-15,152.37,153.36,152.07,152.42,607200,0.0,0
2019-04-16,150.41,153.79,148.82,152.82,1074500,0.0,0
2019-04-17,153.63,154.21,152.44,153.82,1180400,0.0,0
2019-04-18,163.73,169.57,162.98,163.79,2511700,0.0,0
2019-04-22,162.91,164.56,160.29,164.13,882300,0.0,0
2019-04-23,165.08,167.37,164.21,166.85,910300,0.0,0
2019-04-24,166.94,168.2,165.13,165.61,599800,0.0,0
2019-04-25,164.74,164.89,162.35,163.88,478200,0.0,0
2019-04-26,163.73,165.64,162.81,165.45,299600,0.0,0
2019-04-29,165.94,167.31,164.37,164.73,312600,0.0,0
2019-04-30,164.64,165.15,163.22,164.0,345100,0.0,0
2019-05-01,164.47,164.47,161.69,162.5,404500,0.0,0
2019-05-02,162.15,165.73,161.51,165.09,608600,0.0,0
2019-05-03,164.97,168.04,164.97,167.1,544000,0.0,0
2019-05-06,164.22,166.78,163.59,166.18,453300,0.0,0
2019-05-07,164.67,165.27,163.06,164.28,614500,0.0,0
2019-05-08,164.7,164.89,162.91,163.61,549100,0.0,0
2019-05-09,161.88,163.82,160.58,163.43,526200,0.0,0
2019-05-10,163.25,164.5,160.63,164.0,455500,0.0,0
2019-05-13,160.82,161.05,155.86,156.32,580000,0.0,0
2019-05-14,156.79,159.56,156.79,158.11,348100,0.0,0
2019-05-15,157.33,159.82,156.84,159.29,576200,0.0,0
2019-05-16,160.01,162.27,159.99,161.21,386600,0.0,0
2019-05-17,159.6,161.59,158.82,158.99,470200,0.0,0
2019-05-20,158.3,158.37,152.7,152.84,640900,0.95,0
2019-05-21,154.4,156.99,153.93,155.79,536700,0.0,0
2019-05-22,154.76,156.49,154.39,156.26,448700,0.0,0
2019-05-23,154.51,154.8,152.11,154.22,501800,0.0,0
2019-05-24,155.4,155.72,153.28,155.18,316200,0.0,0
2019-05-28,155.27,155.94,151.94,152.07,565800,0.0,0
2019-05-29,151.0,153.9,150.48,153.51,791200,0.0,0
2019-05-30,153.57,155.87,152.93,153.97,318700,0.0,0
2019-05-31,152.3,153.97,151.41,152.84,384300,0.0,0
2019-06-03,152.76,153.73,151.2,153.13,275000,0.0,0
2019-06-04,154.83,156.88,154.49,156.65,471200,0.0,0
2019-06-05,157.7,158.54,155.3,158.42,335800,0.0,0
2019-06-06,159.3,159.45,156.26,159.0,320900,0.0,0
2019-06-07,159.91,160.69,158.92,159.24,259200,0.0,0
2019-06-10,159.79,161.88,159.4,159.8,302300,0.0,0
2019-06-11,161.05,162.04,159.17,159.28,288800,0.0,0
2019-06-12,159.36,159.82,158.21,158.78,253800,0.0,0
2019-06-13,159.33,162.25,159.33,161.91,254100,0.0,0
2019-06-14,161.43,161.55,158.98,160.85,304800,0.0,0
2019-06-17,161.42,162.03,158.25,158.46,299900,0.0,0
2019-06-18,159.82,163.81,159.81,162.63,343800,0.0,0
2019-06-19,163.1,163.38,160.61,161.8,326600,0.0,0
2019-06-20,163.3,164.87,161.72,164.68,341000,0.0,0
2019-06-21,163.71,163.95,156.53,158.63,879600,0.0,0
2019-06-24,158.8,160.63,157.87,159.38,390400,0.0,0
2019-06-25,159.78,160.85,158.48,160.74,362400,0.0,0
2019-06-26,160.53,161.78,159.75,160.3,383200,0.0,0
2019-06-27,160.75,161.12,159.62,160.25,391400,0.0,0
2019-06-28,160.8,162.8,160.77,162.37,665300,0.0,0
2019-07-01,162.37,163.58,158.97,162.09,879000,0.0,0
2019-07-02,162.2,163.0,157.52,159.74,678900,0.0,0
2019-07-03,160.2,160.98,159.17,159.6,344900,0.0,0
2019-07-05,158.86,159.08,156.57,158.51,456900,0.0,0
2019-07-08,157.93,158.3,156.15,156.75,307600,0.0,0
2019-07-09,155.52,155.71,153.5,154.1,590600,0.0,0
2019-07-10,155.08,155.13,153.27,153.58,411200,0.0,0
2019-07-11,152.96,153.59,152.0,153.41,353300,0.0,0
2019-07-12,154.07,157.42,154.07,156.61,321200,0.0,0
2019-07-15,156.76,156.77,154.44,155.24,337000,0.0,0
2019-07-16,155.27,157.43,154.91,156.88,441400,0.0,0
2019-07-17,157.0,157.0,150.48,150.72,762800,0.0,0
2019-07-18,148.51,153.98,146.24,148.34,961300,0.0,0
2019-07-19,149.19,150.1,146.9,147.04,711000,0.0,0
2019-07-22,147.26,148.2,145.47,147.82,621600,0.0,0
2019-07-23,149.12,151.86,148.02,151.79,490500,0.0,0
2019-07-24,150.76,153.07,150.22,151.71,476200,0.0,0
2019-07-25,151.7,151.98,150.63,151.08,506600,0.0,0
2019-07-26,150.43,152.38,149.91,152.27,305600,0.0,0
2019-07-29,152.11,152.27,151.24,151.54,237600,0.0,0
2019-07-30,150.47,152.74,149.8,152.74,268400,0.0,0
2019-07-31,153.0,153.0,148.53,149.6,341300,0.0,0
2019-08-01,149.25,150.73,145.61,146.82,543800,0.0,0
2019-08-02,146.75,147.45,145.26,146.31,495100,0.0,0
2019-08-05,144.08,145.14,143.15,144.73,565800,0.0,0
2019-08-06,145.96,148.74,145.39,148.53,533600,0.0,0
2019-08-07,146.36,149.29,145.98,148.81,366600,0.0,0
2019-08-08,150.26,151.98,150.05,151.42,344800,0.0,0
2019-08-09,151.38,151.84,149.88,149.98,337500,0.0,0
2019-08-12,149.19,150.11,146.61,146.91,321800,0.0,0
2019-08-13,147.12,150.87,146.54,148.41,256600,0.0,0
2019-08-14,146.17,146.56,143.07,143.53,342500,0.0,0
2019-08-15,143.8,143.8,140.3,141.18,402000,0.0,0
2019-08-16,142.08,145.08,142.08,144.51,243700,0.0,0
2019-08-19,146.66,147.73,146.35,147.02,290000,0.95,0
2019-08-20,146.78,147.24,144.78,144.85,268200,0.0,0
2019-08-21,146.45,147.25,145.72,146.38,263900,0.0,0
