Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,49.07,49.57,49.03,49.48,3091600,0.0,0
2019-03-22,49.64,50.19,49.47,49.78,6068100,0.0,0
2019-03-25,49.9,50.09,49.66,49.94,3043300,0.0,0
2019-03-26,49.99,50.41,49.9,50.4,3253000,0.0,0
2019-03-27,50.44,50.52,49.89,50.12,3441100,0.0,0
2019-03-28,50.17,50.2,49.19,49.27,4552300,0.0,0
2019-03-29,49.39,49.59,49.14,49.59,6053500,0.0,0
2019-04-01,49.59,49.59,48.92,49.33,5059100,0.0,0
2019-04-02,49.42,49.57,48.96,49.55,4050200,0.0,0
2019-04-03,49.51,49.58,49.12,49.42,4654600,0.0,0
2019-04-04,49.59,49.6,48.83,49.13,3881200,0.0,0
2019-04-05,49.22,49.62,49.03,49.56,3983000,0.0,0
2019-04-08,49.53,49.61,49.21,49.43,3675900,0.0,0
2019-04-09,49.42,49.88,49.34,49.85,3972500,0.0,0
2019-04-10,49.89,50.3,49.61,49.68,4464400,0.0,0
2019-04-11,49.79,50.12,49.65,50.01,4481300,0.0,0
2019-04-12,49.86,50.39,49.54,50.38,3819300,0.0,0
2019-04-15,50.38,50.67,50.26,50.59,4936000,0.0,0
2019-04-16,50.48,50.84,50.06,50.27,5586500,0.0,0
2019-04-17,50.38,50.38,49.96,50.05,3582300,0.0,0
2019-04-18,49.98,50.33,49.8,49.86,3717100,0.0,0
2019-04-22,49.86,50.09,49.7,49.83,3290100,0.0,0
2019-04-23,49.86,50.07,49.37,49.74,4253000,0.0,0
2019-04-24,49.78,50.25,49.74,50.12,3069600,0.0,0
2019-04-25,49.96,50.5,49.8,50.32,2755500,0.0,0
2019-04-26,50.58,50.86,50.36,50.41,2810600,0.0,0
2019-04-29,50.32,50.4,49.93,50.15,3315100,0.0,0
2019-04-30,50.23,51.13,50.07,51.07,7218500,0.0,0
2019-05-01,50.12,51.06,50.05,50.4,6057600,0.0,0
2019-05-02,50.47,50.96,50.13,50.62,4842100,0.0,0
2019-05-03,50.75,51.21,50.63,51.09,3490500,0.0,0
2019-05-06,51.01,51.24,50.71,50.87,4033800,0.0,0
2019-05-07,50.87,51.07,50.51,50.72,3557800,0.0,0
2019-05-08,50.7,50.85,50.05,50.09,3965100,0.0,0
2019-05-09,50.15,50.48,50.07,50.24,4080500,0.0,0
2019-05-10,50.12,51.26,50.12,51.21,4165800,0.0,0
2019-05-13,51.14,51.95,51.1,51.91,6482400,0.0,0
2019-05-14,51.72,51.85,51.35,51.46,4294500,0.0,0
2019-05-15,51.57,51.81,51.43,51.47,4033100,0.0,0
2019-05-16,51.42,52.08,51.35,51.87,5262200,0.0,0
2019-05-17,51.51,52.42,51.46,52.24,4847500,0.62,0
2019-05-20,52.41,52.59,52.22,52.49,3459500,0.0,0
2019-05-21,52.49,52.84,52.27,52.39,3435000,0.0,0
2019-05-22,52.47,52.63,52.31,52.52,3904700,0.0,0
