Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,164.42,168.79,163.09,168.74,1445300,0.0,0
2019-03-22,168.8,170.43,168.11,168.19,1480100,0.0,0
2019-03-25,168.75,169.3,167.31,168.55,739200,0.0,0
2019-03-26,169.36,171.77,168.46,171.63,1106400,0.0,0
2019-03-27,170.88,172.07,170.17,171.51,1448500,0.0,0
2019-03-28,171.74,173.67,171.07,173.64,1249400,0.0,0
2019-03-29,174.04,174.17,171.92,172.55,1613400,0.0,0
2019-04-01,173.0,173.42,171.38,173.23,1578700,0.0,0
2019-04-02,173.11,173.76,170.42,173.58,1253800,0.0,0
2019-04-03,173.75,174.45,171.77,173.27,861200,0.0,0
2019-04-04,173.81,174.16,172.7,174.11,813600,0.0,0
2019-04-05,174.12,175.59,173.49,175.01,762300,0.0,0
2019-04-08,175.2,175.75,173.31,173.75,623800,0.0,0
2019-04-09,173.57,173.57,172.38,172.89,709500,0.0,0
2019-04-10,173.95,175.17,172.98,175.13,707500,0.0,0
2019-04-11,175.2,176.52,173.81,174.45,872400,0.0,0
2019-04-12,174.29,175.7,172.67,175.69,721000,0.0,0
2019-04-15,176.13,176.37,173.94,174.72,651500,0.0,0
2019-04-16,174.39,174.55,166.76,167.7,1381500,0.0,0
2019-04-17,168.24,169.32,166.08,168.04,1916200,0.0,0
2019-04-18,168.08,169.83,167.87,168.62,1018200,0.0,0
2019-04-22,168.19,168.19,162.84,164.5,1297000,0.0,0
2019-04-23,165.33,167.83,164.75,167.25,982400,0.0,0
2019-04-24,167.65,169.75,166.91,168.71,828700,0.0,0
2019-04-25,167.99,169.01,166.78,168.42,905500,0.0,0
2019-04-26,168.97,170.15,168.08,169.14,834100,0.0,0
2019-04-29,169.44,170.37,166.26,166.44,1183000,0.0,0
2019-04-30,165.63,165.89,159.57,164.49,2193400,0.0,0
2019-05-01,164.18,169.45,163.13,168.33,2256300,0.0,0
2019-05-02,168.59,169.8,167.68,168.38,1644600,0.0,0
2019-05-03,168.23,170.52,167.23,169.9,1069900,0.0,0
2019-05-06,169.12,169.6,167.92,168.67,851900,0.0,0
2019-05-07,168.24,169.24,163.47,164.81,2063200,0.0,0
2019-05-08,164.61,166.2,163.47,163.68,1013300,0.0,0
2019-05-09,163.09,164.76,161.79,164.56,1421700,0.0,0
2019-05-10,164.56,166.48,163.07,165.92,1279700,0.0,0
2019-05-13,164.45,166.85,164.4,165.73,1068100,0.0,0
2019-05-14,165.53,166.99,164.59,166.91,1408400,0.0,0
2019-05-15,167.07,168.5,165.94,167.62,906000,0.0,0
2019-05-16,167.8,169.28,167.39,167.96,900800,2.05,0
