Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,203.41,208.58,202.62,207.82,1275600,0.0,0
2019-03-22,205.39,206.87,203.31,203.58,882700,0.0,0
2019-03-25,204.11,204.17,201.96,203.1,760900,0.0,0
2019-03-26,204.23,204.89,202.73,204.21,815000,0.0,0
2019-03-27,203.89,204.74,202.34,203.27,1095800,0.0,0
2019-03-28,203.97,205.99,203.59,205.73,716400,0.0,0
2019-03-29,207.05,209.31,206.15,208.59,1400200,0.0,0
2019-04-01,210.05,211.63,209.37,210.92,1136000,0.0,0
2019-04-02,211.03,211.52,208.21,211.24,719900,0.0,0
2019-04-03,212.51,212.93,211.02,211.61,896400,0.0,0
2019-04-04,212.02,212.28,210.48,210.67,605200,0.0,0
2019-04-05,211.61,212.99,211.09,212.54,743500,0.0,0
2019-04-08,212.3,212.51,210.72,211.66,634300,0.0,0
2019-04-09,210.45,213.25,210.04,212.81,990100,0.0,0
2019-04-10,213.36,213.69,210.46,210.7,850200,0.0,0
2019-04-11,212.15,212.15,210.67,211.15,1403700,0.0,0
2019-04-12,212.7,212.93,211.24,212.93,793100,0.0,0
2019-04-15,213.43,214.52,212.58,214.46,667100,0.0,0
2019-04-16,215.13,215.91,214.71,214.93,607400,0.0,0
2019-04-17,215.65,215.65,212.31,213.39,716500,0.0,0
2019-04-18,213.07,215.53,212.09,215.18,758700,0.0,0
2019-04-22,214.41,215.75,214.05,215.14,872900,0.0,0
2019-04-23,214.97,216.02,213.89,215.96,1059000,0.0,0
2019-04-24,214.17,217.16,214.17,216.35,861500,0.0,0
2019-04-25,215.85,217.82,214.67,217.16,651000,0.0,0
2019-04-26,217.16,218.25,215.52,218.22,565000,0.0,0
2019-04-29,218.13,218.87,217.43,217.66,1016100,0.0,0
2019-04-30,217.95,218.82,216.66,218.61,1066200,0.0,0
2019-05-01,218.94,219.94,217.26,217.41,1113900,0.0,0
2019-05-02,213.98,217.77,210.76,215.15,1373400,0.0,0
2019-05-03,215.01,216.58,213.42,215.85,1129000,0.0,0
2019-05-06,212.45,217.99,211.6,217.57,973100,0.0,0
2019-05-07,215.55,215.55,210.61,212.6,1078600,0.0,0
2019-05-08,211.39,214.66,211.37,212.73,1242100,0.0,0
