Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,120.33,122.14,120.18,122.08,1745900,0.9675,0
2019-03-22,122.2,123.04,121.94,122.27,1100100,0.0,0
2019-03-25,122.25,122.29,121.11,121.27,1547000,0.0,0
2019-03-26,121.2,122.12,121.08,121.7,1173500,0.0,0
2019-03-27,121.65,121.86,120.37,121.63,2479000,0.0,0
2019-03-28,122.09,122.16,120.06,120.72,1452300,0.0,0
2019-03-29,120.54,122.38,120.36,122.07,2090600,0.0,0
2019-04-01,122.17,122.93,121.25,122.81,1927500,0.0,0
2019-04-02,122.89,123.42,122.11,123.4,2154400,0.0,0
2019-04-03,122.96,123.89,122.35,123.4,1682500,0.0,0
2019-04-04,123.75,123.75,122.79,123.19,1669300,0.0,0
2019-04-05,123.49,124.38,123.21,124.37,1669400,0.0,0
2019-04-08,124.16,124.38,123.81,123.94,1695000,0.0,0
2019-04-09,124.19,124.19,123.34,124.03,1647500,0.0,0
2019-04-10,124.47,125.06,123.21,123.59,1666600,0.0,0
2019-04-11,123.58,124.33,122.99,124.24,1578100,0.0,0
2019-04-12,124.01,126.01,123.74,125.94,1813500,0.0,0
2019-04-15,126.04,126.08,124.31,124.68,1678100,0.0,0
2019-04-16,124.79,125.35,123.21,123.43,2417100,0.0,0
2019-04-17,123.52,124.25,122.86,123.45,1469500,0.0,0
2019-04-18,123.56,124.45,123.44,123.57,2243100,0.0,0
2019-04-22,123.41,123.89,121.4,121.6,2204400,0.0,0
2019-04-23,121.75,123.12,121.14,122.32,1818500,0.0,0
2019-04-24,122.67,123.17,121.84,122.6,1787000,0.0,0
2019-04-25,122.2,124.07,121.99,123.5,1419300,0.0,0
2019-04-26,124.0,124.93,123.83,124.19,1196600,0.0,0
2019-04-29,123.07,123.33,121.39,122.01,3090000,0.0,0
2019-04-30,122.11,124.27,121.88,124.09,1921200,0.0,0
2019-05-01,123.9,124.39,122.4,122.4,1726500,0.0,0
2019-05-02,122.08,123.55,121.48,122.17,1926000,0.0,0
2019-05-03,122.4,123.74,122.28,123.61,869400,0.0,0
2019-05-06,123.26,123.51,122.15,122.58,1680400,0.0,0
2019-05-07,123.03,123.21,120.91,121.92,1641500,0.0,0
2019-05-08,122.53,123.15,121.4,121.97,1301600,0.0,0
2019-05-09,121.24,123.21,121.24,122.4,1074600,0.0,0
2019-05-10,122.47,125.31,122.01,125.31,1319500,0.0,0
2019-05-13,124.71,125.75,123.79,125.42,2016900,0.0,0
2019-05-14,125.85,126.68,125.32,125.46,1511200,0.0,0
2019-05-15,125.59,126.86,125.27,125.96,1778200,0.0,0
2019-05-16,125.72,127.8,124.73,126.78,1217800,0.0,0
2019-05-17,125.69,127.49,125.69,126.52,1682400,0.0,0
2019-05-20,126.95,127.75,126.38,127.23,1720900,0.0,0
2019-05-21,127.46,129.17,127.23,127.54,1338100,0.0,0
2019-05-22,129.03,130.69,127.51,130.25,2080100,0.0,0
2019-05-23,130.12,131.81,130.07,131.78,1394400,0.0,0
2019-05-24,131.87,132.26,130.27,130.3,1211500,0.0,0
2019-05-28,130.76,130.89,128.79,129.09,2206300,0.0,0
2019-05-29,129.35,129.5,126.42,126.81,1240700,0.0,0
2019-05-30,127.28,128.29,126.83,127.6,1118700,0.0,0
2019-05-31,127.48,128.21,126.81,127.49,1327600,0.0,0
2019-06-03,128.07,128.41,126.64,127.93,1391900,0.0,0
2019-06-04,127.93,128.37,126.58,128.2,1117000,0.0,0
2019-06-05,128.2,130.67,127.77,129.98,2423000,0.0,0
2019-06-06,129.81,131.46,129.48,130.91,992200,0.0,0
2019-06-07,131.9,132.32,130.32,130.44,1314000,0.0,0
2019-06-10,129.84,130.58,129.06,130.05,827500,0.0,0
2019-06-11,129.8,130.72,129.56,130.66,1213500,0.0,0
2019-06-12,131.38,132.3,130.97,131.6,977300,0.0,0
2019-06-13,132.15,132.73,131.38,132.71,910000,0.0,0
2019-06-14,132.7,134.19,132.35,133.61,947800,0.0,0
2019-06-17,133.69,134.39,133.25,133.79,965700,0.0,0
2019-06-18,134.99,134.99,132.13,133.11,1152700,0.0,0
