Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,65.69,66.45,64.79,66.01,1936900,0.0,0
2019-03-22,65.21,65.38,62.67,63.02,3144900,0.0,0
2019-03-25,63.1,63.77,62.5,62.91,1855200,0.0,0
2019-03-26,63.54,64.21,63.3,64.17,1397800,0.0,0
2019-03-27,64.24,64.38,63.17,63.53,1782200,0.0,0
2019-03-28,63.65,64.29,63.4,64.26,1549000,0.0,0
2019-03-29,64.87,65.15,64.16,64.27,2106200,0.47,0
2019-04-01,64.9,66.37,64.8,66.0,2491600,0.0,0
2019-04-02,65.9,66.67,65.52,65.63,1322900,0.0,0
2019-04-03,66.32,66.89,66.07,66.43,1179300,0.0,0
2019-04-04,66.63,67.61,66.38,67.03,1000300,0.0,0
2019-04-05,67.28,67.52,66.62,66.96,1125700,0.0,0
2019-04-08,66.99,67.56,66.71,67.53,970600,0.0,0
2019-04-09,67.1,67.14,66.1,66.82,1358800,0.0,0
2019-04-10,66.4,67.44,66.14,67.38,1477300,0.0,0
2019-04-11,67.77,68.71,67.49,67.89,1285000,0.0,0
2019-04-12,69.2,70.31,68.79,69.36,1626800,0.0,0
2019-04-15,69.24,69.8,68.31,68.47,1163500,0.0,0
2019-04-16,68.82,70.11,68.75,70.03,1103100,0.0,0
2019-04-17,68.66,68.71,67.23,68.0,2361400,0.0,0
2019-04-18,67.88,68.71,67.55,68.32,1799100,0.0,0
2019-04-22,68.26,68.68,67.64,68.26,2216800,0.0,0
2019-04-23,66.4,66.7,63.14,65.29,6216900,0.0,0
2019-04-24,64.92,65.37,64.0,64.58,2561100,0.0,0
2019-04-25,64.31,66.12,63.95,65.52,2477300,0.0,0
2019-04-26,65.43,65.63,64.41,65.56,1512300,0.0,0
2019-04-29,65.69,67.25,65.56,66.79,2136400,0.0,0
2019-04-30,66.85,67.08,65.27,66.07,1961000,0.0,0
2019-05-01,66.13,66.6,64.29,64.77,3507200,0.0,0
2019-05-02,64.88,65.59,64.26,64.95,2152700,0.0,0
2019-05-03,65.18,65.88,65.13,65.63,1699100,0.0,0
2019-05-06,64.26,65.28,62.95,65.02,1973100,0.0,0
2019-05-07,63.97,64.17,62.85,63.46,2757300,0.0,0
2019-05-08,63.21,64.09,62.96,62.98,1569100,0.0,0
2019-05-09,62.32,63.19,61.46,63.03,2518600,0.0,0
2019-05-10,62.98,63.56,61.94,63.29,1770600,0.0,0
2019-05-13,61.85,62.48,61.36,61.7,3635500,0.0,0
2019-05-14,61.83,62.16,61.27,61.31,2741200,0.0,0
2019-05-15,60.57,61.17,59.9,60.36,2184400,0.0,0
2019-05-16,60.54,61.1,59.98,60.17,2497500,0.0,0
2019-05-17,59.48,60.34,58.94,58.97,1803200,0.0,0
2019-05-20,58.72,59.27,57.68,58.45,2831500,0.0,0
2019-05-21,58.8,59.17,58.14,58.36,2639200,0.0,0
2019-05-22,58.0,58.29,57.77,58.1,1779800,0.0,0
2019-05-23,57.57,57.65,56.87,57.26,2635900,0.0,0
2019-05-24,57.48,57.87,57.35,57.59,1662500,0.0,0
2019-05-28,57.42,57.53,56.76,56.82,2609200,0.0,0
2019-05-29,56.46,56.49,55.44,56.36,1800300,0.0,0
2019-05-30,56.39,56.64,54.61,54.96,2588400,0.0,0
2019-05-31,54.13,54.81,53.92,53.95,2064600,0.0,0
2019-06-03,53.89,54.76,53.83,54.69,3200600,0.0,0
2019-06-04,55.55,56.33,55.38,56.28,2213400,0.0,0
2019-06-05,56.23,56.33,54.2,54.37,3574600,0.0,0
2019-06-06,54.27,55.01,53.86,54.9,2497600,0.0,0
2019-06-07,54.83,55.89,54.51,55.29,3671700,0.0,0
2019-06-10,55.91,56.46,55.07,55.88,3535500,0.0,0
2019-06-11,56.13,56.46,52.27,53.82,7511100,0.0,0
2019-06-12,53.69,54.35,53.09,53.6,3819600,0.0,0
2019-06-13,53.69,54.44,53.49,53.74,2480600,0.0,0
2019-06-14,53.75,54.21,53.44,54.06,2531700,0.0,0
2019-06-17,54.2,54.22,53.16,53.25,1984900,0.0,0
2019-06-18,53.12,54.32,52.76,53.96,2738400,0.0,0
2019-06-19,54.11,54.66,53.15,53.47,5482100,0.0,0
2019-06-20,54.01,54.36,53.74,54.11,3946000,0.0,0
2019-06-21,54.13,54.61,53.88,54.22,6126400,0.0,0
2019-06-24,54.53,55.83,54.31,54.42,3418200,0.0,0
2019-06-25,54.31,54.95,53.34,54.69,3545000,0.0,0
2019-06-26,54.19,54.59,53.57,53.94,3465900,0.0,0
2019-06-27,54.06,54.77,53.96,54.34,3086600,0.0,0
2019-06-28,55.34,55.82,54.7,55.21,9041900,0.47,0
2019-07-01,55.96,56.48,55.37,55.83,3310100,0.0,0
2019-07-02,55.83,55.85,54.7,54.97,5238100,0.0,0
2019-07-03,55.11,55.67,54.88,55.61,3115900,0.0,0
2019-07-05,55.95,56.43,55.65,55.94,2195200,0.0,0
2019-07-08,54.37,54.85,53.81,54.23,3869000,0.0,0
2019-07-09,53.63,54.41,53.47,54.24,4649200,0.0,0
2019-07-10,54.24,54.54,53.49,53.6,3311300,0.0,0
2019-07-11,53.6,54.32,53.57,54.21,3941400,0.0,0
2019-07-12,54.58,54.79,54.25,54.35,5110400,0.0,0
2019-07-15,54.4,54.62,53.63,54.61,4918400,0.0,0
2019-07-16,54.61,54.64,53.84,53.99,2571600,0.0,0
