Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,44.87,47.61,44.79,47.19,4866900,0.0,0
2019-03-22,46.87,47.1,45.19,45.22,3012800,0.0,0
2019-03-25,45.27,45.86,44.56,45.12,2719800,0.0,0
2019-03-26,45.62,45.91,45.09,45.49,1672300,0.0,0
2019-03-27,45.49,45.71,43.91,44.15,2781000,0.0,0
2019-03-28,44.05,44.86,43.95,44.31,3827200,0.0,0
2019-03-29,44.73,46.23,44.56,46.14,3713900,0.0,0
2019-04-01,46.61,46.97,45.94,46.66,3868500,0.0,0
2019-04-02,46.65,47.33,46.52,46.98,3055200,0.0,0
2019-04-03,47.5,48.73,47.5,47.79,3391900,0.0,0
2019-04-04,47.61,47.9,47.28,47.43,1731400,0.0,0
2019-04-05,47.71,48.07,47.07,47.43,3401300,0.0,0
2019-04-08,47.88,47.88,47.05,47.57,2233400,0.0,0
2019-04-09,47.45,47.57,46.72,47.13,2593500,0.0,0
2019-04-10,47.09,48.18,46.89,47.9,2427000,0.0,0
2019-04-11,48.13,48.25,47.36,47.67,1914200,0.0,0
2019-04-12,48.06,48.46,47.75,47.86,2059800,0.0,0
2019-04-15,47.98,48.42,47.27,47.59,2364800,0.0,0
2019-04-16,47.91,48.82,47.74,48.79,2854300,0.0,0
2019-04-17,49.3,49.41,48.02,48.46,1910900,0.0,0
2019-04-18,48.35,48.71,48.16,48.66,1736000,0.0,0
2019-04-22,48.23,48.31,46.87,47.16,3397600,0.0,0
2019-04-23,47.2,47.32,46.4,46.46,3273100,0.0,0
2019-04-24,46.49,46.49,45.2,45.28,3722600,0.0,0
2019-04-25,45.26,45.59,44.29,44.39,2597600,0.0,0
2019-04-26,42.66,43.39,41.85,43.35,3954200,0.0,0
2019-04-29,43.35,43.84,42.97,43.3,5327000,0.0,0
2019-04-30,45.51,47.05,44.39,46.56,7424400,0.0,0
2019-05-01,47.93,47.99,46.21,46.55,3950300,0.0,0
2019-05-02,46.99,47.26,46.28,46.63,2314300,0.0,0
2019-05-03,47.31,47.84,46.72,47.79,2545800,0.0,0
2019-05-06,46.13,47.76,46.01,47.57,3265800,0.0,0
2019-05-07,46.99,47.48,46.34,46.79,3642000,0.0,0
2019-05-08,46.68,47.96,46.48,47.25,3593500,0.0,0
2019-05-09,46.45,46.71,44.97,45.84,4581200,0.0,0
2019-05-10,45.47,45.88,44.39,45.67,3336600,0.0,0
2019-05-13,44.17,44.31,42.23,42.43,6427200,0.0,0
2019-05-14,42.73,43.43,42.64,43.01,3121500,0.0,0
2019-05-15,42.7,43.98,42.56,43.93,1961400,0.0,0
2019-05-16,43.61,44.37,43.44,44.01,1711800,0.0,0
2019-05-17,43.46,44.17,43.28,43.57,2184800,0.0,0
2019-05-20,42.67,43.49,42.42,43.09,2347500,0.0,0
2019-05-21,43.63,44.61,43.61,44.48,2398600,0.0,0
2019-05-22,43.9,44.18,42.94,43.08,2786000,0.0,0
2019-05-23,42.4,42.56,41.71,42.15,2704800,0.0,0
2019-05-24,42.39,42.47,41.35,41.62,2346100,0.0,0
2019-05-28,41.83,42.21,41.06,41.08,3241800,0.0,0
2019-05-29,40.79,42.37,40.59,42.14,3884300,0.0,0
2019-05-30,42.29,42.94,41.83,42.32,3599000,0.0,0
2019-05-31,41.47,41.64,40.28,40.32,3135900,0.0,0
2019-06-03,40.44,41.15,40.11,40.97,4126200,0.0,0
2019-06-04,41.44,42.63,41.41,42.55,2960400,0.0,0
2019-06-05,42.85,43.21,41.67,42.44,2591500,0.0,0
2019-06-06,42.46,42.98,42.28,42.78,1619000,0.0,0
2019-06-07,42.68,42.76,41.88,41.97,3750700,0.0,0
2019-06-10,42.37,43.43,42.16,42.35,3100000,0.0,0
2019-06-11,43.08,43.48,42.11,42.19,2595200,0.0,0
2019-06-12,42.16,42.53,41.81,42.05,2373400,0.0,0
2019-06-13,42.15,43.0,41.87,42.94,2718000,0.0,0
2019-06-14,42.46,42.75,41.97,42.65,2314400,0.0,0
