Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,161.75,166.96,161.7,166.85,1622600,0.0,0
2019-03-22,165.88,167.86,165.0,166.98,1553100,0.0,0
2019-03-25,166.11,166.61,164.24,165.52,1384100,0.0,0
2019-03-26,166.01,169.29,165.75,169.13,2077000,0.0,0
2019-03-27,167.67,169.31,166.89,167.56,1217400,0.0,0
2019-03-28,167.69,169.93,167.34,169.91,1170900,0.0,0
2019-03-29,170.37,173.81,170.16,172.7,2193900,0.0,0
2019-04-01,174.25,175.91,171.9,174.92,2908800,0.0,0
2019-04-02,175.57,175.93,172.86,174.06,2237600,0.0,0
2019-04-03,174.6,177.07,174.15,176.99,2644100,0.0,0
2019-04-04,175.83,190.29,175.44,188.57,7719600,0.0,0
2019-04-05,188.62,190.8,186.32,190.4,4639500,0.0,0
2019-04-08,189.61,189.77,187.7,189.45,2866200,0.0,0
2019-04-09,188.47,189.44,186.71,188.02,1917900,0.0,0
2019-04-10,188.13,188.72,185.8,187.24,1399100,0.0,0
2019-04-11,187.18,188.72,186.27,188.3,1847300,0.0,0
2019-04-12,189.31,189.63,187.37,187.67,948500,0.0,0
2019-04-15,187.83,188.13,186.48,188.05,1447600,0.0,0
2019-04-16,188.14,188.58,186.7,187.16,2025300,0.0,0
2019-04-17,188.08,189.97,187.0,188.7,1090900,0.0,0
2019-04-18,190.44,196.88,190.44,195.81,2881500,0.0,0
2019-04-22,195.55,202.66,195.28,202.37,2196900,0.0,0
2019-04-23,203.72,206.06,201.85,204.36,2256500,0.0,0
2019-04-24,205.02,207.26,204.78,206.98,1666900,0.0,0
2019-04-25,205.67,211.26,205.67,208.97,1900700,0.0,0
2019-04-26,209.8,211.14,208.32,208.97,1329600,0.0,0
2019-04-29,209.17,210.14,207.51,209.35,1078400,0.0,0
2019-04-30,208.91,209.57,206.76,208.49,1532600,0.0,0
2019-05-01,208.42,210.49,208.04,208.9,876500,0.0,0
2019-05-02,207.97,208.51,204.54,205.98,1569400,0.0,0
2019-05-03,206.97,208.87,206.64,208.22,1113900,0.0,0
2019-05-06,205.15,208.13,204.88,207.25,1166400,0.0,0
2019-05-07,205.99,206.49,203.63,204.75,1227900,0.0,0
2019-05-08,204.05,205.63,203.64,204.08,840800,0.0,0
2019-05-09,202.81,204.22,199.51,199.58,1833400,0.75,0
2019-05-10,198.76,201.68,196.99,200.9,1617000,0.0,0
2019-05-13,197.79,199.36,196.74,198.76,1320100,0.0,0
2019-05-14,199.69,204.88,199.16,202.98,1202000,0.0,0
2019-05-15,201.63,205.41,201.29,202.64,1368700,0.0,0
2019-05-16,202.7,205.15,201.78,204.43,873000,0.0,0
2019-05-17,202.74,205.29,202.43,202.45,893500,0.0,0
2019-05-20,202.25,202.98,200.37,200.73,1062000,0.0,0
2019-05-21,202.69,204.41,200.61,202.65,1765700,0.0,0
2019-05-22,202.16,203.07,200.73,202.62,865700,0.0,0
2019-05-23,201.79,204.14,201.41,203.85,877200,0.0,0
2019-05-24,200.18,200.67,194.02,196.41,2526800,0.0,0
2019-05-28,196.08,196.33,191.13,192.02,3271700,0.0,0
2019-05-29,191.34,191.34,185.43,186.74,1483300,0.0,0
2019-05-30,186.73,188.48,183.96,185.15,1083400,0.0,0
2019-05-31,173.0,175.28,169.31,174.43,6252400,0.0,0
2019-06-03,175.25,177.52,174.54,175.2,4607900,0.0,0
2019-06-04,179.3,182.62,177.74,182.33,2238700,0.0,0
2019-06-05,183.8,185.71,181.68,184.86,1639600,0.0,0
2019-06-06,183.73,185.11,179.66,182.05,2310100,0.0,0
2019-06-07,182.91,187.85,182.59,186.24,1814800,0.0,0
