Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,80.51,85.19,80.44,84.39,2500900,0.0,0
2019-03-22,83.95,84.16,80.81,80.97,2198400,0.0,0
2019-03-25,80.66,81.13,78.56,79.86,1814300,0.0,0
2019-03-26,80.49,81.16,79.78,80.51,1086700,0.0,0
2019-03-27,80.51,80.98,78.33,79.01,1273500,0.0,0
2019-03-28,79.18,80.03,78.39,78.96,945700,0.0,0
2019-03-29,79.85,81.15,79.4,80.87,1589700,0.0,0
2019-04-01,81.71,82.75,81.62,82.22,1278400,0.0,0
2019-04-02,82.3,82.89,82.11,82.51,697900,0.0,0
2019-04-03,83.45,85.02,83.11,83.69,1887700,0.0,0
2019-04-04,83.5,84.85,83.39,83.84,1312700,0.0,0
2019-04-05,84.06,85.27,84.05,85.1,1081300,0.0,0
2019-04-08,84.9,86.09,84.36,85.93,1356600,0.0,0
2019-04-09,85.45,85.68,84.78,85.37,1096500,0.0,0
2019-04-10,85.35,86.5,84.82,86.33,1009600,0.0,0
2019-04-11,86.5,87.95,85.99,86.51,1327700,0.0,0
2019-04-12,87.31,88.91,86.93,88.91,1532200,0.0,0
2019-04-15,89.09,89.22,87.59,88.51,1193100,0.0,0
2019-04-16,89.22,91.76,88.89,91.73,2110600,0.0,0
2019-04-17,91.52,92.54,88.61,89.4,3059100,0.0,0
2019-04-18,89.81,90.06,88.02,88.24,1531400,0.0,0
2019-04-22,87.75,87.92,86.42,86.54,1156000,0.0,0
2019-04-23,86.54,87.79,86.19,87.49,1604300,0.0,0
2019-04-24,87.48,88.87,87.48,88.14,1082300,0.0,0
2019-04-25,87.86,87.97,85.44,86.8,1123700,0.0,0
2019-04-26,85.66,85.95,83.83,85.32,2227700,0.0,0
2019-04-29,84.99,86.02,84.88,85.1,1626600,0.0,0
2019-04-30,85.32,86.55,84.83,86.45,1685800,0.0,0
2019-05-01,88.42,89.41,86.73,86.75,2105900,0.0,0
2019-05-02,86.79,89.55,86.65,89.01,3491900,0.0,0
2019-05-03,86.88,88.19,82.4,85.89,5988600,0.0,0
2019-05-06,82.4,85.09,82.12,84.83,2326400,0.0,0
2019-05-07,83.42,83.83,81.02,81.91,2615900,0.0,0
2019-05-08,81.82,83.49,81.37,82.41,1819800,0.0,0
2019-05-09,81.38,82.34,79.96,82.0,1720100,0.0,0
2019-05-10,81.5,81.99,79.02,80.94,1774500,0.0,0
2019-05-13,78.43,78.82,74.58,75.13,2955100,0.0,0
2019-05-14,76.42,77.03,75.9,76.58,1936600,0.0,0
2019-05-15,75.91,77.84,75.66,77.21,1557500,0.0,0
2019-05-16,74.76,75.43,71.68,72.54,4312600,0.0,0
2019-05-17,70.71,71.73,68.54,69.03,4254100,0.0,0
2019-05-20,66.76,68.87,66.15,67.04,4397100,0.38,0
2019-05-21,69.01,70.42,67.82,68.75,3605400,0.0,0
2019-05-22,67.93,68.57,67.33,67.56,1752400,0.0,0
2019-05-23,66.32,67.58,65.4,67.48,2544300,0.0,0
2019-05-24,68.18,69.94,67.91,68.54,3535700,0.0,0
2019-05-28,68.95,69.36,66.97,67.04,2204600,0.0,0
2019-05-29,66.58,67.74,66.17,67.56,1771700,0.0,0
2019-05-30,67.53,69.13,66.82,67.3,1722700,0.0,0
2019-05-31,66.27,67.66,65.66,65.68,1615500,0.0,0
2019-06-03,66.3,67.1,65.35,65.97,1398600,0.0,0
2019-06-04,67.0,68.48,66.57,68.41,1787300,0.0,0
2019-06-05,68.51,69.68,65.62,66.99,2417000,0.0,0
2019-06-06,67.08,68.78,66.82,68.44,2565100,0.0,0
2019-06-07,68.34,69.38,67.7,69.15,2070700,0.0,0
2019-06-10,69.88,72.42,69.74,72.06,2753600,0.0,0
2019-06-11,73.15,73.66,72.32,72.92,2894100,0.0,0
2019-06-12,72.31,72.41,71.31,71.62,1392500,0.0,0
2019-06-13,71.93,72.69,71.64,72.3,1265400,0.0,0
2019-06-14,70.56,71.24,69.31,70.78,2035800,0.0,0
2019-06-17,70.63,71.56,69.93,71.41,1968200,0.0,0
2019-06-18,72.14,75.33,71.75,74.64,2804200,0.0,0
2019-06-19,74.87,75.29,73.73,74.45,1539200,0.0,0
2019-06-20,76.12,76.41,74.05,74.76,1687400,0.0,0
2019-06-21,74.42,74.71,73.67,74.15,3210700,0.0,0
2019-06-24,74.09,75.3,73.93,74.83,1368700,0.0,0
2019-06-25,74.88,75.07,73.18,73.26,1664500,0.0,0
2019-06-26,75.05,76.06,74.65,74.76,1787900,0.0,0
2019-06-27,75.49,76.73,75.27,75.85,1473000,0.0,0
