Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,31.51,32.32,31.42,32.09,4922700,0.0,0
2019-03-22,31.73,31.87,30.86,31.04,6752100,0.0,0
2019-03-25,31.0,31.28,30.34,30.61,8774300,0.0,0
2019-03-26,30.83,31.08,30.56,30.98,5009600,0.0,0
2019-03-27,30.99,31.17,30.69,30.84,4887300,0.0,0
2019-03-28,30.83,31.24,30.83,31.04,3805500,0.0,0
2019-03-29,31.23,31.42,30.99,31.11,4448100,0.0,0
2019-04-01,31.29,31.91,31.27,31.77,4426100,0.0,0
2019-04-02,31.77,31.83,31.54,31.61,5471500,0.0,0
2019-04-03,31.69,31.89,31.44,31.54,6711700,0.0,0
2019-04-04,31.67,31.98,31.57,31.69,2838800,0.0,0
2019-04-05,31.64,31.91,31.47,31.51,3704100,0.0,0
2019-04-08,31.54,31.73,31.38,31.73,2935300,0.0,0
2019-04-09,31.66,31.66,31.36,31.47,4668600,0.0,0
2019-04-10,31.47,31.82,31.47,31.74,3026700,0.0,0
2019-04-11,31.87,32.32,31.71,31.81,3493700,0.0,0
2019-04-12,32.13,32.42,31.93,32.18,69332000,0.0,0
2019-04-15,32.27,32.54,31.84,32.13,3398200,0.0,0
2019-04-16,32.27,32.41,31.95,32.33,3230600,0.0,0
2019-04-17,32.46,32.59,32.24,32.41,4607100,0.0,0
2019-04-18,32.95,32.95,31.41,32.51,6769700,0.0,0
2019-04-22,32.3,32.77,32.09,32.71,3998600,0.0,0
2019-04-23,32.68,32.75,32.4,32.63,4474400,0.0,0
2019-04-24,32.53,32.82,32.41,32.69,5069600,0.0,0
2019-04-25,32.58,33.0,32.45,32.67,3943300,0.0,0
2019-04-26,32.65,33.54,32.63,33.54,5281700,0.0,0
2019-04-29,33.57,33.86,33.44,33.55,3205900,0.0,0
2019-04-30,33.67,33.88,33.38,33.81,4130500,0.0,0
2019-05-01,33.87,34.0,33.26,33.31,3950900,0.0,0
2019-05-02,33.39,33.69,33.24,33.3,3320500,0.0,0
2019-05-03,33.49,33.79,33.39,33.69,2621300,0.21,0
2019-05-06,33.05,33.72,33.01,33.64,2441500,0.0,0
2019-05-07,33.24,33.57,33.07,33.36,3253900,0.0,0
