Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,63.94,64.71,63.89,64.5,1948000,0.0,0
2019-03-22,64.68,65.13,64.15,64.16,1668800,0.0,0
2019-03-25,63.99,64.89,63.99,64.78,3695600,0.0,0
2019-03-26,64.98,65.16,64.54,64.86,2638000,0.0,0
2019-03-27,64.78,64.98,63.97,64.24,2266600,0.0,0
2019-03-28,64.47,64.97,64.15,64.84,1737000,0.0,0
2019-03-29,64.88,65.38,64.65,65.33,2309500,0.0,0
2019-04-01,65.71,65.71,65.12,65.35,1774100,0.0,0
2019-04-02,65.41,65.51,64.86,64.91,1859700,0.0,0
2019-04-03,65.2,65.36,64.75,65.05,1845800,0.0,0
2019-04-04,65.2,65.9,64.94,65.82,2490500,0.39,0
2019-04-05,65.91,66.2,65.7,66.09,1781700,0.0,0
2019-04-08,66.09,66.39,65.91,66.19,3677100,0.0,0
2019-04-09,66.04,66.3,65.8,65.92,1367000,0.0,0
2019-04-10,65.84,66.49,65.79,66.37,1533600,0.0,0
2019-04-11,66.55,67.15,66.37,67.06,1963500,0.0,0
2019-04-12,67.12,67.93,66.87,67.93,2615700,0.0,0
2019-04-15,68.01,68.82,68.01,68.54,3194500,0.0,0
2019-04-16,68.64,69.1,68.49,69.01,2143000,0.0,0
2019-04-17,69.29,69.78,69.21,69.54,2548000,0.0,0
2019-04-18,69.6,70.88,69.5,69.88,2410500,0.0,0
2019-04-22,69.73,69.92,69.22,69.48,2023400,0.0,0
2019-04-23,69.55,69.64,69.1,69.3,2020000,0.0,0
2019-04-24,69.41,69.62,68.89,68.98,2588900,0.0,0
2019-04-25,68.74,68.86,68.11,68.29,1473100,0.0,0
2019-04-26,68.5,68.74,67.84,68.02,1715100,0.0,0
2019-04-29,68.1,68.74,67.93,68.63,2194800,0.0,0
2019-04-30,68.7,69.42,68.47,69.27,2444100,0.0,0
2019-05-01,69.55,69.82,68.88,68.88,2263600,0.0,0
2019-05-02,69.01,69.86,68.93,69.73,2516700,0.0,0
2019-05-03,69.8,70.06,69.29,69.42,3076500,0.0,0
2019-05-06,69.89,71.85,69.82,71.81,4149800,0.0,0
2019-05-07,71.69,72.24,71.36,71.76,2409600,0.0,0
2019-05-08,71.53,72.25,71.29,71.84,2559900,0.0,0
2019-05-09,71.54,72.59,71.54,72.4,2492900,0.0,0
2019-05-10,72.42,72.93,71.62,72.84,1905300,0.0,0
2019-05-13,72.08,72.58,71.58,72.23,2160200,0.0,0
2019-05-14,72.2,72.79,72.12,72.48,2068300,0.0,0
2019-05-15,72.2,72.98,71.95,72.75,1594500,0.0,0
2019-05-16,72.97,73.8,72.59,73.48,2923800,0.0,0
2019-05-17,73.12,74.09,73.02,73.76,2493600,0.0,0
2019-05-20,73.74,74.49,73.63,73.79,2041900,0.0,0
2019-05-21,74.26,74.47,73.87,74.31,1595200,0.0,0
2019-05-22,74.23,74.57,74.01,74.23,1525900,0.0,0
2019-05-23,74.05,74.17,73.22,73.52,1684100,0.0,0
2019-05-24,73.92,74.15,73.57,73.88,2137000,0.0,0
2019-05-28,74.04,74.27,73.29,73.39,2393400,0.0,0
2019-05-29,73.58,73.59,72.95,73.23,3038900,0.0,0
2019-05-30,73.51,73.83,73.2,73.36,2005500,0.0,0
2019-05-31,72.82,73.3,67.18,67.75,7696700,0.0,0
2019-06-03,67.58,68.09,66.91,67.88,3549900,0.0,0
2019-06-04,67.97,68.65,67.62,68.32,3979100,0.0,0
2019-06-05,69.01,69.82,68.25,69.73,3163900,0.0,0
2019-06-06,69.84,70.09,68.97,69.84,2299300,0.0,0
2019-06-07,70.0,70.75,69.22,70.38,2276900,0.0,0
2019-06-10,70.68,71.12,70.48,70.6,1350800,0.0,0
2019-06-11,70.59,71.82,70.51,71.62,2341000,0.0,0
2019-06-12,71.82,72.64,71.62,71.84,1294700,0.0,0
2019-06-13,71.83,72.12,71.2,71.39,1975800,0.0,0
2019-06-14,71.66,71.94,71.12,71.12,1614800,0.0,0
2019-06-17,71.12,71.25,70.57,70.72,1640700,0.0,0
2019-06-18,71.04,71.32,70.44,70.56,1382400,0.0,0
2019-06-19,70.51,70.66,68.88,69.98,2163100,0.0,0
2019-06-20,70.09,70.21,69.29,69.68,2292500,0.0,0
2019-06-21,69.7,69.87,69.37,69.55,3988300,0.0,0
2019-06-24,69.56,70.58,69.56,70.0,1863900,0.0,0
2019-06-25,70.02,70.74,69.75,70.58,1728500,0.0,0
2019-06-26,70.44,70.45,69.13,69.21,1685800,0.0,0
2019-06-27,69.19,69.56,68.63,69.34,1618600,0.0,0
2019-06-28,69.45,69.86,69.31,69.62,2487000,0.0,0
2019-07-01,69.85,70.18,69.28,69.58,1747100,0.0,0
2019-07-02,69.71,70.64,69.53,70.31,1953000,0.0,0
2019-07-03,70.69,71.22,70.52,71.02,2171400,0.39,0
2019-07-05,70.77,71.21,70.71,71.02,1739800,0.0,0
2019-07-08,71.02,71.51,70.67,71.27,2359600,0.0,0
2019-07-09,71.32,71.58,70.6,70.76,3776700,0.0,0
