Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,28.74,29.4,28.74,29.31,26343300,0.0,0
2019-03-22,29.26,29.58,29.26,29.32,33171400,0.0,0
2019-03-25,29.35,29.4,28.93,29.04,25633300,0.0,0
2019-03-26,29.23,29.65,29.2,29.63,24304900,0.0,0
2019-03-27,29.55,29.86,29.49,29.63,26743600,0.0,0
2019-03-28,29.65,29.73,29.13,29.27,26996400,0.0,0
2019-03-29,29.41,29.63,29.23,29.6,31606500,0.0,0
2019-04-01,29.82,30.19,29.77,30.15,37773800,0.0,0
2019-04-02,30.12,30.15,29.78,29.85,31945800,0.0,0
2019-04-03,30.01,30.16,29.86,30.08,28780000,0.0,0
2019-04-04,30.15,30.32,30.13,30.18,28212000,0.0,0
2019-04-05,30.27,30.54,30.13,30.53,39928700,0.0,0
2019-04-08,30.63,30.69,30.38,30.57,37252000,0.0,0
2019-04-09,30.54,30.58,30.24,30.44,26779000,0.51,0
2019-04-10,30.44,30.72,30.43,30.57,20385900,0.0,0
2019-04-11,30.61,30.92,30.57,30.88,24930900,0.0,0
2019-04-12,30.97,30.99,30.65,30.88,26021100,0.0,0
2019-04-15,30.89,30.92,30.63,30.7,19463700,0.0,0
2019-04-16,30.8,30.92,30.63,30.92,21701900,0.0,0
2019-04-17,30.76,30.88,30.64,30.64,22364800,0.0,0
2019-04-18,30.64,30.78,30.54,30.71,23317500,0.0,0
2019-04-22,30.7,30.86,30.61,30.76,22239100,0.0,0
2019-04-23,30.74,30.95,30.57,30.78,31675000,0.0,0
2019-04-24,29.79,30.29,29.26,29.52,72249300,0.0,0
2019-04-25,29.38,29.39,28.81,29.09,44021300,0.0,0
2019-04-26,29.22,29.69,29.03,29.42,35191800,0.0,0
2019-04-29,29.64,30.02,29.55,29.61,31762700,0.0,0
2019-04-30,29.67,29.86,29.49,29.69,35001300,0.0,0
2019-05-01,29.77,29.93,29.51,29.52,27047000,0.0,0
2019-05-02,29.69,29.73,29.33,29.36,29711500,0.0,0
2019-05-03,29.4,29.52,29.31,29.44,28225600,0.0,0
2019-05-06,29.21,29.38,29.13,29.33,25182000,0.0,0
2019-05-07,29.26,29.33,29.03,29.27,25771200,0.0,0
2019-05-08,29.14,29.25,28.93,29.05,25015200,0.0,0
2019-05-09,29.03,29.2,28.89,29.13,27078400,0.0,0
2019-05-10,29.01,29.46,28.92,29.36,22013300,0.0,0
2019-05-13,29.1,29.39,29.09,29.22,27713300,0.0,0
2019-05-14,29.44,30.09,29.36,29.81,37525200,0.0,0
2019-05-15,29.76,30.01,29.62,29.96,23931300,0.0,0
2019-05-16,30.06,30.57,30.06,30.32,23634900,0.0,0
2019-05-17,30.12,30.68,30.09,30.49,30889500,0.0,0
2019-05-20,30.95,31.72,30.65,30.87,53455200,0.0,0
2019-05-21,30.91,31.3,30.77,31.08,23313500,0.0,0
2019-05-22,30.91,31.12,30.8,30.95,19988800,0.0,0
2019-05-23,30.86,30.99,30.62,30.82,24665500,0.0,0
2019-05-24,30.99,31.02,30.78,30.94,16156700,0.0,0
2019-05-28,31.0,31.09,30.6,30.62,24523100,0.0,0
2019-05-29,30.6,30.89,30.39,30.6,26948900,0.0,0
2019-05-30,30.65,30.75,30.34,30.55,24227600,0.0,0
2019-05-31,29.78,29.88,29.13,29.32,49412600,0.0,0
2019-06-03,29.46,30.06,29.42,29.81,36323600,0.0,0
2019-06-04,30.1,30.2,29.71,30.19,31262200,0.0,0
2019-06-05,30.32,30.41,30.13,30.38,20430800,0.0,0
2019-06-06,30.49,30.85,30.4,30.78,24411700,0.0,0
2019-06-07,30.85,31.36,30.82,31.15,31788400,0.0,0
2019-06-10,31.35,31.64,30.55,30.62,30927300,0.0,0
2019-06-11,30.74,31.11,30.71,30.79,19612600,0.0,0
2019-06-12,30.79,30.98,30.71,30.86,19276200,0.0,0
2019-06-13,30.89,31.0,30.8,30.96,16873400,0.0,0
2019-06-14,31.01,31.11,30.86,31.02,19848500,0.0,0
2019-06-17,30.92,31.06,30.85,30.97,16814200,0.0,0
2019-06-18,31.11,31.36,31.07,31.11,20534100,0.0,0
2019-06-19,31.2,31.25,30.99,31.08,21209600,0.0,0
2019-06-20,31.24,31.26,30.98,31.2,27066000,0.0,0
2019-06-21,31.35,31.36,31.09,31.12,39218600,0.0,0
2019-06-24,31.15,31.35,31.12,31.24,21745400,0.0,0
2019-06-25,31.26,31.26,31.12,31.21,19229700,0.0,0
2019-06-26,31.25,31.44,31.18,31.19,27960900,0.0,0
2019-06-27,31.41,31.67,31.22,31.62,28184300,0.0,0
2019-06-28,31.68,32.17,31.57,32.13,40771300,0.0,0
2019-07-01,32.42,32.51,32.03,32.06,32421700,0.0,0
2019-07-02,32.09,32.48,32.0,32.45,26631900,0.0,0
2019-07-03,32.56,32.64,32.48,32.58,20136500,0.0,0
2019-07-05,32.58,32.96,32.54,32.89,24507000,0.0,0
2019-07-08,32.73,32.95,32.67,32.84,31848200,0.0,0
