Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,57.06,58.34,57.04,58.34,1281300,0.0,0
2019-03-22,57.89,57.89,57.03,57.04,1225200,0.0,0
2019-03-25,56.95,57.1,56.36,56.36,1238800,0.0,0
2019-03-26,56.69,57.06,56.49,57.06,1295600,0.0,0
2019-03-27,56.89,57.34,56.39,56.88,1397100,0.0,0
2019-03-28,56.98,57.28,56.74,56.86,1374300,0.0,0
2019-03-29,57.27,57.78,57.03,57.23,1846400,0.0,0
2019-04-01,57.52,58.2,57.41,57.92,1333300,0.0,0
2019-04-02,57.97,58.02,57.41,57.71,1106900,0.0,0
2019-04-03,57.66,57.95,56.96,57.41,1493000,0.0,0
2019-04-04,57.61,58.44,57.4,58.29,1349300,0.0,0
2019-04-05,58.29,58.52,57.7,58.17,1068800,0.0,0
2019-04-08,57.9,58.53,57.9,58.32,1171600,0.0,0
2019-04-09,57.83,58.05,56.82,57.13,1428600,0.0,0
2019-04-10,57.08,57.25,56.37,56.99,1680700,0.0,0
2019-04-11,57.39,58.25,57.3,57.63,1464000,0.0,0
2019-04-12,57.8,58.47,57.45,57.54,729200,0.0,0
2019-04-15,57.8,58.15,57.56,57.99,990400,0.0,0
2019-04-16,57.99,58.3,57.02,57.11,1771300,0.0,0
2019-04-17,57.17,57.7,56.81,57.01,1143400,0.0,0
2019-04-18,57.28,59.03,57.26,58.91,1917900,0.0,0
2019-04-22,58.99,59.8,58.56,58.68,1892100,0.0,0
2019-04-23,58.67,58.79,57.87,58.79,1583800,0.0,0
2019-04-24,58.9,59.99,58.75,59.97,1661000,0.0,0
2019-04-25,59.44,60.44,59.2,60.25,1359300,0.0,0
2019-04-26,60.45,61.52,60.45,61.24,1339700,0.0,0
2019-04-29,61.13,61.49,60.99,61.29,2163300,0.0,0
2019-04-30,61.13,61.71,60.7,61.58,2388700,0.0,0
2019-05-01,60.43,60.43,56.79,56.94,4781100,0.0,0
2019-05-02,56.8,57.55,56.13,57.49,1902000,0.0,0
2019-05-03,58.0,58.94,57.85,58.88,1708000,0.0,0
2019-05-06,58.28,58.99,58.16,58.5,1166600,0.0,0
2019-05-07,58.13,58.27,57.16,57.64,1692800,0.0,0
2019-05-08,57.41,57.42,56.14,56.78,1955400,0.0,0
2019-05-09,56.4,56.58,55.19,55.98,1392200,0.0,0
2019-05-10,55.86,56.28,55.03,56.26,1285600,0.0,0
2019-05-13,55.66,55.73,55.05,55.52,1074300,0.0,0
2019-05-14,55.74,56.49,55.54,56.05,1175000,0.0,0
2019-05-15,55.97,56.51,55.71,55.93,1239900,0.0,0
2019-05-16,56.0,56.83,55.89,56.16,1367000,0.0,0
2019-05-17,55.94,56.59,55.84,56.28,836800,0.0,0
2019-05-20,55.96,56.36,55.53,55.7,854000,0.0,0
2019-05-21,55.8,56.43,55.7,56.38,772800,0.0,0
2019-05-22,56.14,57.02,56.01,56.84,1021200,0.0,0
2019-05-23,56.4,57.03,56.0,57.01,1235000,0.0,0
2019-05-24,57.05,57.79,56.18,56.34,1081100,0.0,0
2019-05-28,56.34,56.57,54.81,54.92,1727200,0.0,0
2019-05-29,54.74,54.76,52.81,53.21,2175600,0.0,0
2019-05-30,53.04,53.46,52.09,52.53,2062100,0.0,0
2019-05-31,51.92,53.22,51.63,53.15,2538700,0.41,0
2019-06-03,53.0,54.23,52.83,54.03,1771200,0.0,0
2019-06-04,54.54,56.08,54.48,56.04,1785800,0.0,0
2019-06-05,56.47,56.47,55.34,55.5,1569900,0.0,0
2019-06-06,55.67,56.0,55.56,55.78,1322700,0.0,0
2019-06-07,56.25,56.61,53.89,55.07,2768800,0.0,0
2019-06-10,54.65,54.68,52.68,52.91,2508200,0.0,0
2019-06-11,52.9,53.15,52.04,52.81,2552500,0.0,0
2019-06-12,53.08,53.61,52.89,53.02,1405400,0.0,0
2019-06-13,53.16,53.44,52.75,53.27,1375100,0.0,0
2019-06-14,53.15,53.54,52.01,52.2,1954100,0.0,0
2019-06-17,52.07,52.2,51.47,51.87,1814700,0.0,0
2019-06-18,52.47,52.69,52.12,52.3,1328500,0.0,0
2019-06-19,52.39,53.27,52.06,52.84,1351100,0.0,0
2019-06-20,52.93,53.6,52.82,53.15,1420300,0.0,0
2019-06-21,53.16,53.69,52.56,53.57,2205400,0.0,0
2019-06-24,53.59,53.95,53.12,53.61,1073100,0.0,0
2019-06-25,53.64,53.82,52.71,53.55,1385400,0.0,0
2019-06-26,53.39,53.55,52.84,53.13,1580100,0.0,0
2019-06-27,53.14,53.7,52.91,53.48,1254700,0.0,0
2019-06-28,53.89,54.55,53.65,54.13,1959800,0.0,0
2019-07-01,54.41,54.6,53.9,54.43,1239700,0.0,0
2019-07-02,54.7,54.85,54.06,54.26,772100,0.0,0
2019-07-03,54.63,55.16,54.54,54.96,789200,0.0,0
2019-07-05,54.88,55.03,54.08,54.95,614700,0.0,0
2019-07-08,55.01,55.06,54.4,54.57,758900,0.0,0
2019-07-09,54.29,54.33,53.26,53.69,1017100,0.0,0
2019-07-10,54.02,54.43,53.82,54.01,1120200,0.0,0
2019-07-11,53.95,54.05,52.48,52.94,1116100,0.0,0
2019-07-12,52.97,53.15,52.43,52.57,2308100,0.0,0
2019-07-15,51.51,52.0,50.61,51.91,1956600,0.0,0
2019-07-16,51.85,52.75,51.61,52.67,1603800,0.0,0
2019-07-17,52.84,53.0,52.3,52.48,1266600,0.0,0
2019-07-18,52.2,52.83,51.7,52.57,1091700,0.0,0
2019-07-19,53.18,53.26,52.58,52.77,1545800,0.0,0
2019-07-22,52.95,53.21,52.23,52.42,1316200,0.0,0
2019-07-23,52.68,54.86,52.55,54.42,2525900,0.0,0
2019-07-24,54.38,54.87,54.2,54.76,1239000,0.0,0
2019-07-25,54.9,55.78,54.27,54.78,1696700,0.0,0
2019-07-26,54.84,55.08,54.5,54.7,1586700,0.0,0
2019-07-29,54.81,55.08,54.37,54.62,1236700,0.0,0
2019-07-30,54.51,55.1,54.22,55.02,1510700,0.0,0
2019-07-31,51.3,52.46,50.07,52.19,6778900,0.0,0
2019-08-01,51.24,52.44,50.71,50.74,3219800,0.0,0
2019-08-02,50.9,51.2,50.28,50.5,1980600,0.0,0
2019-08-05,50.17,50.33,48.25,48.9,3156100,0.0,0
2019-08-06,49.33,49.84,48.99,49.48,2697800,0.0,0
2019-08-07,49.22,50.54,48.86,50.4,1804200,0.0,0
2019-08-08,50.66,51.02,50.16,50.96,1368600,0.0,0
2019-08-09,50.72,50.99,50.39,50.89,1536300,0.0,0
2019-08-12,50.56,50.65,50.23,50.27,1736200,0.0,0
2019-08-13,50.47,51.18,49.9,49.96,1912100,0.0,0
2019-08-14,49.54,49.7,48.61,48.66,2103100,0.0,0
2019-08-15,48.79,49.25,48.48,49.16,1443400,0.0,0
2019-08-16,49.28,50.31,49.0,50.15,1504200,0.0,0
2019-08-19,50.69,51.08,50.22,50.75,1479300,0.0,0
2019-08-20,50.77,51.01,50.25,50.42,935300,0.0,0
2019-08-21,50.37,50.67,49.8,50.05,1707300,0.0,0
2019-08-22,50.14,50.55,49.76,49.96,1287900,0.0,0
2019-08-23,49.84,49.94,48.28,48.4,1643200,0.0,0
2019-08-26,48.65,48.91,48.42,48.88,1461700,0.0,0
2019-08-27,48.94,49.09,48.37,48.5,1643700,0.0,0
2019-08-28,48.53,49.55,48.25,49.44,923900,0.0,0
2019-08-29,49.96,50.3,49.75,49.9,768600,0.57,0
2019-08-30,50.05,50.44,49.92,50.21,1390300,0.0,0
2019-09-03,49.94,51.43,49.64,51.21,2111300,0.0,0
2019-09-04,51.62,52.11,51.49,51.94,927100,0.0,0
2019-09-05,52.17,52.48,51.94,51.98,1659000,0.0,0
2019-09-06,52.18,52.29,51.94,52.22,1464400,0.0,0
2019-09-09,52.21,54.67,52.21,54.61,2019400,0.0,0
2019-09-10,54.55,55.52,54.17,55.33,2342000,0.0,0
2019-09-11,55.1,55.38,54.25,55.11,1694500,0.0,0
2019-09-12,55.62,55.71,54.74,54.99,1183200,0.0,0
2019-09-13,55.16,55.95,55.05,55.88,1395300,0.0,0
2019-09-16,55.71,56.31,55.41,56.26,1476900,0.0,0
2019-09-17,56.24,56.33,54.31,54.43,2197700,0.0,0
2019-09-18,54.15,54.31,53.21,53.8,2007300,0.0,0
2019-09-19,53.81,54.07,53.47,53.8,1239200,0.0,0
2019-09-20,54.27,55.19,54.12,55.0,2106000,0.0,0
2019-09-23,54.96,55.25,54.51,54.95,1377300,0.0,0
2019-09-24,54.94,55.14,54.2,54.59,1122600,0.0,0
2019-09-25,54.79,54.96,54.28,54.88,1195800,0.0,0
2019-09-26,55.05,56.01,54.86,55.81,1398600,0.0,0
2019-09-27,56.05,56.41,55.66,56.18,1687800,0.0,0
2019-09-30,56.34,56.82,56.09,56.21,1575900,0.0,0
2019-10-01,56.4,57.05,56.31,56.8,1127900,0.0,0
2019-10-02,56.31,56.65,55.09,55.44,1341600,0.0,0
2019-10-03,54.96,55.57,53.94,55.35,1390300,0.0,0
2019-10-04,55.34,55.6,54.4,55.36,1254700,0.0,0
2019-10-07,55.45,55.84,54.87,54.91,1192400,0.0,0
2019-10-08,54.74,54.74,53.83,54.1,1328200,0.0,0
2019-10-09,54.46,54.62,53.92,54.26,1311000,0.0,0
2019-10-10,54.27,54.82,53.98,54.47,976000,0.0,0
2019-10-11,54.27,55.27,54.27,54.8,1024800,0.0,0
2019-10-14,54.57,55.06,54.32,54.98,805500,0.0,0
2019-10-15,54.99,55.55,54.71,55.41,1875200,0.0,0
2019-10-16,55.67,55.67,54.95,55.05,1260100,0.0,0
2019-10-17,55.31,56.31,55.1,55.72,1474300,0.0,0
2019-10-18,55.87,55.87,55.46,55.7,1572300,0.0,0
2019-10-21,55.89,56.02,55.69,55.87,1352500,0.0,0
2019-10-22,56.07,57.99,55.84,57.97,2654000,0.0,0
2019-10-23,57.58,58.22,57.29,58.13,1502100,0.0,0
2019-10-24,58.21,58.38,57.21,57.58,1582000,0.0,0
2019-10-25,56.12,56.59,54.8,55.56,3497200,0.0,0
2019-10-28,55.46,55.85,53.32,53.34,3442700,0.0,0
2019-10-29,53.43,53.75,52.85,53.46,3482500,0.0,0
2019-10-30,51.78,53.63,50.73,51.81,4119100,0.0,0
2019-10-31,51.76,52.01,51.16,51.53,1963800,0.0,0
2019-11-01,51.6,52.13,51.4,51.52,1455300,0.0,0
2019-11-04,51.94,52.85,51.63,52.4,1275600,0.0,0
2019-11-05,52.64,53.82,52.44,53.16,2068000,0.0,0
2019-11-06,53.49,53.69,52.9,53.26,1394200,0.0,0
2019-11-07,53.48,53.82,52.2,52.31,1308500,0.0,0
2019-11-08,52.35,52.63,51.99,52.58,1061900,0.0,0
2019-11-11,52.53,52.58,51.86,52.11,1035200,0.0,0
2019-11-12,52.3,52.33,51.44,51.49,1481300,0.0,0
2019-11-13,51.63,51.63,50.56,50.78,1489500,0.0,0
2019-11-14,50.94,51.05,50.15,50.15,1502200,0.0,0
2019-11-15,50.22,51.53,50.12,51.34,1827200,0.0,0
2019-11-18,51.36,51.65,50.66,50.79,1169300,0.0,0
2019-11-19,50.8,51.25,50.51,51.23,1071200,0.0,0
2019-11-20,51.28,52.13,51.12,51.21,2192900,0.0,0
2019-11-21,51.21,51.56,51.04,51.37,1364700,0.0,0
2019-11-22,51.62,51.84,50.91,51.1,802000,0.0,0
2019-11-25,50.57,51.42,50.49,51.24,1093800,0.0,0
2019-11-26,50.35,50.93,49.48,49.91,2205400,0.0,0
2019-11-27,50.06,50.29,49.48,49.59,2356000,0.0,0
2019-11-29,50.12,50.12,49.65,49.91,696700,0.57,0
2019-12-02,49.85,50.31,49.73,50.09,1759200,0.0,0
2019-12-03,49.98,50.17,49.25,49.53,1635300,0.0,0
2019-12-04,49.56,51.06,49.53,50.55,1881700,0.0,0
2019-12-05,50.49,50.77,49.46,49.78,1508300,0.0,0
2019-12-06,50.11,50.62,49.96,50.48,1062200,0.0,0
2019-12-09,50.48,51.04,50.41,50.94,1616000,0.0,0
2019-12-10,50.78,50.85,50.19,50.63,1694100,0.0,0
2019-12-11,50.89,50.97,50.27,50.59,1124500,0.0,0
2019-12-12,50.58,51.24,50.5,50.78,1326500,0.0,0
2019-12-13,50.97,51.32,50.09,50.23,1593500,0.0,0
2019-12-16,50.62,51.61,50.42,51.39,2896800,0.0,0
2019-12-17,51.21,52.02,51.21,51.85,1280000,0.0,0
2019-12-18,51.94,52.37,51.73,52.35,2549400,0.0,0
2019-12-19,52.23,52.84,51.84,52.64,2803600,0.0,0
2019-12-20,53.35,54.31,53.08,53.25,6347500,0.0,0
2019-12-23,53.43,53.63,52.26,52.45,2770900,0.0,0
2019-12-24,52.37,53.01,52.22,52.67,747700,0.0,0
