Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,80.58,82.72,80.44,82.19,1552300,0.0,0
2019-03-22,81.74,81.74,79.85,80.05,1723900,0.0,0
2019-03-25,80.1,80.27,79.25,79.45,1086400,0.0,0
2019-03-26,79.51,80.79,79.43,80.62,1247500,0.0,0
2019-03-27,80.74,80.98,79.24,79.69,1506400,0.0,0
2019-03-28,79.91,80.24,78.38,78.41,2509300,0.0,0
2019-03-29,79.11,79.67,78.7,79.13,2016100,0.0,0
2019-04-01,80.7,82.11,80.39,81.98,1641900,0.0,0
2019-04-02,82.03,82.73,81.45,82.63,1117400,0.0,0
2019-04-03,83.2,84.72,83.2,84.0,2952400,0.0,0
2019-04-04,84.07,84.9,83.8,84.47,1213600,0.0,0
2019-04-05,84.77,84.99,84.19,84.54,947100,0.0,0
2019-04-08,84.12,84.96,83.87,84.93,1048200,0.0,0
2019-04-09,84.58,84.81,83.43,83.59,970800,0.0,0
2019-04-10,83.59,84.51,83.16,84.35,757700,0.0,0
2019-04-11,84.59,85.58,84.04,85.16,1006700,0.0,0
2019-04-12,85.92,86.42,85.42,86.19,1227500,0.0,0
2019-04-15,86.27,86.34,85.29,85.8,768000,0.0,0
2019-04-16,86.14,86.92,85.96,86.88,859500,0.0,0
2019-04-17,87.54,87.98,86.91,87.24,1311200,0.0,0
2019-04-18,87.11,87.76,86.81,87.64,851400,0.0,0
2019-04-22,87.23,87.42,86.62,86.85,1006300,0.0,0
2019-04-23,86.85,88.04,86.64,88.01,1803700,0.0,0
2019-04-24,90.07,94.84,90.04,93.91,3193900,0.0,0
2019-04-25,94.05,94.38,92.51,93.6,1753200,0.0,0
2019-04-26,93.48,93.48,92.08,92.62,1299500,0.0,0
2019-04-29,92.83,93.01,91.8,92.32,1704600,0.0,0
2019-04-30,92.02,93.76,91.31,93.73,1481100,0.0,0
2019-05-01,93.1,93.96,92.51,92.52,1704900,0.0,0
2019-05-02,92.66,93.36,92.13,92.62,1064900,0.0,0
2019-05-03,93.02,93.84,92.99,93.73,1126800,0.0,0
2019-05-06,91.9,92.39,91.11,91.87,1073700,0.0,0
2019-05-07,90.54,91.32,89.57,90.2,1141200,0.0,0
2019-05-08,89.9,90.29,89.26,89.31,1437600,0.0,0
2019-05-09,88.21,89.16,87.62,89.07,899600,0.0,0
2019-05-10,88.72,89.54,87.68,89.09,918500,0.0,0
2019-05-13,87.04,87.66,86.08,86.37,1329000,0.0,0
2019-05-14,86.72,87.69,86.58,87.19,943800,0.0,0
2019-05-15,86.57,88.27,86.57,88.08,914400,0.0,0
2019-05-16,88.14,89.03,87.57,88.51,1058900,0.0,0
2019-05-17,87.48,89.09,87.48,87.74,920100,0.0,0
2019-05-20,86.68,87.02,85.81,86.42,1130000,0.0,0
