Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,299.24,304.67,296.99,303.71,218200,0.0,0
2019-03-22,303.5,304.0,300.2,300.46,151600,0.0,0
2019-03-25,301.01,301.01,294.91,298.37,299000,0.0,0
2019-03-26,301.11,302.97,299.18,302.8,281700,0.0,0
2019-03-27,304.57,304.57,297.26,298.55,190600,0.0,0
2019-03-28,300.45,300.57,296.82,298.88,178000,0.0,0
2019-03-29,300.83,301.22,297.84,300.92,235100,0.0,0
2019-04-01,302.37,304.32,297.63,301.02,268700,0.0,0
2019-04-02,301.53,302.27,299.13,301.49,123300,0.0,0
2019-04-03,303.0,303.58,298.63,301.09,252400,0.0,0
2019-04-04,302.2,302.2,299.15,300.96,124000,0.0,0
2019-04-05,301.16,304.36,300.3,301.04,146700,0.0,0
2019-04-08,301.45,302.86,297.33,302.11,108100,0.0,0
2019-04-09,300.78,302.85,300.44,302.12,102600,0.0,0
2019-04-10,301.52,305.81,300.77,303.6,161300,0.0,0
2019-04-11,304.73,304.73,300.43,303.99,134100,0.0,0
2019-04-12,306.25,308.72,302.34,303.88,244400,0.0,0
2019-04-15,304.93,306.1,301.01,301.5,203900,0.0,0
2019-04-16,303.06,303.96,291.71,292.83,251900,0.0,0
2019-04-17,293.41,293.41,275.8,276.61,389700,0.0,0
2019-04-18,276.53,278.75,270.45,275.92,382600,0.0,0
2019-04-22,274.93,279.04,272.59,273.42,288900,0.0,0
2019-04-23,274.17,279.58,273.79,279.0,327400,0.0,0
2019-04-24,276.85,278.86,273.88,277.74,343600,0.0,0
2019-04-25,276.01,281.07,275.35,280.16,229200,0.0,0
2019-04-26,279.99,281.55,278.6,280.89,244600,0.0,0
2019-04-29,281.21,282.19,277.82,279.43,252200,0.0,0
2019-04-30,279.46,285.58,279.11,285.01,273100,0.0,0
2019-05-01,284.77,284.77,278.17,279.46,322400,0.0,0
2019-05-02,286.32,297.77,284.96,296.81,482700,0.0,0
2019-05-03,297.87,299.5,293.5,299.13,399700,0.0,0
2019-05-06,295.15,299.85,293.65,297.78,335800,0.0,0
2019-05-07,296.18,298.36,290.42,293.13,411100,0.0,0
2019-05-08,292.6,295.72,291.12,295.13,252300,0.0,0
2019-05-09,293.01,300.77,291.08,300.11,227700,0.0,0
2019-05-10,298.06,302.25,293.0,301.59,262300,0.0,0
2019-05-13,296.76,297.72,292.39,292.87,253700,0.0,0
2019-05-14,293.52,299.24,293.11,296.64,169900,0.34,0
2019-05-15,294.52,295.99,292.23,294.73,198500,0.0,0
2019-05-16,295.63,304.91,294.18,300.63,331000,0.0,0
2019-05-17,297.75,299.14,294.34,295.13,287900,0.0,0
2019-05-20,294.22,294.22,289.31,290.87,243600,0.0,0
2019-05-21,292.19,297.66,291.38,294.51,168700,0.0,0
2019-05-22,293.09,297.29,292.28,296.88,97100,0.0,0
2019-05-23,295.38,295.42,288.35,291.07,170400,0.0,0
2019-05-24,291.94,296.97,291.94,294.74,232700,0.0,0
2019-05-28,294.94,298.28,288.48,288.78,141200,0.0,0
2019-05-29,288.41,290.79,285.41,287.84,200900,0.0,0
2019-05-30,288.74,295.13,288.51,290.05,170800,0.0,0
2019-05-31,288.66,289.66,284.13,287.45,327600,0.0,0
2019-06-03,287.37,292.41,286.68,288.82,374700,0.0,0
2019-06-04,291.61,292.12,283.65,291.98,241700,0.0,0
2019-06-05,294.22,297.34,290.33,297.28,198500,0.0,0
2019-06-06,297.63,303.23,294.3,300.87,194400,0.0,0
2019-06-07,302.26,305.21,301.44,304.38,140900,0.0,0
2019-06-10,305.14,311.46,305.03,310.04,180600,0.0,0
2019-06-11,313.82,313.82,304.37,308.66,130300,0.0,0
2019-06-12,309.37,316.21,308.55,314.86,192700,0.0,0
2019-06-13,318.01,320.74,314.05,320.06,313900,0.0,0
2019-06-14,320.06,321.67,317.88,319.3,342300,0.0,0
2019-06-17,319.37,325.63,319.37,324.57,260500,0.0,0
2019-06-18,326.91,330.93,324.52,330.63,305200,0.0,0
2019-06-19,329.6,333.59,327.92,332.67,209200,0.0,0
2019-06-20,334.0,336.97,328.65,333.86,187500,0.0,0
2019-06-21,333.84,334.82,329.1,333.75,275100,0.0,0
2019-06-24,332.93,334.73,329.35,331.82,223700,0.0,0
2019-06-25,331.2,336.07,330.36,335.14,242400,0.0,0
2019-06-26,335.72,335.92,325.69,325.98,329300,0.0,0
2019-06-27,328.15,328.31,324.21,326.79,198900,0.0,0
2019-06-28,326.98,330.43,325.1,330.18,1163300,0.0,0
2019-07-01,332.99,335.15,326.03,334.88,401200,0.0,0
