Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,94.38,98.58,94.38,97.87,2793100,0.0,0
2019-03-22,95.7,101.92,95.17,100.95,6379800,0.0,0
2019-03-25,100.95,101.51,99.86,100.55,2352000,0.0,0
2019-03-26,101.23,101.9,99.89,100.87,1578500,0.0,0
2019-03-27,100.84,102.77,100.84,102.13,1787700,0.0,0
2019-03-28,102.94,104.04,101.21,102.5,2230500,0.0,0
2019-03-29,102.81,103.58,102.03,103.24,2855600,0.0,0
2019-04-01,103.68,103.79,102.78,103.49,1682800,0.0,0
2019-04-02,104.03,104.41,103.39,103.89,2364000,0.0,0
2019-04-03,104.56,105.15,103.71,104.56,2189900,0.0,0
2019-04-04,105.1,105.23,104.31,104.95,1985000,0.0,0
2019-04-05,105.63,105.95,104.7,105.15,1989000,0.0,0
2019-04-08,104.91,105.3,104.06,104.29,2038600,0.0,0
2019-04-09,103.9,103.92,102.84,103.41,1068800,0.0,0
2019-04-10,103.47,104.14,102.77,103.56,1301600,0.0,0
2019-04-11,104.13,104.13,102.78,103.72,1195900,0.0,0
2019-04-12,104.16,104.77,103.74,103.86,1160200,0.0,0
2019-04-15,103.54,103.83,102.27,103.55,1100000,0.0,0
2019-04-16,103.83,105.32,103.68,104.88,919600,0.0,0
2019-04-17,105.24,105.39,103.29,103.86,1280900,0.0,0
2019-04-18,104.32,105.92,103.58,104.78,1127100,0.0,0
2019-04-22,104.55,104.58,102.98,103.41,767100,0.0,0
2019-04-23,103.92,105.43,103.28,105.38,1204400,0.0,0
2019-04-24,105.68,106.49,104.38,104.41,834800,0.0,0
2019-04-25,104.29,104.29,101.3,102.53,1849300,0.0,0
2019-04-26,102.34,105.41,102.16,105.38,1050400,0.0,0
2019-04-29,105.02,105.87,105.02,105.25,1352900,0.0,0
2019-04-30,105.2,106.13,104.4,105.46,1339300,0.0,0
2019-05-01,105.44,106.47,103.87,104.0,906600,0.0,0
2019-05-02,104.5,105.7,104.06,105.54,1456700,0.0,0
2019-05-03,105.73,107.35,105.73,107.15,1204200,0.0,0
2019-05-06,105.04,105.09,102.29,103.3,2026200,0.0,0
2019-05-07,102.3,102.87,101.08,101.69,1671600,0.0,0
2019-05-08,101.38,104.4,101.38,103.43,1002600,0.0,0
2019-05-09,102.53,103.07,100.78,102.62,1533700,0.0,0
2019-05-10,102.65,103.12,99.27,102.56,1343200,0.0,0
2019-05-13,100.79,100.79,95.49,95.54,2700200,0.0,0
2019-05-14,96.08,97.15,93.8,96.19,2105500,0.0,0
2019-05-15,95.78,97.23,94.29,96.21,2054000,0.0,0
2019-05-16,96.62,97.92,96.35,97.26,1437400,0.0,0
2019-05-17,96.46,97.21,93.8,93.92,2276400,0.0,0
2019-05-20,93.41,93.53,92.2,93.3,1680100,0.0,0
2019-05-21,93.79,96.69,93.61,95.72,1276500,0.0,0
2019-05-22,95.4,96.86,95.4,96.35,1253700,0.0,0
2019-05-23,95.67,95.8,92.59,93.29,2054600,0.0,0
2019-05-24,93.61,94.25,90.69,91.6,1455800,0.0,0
2019-05-28,90.96,92.1,89.1,89.19,2222400,0.0,0
2019-05-29,88.44,89.19,86.83,88.83,2458100,0.0,0
2019-05-30,89.54,90.42,87.74,88.08,1803200,0.0,0
2019-05-31,86.6,87.38,84.49,87.16,3110700,0.0,0
2019-06-03,87.25,88.97,86.73,88.2,3247900,0.0,0
2019-06-04,92.01,93.75,89.21,90.49,5521400,0.0,0
2019-06-05,90.49,90.61,86.56,90.43,2648900,0.0,0
2019-06-06,90.01,90.44,88.15,89.19,1449400,0.0,0
2019-06-07,89.11,89.71,88.38,88.49,1208200,0.0,0
2019-06-10,88.85,90.82,88.85,90.12,1222900,0.0,0
2019-06-11,90.81,90.93,89.96,90.07,1117200,0.0,0
2019-06-12,89.6,89.99,88.6,89.4,891200,0.0,0
2019-06-13,89.52,89.94,88.28,89.17,1198100,0.0,0
2019-06-14,89.17,89.29,87.99,89.03,1004300,0.0,0
2019-06-17,88.95,89.85,88.83,89.43,1033500,0.0,0
2019-06-18,89.96,90.96,89.74,90.03,2499900,0.0,0
2019-06-19,90.36,91.7,89.83,91.33,1489700,0.58,0
2019-06-20,92.57,94.73,91.91,94.61,2590500,0.0,0
2019-06-21,94.96,94.96,91.68,92.15,2309100,0.0,0
2019-06-24,91.85,92.57,90.41,90.41,1158100,0.0,0
2019-06-25,89.32,90.1,88.75,89.81,1431600,0.0,0
2019-06-26,89.93,91.65,89.66,90.5,1205700,0.0,0
2019-06-27,90.39,90.94,89.57,90.54,914000,0.0,0
2019-06-28,90.71,92.22,90.67,92.17,1877500,0.0,0
2019-07-01,93.92,95.5,92.52,92.8,2187200,0.0,0
2019-07-02,92.8,92.88,89.99,90.75,1579900,0.0,0
2019-07-03,91.22,93.29,90.25,92.13,1126400,0.0,0
2019-07-05,91.84,93.08,91.41,93.0,844900,0.0,0
2019-07-08,92.74,93.22,91.89,92.3,963700,0.0,0
2019-07-09,92.05,92.25,90.71,91.65,1283200,0.0,0
2019-07-10,91.86,92.32,90.51,91.32,1048500,0.0,0
2019-07-11,91.76,92.7,91.19,92.65,660000,0.0,0
2019-07-12,92.57,93.58,92.34,93.18,1508000,0.0,0
2019-07-15,92.42,93.55,91.59,92.35,1380500,0.0,0
2019-07-16,91.76,93.39,91.63,92.56,959100,0.0,0
2019-07-17,92.58,93.15,91.55,91.83,908300,0.0,0
2019-07-18,90.83,91.96,90.56,91.7,1216700,0.0,0
2019-07-19,92.13,92.93,91.22,91.22,999400,0.0,0
2019-07-22,91.23,91.55,89.32,90.29,1359200,0.0,0
2019-07-23,90.79,91.53,90.29,91.08,1150700,0.0,0
2019-07-24,91.3,93.03,91.05,92.95,1509200,0.0,0
2019-07-25,92.69,93.42,91.38,92.12,1010900,0.0,0
2019-07-26,92.92,93.47,90.75,91.81,1683400,0.0,0
2019-07-29,91.72,92.0,90.3,91.47,1119000,0.0,0
2019-07-30,90.95,92.65,90.17,92.64,1144900,0.0,0
2019-07-31,92.6,94.06,91.63,92.45,1491500,0.0,0
2019-08-01,92.49,93.84,89.0,89.8,2143600,0.0,0
2019-08-02,89.55,90.63,88.53,88.67,1364500,0.0,0
2019-08-05,87.2,87.2,84.71,86.48,2486300,0.0,0
2019-08-06,86.97,87.38,85.77,87.21,1531800,0.0,0
2019-08-07,85.9,87.58,85.61,87.45,1621500,0.0,0
2019-08-08,88.02,89.92,87.84,89.73,1161700,0.0,0
2019-08-09,89.42,89.8,87.39,88.16,1355300,0.0,0
2019-08-12,87.17,87.17,84.63,85.68,1287100,0.0,0
2019-08-13,85.36,88.83,84.5,86.46,1724800,0.0,0
2019-08-14,84.14,84.14,81.03,81.43,3228200,0.0,0
2019-08-15,81.7,81.97,78.23,79.31,2731700,0.0,0
2019-08-16,79.95,81.2,79.4,79.53,2735100,0.0,0
2019-08-19,80.72,81.84,79.92,80.8,2192300,0.0,0
2019-08-20,80.34,81.43,79.89,80.97,1756500,0.0,0
2019-08-21,81.78,83.45,81.5,83.2,2007000,0.0,0
2019-08-22,82.76,84.33,82.42,84.0,2074600,0.0,0
2019-08-23,83.31,84.12,79.83,80.04,3361200,0.0,0
2019-08-26,80.83,82.04,79.91,81.78,4333800,0.0,0
2019-08-27,82.2,83.63,81.08,81.37,4209900,0.0,0
2019-08-28,77.64,85.23,77.37,83.83,10957400,0.0,0
2019-08-29,83.94,85.42,82.68,84.2,2744400,0.0,0
2019-08-30,84.72,86.05,82.86,83.54,2000000,0.0,0
2019-09-03,82.68,83.07,80.33,81.2,2658100,0.0,0
2019-09-04,82.79,83.86,81.91,83.2,1996700,0.0,0
2019-09-05,84.43,87.17,84.28,86.81,2675900,0.0,0
2019-09-06,87.11,87.85,86.57,86.84,1640900,0.0,0
2019-09-09,86.8,90.19,86.62,89.85,2462100,0.0,0
2019-09-10,89.93,92.54,89.66,92.54,2380500,0.0,0
2019-09-11,92.76,93.6,90.37,93.56,1916900,0.0,0
2019-09-12,93.73,95.43,92.62,95.1,1792600,0.0,0
2019-09-13,95.93,97.49,95.62,96.74,1593800,0.0,0
2019-09-16,96.05,97.21,94.69,94.89,1526600,0.0,0
2019-09-17,94.64,94.87,92.64,93.77,1916000,0.0,0
2019-09-18,91.94,92.62,90.57,91.96,2135100,0.0,0
2019-09-19,92.88,92.88,90.23,90.47,1517100,0.58,0
2019-09-20,90.86,92.05,90.37,90.43,1564500,0.0,0
2019-09-23,89.67,91.46,89.4,90.91,899800,0.0,0
2019-09-24,91.65,91.72,89.21,89.97,784000,0.0,0
2019-09-25,89.76,91.43,89.63,91.14,1345700,0.0,0
