Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,30.21,30.47,29.91,30.26,4624000,0.0,0
2019-03-22,29.87,30.11,29.27,29.29,4594600,0.0,0
2019-03-25,29.28,30.12,29.07,29.9,4300700,0.0,0
2019-03-26,30.02,30.57,30.02,30.26,2889900,0.0,0
2019-03-27,30.41,30.87,30.4,30.76,3430200,0.0,0
2019-03-28,31.18,31.42,30.82,30.98,3961100,0.0,0
2019-03-29,31.21,31.34,30.63,30.77,3836600,0.0,0
2019-04-01,30.97,31.74,30.94,31.62,3684000,0.0,0
2019-04-02,31.78,31.85,31.43,31.48,2810800,0.0,0
2019-04-03,31.74,32.15,31.64,32.1,3666700,0.0,0
2019-04-04,32.11,32.64,32.0,32.63,2308600,0.0,0
2019-04-05,32.73,32.89,32.32,32.44,3067000,0.0,0
2019-04-08,32.3,32.34,31.89,32.02,2725100,0.0,0
2019-04-09,31.74,31.78,31.25,31.78,3787900,0.0,0
2019-04-10,31.78,31.97,31.3,31.64,3682900,0.0,0
2019-04-11,31.82,32.02,31.08,31.16,4033300,0.0,0
2019-04-12,31.37,31.57,30.67,30.85,4185700,0.0,0
2019-04-15,30.93,31.03,30.43,30.59,3388100,0.0,0
2019-04-16,30.5,30.65,30.23,30.55,4098200,0.0,0
2019-04-17,30.83,31.44,30.51,30.59,5136900,0.0,0
2019-04-18,30.58,30.96,30.38,30.83,3087000,0.0,0
2019-04-22,30.69,30.83,28.95,29.07,5799600,0.0,0
2019-04-23,28.98,29.33,28.46,29.21,9500100,0.0,0
2019-04-24,29.21,30.22,29.2,29.86,6854900,0.0,0
2019-04-25,29.83,29.83,29.1,29.17,4741000,0.0,0
2019-04-26,29.39,30.06,29.24,29.97,4016600,0.0,0
2019-04-29,29.89,30.64,29.89,30.62,4843100,0.0,0
2019-04-30,30.34,30.58,29.97,30.56,4366700,0.0,0
2019-05-01,30.65,30.81,29.33,29.38,5217000,0.0,0
2019-05-02,29.49,29.92,29.2,29.73,5692200,0.0,0
2019-05-03,29.94,30.19,29.45,29.55,6443000,0.0,0
2019-05-06,28.85,29.98,28.74,29.85,5566100,0.0,0
2019-05-07,29.57,29.78,28.89,29.09,6211800,0.0,0
2019-05-08,28.96,29.63,28.89,29.12,6156400,0.0,0
2019-05-09,34.15,34.15,31.19,31.59,20422900,0.0,0
2019-05-10,31.3,31.55,29.69,30.54,8356500,0.0,0
2019-05-13,29.73,29.77,28.4,28.62,6769600,0.0,0
2019-05-14,28.87,29.32,28.24,29.15,5466400,0.0,0
2019-05-15,28.92,29.73,28.65,29.43,6206200,0.0,0
2019-05-16,29.61,30.11,29.56,29.68,4150400,0.0,0
2019-05-17,29.43,29.61,29.05,29.15,4654200,0.0,0
2019-05-20,28.86,29.17,28.72,29.09,4181500,0.0,0
2019-05-21,29.32,29.78,29.18,29.72,4239100,0.0,0
2019-05-22,29.45,29.46,28.94,29.23,4009500,0.0,0
2019-05-23,28.89,29.07,28.42,28.63,4253600,0.0,0
2019-05-24,28.89,28.91,27.88,28.14,5984300,0.0,0
2019-05-28,28.22,28.5,27.84,27.84,9148500,0.0,0
2019-05-29,27.4,27.92,27.11,27.46,4587700,0.0,0
2019-05-30,27.37,27.46,26.83,26.86,5787600,0.0,0
2019-05-31,26.56,27.2,26.45,27.05,4355100,0.0,0
2019-06-03,27.03,27.54,26.92,27.29,4469700,0.0,0
2019-06-04,27.7,28.65,27.68,28.46,4840600,0.0,0
2019-06-05,28.87,29.0,28.01,28.57,5328200,0.0,0
2019-06-06,28.54,28.61,27.82,28.36,3323500,0.3375,0
2019-06-07,28.46,29.01,28.24,28.97,3215000,0.0,0
2019-06-10,29.18,29.48,28.67,28.7,3625400,0.0,0
2019-06-11,29.08,29.15,28.42,28.46,3752500,0.0,0
2019-06-12,28.59,28.67,27.61,27.61,7146400,0.0,0
2019-06-13,27.88,28.68,27.72,28.68,3019000,0.0,0
2019-06-14,28.56,28.63,28.01,28.29,3581500,0.0,0
2019-06-17,28.21,28.76,28.05,28.41,2662700,0.0,0
2019-06-18,28.64,29.61,28.64,29.03,4011300,0.0,0
2019-06-19,29.02,29.31,28.76,29.19,3110700,0.0,0
2019-06-20,29.49,29.6,29.15,29.58,3453000,0.0,0
2019-06-21,29.64,30.03,29.3,30.01,5174700,0.0,0
2019-06-24,29.86,30.29,29.66,30.07,4444900,0.0,0
2019-06-25,29.83,29.87,28.84,28.92,6473400,0.0,0
2019-06-26,29.07,29.73,29.07,29.48,3473400,0.0,0
2019-06-27,30.01,30.36,29.44,29.73,4493000,0.0,0
2019-06-28,30.03,30.46,29.63,30.39,5114000,0.0,0
