Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,127.64,131.31,127.22,131.24,1527500,0.0,0
2019-03-22,130.8,133.08,130.67,131.76,2352800,0.0,0
2019-03-25,131.97,132.59,131.24,131.81,1143500,0.0,0
2019-03-26,132.44,132.78,130.82,131.84,1501100,0.0,0
2019-03-27,131.99,133.76,131.84,133.18,1198700,0.0,0
2019-03-28,133.53,133.99,132.3,133.71,732400,0.0,0
2019-03-29,134.51,134.92,133.47,133.97,1328400,0.0,0
2019-04-01,134.36,135.37,134.17,134.81,1547400,0.0,0
2019-04-02,135.16,135.16,133.41,133.63,1050200,0.0,0
2019-04-03,134.31,134.31,132.37,133.42,1122000,0.0,0
2019-04-04,133.71,133.8,132.82,133.34,1115200,0.0,0
2019-04-05,133.35,133.9,132.94,133.23,1090400,0.0,0
2019-04-08,133.63,133.63,132.31,132.72,1006300,0.0,0
2019-04-09,132.34,132.34,131.24,132.04,1377700,0.0,0
2019-04-10,132.28,132.62,131.47,132.31,1250600,0.0,0
2019-04-11,132.57,133.25,131.95,133.11,955900,0.0,0
2019-04-12,133.79,134.64,133.54,134.51,1098300,0.0,0
2019-04-15,134.6,134.69,133.42,133.61,779100,0.0,0
2019-04-16,134.18,135.35,133.94,135.12,1038500,0.0,0
2019-04-17,135.06,135.06,132.64,132.71,1434500,0.0,0
2019-04-18,135.52,138.23,134.79,135.7,2199200,0.0,0
2019-04-22,135.16,135.44,133.4,133.43,1254000,0.0,0
2019-04-23,133.81,134.95,133.63,134.8,1389900,0.0,0
2019-04-24,135.45,136.42,134.34,135.94,1161200,0.0,0
2019-04-25,135.01,136.3,134.05,135.95,1129000,0.0,0
2019-04-26,136.01,137.16,136.01,136.98,776900,0.0,0
2019-04-29,137.23,138.64,137.15,138.17,983800,0.0,0
2019-04-30,138.53,140.51,138.31,140.4,1558600,0.0,0
2019-05-01,140.28,140.82,139.64,139.75,1249300,0.0,0
2019-05-02,140.06,140.65,138.78,139.38,1050800,0.0,0
2019-05-03,139.54,140.86,138.97,140.01,1109200,0.0,0
2019-05-06,138.7,140.48,138.08,140.09,969700,0.0,0
2019-05-07,139.51,140.43,137.91,138.41,1191000,0.0,0
2019-05-08,138.21,139.41,138.0,138.24,1011300,0.0,0
2019-05-09,137.56,138.83,136.7,138.53,928100,0.0,0
2019-05-10,137.87,140.66,137.49,140.61,973100,0.0,0
2019-05-13,139.07,140.44,138.65,140.07,1611800,0.0,0
2019-05-14,139.74,142.97,139.74,142.32,1775100,0.0,0
2019-05-15,141.68,143.47,141.36,143.11,1431100,0.0,0
2019-05-16,142.96,144.82,142.96,143.98,1686500,0.0,0
2019-05-17,142.57,145.06,142.48,144.06,1721400,0.0,0
2019-05-20,144.07,145.39,143.81,144.72,1440600,0.0,0
2019-05-21,144.91,145.38,143.52,144.04,1390700,0.0,0
2019-05-22,144.05,144.81,143.52,144.52,1104200,0.0,0
