Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,63.44,65.36,63.32,64.95,2932400,0.0,0
2019-03-22,65.02,65.41,64.51,65.03,1502600,0.0,0
2019-03-25,64.97,66.36,64.52,65.86,3137600,0.0,0
2019-03-26,66.15,66.64,65.76,66.25,1736900,0.0,0
2019-03-27,66.32,66.8,65.64,66.39,1824900,0.0,0
2019-03-28,66.46,67.62,66.46,67.26,2315000,0.0,0
2019-03-29,67.36,67.9,66.94,67.79,2215900,0.0,0
2019-04-01,67.86,68.06,67.13,68.05,2775400,0.0,0
2019-04-02,68.23,68.39,67.61,67.62,2653400,0.0,0
2019-04-03,67.62,68.03,67.08,67.3,2547700,0.0,0
2019-04-04,67.41,68.73,67.01,68.37,2401500,0.0,0
2019-04-05,68.44,68.59,67.88,68.15,2063600,0.0,0
2019-04-08,68.19,68.91,67.98,68.77,1932400,0.0,0
2019-04-09,68.54,68.78,67.75,67.92,1818600,0.0,0
2019-04-10,68.03,69.14,67.79,68.98,1488100,0.0,0
2019-04-11,69.08,69.64,69.02,69.49,1423100,0.0,0
2019-04-12,69.29,69.57,68.61,69.16,3212800,0.0,0
2019-04-15,69.13,69.86,68.93,69.72,1814200,0.0,0
2019-04-16,69.79,70.52,69.58,70.36,1777800,0.0,0
2019-04-17,70.82,72.28,70.75,71.55,2771700,0.0,0
2019-04-18,71.69,72.23,71.31,71.75,2033200,0.0,0
2019-04-22,71.75,71.89,70.91,71.13,2351900,0.0,0
2019-04-23,71.23,73.04,71.23,72.69,3630100,0.0,0
2019-04-24,72.75,73.11,70.79,72.02,3742100,0.0,0
2019-04-25,71.82,72.22,71.55,71.88,1529900,0.0,0
2019-04-26,72.02,72.49,71.52,72.41,1953100,0.0,0
2019-04-29,72.27,72.73,71.94,72.45,1601600,0.0,0
2019-04-30,72.61,73.62,72.06,73.24,2854800,0.0,0
2019-05-01,73.23,73.76,72.87,73.03,2403400,0.0,0
2019-05-02,73.18,73.8,72.8,73.34,1781100,0.0,0
2019-05-03,73.47,73.91,72.87,73.31,3075200,0.0,0
2019-05-06,73.02,75.64,72.79,75.23,4517000,0.0,0
2019-05-07,75.32,75.79,74.17,75.03,3468500,0.0,0
2019-05-08,75.1,76.3,74.39,75.66,3491800,0.0,0
2019-05-09,75.5,76.22,74.7,76.1,2663300,0.0,0
2019-05-10,76.05,78.01,75.18,77.92,2767700,0.0,0
2019-05-13,77.13,78.05,76.74,77.69,2749400,0.0,0
2019-05-14,78.32,80.1,78.14,79.64,3415600,0.0,0
2019-05-15,79.77,80.66,78.94,80.29,3438800,0.0,0
2019-05-16,80.45,81.19,80.36,80.65,2979800,0.0,0
2019-05-17,80.03,81.39,79.87,80.54,2664900,0.0,0
2019-05-20,80.37,80.94,79.82,79.93,2500700,0.0,0
2019-05-21,79.94,80.08,78.25,78.7,3985400,0.0,0
2019-05-22,78.88,79.61,78.22,79.34,2260600,0.0,0
2019-05-23,78.64,79.79,77.95,79.78,2388300,0.0,0
2019-05-24,79.95,80.39,79.3,79.53,1526000,0.0,0
2019-05-28,79.87,80.49,78.29,78.41,2531600,0.0,0
2019-05-29,77.66,77.73,74.26,74.48,5743700,0.0,0
2019-05-30,74.65,75.93,74.54,75.3,2631900,0.375,0
2019-05-31,74.59,74.66,73.42,74.46,4132700,0.0,0
2019-06-03,74.69,77.02,74.62,76.59,4202000,0.0,0
2019-06-04,76.64,77.9,76.64,77.84,2968600,0.0,0
2019-06-05,78.47,79.81,78.11,79.09,2928600,0.0,0
2019-06-06,79.36,80.63,79.01,80.26,3755200,0.0,0
2019-06-07,80.56,81.35,80.43,80.9,2231600,0.0,0
2019-06-10,80.96,81.58,80.62,80.94,1850800,0.0,0
2019-06-11,81.04,81.31,80.03,80.76,1883300,0.0,0
2019-06-12,80.92,81.33,80.06,80.35,1321500,0.0,0
2019-06-13,81.65,82.71,80.51,80.98,4521200,0.0,0
2019-06-14,80.71,81.08,79.6,80.37,3795300,0.0,0
