Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,107.06,109.95,107.0,109.21,5772700,0.0,0
2019-03-22,108.72,109.39,106.59,106.73,3773500,0.0,0
2019-03-25,105.23,106.29,103.41,104.23,5479100,0.0,0
2019-03-26,105.37,105.83,104.51,105.42,3085500,0.0,0
2019-03-27,105.48,105.91,102.62,103.12,4797200,0.0,0
2019-03-28,103.14,103.54,100.85,102.09,5386400,0.0,0
2019-03-29,103.2,103.77,102.53,103.22,4327700,0.0,0
2019-04-01,105.09,106.03,104.06,105.72,5349800,0.0,0
2019-04-02,106.04,107.46,105.27,107.32,7005500,0.0,0
2019-04-03,108.87,111.08,108.41,109.72,7036700,0.0,0
2019-04-04,109.36,111.2,109.34,110.2,5035600,0.0,0
2019-04-05,110.75,111.05,110.27,110.58,3318300,0.0,0
2019-04-08,110.74,112.32,110.28,112.13,4580800,0.0,0
2019-04-09,111.47,111.59,110.21,110.88,4648200,0.0,0
2019-04-10,110.82,112.1,110.49,111.83,3013300,0.0,0
2019-04-11,111.97,112.33,111.06,111.79,2799300,0.0,0
2019-04-12,112.67,113.89,112.67,113.62,4881100,0.0,0
2019-04-15,113.48,114.22,110.96,112.0,4265100,0.0,0
2019-04-16,112.73,113.71,112.52,113.24,4133700,0.0,0
2019-04-17,113.83,114.68,111.82,112.5,6227500,0.0,0
2019-04-18,113.06,113.06,112.04,112.41,4195800,0.0,0
2019-04-22,111.45,112.06,110.6,111.86,3691200,0.0,0
2019-04-23,112.3,113.4,111.44,113.25,7547400,0.0,0
2019-04-24,111.91,116.12,111.77,115.25,14483900,0.0,0
2019-04-25,114.67,115.24,112.54,114.02,5315400,0.0,0
2019-04-26,112.88,114.1,112.21,114.06,3582600,0.0,0
2019-04-29,113.59,114.19,112.88,113.57,3407600,0.0,0
2019-04-30,113.74,115.19,113.53,114.67,4533200,0.0,0
2019-05-01,114.89,115.73,113.08,113.17,3335800,0.0,0
2019-05-02,113.27,115.39,113.16,114.31,4532200,0.0,0
2019-05-03,115.06,115.56,113.74,115.07,3689000,0.77,0
2019-05-06,111.79,113.63,111.18,113.49,3974300,0.0,0
2019-05-07,111.67,112.09,109.96,111.6,5928100,0.0,0
2019-05-08,110.51,112.4,110.18,110.26,4819300,0.0,0
2019-05-09,108.61,110.53,107.95,109.86,4817500,0.0,0
2019-05-10,109.57,110.82,107.12,110.3,4189900,0.0,0
2019-05-13,106.94,108.09,104.55,104.92,7867600,0.0,0
2019-05-14,106.0,107.6,105.68,106.81,4068200,0.0,0
2019-05-15,105.79,108.6,105.51,108.04,4803600,0.0,0
2019-05-16,106.7,108.37,105.89,106.98,4690600,0.0,0
2019-05-17,105.97,107.24,103.94,104.61,6944000,0.0,0
2019-05-20,100.98,103.73,100.98,102.59,7519900,0.0,0
2019-05-21,104.72,105.79,104.1,104.81,4977200,0.0,0
2019-05-22,104.41,105.68,104.23,104.6,3297000,0.0,0
2019-05-23,103.62,103.82,102.22,103.67,4828000,0.0,0
2019-05-24,104.35,105.29,102.78,102.91,2786400,0.0,0
2019-05-28,103.73,103.78,101.04,101.1,5707100,0.0,0
2019-05-29,100.56,102.76,99.49,102.02,4923400,0.0,0
2019-05-30,102.34,103.93,102.0,103.29,3365700,0.0,0
2019-05-31,102.19,103.95,101.87,102.18,4463100,0.0,0
2019-06-03,102.89,104.79,102.45,103.02,4504500,0.0,0
2019-06-04,104.97,107.02,104.18,106.89,4924700,0.0,0
2019-06-05,107.75,108.04,105.58,107.24,3977400,0.0,0
2019-06-06,107.27,108.41,106.57,107.94,4734100,0.0,0
2019-06-07,108.87,109.54,108.33,108.9,5408600,0.0,0
2019-06-10,109.48,111.19,108.73,110.33,4656800,0.0,0
2019-06-11,111.97,112.0,109.68,110.62,4775700,0.0,0
2019-06-12,110.18,110.48,107.73,108.08,4105400,0.0,0
2019-06-13,108.5,109.08,108.07,108.91,3392000,0.0,0
2019-06-14,104.66,106.82,104.62,105.12,7137800,0.0,0
2019-06-17,105.11,105.79,104.37,104.54,3655300,0.0,0
2019-06-18,106.09,109.29,105.38,108.77,5207900,0.0,0
2019-06-19,109.52,110.0,108.43,109.03,2745900,0.0,0
2019-06-20,111.54,112.01,109.43,110.41,2789900,0.0,0
2019-06-21,109.58,111.05,109.38,110.02,5124900,0.0,0
2019-06-24,109.88,110.78,109.53,110.43,3356200,0.0,0
2019-06-25,110.6,110.93,109.06,109.2,3426200,0.0,0
2019-06-26,111.09,112.67,110.47,112.09,5308200,0.0,0
2019-06-27,112.87,114.28,112.67,113.49,4163800,0.0,0
2019-06-28,114.04,114.44,112.16,112.41,6129800,0.0,0
2019-07-01,115.2,116.55,113.86,114.79,6139500,0.0,0
2019-07-02,114.6,114.61,112.76,113.69,3818600,0.0,0
2019-07-03,113.82,114.02,112.57,113.57,2321700,0.0,0
2019-07-05,112.47,113.7,112.03,113.38,2915400,0.0,0
2019-07-08,112.84,113.45,112.34,112.58,2974500,0.0,0
2019-07-09,112.26,113.55,112.05,113.41,2754000,0.0,0
2019-07-10,114.24,116.03,113.82,114.26,3531800,0.0,0
