Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,18.98,19.31,18.92,19.28,1304000,0,0
2019-03-22,19.09,19.2,18.38,18.41,2131100,0,0
2019-03-25,18.36,18.61,18.16,18.58,1723100,0,0
2019-03-26,18.89,18.89,18.51,18.59,1421500,0,0
2019-03-27,18.62,18.76,18.43,18.72,1234900,0,0
2019-03-28,18.97,19.21,18.87,18.95,1231400,0,0
2019-03-29,19.08,19.2,18.82,18.87,1456000,0,0
2019-04-01,18.97,19.04,18.7,18.84,1375100,0,0
2019-04-02,18.78,19.09,18.69,19.03,1592600,0,0
2019-04-03,19.15,19.41,19.11,19.14,1948000,0,0
2019-04-04,19.2,19.8,19.19,19.77,1721900,0,0
2019-04-05,19.8,19.9,19.46,19.64,1474200,0,0
2019-04-08,19.56,19.59,19.32,19.5,1433900,0,0
2019-04-09,19.36,19.44,18.54,18.71,2461300,0,0
2019-04-10,19.02,19.4,18.92,19.32,1918000,0,0
2019-04-11,19.36,19.59,19.23,19.34,910800,0,0
2019-04-12,19.41,19.73,19.41,19.69,979100,0,0
2019-04-15,19.71,19.94,19.68,19.77,1537500,0,0
2019-04-16,19.79,19.84,19.45,19.5,1665900,0,0
2019-04-17,19.5,19.93,19.47,19.66,2132300,0,0
2019-04-18,19.56,19.92,19.52,19.74,2213600,0,0
2019-04-22,19.65,19.76,19.42,19.54,1431400,0,0
2019-04-23,19.64,20.04,19.6,19.94,2465200,0,0
2019-04-24,19.99,20.44,19.83,20.3,2042600,0,0
2019-04-25,20.25,20.29,19.94,20.1,2718100,0,0
2019-04-26,20.17,20.44,20.06,20.4,1477400,0,0
2019-04-29,20.44,20.69,20.43,20.56,1447400,0,0
2019-04-30,20.61,20.85,20.48,20.72,2595100,0,0
2019-05-01,20.76,20.89,19.62,19.68,4391300,0,0
2019-05-02,21.22,21.65,20.26,20.39,5326600,0,0
2019-05-03,20.41,20.47,19.9,20.24,2665100,0,0
2019-05-06,19.79,19.95,19.45,19.86,1985800,0,0
2019-05-07,19.74,19.97,19.33,19.51,2714000,0,0
2019-05-08,19.5,20.0,19.36,19.8,1987200,0,0
2019-05-09,19.77,19.77,19.24,19.61,2487000,0,0
2019-05-10,19.44,19.56,18.94,19.23,2633200,0,0
2019-05-13,18.75,18.89,18.4,18.53,2367000,0,0
2019-05-14,18.59,19.17,18.48,19.13,2240200,0,0
2019-05-15,18.98,19.17,18.85,18.95,2169400,0,0
2019-05-16,18.99,19.53,18.99,19.36,2103000,0,0
2019-05-17,20.01,20.85,19.84,20.7,6150900,0,0
2019-05-20,20.57,20.94,20.27,20.86,4049400,0,0
2019-05-21,20.89,21.17,20.59,21.16,2918000,0,0
2019-05-22,20.96,21.41,20.92,21.37,2566600,0,0
2019-05-23,21.2,21.3,20.72,20.85,3173600,0,0
2019-05-24,20.96,21.03,20.69,20.91,2009200,0,0
2019-05-28,21.02,21.34,20.96,20.96,2174100,0,0
2019-05-29,20.87,20.87,20.13,20.32,2491000,0,0
2019-05-30,20.25,20.57,20.02,20.44,1409600,0,0
2019-05-31,20.08,20.54,20.08,20.23,2097000,0,0
2019-06-03,20.15,20.83,20.1,20.72,2691900,0,0
2019-06-04,20.99,21.72,20.95,21.7,2844300,0,0
2019-06-05,21.82,22.65,21.72,22.6,2993000,0,0
2019-06-06,22.61,22.75,22.33,22.53,2102900,0,0
2019-06-07,22.69,22.94,22.57,22.89,1818900,0,0
2019-06-10,22.89,23.39,22.68,22.69,2033100,0,0
2019-06-11,22.78,23.18,22.76,23.1,1889500,0,0
2019-06-12,23.11,23.29,22.86,22.92,1270900,0,0
2019-06-13,23.2,23.65,23.15,23.49,1942400,0,0
2019-06-14,23.41,23.91,23.41,23.85,1608700,0,0
2019-06-17,23.79,23.92,23.37,23.52,1413600,0,0
2019-06-18,23.73,24.17,23.65,24.0,1943100,0,0
2019-06-19,24.04,24.1,23.66,23.75,1641600,0,0
2019-06-20,24.08,24.11,23.43,23.49,1795000,0,0
2019-06-21,23.4,23.42,22.98,23.1,2236000,0,0
2019-06-24,22.91,23.27,22.38,22.45,2410200,0,0
2019-06-25,22.45,22.68,21.8,21.86,2364900,0,0
2019-06-26,21.9,22.37,21.77,22.07,1805300,0,0
2019-06-27,21.98,22.25,21.87,22.15,1863900,0,0
2019-06-28,22.26,22.33,22.05,22.2,2381200,0,0
2019-07-01,22.58,22.72,21.93,22.07,1616800,0,0
2019-07-02,22.03,22.35,21.92,22.33,1631800,0,0
2019-07-03,22.38,22.71,22.26,22.7,1024600,0,0
2019-07-05,22.55,22.73,22.36,22.65,1156000,0,0
2019-07-08,22.53,23.19,22.51,23.13,1703300,0,0
2019-07-09,23.01,23.37,22.94,23.21,1388400,0,0
2019-07-10,23.26,23.3,22.72,23.02,1610300,0,0
2019-07-11,23.09,23.25,22.8,23.22,1113000,0,0
2019-07-12,23.31,24.18,23.31,23.98,2103300,0,0
2019-07-15,24.02,24.41,23.98,24.3,2135000,0,0
2019-07-16,24.3,24.47,24.08,24.26,2426800,0,0
2019-07-17,24.17,24.23,23.58,23.83,2470000,0,0
2019-07-18,23.78,23.97,23.62,23.91,1621600,0,0
2019-07-19,24.09,24.23,23.92,23.95,1285700,0,0
2019-07-22,24.0,24.12,23.58,23.61,975400,0,0
2019-07-23,23.85,24.17,23.55,24.16,1363000,0,0
2019-07-24,24.17,24.55,23.92,24.23,1185300,0,0
2019-07-25,24.23,24.54,24.06,24.14,1842300,0,0
2019-07-26,24.14,24.38,23.99,24.17,1189300,0,0
2019-07-29,24.18,24.45,23.93,24.39,2516000,0,0
2019-07-30,20.2,21.34,19.6,21.05,8916700,0,0
2019-07-31,21.0,21.15,20.11,20.34,4160900,0,0
2019-08-01,20.37,20.44,18.89,19.12,4653200,0,0
2019-08-02,19.0,19.52,18.88,19.19,3604200,0,0
2019-08-05,18.73,18.83,18.2,18.4,2445900,0,0
2019-08-06,18.62,19.06,18.41,18.97,2501500,0,0
2019-08-07,18.73,18.92,18.59,18.84,3022900,0,0
2019-08-08,18.98,19.01,18.55,18.8,2544100,0,0
2019-08-09,18.62,18.8,18.01,18.15,3094600,0,0
2019-08-12,18.05,18.08,17.58,17.7,1843000,0,0
2019-08-13,17.59,18.34,17.41,17.83,2782300,0,0
2019-08-14,17.43,17.47,16.96,16.96,3036100,0,0
2019-08-15,17.02,17.2,16.31,16.5,2043500,0,0
2019-08-16,16.69,16.94,16.49,16.79,1541000,0,0
2019-08-19,17.07,17.09,16.84,16.85,1526700,0,0
2019-08-20,16.72,16.9,16.45,16.74,3032900,0,0
2019-08-21,16.91,17.07,16.77,16.92,1714200,0,0
2019-08-22,17.02,17.26,16.95,17.14,2089700,0,0
2019-08-23,16.8,16.94,16.1,16.15,2764600,0,0
2019-08-26,16.36,16.48,16.19,16.31,1931200,0,0
2019-08-27,16.47,16.5,16.12,16.12,2834600,0,0
2019-08-28,16.0,16.63,15.97,16.5,1601100,0,0
2019-08-29,16.74,17.03,16.67,16.96,2099200,0,0
