Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,80.29,81.46,79.69,81.0,2330500,0,0
2019-03-22,80.64,80.77,78.75,79.63,3160000,0,0
2019-03-25,79.68,80.01,78.09,78.12,4731400,0,0
2019-03-26,78.46,78.82,77.02,77.49,3061400,0,0
2019-03-27,77.54,79.57,77.5,78.53,2371500,0,0
2019-03-28,78.99,79.29,77.78,78.6,1563100,0,0
2019-03-29,79.05,80.05,78.58,79.78,2449900,0,0
2019-04-01,80.21,81.69,79.56,80.87,2723200,0,0
2019-04-02,83.19,85.1,82.34,82.77,3795100,0,0
2019-04-03,83.25,84.92,83.1,84.2,4047800,0,0
2019-04-04,84.51,85.27,83.54,84.64,1748400,0,0
2019-04-05,84.95,85.75,84.52,84.91,3018100,0,0
2019-04-08,84.6,85.12,83.8,84.58,1853000,0,0
2019-04-09,84.09,84.64,83.46,84.25,2016700,0,0
2019-04-10,85.33,85.55,83.61,84.52,3547300,0,0
2019-04-11,84.56,86.42,84.56,85.75,2570200,0,0
2019-04-12,86.19,86.5,85.3,85.49,4507500,0,0
2019-04-15,85.31,85.43,84.08,84.52,2324200,0,0
2019-04-16,84.81,85.67,84.39,85.17,3747800,0,0
2019-04-17,87.94,89.73,87.29,89.24,6963700,0,0
2019-04-18,89.67,89.81,87.46,88.28,3508300,0,0
2019-04-22,87.77,88.55,87.15,87.56,2060600,0,0
2019-04-23,87.49,88.5,87.26,87.97,2220800,0,0
2019-04-24,88.1,88.96,87.61,88.03,2049900,0,0
2019-04-25,87.57,89.15,86.67,86.86,2152800,0,0
2019-04-26,86.56,88.43,86.49,87.94,1544900,0,0
2019-04-29,88.02,89.88,88.02,89.61,2561900,0,0
2019-04-30,89.66,90.16,88.64,88.86,2688200,0,0
2019-05-01,89.06,89.71,87.78,87.94,2239600,0,0
2019-05-02,88.06,89.29,88.01,88.31,1868600,0,0
2019-05-03,88.5,89.06,88.27,88.5,1165000,0,0
2019-05-06,87.14,88.03,86.52,87.79,1620400,0,0
2019-05-07,86.75,86.76,84.62,85.68,2400000,0,0
2019-05-08,85.25,86.09,84.25,84.64,1900500,0,0
2019-05-09,83.84,84.15,81.81,84.12,2329000,0,0
2019-05-10,83.5,85.19,80.99,84.79,2841900,0,0
2019-05-13,83.03,83.19,81.44,82.07,3908100,0,0
2019-05-14,82.26,83.77,81.93,83.45,1928500,0,0
2019-05-15,82.4,83.27,81.33,82.35,2371000,0,0
2019-05-16,82.42,83.65,82.05,82.58,1803300,0,0
2019-05-17,82.13,82.47,81.23,81.5,2857900,0,0
2019-05-20,81.39,82.48,81.0,81.74,2355600,0,0
2019-05-21,82.5,83.37,82.42,82.97,2162600,0,0
2019-05-22,82.4,83.0,81.7,81.88,1505800,0,0
2019-05-23,81.3,81.96,79.77,80.91,2231100,0,0
2019-05-24,81.25,81.75,80.47,80.79,2266300,0,0
2019-05-28,80.5,80.79,79.66,79.9,2242100,0,0
2019-05-29,79.5,79.53,78.1,79.25,3133100,0,0
2019-05-30,79.29,80.4,79.04,79.47,1528900,0,0
2019-05-31,78.52,79.52,77.4,77.65,3553800,0,0
2019-06-03,77.38,78.73,77.35,77.72,2065200,0,0
2019-06-04,78.86,80.67,78.55,80.52,3026500,0,0
2019-06-05,80.94,81.98,80.49,81.85,2002500,0,0
2019-06-06,83.14,84.01,81.93,82.96,2390200,0,0
2019-06-07,83.09,84.85,83.09,83.27,1475700,0,0
2019-06-10,83.62,84.54,82.57,82.67,1697800,0,0
2019-06-11,83.34,83.78,82.07,82.77,1894400,0,0
2019-06-12,82.86,84.29,82.84,83.79,1999800,0,0
2019-06-13,84.05,87.74,84.05,87.11,3864900,0,0
2019-06-14,87.07,87.91,86.01,87.12,1652500,0,0
2019-06-17,87.27,87.56,86.31,86.77,1820600,0,0
2019-06-18,87.42,88.66,87.11,87.4,1694100,0,0
2019-06-19,87.76,88.88,87.14,88.66,2091600,0,0
2019-06-20,89.32,89.41,85.89,87.14,3261900,0,0
2019-06-21,86.31,88.16,86.31,86.72,2461900,0,0
2019-06-24,86.78,87.11,86.06,86.55,1507800,0,0
2019-06-25,86.63,87.23,84.81,85.06,2480900,0,0
2019-06-26,85.38,85.81,84.75,85.33,2034700,0,0
2019-06-27,85.65,86.86,85.13,86.43,1394800,0,0
2019-06-28,86.66,87.74,86.66,87.55,3025400,0,0
2019-07-01,88.84,89.72,87.77,88.45,4016500,0,0
2019-07-02,89.21,90.0,87.95,88.87,2237200,0,0
2019-07-03,89.14,91.08,89.14,90.67,1647100,0,0
2019-07-05,90.39,90.95,89.07,90.59,3227300,0,0
2019-07-08,90.16,91.48,90.1,90.67,2514600,0,0
2019-07-09,90.38,90.93,89.21,89.46,3912800,0,0
2019-07-10,90.31,91.07,88.92,89.51,2395300,0,0
2019-07-11,89.51,90.6,89.0,89.48,2262300,0,0
2019-07-12,89.7,91.52,89.63,91.23,2894800,0,0
2019-07-15,91.6,92.43,91.15,91.32,2388300,0,0
2019-07-16,91.81,94.5,91.8,93.92,4706100,0,0
2019-07-17,94.03,95.25,92.34,94.78,6019500,0,0
2019-07-18,94.32,95.48,93.88,95.28,3300500,0,0
2019-07-19,95.38,96.03,93.54,93.83,3360700,0,0
2019-07-22,94.07,95.06,93.77,93.83,2305100,0,0
2019-07-23,94.14,94.98,93.75,94.93,2105100,0,0
2019-07-24,94.91,95.46,94.24,95.11,2344400,0,0
2019-07-25,94.19,95.11,92.96,93.93,3196100,0,0
2019-07-26,94.02,94.44,93.23,93.36,1684800,0,0
2019-07-29,93.44,94.05,93.13,93.44,1957100,0,0
2019-07-30,92.83,93.97,92.48,93.93,1717200,0,0
2019-07-31,93.56,93.82,91.48,91.91,2125300,0,0
2019-08-01,92.03,93.04,89.73,90.49,2518700,0,0
2019-08-02,90.01,90.25,88.83,89.43,2281800,0,0
2019-08-05,88.88,88.88,84.8,85.59,3721800,0,0
2019-08-06,85.91,86.57,84.97,85.46,2369900,0,0
2019-08-07,84.72,86.96,84.03,86.48,2380100,0,0
2019-08-08,86.71,87.98,86.59,87.63,1419900,0,0
2019-08-09,87.46,87.83,86.1,86.98,2078700,0,0
2019-08-12,86.24,86.24,83.95,84.71,2185000,0,0
2019-08-13,84.15,86.28,83.53,84.56,2662800,0,0
2019-08-14,83.05,83.58,80.78,81.95,3250500,0,0
2019-08-15,82.04,82.23,80.83,81.62,3225800,0,0
2019-08-16,82.25,83.31,81.84,82.94,2260500,0,0
2019-08-19,84.02,84.93,83.81,83.89,2268800,0,0
2019-08-20,83.65,84.43,83.21,84.03,1495000,0,0
2019-08-21,84.67,85.67,84.63,85.29,1672600,0,0
2019-08-22,85.3,85.87,84.69,85.56,1310100,0,0
2019-08-23,85.06,85.65,82.22,82.53,3674600,0,0
2019-08-26,83.42,83.63,82.45,83.58,1851400,0,0
2019-08-27,84.28,84.71,81.75,81.94,2213800,0,0
2019-08-28,81.52,82.99,81.17,82.45,2299500,0,0
2019-08-29,83.23,85.13,83.23,84.69,4085100,0,0
2019-08-30,85.2,85.68,84.09,84.31,1928900,0,0
2019-09-03,83.64,83.76,82.25,83.15,2350100,0,0
2019-09-04,83.0,84.86,83.0,83.91,2737800,0,0
2019-09-05,84.69,86.87,84.69,85.84,2968900,0,0
2019-09-06,86.37,87.44,86.2,86.3,2345100,0,0
2019-09-09,86.49,87.73,85.91,87.33,2123100,0,0
2019-09-10,87.2,87.79,86.61,87.56,1711700,0,0
2019-09-11,87.62,88.87,87.17,88.38,2431500,0,0
2019-09-12,88.68,89.83,88.55,89.38,2724700,0,0
2019-09-13,90.41,91.84,89.75,91.35,3000700,0,0
2019-09-16,88.3,90.13,88.17,88.76,3438200,0,0
2019-09-17,89.38,91.26,88.79,89.98,3553500,0,0
2019-09-18,89.7,90.29,88.94,90.23,2153000,0,0
2019-09-19,90.35,90.62,89.18,89.42,2348800,0,0
2019-09-20,89.47,90.05,88.92,89.09,2654900,0,0
2019-09-23,88.62,88.88,87.42,88.21,3082500,0,0
2019-09-24,88.97,89.2,87.51,88.3,1545100,0,0
2019-09-25,88.24,89.88,88.24,89.17,1729500,0,0
2019-09-26,89.38,89.55,87.77,88.45,1282400,0,0
2019-09-27,88.85,90.3,87.82,88.14,1654400,0,0
2019-09-30,88.4,88.98,87.91,88.41,1939400,0,0
2019-10-01,89.15,90.19,87.23,87.84,2419800,0,0
2019-10-02,86.0,86.85,82.06,83.69,4212200,0,0
