Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,132.21,136.27,131.75,135.86,388600,0.0,0
2019-03-22,134.7,136.2,134.6,134.61,565900,0.0,0
2019-03-25,134.1,134.7,133.19,133.67,600200,0.0,0
2019-03-26,133.9,134.84,132.81,133.44,549100,0.0,0
2019-03-27,133.0,133.87,131.39,132.08,455700,0.0,0
2019-03-28,132.38,132.97,131.98,132.82,463800,0.0,0
2019-03-29,133.67,133.72,132.47,133.08,917000,0.0,0
2019-04-01,134.19,134.89,133.81,134.05,815000,0.0,0
2019-04-02,133.71,134.14,132.32,133.06,464300,0.0,0
2019-04-03,133.93,134.43,132.9,133.55,548400,0.0,0
2019-04-04,133.82,134.24,132.95,133.27,416400,0.0,0
2019-04-05,133.68,134.32,133.63,134.02,626900,0.0,0
2019-04-08,134.25,134.3,132.04,132.31,553000,0.0,0
2019-04-09,131.63,133.28,131.5,133.15,617900,0.0,0
2019-04-10,133.26,134.49,133.15,133.79,815000,0.0,0
2019-04-11,134.44,134.48,131.6,131.73,425800,0.0,0
2019-04-12,132.62,133.57,131.53,132.11,817100,0.0,0
2019-04-15,132.09,132.55,131.41,132.05,456700,0.0,0
2019-04-16,133.19,133.19,124.79,125.67,1389300,0.0,0
2019-04-17,125.84,125.88,120.27,122.02,1321900,0.0,0
2019-04-18,122.05,124.04,120.91,123.86,1223800,0.0,0
2019-04-22,123.79,125.14,121.32,122.26,1071500,0.0,0
2019-04-23,122.54,128.83,122.19,127.41,1114100,0.0,0
2019-04-24,127.34,132.64,127.34,129.63,1732200,0.0,0
2019-04-25,128.93,132.22,127.86,131.02,879200,0.0,0
2019-04-26,128.12,128.8,123.16,128.56,1444200,0.0,0
2019-04-29,127.78,128.63,124.35,126.55,863600,0.0,0
2019-04-30,127.0,127.38,124.49,126.21,950500,0.0,0
2019-05-01,126.14,126.74,123.98,124.1,929200,0.0,0
2019-05-02,123.67,123.86,122.37,123.36,1217200,0.0,0
2019-05-03,123.98,124.3,121.99,122.36,1101200,0.0,0
2019-05-06,120.64,124.58,120.6,123.84,949300,0.0,0
2019-05-07,123.57,124.44,121.32,122.31,725000,0.0,0
2019-05-08,121.89,122.53,120.57,121.39,675200,0.0,0
2019-05-09,120.98,122.7,120.61,122.25,828800,0.0,0
2019-05-10,122.5,123.34,119.38,122.15,707700,0.0,0
2019-05-13,120.12,121.54,119.54,121.21,636600,0.0,0
2019-05-14,121.37,122.82,120.86,121.9,614300,0.0,0
2019-05-15,121.17,122.21,119.8,121.23,542800,0.0,0
2019-05-16,121.37,122.99,120.75,121.07,517300,0.0,0
2019-05-17,120.09,122.6,119.89,121.25,508700,0.0,0
2019-05-20,120.58,122.88,120.14,122.61,506400,0.0,0
2019-05-21,122.76,125.19,122.51,124.16,681100,0.0,0
2019-05-22,123.91,124.91,123.45,124.79,758400,0.0,0
2019-05-23,124.02,124.13,121.28,122.32,684400,0.0,0
2019-05-24,121.8,123.12,121.45,122.45,547600,0.0,0
2019-05-28,122.19,123.24,121.8,121.85,666200,0.0,0
2019-05-29,121.35,121.35,118.64,118.96,691300,0.0,0
2019-05-30,119.01,120.25,118.41,119.47,503700,0.0,0
2019-05-31,118.83,119.75,117.26,119.03,608800,0.1,0
2019-06-03,119.03,121.26,118.63,120.93,687600,0.0,0
2019-06-04,122.02,123.71,121.39,121.88,770900,0.0,0
2019-06-05,122.65,122.65,119.8,120.88,862800,0.0,0
2019-06-06,120.98,121.71,120.27,120.58,1254300,0.0,0
2019-06-07,120.98,123.28,120.41,123.17,867500,0.0,0
2019-06-10,123.81,124.5,123.02,123.04,498300,0.0,0
2019-06-11,123.63,123.63,120.95,122.46,496600,0.0,0
2019-06-12,122.43,123.42,121.2,123.37,495300,0.0,0
2019-06-13,123.25,123.9,122.23,123.41,338900,0.0,0
2019-06-14,123.5,124.03,122.2,122.21,496700,0.0,0
2019-06-17,122.8,122.97,121.65,122.88,513900,0.0,0
2019-06-18,123.24,124.58,122.17,123.39,489800,0.0,0
2019-06-19,123.64,124.88,122.27,124.73,361100,0.0,0
2019-06-20,125.26,126.07,122.27,123.82,873500,0.0,0
2019-06-21,123.82,124.99,122.45,124.76,801200,0.0,0
2019-06-24,124.97,126.0,123.96,125.9,570900,0.0,0
2019-06-25,126.04,128.98,125.61,128.08,723200,0.0,0
2019-06-26,128.31,128.97,125.55,126.52,515800,0.0,0
2019-06-27,127.11,127.8,126.28,127.59,431700,0.0,0
2019-06-28,127.8,129.82,126.84,129.82,1064100,0.0,0
2019-07-01,130.6,131.15,128.14,129.5,643700,0.0,0
2019-07-02,129.73,130.14,128.5,129.43,497000,0.0,0
2019-07-03,129.42,130.62,128.7,130.52,341400,0.0,0
2019-07-05,129.94,131.03,129.38,130.81,317700,0.0,0
2019-07-08,130.66,131.21,129.62,131.14,477100,0.0,0
2019-07-09,130.26,131.51,127.19,128.33,554100,0.0,0
2019-07-10,128.36,129.86,127.83,129.09,326700,0.0,0
2019-07-11,130.55,132.01,128.94,130.67,358300,0.0,0
2019-07-12,130.31,132.61,129.72,132.32,404400,0.0,0
2019-07-15,132.32,133.53,131.37,133.18,447200,0.0,0
2019-07-16,133.41,133.91,132.84,133.39,435600,0.0,0
2019-07-17,133.15,133.44,132.1,132.3,348800,0.0,0
2019-07-18,132.3,133.08,130.9,132.6,412400,0.0,0
2019-07-19,132.63,132.63,131.33,132.05,489900,0.0,0
2019-07-22,132.07,133.07,131.61,132.09,401300,0.0,0
2019-07-23,132.15,133.18,130.62,133.13,363000,0.0,0
2019-07-24,133.26,136.7,131.95,136.4,1021700,0.0,0
2019-07-25,136.16,136.93,134.89,136.37,932600,0.0,0
2019-07-26,144.96,157.1,144.96,151.23,2955300,0.0,0
2019-07-29,149.07,152.82,145.55,151.98,1349000,0.0,0
2019-07-30,149.37,152.51,146.21,152.2,934500,0.0,0
2019-07-31,152.11,152.57,148.38,150.2,803300,0.0,0
2019-08-01,150.44,151.32,144.84,146.52,876300,0.0,0
2019-08-02,146.07,146.76,144.91,145.81,818200,0.0,0
2019-08-05,144.41,145.32,141.71,142.71,681200,0.0,0
2019-08-06,143.73,145.95,142.38,145.75,784300,0.0,0
2019-08-07,145.41,146.51,143.19,145.5,749700,0.0,0
2019-08-08,146.18,147.05,144.73,145.82,509200,0.0,0
2019-08-09,145.85,147.04,144.9,146.3,379100,0.0,0
2019-08-12,146.37,146.74,144.61,146.05,436700,0.0,0
2019-08-13,146.49,149.57,145.59,148.32,521000,0.0,0
2019-08-14,146.84,146.88,143.76,145.19,586600,0.0,0
2019-08-15,145.37,145.99,144.59,144.74,419600,0.0,0
2019-08-16,145.33,147.42,144.68,146.71,494900,0.0,0
2019-08-19,148.17,148.47,146.51,147.55,337900,0.0,0
2019-08-20,146.89,147.34,144.84,145.0,657300,0.0,0
2019-08-21,146.12,146.68,144.62,146.5,456600,0.0,0
2019-08-22,146.53,147.23,145.26,145.31,422900,0.0,0
2019-08-23,144.57,146.46,142.12,142.85,595600,0.0,0
2019-08-26,143.85,144.18,141.88,143.6,469100,0.0,0
2019-08-27,144.26,144.37,140.02,140.07,511300,0.0,0
2019-08-28,139.41,142.0,139.27,141.98,571500,0.0,0
2019-08-29,143.13,144.94,142.37,143.61,609600,0.0,0
2019-08-30,144.78,144.87,143.39,144.15,592500,0.2,0
2019-09-03,143.18,145.6,142.89,145.47,477000,0.0,0
2019-09-04,146.73,147.41,144.61,145.82,348200,0.0,0
2019-09-05,147.56,147.98,144.31,144.71,884600,0.0,0
2019-09-06,145.41,148.16,144.56,147.82,692400,0.0,0
2019-09-09,147.88,150.03,146.21,149.07,758800,0.0,0
2019-09-10,149.01,155.18,148.76,154.91,1320800,0.0,0
2019-09-11,154.13,156.59,152.91,154.65,1194000,0.0,0
2019-09-12,155.04,155.62,152.18,152.5,848900,0.0,0
2019-09-13,153.2,156.46,151.24,152.07,676100,0.0,0
2019-09-16,151.19,153.65,150.6,153.43,640500,0.0,0
2019-09-17,153.18,153.18,149.9,151.42,800000,0.0,0
2019-09-18,151.29,152.92,149.91,151.54,676000,0.0,0
2019-09-19,151.37,152.81,149.51,149.56,768900,0.0,0
2019-09-20,150.01,151.21,148.78,149.67,1117900,0.0,0
2019-09-23,148.8,150.39,148.24,149.52,579900,0.0,0
2019-09-24,149.82,149.84,147.03,148.01,864100,0.0,0
2019-09-25,148.01,148.72,146.46,146.91,982400,0.0,0
2019-09-26,147.39,147.94,145.36,146.12,990800,0.0,0
2019-09-27,146.83,147.83,145.88,146.39,519000,0.0,0
2019-09-30,146.62,149.06,146.45,148.31,608500,0.0,0
2019-10-01,148.02,150.73,146.01,146.67,491500,0.0,0
2019-10-02,145.8,146.58,144.69,145.79,586600,0.0,0
2019-10-03,145.67,146.2,144.31,144.94,695900,0.0,0
2019-10-04,145.66,146.4,143.92,145.69,563100,0.0,0
2019-10-07,145.38,146.13,144.27,144.64,710200,0.0,0
2019-10-08,143.96,144.27,142.29,142.77,715100,0.0,0
2019-10-09,143.75,145.16,143.5,144.69,364500,0.0,0
2019-10-10,144.4,145.95,144.01,145.4,383300,0.0,0
2019-10-11,146.25,148.58,145.63,145.69,356800,0.0,0
2019-10-14,145.12,145.43,143.53,143.56,339100,0.0,0
2019-10-15,144.39,145.88,144.34,144.82,715100,0.0,0
2019-10-16,145.02,146.88,143.9,144.29,559800,0.0,0
2019-10-17,144.88,146.26,144.48,145.86,652000,0.0,0
2019-10-18,144.89,145.84,143.08,145.65,606900,0.0,0
2019-10-21,146.25,146.54,144.88,144.89,563000,0.0,0
2019-10-22,145.48,147.06,144.79,145.94,433600,0.0,0
2019-10-23,146.14,146.52,143.63,144.13,645500,0.0,0
2019-10-24,144.75,144.83,142.8,144.27,928300,0.0,0
2019-10-25,137.54,142.27,130.4,137.52,1407900,0.0,0
2019-10-28,137.29,139.73,137.19,137.67,744600,0.0,0
2019-10-29,138.49,139.56,137.76,138.4,837700,0.0,0
2019-10-30,137.86,138.85,135.46,138.66,769600,0.0,0
2019-10-31,138.64,138.77,136.05,137.05,685400,0.0,0
2019-11-01,138.12,139.48,137.83,138.34,530300,0.0,0
2019-11-04,138.72,139.58,138.1,139.11,388600,0.0,0
2019-11-05,139.94,140.88,139.09,139.44,836100,0.0,0
2019-11-06,139.71,139.91,138.37,139.5,562400,0.0,0
2019-11-07,140.54,141.41,138.84,139.25,323900,0.0,0
2019-11-08,139.32,141.14,139.28,140.71,395200,0.0,0
2019-11-11,139.88,141.15,138.7,138.82,348400,0.0,0
2019-11-12,138.65,140.5,138.13,140.15,618200,0.0,0
2019-11-13,139.64,141.54,139.42,141.14,536900,0.0,0
2019-11-14,141.29,142.09,140.12,140.77,446700,0.0,0
2019-11-15,140.13,144.86,139.56,143.84,780900,0.0,0
2019-11-18,143.39,144.79,141.11,141.34,775500,0.0,0
2019-11-19,141.51,142.23,140.75,141.37,475500,0.0,0
2019-11-20,140.86,141.51,139.66,140.08,564500,0.0,0
2019-11-21,140.37,141.61,139.97,140.17,687400,0.0,0
2019-11-22,140.24,141.31,138.69,138.9,655000,0.0,0
