Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,329.22,336.55,328.83,335.13,759100,0,0
2019-03-22,334.18,336.07,328.63,330.52,695000,0,0
2019-03-25,330.88,338.25,330.88,336.67,811900,0,0
2019-03-26,339.62,345.63,337.45,342.9,847900,0,0
2019-03-27,343.7,348.4,343.34,346.05,724600,0,0
2019-03-28,347.89,351.43,343.3,345.23,667500,0,0
2019-03-29,347.6,350.0,344.95,348.73,526500,0,0
2019-04-01,351.5,353.78,350.74,352.55,582300,0,0
2019-04-02,353.37,354.09,346.59,347.3,514300,0,0
2019-04-03,349.47,354.44,347.63,350.53,507700,0,0
2019-04-04,350.53,352.5,347.75,350.14,397200,0,0
2019-04-05,351.73,354.18,348.74,353.63,590400,0,0
2019-04-08,353.56,355.73,351.29,354.47,439700,0,0
2019-04-09,352.36,355.28,347.3,348.2,551700,0,0
2019-04-10,349.76,350.85,345.38,350.28,532300,0,0
2019-04-11,350.88,351.87,348.0,350.22,708800,0,0
2019-04-12,350.65,351.88,344.27,344.83,559500,0,0
2019-04-15,346.76,354.67,345.99,353.94,678800,0,0
2019-04-16,354.78,356.8,349.45,355.08,682200,0,0
2019-04-17,355.08,359.69,353.93,354.33,525400,0,0
2019-04-18,356.63,359.1,350.25,350.88,568000,0,0
2019-04-22,350.33,351.47,344.26,347.41,525800,0,0
2019-04-23,347.72,355.86,347.49,351.63,556500,0,0
2019-04-24,351.33,357.91,351.33,355.84,444300,0,0
2019-04-25,355.32,355.34,348.54,353.7,397600,0,0
2019-04-26,356.86,358.44,350.01,357.94,572000,0,0
2019-04-29,356.97,357.9,350.65,350.9,578700,0,0
2019-04-30,351.12,352.16,346.99,348.98,736600,0,0
2019-05-01,347.81,348.33,334.65,334.94,1151300,0,0
2019-05-02,335.01,344.11,335.01,343.68,875400,0,0
2019-05-03,344.27,346.12,339.98,341.96,728400,0,0
2019-05-06,336.53,347.61,335.78,346.68,712100,0,0
2019-05-07,344.29,347.31,338.89,342.36,698100,0,0
2019-05-08,341.82,350.55,340.03,348.15,577200,0,0
2019-05-09,344.52,349.13,343.28,348.05,460600,0,0
2019-05-10,347.01,347.01,337.01,343.24,685600,0,0
2019-05-13,337.21,338.98,328.34,330.23,813500,0,0
2019-05-14,332.56,336.8,325.62,335.32,949200,0,0
2019-05-15,335.06,340.95,333.47,340.7,677900,0,0
2019-05-16,341.31,348.46,341.31,343.24,512100,0,0
2019-05-17,342.59,349.56,342.1,342.45,573400,0,0
2019-05-20,340.5,348.31,339.03,347.89,829200,0,0
2019-05-21,348.61,354.54,347.9,353.16,545400,0,0
2019-05-22,351.8,354.62,348.89,349.09,466200,0,0
2019-05-23,347.03,347.14,336.07,337.83,1026800,0,0
2019-05-24,338.81,340.84,330.43,335.09,615100,0,0
2019-05-28,336.22,338.5,333.01,334.85,1026300,0,0
2019-05-29,332.37,334.59,321.82,322.07,1033400,0,0
2019-05-30,327.64,334.03,321.18,328.46,1318000,0,0
