Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,244.92,248.63,244.4,247.7,2699700,0.0,0
2019-03-22,246.28,246.9,242.76,242.86,3777900,0.0,0
2019-03-25,243.18,243.18,236.65,242.63,4110900,0.0,0
2019-03-26,243.02,243.64,237.58,239.22,4416200,0.0,0
2019-03-27,238.78,241.47,234.08,237.57,4819200,0.0,0
2019-03-28,238.43,238.69,234.8,238.08,3601500,0.0,0
2019-03-29,240.1,243.51,237.73,243.02,4294200,0.0,0
2019-04-01,245.43,245.91,238.9,241.33,4809500,0.0,0
2019-04-02,241.3,242.18,238.64,240.22,4057100,0.0,0
2019-04-03,242.09,243.3,240.4,241.63,2851400,0.0,0
2019-04-04,241.27,244.84,240.45,243.15,2255500,0.0,0
2019-04-05,244.68,245.04,240.97,244.52,3343000,0.0,0
2019-04-08,245.4,245.4,242.09,244.49,2195400,0.0,0
2019-04-09,243.33,245.66,241.74,244.53,2903800,0.0,0
2019-04-10,244.52,245.59,241.31,241.81,2753700,0.0,0
2019-04-11,241.83,242.69,228.69,231.39,8223400,0.0,0
2019-04-12,232.45,232.72,216.99,219.4,13979400,0.0,0
2019-04-15,221.9,227.01,220.56,226.26,10021800,0.0,0
2019-04-16,233.93,233.93,212.12,217.17,27361400,0.0,0
2019-04-17,219.96,220.4,204.5,213.12,22101400,0.0,0
2019-04-18,213.42,219.18,210.54,217.95,13927200,0.0,0
2019-04-22,220.16,223.66,217.7,223.22,11191800,0.0,0
2019-04-23,224.34,227.97,222.23,226.63,10261400,0.0,0
2019-04-24,226.15,227.66,223.85,226.4,6104100,0.0,0
2019-04-25,224.61,228.14,224.22,226.84,5954500,0.0,0
2019-04-26,228.16,233.05,227.23,232.94,6186200,0.0,0
2019-04-29,233.33,233.98,230.15,233.38,5345300,0.0,0
2019-04-30,234.0,234.0,226.25,229.08,7632300,0.0,0
2019-05-01,229.08,230.6,226.4,227.98,4823200,0.0,0
2019-05-02,226.94,229.34,224.17,228.47,5499200,0.0,0
2019-05-03,228.85,229.89,223.29,227.98,4323100,0.0,0
2019-05-06,224.26,236.45,223.6,236.38,7180200,0.0,0
2019-05-07,235.09,238.98,232.35,233.97,5104700,0.0,0
2019-05-08,233.92,236.68,231.49,235.05,3768400,0.0,0
2019-05-09,232.55,236.42,231.63,233.89,4299500,0.0,0
2019-05-10,235.86,238.46,232.32,236.47,4374400,0.0,0
2019-05-13,232.4,235.99,232.15,235.45,4684400,0.0,0
2019-05-14,236.52,236.86,232.23,232.38,5329700,0.0,0
2019-05-15,230.97,233.46,228.63,232.03,5099700,0.0,0
2019-05-16,231.85,236.33,231.68,232.73,4456400,0.0,0
2019-05-17,232.12,238.29,231.61,237.24,4486400,0.0,0
2019-05-20,235.89,242.51,235.66,241.78,5390800,0.0,0
2019-05-21,242.78,246.88,242.57,245.66,5345300,0.0,0
2019-05-22,244.83,246.73,244.45,245.07,4038000,0.0,0
2019-05-23,243.73,243.9,240.2,242.28,3934600,0.0,0
2019-05-24,243.01,245.09,241.3,243.39,2973900,0.0,0
2019-05-28,244.24,245.03,237.83,237.91,6172700,0.0,0
2019-05-29,235.74,238.87,233.82,238.25,3958400,0.0,0
2019-05-30,237.77,241.15,237.2,239.33,2646600,0.0,0
2019-05-31,237.8,239.45,235.38,237.66,3285700,0.0,0
2019-06-03,237.35,239.62,231.98,232.51,4999400,0.0,0
2019-06-04,234.05,236.92,230.81,236.63,4992000,0.0,0
2019-06-05,239.0,241.58,237.1,238.61,3194400,0.0,0
2019-06-06,238.96,239.76,237.59,237.68,2630100,0.0,0
2019-06-07,238.74,242.84,238.04,242.54,2837400,0.0,0
2019-06-10,242.85,245.39,241.78,243.89,2331000,0.0,0
2019-06-11,244.26,246.39,241.52,241.66,3043000,0.0,0
2019-06-12,241.98,242.28,238.15,240.31,3251800,0.0,0
2019-06-13,240.63,241.14,238.95,240.76,3107800,0.0,0
2019-06-14,241.59,242.95,239.69,242.23,2165500,1.08,0
2019-06-17,242.86,243.94,242.09,242.83,2270300,0.0,0
2019-06-18,244.34,246.15,242.02,242.56,3482500,0.0,0
2019-06-19,242.86,248.16,242.37,246.99,4204600,0.0,0
2019-06-20,248.38,249.59,244.24,244.59,3800800,0.0,0
2019-06-21,245.6,250.25,243.74,249.06,6323500,0.0,0
2019-06-24,248.12,249.4,244.69,246.45,3163800,0.0,0
2019-06-25,246.11,247.83,244.26,244.49,3182700,0.0,0
