Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,156.33,159.61,155.92,158.96,3316700,0.0,0
2019-03-22,158.45,158.8,156.47,157.02,3556700,0.0,0
2019-03-25,157.1,160.03,157.0,157.88,3137200,0.0,0
2019-03-26,159.4,159.4,156.66,158.18,2628200,0.0,0
2019-03-27,158.06,159.93,157.88,159.35,2871900,0.0,0
2019-03-28,160.09,161.77,160.09,161.49,2829600,0.0,0
2019-03-29,162.45,164.37,162.09,163.45,3646900,0.0,0
2019-04-01,165.15,167.43,164.75,167.08,3372000,0.0,0
2019-04-02,166.84,167.45,165.33,165.97,2259900,0.0,0
2019-04-03,166.54,167.18,165.15,165.8,2669100,0.0,0
2019-04-04,165.48,166.35,164.53,165.0,2788600,0.0,0
2019-04-05,165.36,166.18,164.73,164.93,2214400,0.0,0
2019-04-08,164.64,165.02,163.62,164.9,2580800,0.0,0
2019-04-09,163.8,163.8,162.05,162.36,3025000,0.0,0
2019-04-10,163.12,163.54,161.27,162.62,3551500,0.0,0
2019-04-11,162.86,163.28,161.55,162.93,2378400,0.0,0
2019-04-12,164.03,165.83,163.25,165.7,3091700,0.0,0
2019-04-15,165.7,166.42,163.26,163.87,3052600,0.0,0
2019-04-16,164.02,164.57,163.19,164.21,2361400,0.0,0
2019-04-17,167.27,168.42,164.89,165.48,5437200,0.0,0
2019-04-18,171.27,173.78,170.68,172.7,8684600,0.0,0
2019-04-22,172.74,175.52,172.17,173.73,4969700,0.0,0
2019-04-23,173.27,173.5,171.41,172.76,3284900,0.0,0
2019-04-24,173.56,175.08,172.76,172.87,2859000,0.0,0
2019-04-25,171.21,173.17,170.23,171.55,2199900,0.0,0
2019-04-26,171.62,173.28,171.2,173.24,2234100,0.0,0
2019-04-29,173.1,173.76,172.36,172.45,1836400,0.0,0
2019-04-30,172.13,173.67,170.94,173.07,2444100,0.0,0
2019-05-01,173.04,174.03,171.12,171.43,2601300,0.0,0
2019-05-02,170.64,172.02,169.91,171.94,2313300,0.0,0
2019-05-03,173.9,175.98,173.56,175.18,2729500,0.0,0
2019-05-06,172.3,175.6,171.74,173.18,2706000,0.0,0
2019-05-07,170.92,171.78,168.46,170.83,4547300,0.0,0
2019-05-08,170.96,173.19,170.62,171.64,2314500,0.0,0
2019-05-09,170.1,172.1,168.83,171.69,2138400,0.0,0
2019-05-10,170.42,172.3,167.95,171.97,2659600,0.0,0
2019-05-13,168.51,169.48,166.31,167.94,3649500,0.0,0
2019-05-14,168.62,172.24,168.58,170.57,2560600,0.0,0
2019-05-15,169.61,170.92,168.51,169.87,4089200,0.0,0
2019-05-16,170.17,172.57,169.97,171.69,5131300,0.0,0
2019-05-17,169.66,172.15,169.4,170.7,4596300,0.0,0
2019-05-20,170.15,171.74,169.3,170.82,3065400,0.0,0
2019-05-21,172.05,172.37,170.55,171.11,2519400,0.0,0
2019-05-22,170.71,171.25,169.14,170.55,1995200,0.0,0
2019-05-23,168.52,169.03,165.96,168.78,3573600,0.0,0
