Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,103.52,106.12,103.19,105.96,1819900,0.0,0
2019-03-22,105.45,105.76,103.55,103.59,2727900,0.0,0
2019-03-25,103.32,103.7,102.62,103.16,2088200,0.0,0
2019-03-26,103.92,104.98,103.53,104.62,2204400,0.0,0
2019-03-27,104.7,105.32,104.38,105.17,1911300,0.0,0
2019-03-28,105.49,106.55,105.21,106.44,1621000,0.0,0
2019-03-29,107.12,108.11,107.05,107.83,3428600,0.0,0
2019-04-01,109.23,110.76,108.95,110.43,3721700,0.0,0
2019-04-02,110.38,110.54,109.15,109.7,2456400,0.0,0
2019-04-03,110.49,111.01,109.9,110.35,2556500,0.0,0
2019-04-04,110.3,110.56,109.52,109.98,2889400,0.0,0
2019-04-05,110.17,110.89,110.05,110.33,2487300,0.0,0
2019-04-08,109.75,110.07,109.36,109.98,1854500,0.0,0
2019-04-09,109.11,109.31,108.48,108.96,2230000,0.0,0
2019-04-10,109.21,109.31,108.38,109.12,1767700,0.0,0
2019-04-11,109.24,109.75,108.93,109.52,2384800,0.0,0
2019-04-12,109.95,110.86,109.49,110.46,2853700,0.0,0
2019-04-15,110.71,110.89,109.26,109.66,1768300,0.0,0
2019-04-16,109.71,110.16,109.42,109.95,2072500,0.0,0
2019-04-17,110.42,110.71,109.83,110.48,2108400,0.0,0
2019-04-18,110.52,110.71,110.08,110.16,1859700,0.0,0
2019-04-22,109.61,109.88,108.91,109.64,2585500,0.0,0
2019-04-23,109.37,110.06,108.87,109.63,2851300,0.0,0
2019-04-24,109.63,110.96,109.48,110.43,3570600,0.0,0
2019-04-25,105.76,106.04,100.55,101.45,10116600,0.0,0
2019-04-26,101.24,101.35,99.59,100.31,5421700,0.0,0
2019-04-29,100.37,101.3,99.42,101.17,4551000,0.0,0
2019-04-30,101.02,102.7,99.7,102.5,5101400,0.0,0
2019-05-01,102.35,102.77,100.61,100.96,2615100,0.0,0
2019-05-02,100.96,102.32,100.46,101.82,2589800,0.0,0
2019-05-03,102.43,103.21,101.64,102.92,3107500,0.0,0
2019-05-06,100.89,102.19,100.37,100.96,2704900,0.0,0
2019-05-07,100.25,100.44,97.56,98.52,4221600,0.0,0
2019-05-08,98.66,99.53,98.19,98.29,2497800,0.0,0
2019-05-09,97.54,97.54,96.28,97.23,3998700,0.0,0
2019-05-10,96.7,97.47,94.99,97.11,3071200,0.0,0
2019-05-13,95.17,96.0,94.45,95.87,3766300,0.0,0
2019-05-14,96.16,97.4,96.08,96.27,2889100,0.0,0
2019-05-15,95.93,98.44,95.41,97.99,3818300,0.0,0
2019-05-16,98.05,99.3,97.45,97.77,3337900,0.0,0
2019-05-17,96.98,98.06,96.45,96.84,2587000,0.96,0
2019-05-20,96.06,96.29,95.36,95.98,2088500,0.0,0
2019-05-21,96.79,97.18,96.0,96.85,1762100,0.0,0
2019-05-22,96.18,96.28,94.93,94.99,2580700,0.0,0
2019-05-23,94.42,94.5,92.7,93.69,3111900,0.0,0
2019-05-24,93.93,94.33,92.88,93.38,2401700,0.0,0
2019-05-28,93.41,93.48,91.65,91.65,3357400,0.0,0
2019-05-29,91.54,92.67,90.64,92.33,3388100,0.0,0
2019-05-30,92.94,93.65,92.57,93.28,2518800,0.0,0
2019-05-31,91.95,92.55,90.26,90.53,4192400,0.0,0
2019-06-03,90.45,92.62,90.44,91.71,4971400,0.0,0
2019-06-04,93.02,95.16,92.25,95.14,5096000,0.0,0
2019-06-05,95.8,96.11,95.07,95.68,2766900,0.0,0
2019-06-06,95.69,95.91,94.92,95.48,2643200,0.0,0
2019-06-07,96.15,96.39,95.52,95.7,2803200,0.0,0
2019-06-10,96.6,97.84,96.37,97.51,3327200,0.0,0
2019-06-11,98.39,98.73,97.29,97.43,3229200,0.0,0
2019-06-12,97.02,97.84,96.81,97.81,2261700,0.0,0
