Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,115.66,119.19,115.38,119.06,1401000,0,0
2019-03-22,118.11,118.15,110.89,110.96,2664000,0,0
2019-03-25,110.63,113.1,110.25,111.12,1642800,0,0
2019-03-26,113.21,113.65,109.86,111.6,1405600,0,0
2019-03-27,111.94,112.55,109.19,110.72,1342100,0,0
2019-03-28,110.67,112.69,110.02,112.57,1219600,0,0
2019-03-29,114.0,115.16,113.31,114.25,1355100,0,0
2019-04-01,115.59,118.69,114.38,118.11,2036900,0,0
2019-04-02,118.0,120.05,117.35,118.53,1147300,0,0
2019-04-03,119.93,121.76,119.79,120.98,1501400,0,0
2019-04-04,121.58,122.78,121.3,122.54,1267400,0,0
2019-04-05,123.81,124.77,123.11,123.34,1308100,0,0
2019-04-08,122.75,124.12,121.83,124.08,826200,0,0
2019-04-09,122.63,122.65,119.15,119.57,1522900,0,0
2019-04-10,119.94,121.34,118.69,121.19,897200,0,0
2019-04-11,121.55,126.12,121.38,124.75,2156400,0,0
2019-04-12,127.41,128.75,125.14,126.74,1426500,0,0
2019-04-15,127.02,127.84,125.04,125.37,2411000,0,0
2019-04-16,126.67,126.99,123.72,126.05,1323600,0,0
2019-04-17,126.63,127.18,125.15,125.76,2116100,0,0
2019-04-18,135.3,138.49,134.11,136.0,4772800,0,0
2019-04-22,135.36,137.15,133.66,135.46,1644000,0,0
2019-04-23,135.41,139.32,135.13,138.38,1587200,0,0
2019-04-24,138.53,140.6,138.0,139.89,1300700,0,0
2019-04-25,139.3,139.96,136.77,137.53,1047200,0,0
2019-04-26,138.01,140.54,137.39,140.4,1129900,0,0
2019-04-29,141.05,142.15,140.28,140.94,845100,0,0
2019-04-30,141.12,141.39,138.72,140.92,1193900,0,0
2019-05-01,141.78,142.69,138.56,138.64,1221300,0,0
2019-05-02,138.2,139.38,134.17,137.0,1725100,0,0
2019-05-03,137.59,141.25,137.49,140.24,1015300,0,0
2019-05-06,135.74,138.59,134.4,137.55,1403900,0,0
2019-05-07,134.93,135.76,132.44,134.27,1238000,0,0
2019-05-08,134.08,135.99,133.36,133.99,839300,0,0
2019-05-09,131.13,134.22,128.31,133.79,1242200,0,0
2019-05-10,132.99,133.39,128.76,132.51,1104700,0,0
2019-05-13,128.39,128.91,124.23,126.19,1489000,0,0
2019-05-14,127.32,128.75,125.65,127.09,1079300,0,0
2019-05-15,125.27,129.27,124.45,128.67,1065900,0,0
2019-05-16,129.04,130.61,128.13,128.46,900600,0,0
2019-05-17,126.65,127.57,125.65,126.33,912300,0,0
2019-05-20,124.26,125.46,122.93,124.05,1522000,0,0
2019-05-21,125.38,126.94,124.77,126.73,1126200,0,0
2019-05-22,125.91,126.39,121.6,122.39,1375000,0,0
2019-05-23,120.3,120.51,117.64,118.49,1309500,0,0
2019-05-24,119.32,120.91,116.91,118.54,623300,0,0
2019-05-28,118.64,119.47,114.97,115.0,1212300,0,0
2019-05-29,114.13,116.08,112.89,115.83,1327800,0,0
2019-05-30,116.48,118.1,114.63,115.19,1368000,0,0
2019-05-31,112.6,112.94,109.35,110.1,1615300,0,0
2019-06-03,111.98,115.1,111.75,113.85,1984400,0,0
2019-06-04,115.55,121.5,115.55,121.34,1822100,0,0
2019-06-05,122.21,122.39,117.68,119.38,1133400,0,0
2019-06-06,119.23,120.11,116.61,118.75,818200,0,0
2019-06-07,118.7,122.81,118.58,122.23,1277600,0,0
2019-06-10,123.38,125.88,123.05,123.59,1032900,0,0
2019-06-11,125.52,125.65,121.27,122.25,997100,0,0
2019-06-12,121.34,121.98,119.92,121.55,739300,0,0
2019-06-13,121.97,123.84,121.71,123.78,689500,0,0
2019-06-14,123.44,123.61,120.94,122.87,684400,0,0
2019-06-17,122.93,123.44,120.69,121.34,1036400,0,0
2019-06-18,123.96,128.98,123.42,127.76,1760200,0,0
2019-06-19,127.56,128.2,125.75,126.28,1074200,0,0
2019-06-20,129.18,131.58,128.36,130.75,1345800,0,0
2019-06-21,130.45,131.58,128.7,129.87,1056100,0,0
2019-06-24,129.57,132.41,129.51,129.61,1128600,0,0
2019-06-25,129.61,130.25,127.91,128.62,744400,0,0
2019-06-26,129.86,131.95,129.4,130.57,1144300,0,0
2019-06-27,131.55,132.38,129.76,131.97,604900,0,0
2019-06-28,132.83,135.19,132.14,132.63,1875700,0,0
2019-07-01,136.0,137.8,133.1,134.3,1280100,0,0
2019-07-02,133.84,134.09,131.2,131.8,692500,0,0
2019-07-03,132.52,133.54,131.92,132.92,454900,0,0
2019-07-05,131.82,133.4,130.0,132.92,644400,0,0
2019-07-08,131.85,134.04,130.97,131.92,681500,0,0
2019-07-09,130.35,131.51,129.62,131.41,734200,0,0
2019-07-10,132.18,132.32,129.11,130.48,960000,0,0
2019-07-11,130.55,131.37,128.77,131.33,823200,0,0
2019-07-12,132.13,136.75,131.83,136.34,1118300,0,0
2019-07-15,136.79,137.67,134.58,134.74,810000,0,0
2019-07-16,134.53,137.9,132.82,137.59,1519500,0,0
2019-07-17,136.65,136.9,131.26,131.49,2476500,0,0
2019-07-18,123.5,125.34,120.82,121.11,5510100,0,0
2019-07-19,121.18,122.54,118.87,118.98,3148900,0,0
2019-07-22,119.9,120.53,117.0,118.11,2424900,0,0
2019-07-23,118.26,122.3,118.1,121.86,2062500,0,0
2019-07-24,121.73,127.24,121.5,126.63,1867400,0,0
2019-07-25,126.64,127.89,124.9,127.74,1221900,0,0
2019-07-26,127.91,129.6,127.05,127.61,1302600,0,0
2019-07-29,127.55,129.81,126.3,128.99,1174700,0,0
2019-07-30,127.91,130.72,126.59,129.95,1087000,0,0
2019-07-31,129.66,130.5,125.95,126.55,1270900,0,0
2019-08-01,125.64,126.21,119.61,120.88,1609100,0,0
2019-08-02,119.36,119.72,116.16,117.28,1611600,0,0
2019-08-05,114.19,114.44,111.78,113.35,1858400,0,0
2019-08-06,115.23,115.79,112.52,114.38,1221200,0,0
2019-08-07,111.77,113.57,110.56,113.41,1314400,0,0
2019-08-08,114.68,118.26,114.68,117.85,1330900,0,0
2019-08-09,117.08,117.24,114.5,115.57,1231400,0,0
2019-08-12,113.91,114.06,110.4,110.84,1092200,0,0
2019-08-13,110.1,116.66,109.56,112.52,1391800,0,0
2019-08-14,109.72,109.99,103.85,105.36,2139100,0,0
2019-08-15,105.47,105.95,102.76,104.57,1728000,0,0
2019-08-16,105.77,108.8,105.29,107.99,1553100,0,0
2019-08-19,110.34,111.38,109.27,110.64,1205600,0,0
2019-08-20,110.0,110.12,109.04,109.16,738200,0,0
2019-08-21,112.11,112.44,110.6,111.26,828100,0,0
2019-08-22,112.06,112.8,109.33,109.85,960700,0,0
2019-08-23,108.25,109.68,104.31,104.96,1466700,0,0
2019-08-26,107.2,107.31,104.29,106.26,1187000,0,0
2019-08-27,106.95,107.75,103.0,103.8,1159700,0,0
2019-08-28,103.45,107.62,101.9,106.32,1068000,0,0
2019-08-29,108.86,112.07,108.25,111.32,1315700,0,0
2019-08-30,112.95,114.43,111.88,112.56,1221300,0,0
2019-09-03,110.5,111.73,108.05,109.67,1338900,0,0
2019-09-04,111.85,113.09,111.06,112.8,1270400,0,0
2019-09-05,115.0,118.52,114.8,116.49,1541800,0,0
2019-09-06,116.61,118.18,115.52,116.89,861300,0,0
2019-09-09,118.06,120.83,117.52,120.72,1625200,0,0
2019-09-10,120.34,124.17,119.58,124.05,1325300,0,0
2019-09-11,126.56,127.77,123.63,127.62,1725200,0,0
2019-09-12,125.95,129.69,125.95,128.0,1503500,0,0
2019-09-13,129.8,132.23,128.61,128.87,1879500,0,0
2019-09-16,128.0,131.21,126.88,128.35,1143600,0,0
2019-09-17,127.04,128.0,124.63,126.9,1116300,0,0
2019-09-18,124.8,125.42,122.82,124.71,1999800,0,0
2019-09-19,125.65,126.73,124.7,125.1,1291800,0,0
