Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,48.57,48.72,47.92,48.22,8488700,0.0,0
2019-03-22,47.85,47.94,46.69,46.88,8290500,0.0,0
2019-03-25,46.99,47.38,46.43,46.7,6279900,0.0,0
2019-03-26,46.91,47.45,46.73,47.1,7669900,0.0,0
2019-03-27,46.94,47.02,46.57,46.73,7039100,0.0,0
2019-03-28,46.98,47.25,46.54,47.0,5147300,0.37,0
2019-03-29,47.4,47.47,46.84,47.15,8608300,0.0,0
2019-04-01,47.5,48.08,47.26,48.01,10065200,0.0,0
2019-04-02,48.01,48.28,47.76,48.08,7568000,0.0,0
2019-04-03,48.42,48.88,48.18,48.35,5042500,0.0,0
2019-04-04,48.32,49.06,48.27,48.72,5130700,0.0,0
2019-04-05,48.73,49.02,48.33,48.63,5756500,0.0,0
2019-04-08,48.62,48.86,48.57,48.81,4920100,0.0,0
2019-04-09,48.52,48.52,48.05,48.16,4551100,0.0,0
2019-04-10,48.26,48.41,47.87,48.24,5430200,0.0,0
2019-04-11,48.46,48.9,48.24,48.54,4651500,0.0,0
2019-04-12,49.11,49.67,48.59,49.14,11394900,0.0,0
2019-04-15,49.15,49.21,48.6,48.81,4587500,0.0,0
2019-04-16,48.75,49.29,48.32,49.2,7570500,0.0,0
2019-04-17,48.29,49.78,47.96,49.58,7825600,0.0,0
2019-04-18,49.52,50.37,49.34,50.11,8816300,0.0,0
2019-04-22,50.01,50.59,49.78,50.1,8049600,0.0,0
2019-04-23,49.97,50.69,49.59,50.58,7165000,0.0,0
2019-04-24,50.37,50.88,50.27,50.57,5567500,0.0,0
2019-04-25,50.24,50.94,50.15,50.72,5146300,0.0,0
2019-04-26,50.79,51.22,50.59,51.21,5082900,0.0,0
2019-04-29,51.32,52.18,51.21,51.86,5613100,0.0,0
2019-04-30,51.98,52.23,51.71,52.17,5947500,0.0,0
2019-05-01,52.12,52.57,51.74,51.97,5558900,0.0,0
2019-05-02,52.06,52.38,51.66,52.03,4589300,0.0,0
2019-05-03,52.14,52.62,52.05,52.33,4205600,0.0,0
2019-05-06,51.51,52.5,51.37,52.19,4557000,0.0,0
2019-05-07,51.65,51.97,51.17,51.43,6097500,0.0,0
2019-05-08,51.29,51.7,51.07,51.09,5453200,0.0,0
2019-05-09,50.68,51.07,50.36,51.0,5560100,0.0,0
2019-05-10,50.8,51.21,50.19,51.05,4759400,0.0,0
2019-05-13,50.35,50.61,49.6,49.71,5612100,0.0,0
