Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,121.94,124.52,121.73,124.22,2597800,0.0,0
2019-03-22,123.36,123.69,120.87,122.53,3872200,0.0,0
2019-03-25,122.35,123.2,121.98,122.78,2270900,0.0,0
2019-03-26,123.54,124.29,122.44,123.5,3204200,0.0,0
2019-03-27,123.48,124.48,123.01,123.66,2728800,0.0,0
2019-03-28,124.06,124.73,123.55,124.61,1872100,0.0,0
2019-03-29,125.58,126.39,124.81,126.19,3045700,0.0,0
2019-04-01,127.27,130.64,127.27,130.4,5300800,0.0,0
2019-04-02,130.29,130.58,128.8,129.14,2905500,0.0,0
2019-04-03,129.84,129.94,127.88,128.56,2840000,0.0,0
2019-04-04,128.75,130.48,128.11,129.92,2231700,0.0,0
2019-04-05,130.37,131.0,129.79,130.92,2500800,0.0,0
2019-04-08,129.56,130.83,128.44,130.77,2717700,0.0,0
2019-04-09,129.87,130.13,128.45,129.48,2089800,0.0,0
2019-04-10,129.52,129.56,127.53,128.9,2721600,0.0,0
2019-04-11,129.01,130.22,128.73,130.04,1741900,0.0,0
2019-04-12,131.02,132.49,130.85,132.47,2865500,0.0,0
2019-04-15,132.18,132.43,131.26,131.73,1874900,0.0,0
2019-04-16,132.04,132.53,131.6,132.51,1999000,0.0,0
2019-04-17,132.75,133.45,131.91,132.95,2785000,0.0,0
2019-04-18,133.16,134.87,133.16,134.13,2498500,0.0,0
2019-04-22,133.5,134.59,132.85,134.05,2954200,0.0,0
2019-04-23,136.96,139.38,135.97,137.09,5683200,0.0,0
2019-04-24,136.75,137.24,135.04,136.67,2734300,0.0,0
2019-04-25,135.84,137.32,135.14,136.81,2336300,0.0,0
2019-04-26,137.07,137.88,136.66,137.83,2059800,0.0,0
2019-04-29,138.05,139.53,137.91,139.15,3409300,0.0,0
2019-04-30,139.46,139.93,138.67,139.63,3293100,0.0,0
2019-05-01,140.01,141.38,138.56,138.62,2194800,0.0,0
2019-05-02,137.82,138.5,135.89,136.87,2756300,0.0,0
2019-05-03,138.1,138.73,137.03,138.67,2840400,0.0,0
2019-05-06,135.89,137.73,135.01,137.27,2376400,0.0,0
2019-05-07,135.45,135.77,131.86,132.61,4905300,0.0,0
2019-05-08,132.66,135.26,132.51,134.2,2396300,0.0,0
2019-05-09,132.63,134.26,131.22,134.0,2559200,0.0,0
