Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,152.39,155.73,152.38,154.85,7027100,0.0,0
2019-03-22,154.05,154.73,151.92,152.14,8119800,0.0,0
2019-03-25,151.43,153.12,150.62,152.1,7568000,0.0,0
2019-03-26,152.83,154.65,152.83,154.36,15594400,0.0,0
2019-03-27,154.52,154.91,152.43,153.28,12253800,0.0,0
2019-03-28,153.99,154.14,152.68,153.73,16902200,0.0,0
2019-03-29,154.78,155.34,153.99,155.24,12164400,0.0,0
2019-04-01,156.57,156.77,155.6,156.3,6420100,0.0,0
2019-04-02,156.7,157.19,155.8,156.82,6215100,0.0,0
2019-04-03,157.59,158.14,156.89,157.5,8211700,0.0,0
2019-04-04,157.57,157.73,155.58,156.68,5100200,0.0,0
2019-04-05,157.04,157.67,156.27,156.69,4178300,0.0,0
2019-04-08,156.59,156.89,155.37,156.79,5604700,0.0,0
2019-04-09,155.61,157.03,155.52,156.53,6364100,0.0,0
2019-04-10,157.03,157.81,156.56,157.6,3918600,0.0,0
2019-04-11,158.14,158.33,156.48,156.9,5771400,0.0,0
2019-04-12,157.74,158.67,156.9,158.67,6745100,0.0,0
2019-04-15,158.86,159.5,158.22,159.46,8142800,0.0,0
2019-04-16,160.06,160.12,158.58,159.26,6021400,0.0,0
2019-04-17,159.89,160.09,159.34,159.46,4609100,0.0,0
2019-04-18,159.95,160.12,158.03,159.19,7859400,0.0,0
2019-04-22,158.23,159.5,158.1,159.42,4602600,0.0,0
2019-04-23,160.02,160.9,158.9,160.68,6522900,0.0,0
2019-04-24,160.77,161.04,159.67,160.51,7376500,0.0,0
2019-04-25,159.54,160.62,157.59,160.04,8862500,0.0,0
2019-04-26,160.28,162.04,159.42,161.94,7525400,0.0,0
2019-04-29,162.22,163.5,162.11,163.15,10003600,0.0,0
2019-04-30,163.98,164.69,162.92,163.43,6432700,0.0,0
2019-05-01,164.53,164.73,161.76,161.8,5248100,0.0,0
2019-05-02,161.11,162.09,159.45,160.14,6054900,0.0,0
2019-05-03,161.31,161.75,160.2,161.05,4317500,0.0,0
2019-05-06,157.25,161.66,157.24,161.29,10442400,0.0,0
2019-05-07,159.97,160.8,157.72,159.24,6413600,0.0,0
2019-05-08,158.8,160.72,158.55,159.78,5445900,0.0,0
2019-05-09,157.89,158.88,156.21,158.84,6813700,0.0,0
2019-05-10,157.89,160.42,156.31,159.73,5192500,0.0,0
2019-05-13,156.23,157.75,155.47,156.37,9730000,0.0,0
2019-05-14,157.14,160.54,156.98,159.24,9756700,0.0,0
2019-05-15,158.35,162.17,158.13,161.8,7547000,0.0,0
