Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,78.18,79.2,77.97,78.98,1127100,0.0,0.0
2019-03-22,78.36,78.6,77.02,77.03,1464100,0.0,0.0
2019-03-25,77.07,77.89,76.66,77.75,1370500,0.0,0.0
2019-03-26,78.47,78.78,77.79,78.21,1068900,0.0,0.0
2019-03-27,78.54,78.97,77.83,78.5,1186200,0.0,0.0
2019-03-28,80.39,81.39,79.85,80.19,1605500,0.0,0.0
2019-03-29,80.3,80.69,79.57,79.96,1503800,0.0,0.0
2019-04-01,80.62,80.67,79.81,80.35,1684200,0.0,0.0
2019-04-02,79.94,80.49,79.4,79.85,1714700,0.0,0.0
2019-04-03,80.32,80.5,79.92,80.46,1478100,0.0,0.0
2019-04-04,80.7,82.43,80.48,82.39,1379200,0.0,0.0
2019-04-05,82.46,82.76,81.77,82.04,1897700,0.0,0.0
2019-04-08,82.36,83.07,81.77,82.65,2049900,0.0,0.0
2019-04-09,82.23,82.69,81.4,81.6,1625400,0.0,0.0
2019-04-10,81.67,82.3,81.57,82.21,1389400,0.0,0.0
2019-04-11,82.47,82.74,81.78,82.16,1093800,0.0,0.0
2019-04-12,82.3,83.51,82.17,83.46,1721600,0.0,0.0
2019-04-15,83.61,84.08,83.46,83.91,1433100,0.0,0.0
2019-04-16,83.91,86.12,83.75,85.86,5352200,0.0,0.0
2019-04-17,85.94,88.04,85.94,87.87,5281300,0.0,0.0
2019-04-18,87.69,88.51,87.0,87.91,2354400,0.0,0.0
2019-04-22,87.46,88.25,86.93,87.27,1709300,0.0,0.0
2019-04-23,87.27,87.44,86.28,87.03,1913300,0.0,0.0
2019-04-24,87.15,87.66,86.49,87.16,1510200,0.0,0.0
2019-04-25,87.18,87.32,86.0,86.49,1550500,0.0,0.0
2019-04-26,86.87,87.02,85.58,86.96,1212500,0.0,0.0
2019-04-29,86.72,87.3,86.36,86.94,1571200,0.0,0.0
2019-04-30,86.57,86.97,86.13,86.86,1797600,0.0,0.0
2019-05-01,86.83,86.95,85.55,85.57,1090600,0.0,0.0
2019-05-02,86.01,86.72,85.55,86.38,2036600,0.0,0.0
2019-05-03,86.95,87.79,86.74,87.75,1650300,0.0,0.0
2019-05-06,86.48,86.61,85.77,86.36,1934400,0.0,0.0
2019-05-07,85.68,86.6,85.49,86.15,1621700,0.0,0.0
2019-05-08,86.2,86.85,85.66,86.23,1400200,0.0,0.0
2019-05-09,86.0,86.73,85.04,86.52,1383500,0.0,0.0
2019-05-10,86.19,86.31,83.81,85.48,1863100,0.0,0.0
2019-05-13,83.96,84.39,82.69,82.92,2146900,0.0,0.0
2019-05-14,83.15,83.58,82.0,83.13,2115600,0.0,0.0
2019-05-15,82.47,83.86,82.14,83.45,1328400,0.0,0.0
2019-05-16,83.73,84.8,83.58,84.0,1469400,0.0,0.0
2019-05-17,83.66,84.36,83.32,83.54,1627800,0.0,0.0
2019-05-20,82.93,83.8,82.52,83.37,1902500,0.0,0.0
2019-05-21,83.68,85.3,83.06,84.74,2623000,0.0,0.0
2019-05-22,78.86,83.33,78.63,83.11,4812300,0.0,0.0
2019-05-23,83.06,83.89,81.61,82.16,3234100,0.0,1.062
2019-05-24,82.99,83.24,81.38,82.12,2645300,0.0,0.0
2019-05-28,82.56,82.59,80.79,80.85,2725700,0.0,0.0
2019-05-29,80.12,81.01,79.3,80.35,2486900,0.0,0.0
2019-05-30,80.03,80.93,79.19,80.84,2114000,0.0,0.0
2019-05-31,79.72,80.36,78.91,80.0,2605400,0.0,0.0
2019-06-03,79.98,81.83,79.68,81.06,1813800,0.0,0.0
2019-06-04,81.67,83.23,81.51,83.15,1859100,0.0,0.0
2019-06-05,83.68,84.23,82.64,83.78,1223500,0.0,0.0
2019-06-06,83.6,83.66,82.04,82.53,2116000,0.0,0.0
2019-06-07,83.1,83.48,82.6,83.27,1297400,0.51,0.0
2019-06-10,83.83,85.02,83.79,84.24,1279900,0.0,0.0
2019-06-11,84.63,85.26,83.9,84.03,918500,0.0,0.0
2019-06-12,84.21,84.6,83.22,83.33,1192000,0.0,0.0
2019-06-13,84.03,85.5,84.03,85.36,1418200,0.0,0.0
2019-06-14,85.42,86.04,84.87,85.78,1220900,0.0,0.0
2019-06-17,85.69,86.46,85.6,85.7,1318700,0.0,0.0
2019-06-18,86.3,87.14,86.02,86.8,1827800,0.0,0.0
2019-06-19,86.9,87.48,86.42,86.85,1143200,0.0,0.0
2019-06-20,87.49,87.68,86.66,87.11,1712900,0.0,0.0
2019-06-21,87.58,87.77,86.52,86.87,2884400,0.0,0.0
2019-06-24,86.74,87.3,86.21,86.36,1394300,0.0,0.0
2019-06-25,86.28,86.62,83.88,83.96,1588200,0.0,0.0
2019-06-26,84.21,84.83,83.97,84.25,1360000,0.0,0.0
2019-06-27,84.89,85.34,84.35,85.23,1244400,0.0,0.0
2019-06-28,85.31,86.66,85.24,85.87,5908400,0.0,0.0
2019-07-01,86.87,87.6,86.2,86.83,1286200,0.0,0.0
2019-07-02,86.65,86.87,84.93,85.25,1334000,0.0,0.0
2019-07-03,85.6,86.69,85.44,86.45,975300,0.0,0.0
2019-07-05,86.09,86.39,85.42,86.32,961900,0.0,0.0
2019-07-08,85.95,87.0,84.75,86.86,1173200,0.0,0.0
2019-07-09,86.44,86.65,85.11,85.29,1200000,0.0,0.0
2019-07-10,85.39,85.74,84.96,85.37,1085500,0.0,0.0
2019-07-11,85.43,86.45,85.12,86.38,1157400,0.0,0.0
2019-07-12,87.07,87.65,86.76,87.37,1528300,0.0,0.0
2019-07-15,87.55,87.59,86.3,86.94,1176500,0.0,0.0
2019-07-16,86.98,87.19,86.63,86.81,1433000,0.0,0.0
2019-07-17,86.47,86.59,84.89,84.97,1441800,0.0,0.0
2019-07-18,85.11,85.8,84.73,85.68,1748600,0.0,0.0
2019-07-19,86.53,87.08,85.8,85.86,2413300,0.0,0.0
2019-07-22,86.48,86.51,85.36,85.37,1388600,0.0,0.0
2019-07-23,85.95,86.77,85.48,86.77,1820300,0.0,0.0
2019-07-24,88.8,89.99,84.97,87.81,4663800,0.0,0.0
2019-07-25,87.61,88.89,86.7,87.82,2548700,0.0,0.0
2019-07-26,88.19,88.27,86.95,87.11,1572500,0.0,0.0
2019-07-29,87.0,87.32,85.99,86.83,1157900,0.0,0.0
2019-07-30,86.48,87.2,85.3,86.66,917300,0.0,0.0
2019-07-31,86.59,86.77,85.25,85.91,1662900,0.0,0.0
2019-08-01,86.02,86.13,80.83,81.96,2511100,0.0,0.0
2019-08-02,82.05,82.41,80.92,81.38,2022800,0.0,0.0
2019-08-05,79.86,80.26,78.61,79.09,2384200,0.0,0.0
2019-08-06,79.49,80.45,79.03,80.25,1585000,0.0,0.0
2019-08-07,79.47,80.52,78.64,80.34,1705300,0.0,0.0
2019-08-08,80.9,82.25,80.54,82.23,1289700,0.0,0.0
2019-08-09,81.99,82.37,80.74,81.34,1570800,0.0,0.0
2019-08-12,80.78,80.89,79.57,80.54,1385900,0.0,0.0
2019-08-13,80.0,83.3,79.77,81.38,1608300,0.0,0.0
2019-08-14,79.66,80.0,78.01,78.05,1909600,0.0,0.0
2019-08-15,78.55,78.55,75.47,76.17,2462400,0.0,0.0
2019-08-16,76.85,77.68,76.46,77.44,1291100,0.0,0.0
2019-08-19,78.81,78.83,77.77,78.63,1312400,0.0,0.0
2019-08-20,78.36,78.74,78.16,78.54,1390900,0.0,0.0
2019-08-21,79.39,79.86,78.96,79.64,1113200,0.0,0.0
2019-08-22,80.12,80.3,78.72,79.64,1193700,0.0,0.0
2019-08-23,78.86,79.37,76.63,77.02,1475300,0.0,0.0
2019-08-26,77.95,78.45,77.45,78.34,1069200,0.0,0.0
2019-08-27,79.06,79.06,77.89,78.21,1048100,0.0,0.0
2019-08-28,77.73,79.88,77.73,79.83,1140500,0.0,0.0
2019-08-29,81.03,82.2,80.87,81.89,1788300,0.0,0.0
2019-08-30,81.84,82.19,80.51,80.56,1490700,0.0,0.0
2019-09-03,79.93,80.45,78.89,79.58,1420800,0.0,0.0
2019-09-04,80.41,81.07,79.93,80.72,1887900,0.0,0.0
2019-09-05,82.02,85.08,81.87,85.04,1964100,0.0,0.0
2019-09-06,85.33,86.29,85.33,86.12,1665900,0.0,0.0
2019-09-09,86.54,88.58,85.65,88.54,2312500,0.43,0.0
2019-09-10,88.17,88.91,87.75,88.73,1743400,0.0,0.0
2019-09-11,88.91,89.85,86.96,89.72,2179700,0.0,0.0
