Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,45.1,45.59,44.88,45.23,4693600,0.0,0
2019-03-22,45.02,45.24,44.19,44.21,2970100,0.0,0
2019-03-25,44.63,45.39,44.34,44.67,3423800,0.0,0
2019-03-26,44.94,47.23,44.94,46.42,6169100,0.0,0
2019-03-27,46.9,47.0,46.2,46.68,3158700,0.0,0
2019-03-28,46.6,46.99,46.39,46.39,2733900,0.0,0
2019-03-29,46.63,47.01,46.25,46.63,3071000,0.0,0
2019-04-01,47.09,47.74,46.99,47.3,2290100,0.0,0
2019-04-02,47.4,47.47,46.84,47.03,1284700,0.0,0
2019-04-03,47.29,48.27,47.05,47.89,2864300,0.0,0
2019-04-04,48.01,49.03,47.81,48.72,2302900,0.0,0
2019-04-05,48.92,49.45,48.85,49.42,2286300,0.0,0
2019-04-08,49.21,50.54,49.21,50.42,3892400,0.0,0
2019-04-09,50.18,50.34,49.81,50.14,2063100,0.0,0
2019-04-10,50.09,50.71,49.96,50.65,2421200,0.0,0
2019-04-11,50.76,51.14,50.49,50.58,2633300,0.0,0
2019-04-12,50.84,51.23,49.95,50.6,2476400,0.0,0
2019-04-15,50.76,50.96,50.12,50.78,1784100,0.0,0
2019-04-16,51.11,51.35,50.71,51.25,2080000,0.0,0
2019-04-17,51.41,51.89,51.3,51.54,2403900,0.0,0
2019-04-18,51.56,51.81,51.18,51.4,2172600,0.0,0
2019-04-22,51.34,51.34,49.92,50.14,2252700,0.0,0
2019-04-23,50.1,50.52,49.86,50.37,2917600,0.0,0
2019-04-24,50.33,51.04,50.03,50.38,2204000,0.0,0
2019-04-25,50.26,50.26,49.66,49.7,1573900,0.0,0
2019-04-26,49.95,50.42,49.72,50.23,2313500,0.0,0
2019-04-29,50.31,50.93,50.28,50.77,1294000,0.0,0
2019-04-30,50.72,50.87,49.78,50.3,2598400,0.0,0
2019-05-01,50.26,50.78,50.11,50.16,1299500,0.0,0
2019-05-02,50.04,50.3,48.98,49.47,2330100,0.0,0
2019-05-03,49.51,49.85,47.99,48.79,3983300,0.0,0
2019-05-06,48.11,48.95,47.78,48.72,1612000,0.0,0
2019-05-07,48.35,48.55,47.21,47.57,2944600,0.0,0
2019-05-08,47.45,47.93,47.15,47.62,2461300,0.0,0
2019-05-09,47.38,47.98,47.1,47.86,2322300,0.0,0
2019-05-10,47.6,48.52,47.18,48.36,2255000,0.0,0
2019-05-13,47.66,47.85,46.15,46.36,3266100,0.0,0
2019-05-14,46.45,47.2,46.32,46.79,2009400,0.0,0
2019-05-15,46.56,47.09,46.17,46.93,2031700,0.0,0
2019-05-16,47.29,47.87,46.96,47.44,1448100,0.0,0
2019-05-17,47.02,47.76,46.8,47.46,1414100,0.0,0
2019-05-20,47.34,47.47,47.02,47.4,1202000,0.0,0
2019-05-21,47.52,48.1,47.43,47.99,2572400,0.0,0
2019-05-22,47.78,47.95,47.34,47.41,1850000,0.0,0
2019-05-23,46.9,47.2,46.49,47.0,2353300,0.0,0
2019-05-24,47.08,47.17,46.55,46.58,2193900,0.0,0
2019-05-28,46.81,47.27,46.64,46.72,1721100,0.0,0
2019-05-29,46.41,46.6,45.55,45.84,1983800,0.0,0
2019-05-30,46.1,48.04,46.1,47.29,3816700,0.0,0
2019-05-31,47.03,47.68,46.82,47.37,3012700,0.0,0
2019-06-03,47.19,47.72,47.0,47.33,1872000,0.0,0
2019-06-04,47.74,48.17,47.51,47.89,1654000,0.0,0
2019-06-05,48.22,48.37,47.2,47.4,2146000,0.0,0
2019-06-06,47.63,47.77,47.27,47.52,1507600,0.0,0
2019-06-07,47.56,47.95,47.3,47.5,1496900,0.0,0
2019-06-10,47.56,47.83,46.87,47.06,2448400,0.0,0
2019-06-11,47.16,47.48,46.89,47.17,1863800,0.0,0
