Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,82.87,83.97,82.61,82.76,2335900,0.0,0
2019-03-22,82.01,82.53,79.98,81.09,2877700,0.0,0
2019-03-25,80.96,82.01,80.54,81.9,2602700,0.0,0
2019-03-26,82.35,83.69,82.28,83.36,3233500,0.0,0
2019-03-27,82.83,83.89,82.03,82.42,3460300,0.0,0
2019-03-28,81.98,82.45,80.69,81.28,2812800,0.0,0
2019-03-29,82.02,82.15,80.38,81.28,3208400,0.0,0
2019-04-01,82.27,83.2,81.85,82.81,2919100,0.0,0
2019-04-02,82.63,82.63,80.89,80.91,2924700,0.0,0
2019-04-03,81.55,82.42,80.34,80.73,2983200,0.0,0
2019-04-04,80.73,81.09,79.56,80.82,3267700,0.0,0
2019-04-05,80.92,83.1,80.71,83.06,2966700,0.0,0
2019-04-08,83.25,83.68,82.43,82.59,2141200,0.0,0
2019-04-09,82.43,82.43,81.22,81.55,2419400,0.0,0
2019-04-10,82.22,85.21,82.0,84.73,5232400,0.0,0
2019-04-11,84.78,86.65,84.44,85.31,3682100,0.0,0
2019-04-12,86.02,86.36,84.21,84.71,4003200,0.0,0
2019-04-15,84.7,84.71,82.99,83.98,2824600,0.0,0
2019-04-16,84.03,84.87,83.32,84.62,2507300,0.0,0
2019-04-17,85.19,86.3,84.98,85.68,3209300,0.0,0
2019-04-18,85.7,85.95,84.13,84.35,2670000,0.0,0
2019-04-22,84.87,87.53,84.8,87.33,3063000,0.0,0
2019-04-23,87.6,87.69,85.96,86.5,4232500,0.0,0
2019-04-24,86.64,86.64,83.94,84.06,5046400,0.0,0
2019-04-25,84.08,88.82,83.98,87.03,6312000,0.0,0
2019-04-26,86.5,86.84,85.28,86.31,3008000,0.0,0
2019-04-29,86.42,86.63,85.39,85.85,2661700,0.0,0
2019-04-30,86.0,87.55,85.98,86.86,3049000,0.0,0
2019-05-01,87.16,87.99,85.97,86.01,3881300,0.0,0
2019-05-02,85.99,86.95,83.97,84.55,5084700,0.0,0
2019-05-03,85.42,85.91,84.55,84.74,2994400,0.0,0
2019-05-06,83.79,83.79,82.07,82.77,4741700,0.0,0
2019-05-07,81.93,81.93,79.19,80.83,6014900,0.0,0
2019-05-08,80.13,81.35,78.65,78.95,4850800,0.0,0
2019-05-09,78.34,78.85,75.49,78.32,6661900,0.0,0
2019-05-10,78.48,80.57,77.92,80.22,4484100,0.0,0
2019-05-13,79.09,80.11,77.35,78.0,3943400,0.0,0
2019-05-14,78.78,80.74,78.78,80.37,3389300,0.9,0
2019-05-15,79.97,80.88,79.1,80.77,2589500,0.0,0
2019-05-16,81.2,82.93,81.15,82.81,3282900,0.0,0
2019-05-17,81.75,82.65,81.07,81.1,2553600,0.0,0
2019-05-20,80.63,81.01,79.35,79.52,2774100,0.0,0
2019-05-21,79.96,80.4,79.63,79.9,3115800,0.0,0
2019-05-22,79.61,79.9,77.45,77.85,2942200,0.0,0
2019-05-23,76.43,76.43,72.83,73.06,6237700,0.0,0
2019-05-24,73.56,74.54,73.01,73.84,3385600,0.0,0
2019-05-28,74.26,74.76,72.7,72.75,3709000,0.0,0
2019-05-29,71.71,73.05,71.35,72.53,3054100,0.0,0
2019-05-30,72.24,72.4,69.76,70.6,5119600,0.0,0
2019-05-31,68.81,69.25,67.28,68.21,5670700,0.0,0
2019-06-03,68.51,70.4,68.46,69.76,3760600,0.0,0
2019-06-04,70.24,71.66,70.0,71.55,3135000,0.0,0
2019-06-05,72.07,72.13,69.92,70.86,3245400,0.0,0
2019-06-06,71.74,72.53,70.53,72.15,3767900,0.0,0
2019-06-07,72.13,72.86,71.76,72.4,2847200,0.0,0
2019-06-10,73.22,74.99,73.21,73.5,3136300,0.0,0
2019-06-11,74.23,74.92,73.94,73.98,2483300,0.0,0
2019-06-12,73.81,74.45,72.92,74.12,2569200,0.0,0
2019-06-13,75.07,75.64,74.09,74.85,2819600,0.0,0
2019-06-14,74.53,74.81,73.6,74.37,2084200,0.0,0
2019-06-17,74.09,75.33,73.95,74.53,2470100,0.0,0
2019-06-18,75.18,76.41,75.04,75.38,2759600,0.0,0
2019-06-19,75.48,76.64,75.06,75.72,2316400,0.0,0
2019-06-20,76.95,78.14,76.84,77.26,3011800,0.0,0
2019-06-21,77.96,79.39,77.67,79.36,6568500,0.0,0
2019-06-24,79.05,79.56,78.0,78.24,2558000,0.0,0
2019-06-25,77.99,79.42,77.69,79.09,3278500,0.0,0
2019-06-26,79.57,83.05,79.54,82.28,5154200,0.0,0
2019-06-27,82.35,82.35,80.98,81.31,2408500,0.0,0
2019-06-28,81.44,83.1,81.38,82.94,3248200,0.0,0
2019-07-01,84.13,84.52,81.18,81.62,4558900,0.0,0
2019-07-02,81.14,81.14,77.26,78.19,7182100,0.0,0
2019-07-03,78.31,79.91,78.11,79.43,2307400,0.0,0
2019-07-05,79.21,79.54,78.72,79.29,1653400,0.0,0
2019-07-08,79.17,79.43,78.23,78.82,2320500,0.0,0
2019-07-09,78.47,80.15,78.36,79.68,2654600,0.0,0
2019-07-10,80.61,81.05,79.6,80.8,2976800,0.0,0
2019-07-11,81.32,82.28,80.97,81.8,2782400,0.0,0
2019-07-12,81.92,82.59,81.45,82.11,1769500,0.0,0
2019-07-15,81.91,82.19,80.46,81.69,2513500,0.0,0
2019-07-16,81.62,82.27,81.01,81.59,1772900,0.0,0
2019-07-17,81.46,81.82,79.77,80.65,2954900,0.0,0
2019-07-18,80.04,80.85,79.43,80.75,2060100,0.0,0
2019-07-19,80.89,81.6,80.68,81.04,1903100,0.0,0
2019-07-22,81.68,82.29,80.75,81.72,2346700,0.0,0
2019-07-23,81.8,82.64,81.48,82.13,2902200,0.0,0
2019-07-24,81.93,83.89,81.48,83.48,4002300,0.0,0
2019-07-25,83.49,83.76,79.6,80.85,5248400,0.0,0
2019-07-26,80.62,82.35,80.49,81.68,2712500,0.0,0
2019-07-29,81.45,82.17,80.66,81.41,2013600,0.0,0
2019-07-30,80.9,82.16,80.32,82.15,2589800,0.0,0
2019-07-31,82.08,83.8,81.82,82.59,3217900,0.0,0
2019-08-01,82.55,83.83,81.05,81.71,4233900,0.0,0
2019-08-02,80.9,81.3,78.49,79.51,3289900,0.0,0
2019-08-05,78.01,78.02,73.55,74.23,5976300,0.9,0
2019-08-06,75.2,75.97,74.29,75.27,3328300,0.0,0
2019-08-07,74.07,74.58,72.69,74.26,4100500,0.0,0
2019-08-08,74.67,77.22,74.58,77.15,3474200,0.0,0
2019-08-09,76.93,77.95,76.64,77.24,3789700,0.0,0
2019-08-12,76.43,77.3,75.08,75.57,2541600,0.0,0
2019-08-13,75.73,77.64,74.78,77.13,3099000,0.0,0
2019-08-14,75.48,76.38,74.42,74.45,3912400,0.0,0
2019-08-15,74.68,75.48,73.98,75.15,3082200,0.0,0
2019-08-16,75.96,76.82,75.61,76.52,2697500,0.0,0
