Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,62.05,63.25,61.96,63.05,1073400,0.0,0
2019-03-22,63.22,63.56,62.26,62.36,1005400,0.0,0
2019-03-25,62.39,62.52,61.97,62.05,1100700,0.0,0
2019-03-26,62.38,62.8,62.18,62.73,931400,0.0,0
2019-03-27,62.87,62.99,62.06,62.3,1017700,0.0,0
2019-03-28,62.44,63.1,62.33,63.01,838400,0.0,0
2019-03-29,63.06,63.37,62.85,62.94,1132800,0.0,0
2019-04-01,63.09,63.29,62.21,63.1,604300,0.0,0
2019-04-02,63.2,64.09,62.75,64.0,675900,0.0,0
2019-04-03,64.03,64.42,63.68,64.25,662400,0.0,0
2019-04-04,64.46,64.62,64.0,64.54,589300,0.0,0
2019-04-05,64.54,64.95,64.32,64.92,644700,0.0,0
2019-04-08,65.14,65.2,63.87,63.98,946200,0.0,0
2019-04-09,63.9,63.9,63.17,63.32,979400,0.0,0
2019-04-10,63.24,63.64,62.82,63.36,1152900,0.0,0
2019-04-11,63.58,63.92,63.09,63.23,710100,0.0,0
2019-04-12,63.21,63.81,62.78,63.78,720000,0.0,0
2019-04-15,63.98,64.01,62.98,63.38,559300,0.0,0
2019-04-16,63.52,63.52,61.64,62.09,1173000,0.0,0
2019-04-17,62.08,62.2,61.28,61.79,1122100,0.0,0
2019-04-18,61.83,62.55,61.7,62.54,1159000,0.0,0
2019-04-22,62.91,63.84,62.76,63.48,2516900,0.0,0
2019-04-23,63.63,65.1,63.29,65.07,1509100,0.0,0
2019-04-24,65.25,65.75,65.08,65.16,780400,0.0,0
2019-04-25,64.81,64.95,64.52,64.68,566400,0.0,0
2019-04-26,64.83,65.34,64.65,65.19,440600,0.0,0
2019-04-29,64.93,65.27,64.02,64.11,944100,0.0,0
2019-04-30,64.28,64.9,63.43,64.52,1387500,0.0,0
2019-05-01,64.47,65.09,64.2,64.54,1311900,0.0,0
2019-05-02,64.6,64.86,63.33,63.42,1186900,0.0,0
2019-05-03,63.69,63.91,62.96,63.41,1388100,0.66,0
2019-05-06,63.21,63.49,62.71,63.22,1197900,0.0,0
2019-05-07,63.01,63.19,62.27,62.78,2858900,0.0,0
2019-05-08,62.77,63.33,62.17,62.2,1132000,0.0,0
2019-05-09,61.91,62.58,61.44,62.44,1165200,0.0,0
2019-05-10,62.38,63.02,61.9,62.86,870800,0.0,0
2019-05-13,62.2,62.58,62.04,62.28,1060500,0.0,0
2019-05-14,62.53,62.99,62.32,62.52,1417100,0.0,0
2019-05-15,62.48,63.05,62.01,62.89,1169700,0.0,0
2019-05-16,62.84,63.52,62.84,63.2,575200,0.0,0
2019-05-17,62.83,63.25,62.42,63.13,828500,0.0,0
2019-05-20,63.18,63.36,61.99,62.22,557000,0.0,0
2019-05-21,62.39,62.97,62.39,62.69,965100,0.0,0
2019-05-22,62.78,63.35,62.67,63.3,785900,0.0,0
2019-05-23,62.96,63.35,62.61,63.32,840400,0.0,0
2019-05-24,63.59,63.97,63.4,63.78,782900,0.0,0
2019-05-28,64.04,64.54,63.47,63.47,1392000,0.0,0
2019-05-29,63.52,63.52,62.31,62.58,915700,0.0,0
2019-05-30,62.66,63.29,62.53,62.62,733300,0.0,0
2019-05-31,62.22,62.8,61.9,62.41,854700,0.0,0
2019-06-03,62.64,62.95,62.06,62.77,1069100,0.0,0
2019-06-04,62.8,63.07,62.31,62.67,740800,0.0,0
2019-06-05,62.97,64.19,62.97,64.17,672200,0.0,0
2019-06-06,64.25,64.5,63.82,64.25,691000,0.0,0
2019-06-07,64.59,64.88,64.38,64.43,549600,0.0,0
2019-06-10,64.62,64.8,63.16,63.52,749200,0.0,0
2019-06-11,63.57,63.93,62.5,62.85,823900,0.0,0
2019-06-12,62.98,63.52,62.43,62.88,747400,0.0,0
2019-06-13,63.03,63.39,62.66,62.98,711300,0.0,0
2019-06-14,62.78,63.06,62.18,62.39,1215600,0.0,0
2019-06-17,62.61,63.54,62.51,63.37,573200,0.0,0
2019-06-18,63.74,64.33,62.64,62.92,827300,0.0,0
2019-06-19,62.82,63.63,62.36,63.24,808200,0.0,0
2019-06-20,63.53,63.97,63.39,63.63,692500,0.0,0
2019-06-21,63.5,63.5,62.26,62.92,1509600,0.0,0
2019-06-24,63.14,63.37,61.76,61.83,690600,0.0,0
2019-06-25,61.88,62.03,60.81,60.84,729400,0.0,0
2019-06-26,60.84,60.84,59.25,59.48,2196100,0.0,0
2019-06-27,59.71,60.44,59.48,60.01,754800,0.0,0
2019-06-28,60.01,60.8,60.01,60.41,1229200,0.0,0
2019-07-01,60.94,60.94,59.83,60.52,626900,0.0,0
2019-07-02,60.69,61.54,60.53,61.4,721300,0.0,0
2019-07-03,61.52,62.0,61.52,61.73,361600,0.0,0
2019-07-05,61.25,61.91,60.67,61.74,443100,0.0,0
2019-07-08,61.63,61.9,61.45,61.88,717800,0.0,0
2019-07-09,61.98,62.4,61.73,62.21,804800,0.0,0
2019-07-10,62.59,62.88,61.93,62.48,788100,0.0,0
2019-07-11,62.42,62.42,61.31,61.71,834100,0.0,0
2019-07-12,61.79,62.0,61.5,61.82,585400,0.0,0
2019-07-15,61.98,62.08,61.56,61.74,949300,0.0,0
2019-07-16,61.67,61.88,61.47,61.72,1107000,0.0,0
2019-07-17,61.71,61.82,60.9,61.3,729700,0.0,0
2019-07-18,61.05,61.55,60.58,61.31,844600,0.0,0
2019-07-19,61.42,61.53,60.24,60.24,863700,0.0,0
2019-07-22,60.26,60.26,59.36,59.36,723400,0.0,0
2019-07-23,59.46,60.28,59.34,60.01,1100100,0.0,0
